"Plot Title: SGH 121"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 11016139, SEN S/N: 11016139, LBL: sgh 121 temp)","RH, % (LGR S/N: 11016139, SEN S/N: 11016139, LBL: sgh 121 rh)","Coupler Detached (LGR S/N: 11016139)","Coupler Attached (LGR S/N: 11016139)","Stopped (LGR S/N: 11016139)","End Of File (LGR S/N: 11016139)"
1,02/10/20 01:01:01 PM,38.700,36.285,Logged,,,
2,02/10/20 01:21:01 PM,38.415,37.797,,,,
3,02/10/20 01:41:01 PM,38.368,37.857,,,,
4,02/10/20 02:01:01 PM,38.322,38.910,,,,
5,02/10/20 02:21:01 PM,38.179,39.273,,,,
6,02/10/20 02:41:01 PM,38.131,38.867,,,,
7,02/10/20 03:01:01 PM,38.226,38.594,,,,
8,02/10/20 03:21:01 PM,38.273,37.477,,,,
9,02/10/20 03:41:01 PM,38.226,38.252,,,,
10,02/10/20 04:01:01 PM,38.464,37.987,,,,
11,02/10/20 04:21:01 PM,38.557,37.650,,,,
12,02/10/20 04:41:01 PM,38.511,37.803,,,,
13,02/10/20 05:01:01 PM,38.226,37.755,,,,
14,02/10/20 05:21:01 PM,37.893,38.821,,,,
15,02/10/20 05:41:01 PM,37.321,40.177,,,,
16,02/10/20 06:01:01 PM,36.554,42.611,,,,
17,02/10/20 06:21:01 PM,35.346,46.104,,,,
18,02/10/20 06:41:01 PM,33.879,53.757,,,,
19,02/10/20 07:01:01 PM,31.591,59.832,,,,
20,02/10/20 07:21:01 PM,29.764,61.552,,,,
21,02/10/20 07:41:01 PM,28.373,67.919,,,,
22,02/10/20 08:01:01 PM,27.486,68.912,,,,
23,02/10/20 08:21:01 PM,27.064,68.242,,,,
24,02/10/20 08:41:01 PM,26.643,69.767,,,,
25,02/10/20 09:01:01 PM,26.164,70.817,,,,
26,02/10/20 09:21:01 PM,25.846,70.271,,,,
27,02/10/20 09:41:01 PM,25.471,71.621,,,,
28,02/10/20 10:01:01 PM,24.987,71.727,,,,
29,02/10/20 10:21:01 PM,24.609,74.541,,,,
30,02/10/20 10:41:01 PM,24.066,76.151,,,,
31,02/10/20 11:01:01 PM,23.572,76.169,,,,
32,02/10/20 11:21:01 PM,23.189,78.090,,,,
33,02/10/20 11:41:01 PM,22.802,75.425,,,,
34,02/11/20 12:01:01 AM,22.636,74.360,,,,
35,02/11/20 12:21:01 AM,22.302,78.775,,,,
36,02/11/20 12:41:01 AM,21.855,75.831,,,,
37,02/11/20 01:01:01 AM,21.519,77.110,,,,
