,"(mm) Grass Reference ET (URMA) at -120.2609E,39.4333N, 1985-10-01 to 2025-11-01"
"1985-10-01",3.438
"1985-10-02",3.5712
"1985-10-03",3.5558
"1985-10-04",3.6827
"1985-10-05",3.5345
"1985-10-06",1.281
"1985-10-07",2.0452
"1985-10-08",1.229
"1985-10-09",1.5621
"1985-10-10",2.4664
"1985-10-11",1.8338
"1985-10-12",2.2498
"1985-10-13",2.3645
"1985-10-14",2.9189
"1985-10-15",2.991
"1985-10-16",2.894
"1985-10-17",2.6468
"1985-10-18",2.6816
"1985-10-19",2.3577
"1985-10-20",1.6918
"1985-10-21",0.9867
"1985-10-22",0.7237
"1985-10-23",1.9101
"1985-10-24",2.0196
"1985-10-25",2.075
"1985-10-26",2.1377
"1985-10-27",2.9411
"1985-10-28",2.2034
"1985-10-29",2.5176
"1985-10-30",1.804
"1985-10-31",1.896
"1985-11-01",1.8272
"1985-11-02",2.1107
"1985-11-03",2.1488
"1985-11-04",1.4417
"1985-11-05",1.7254
"1985-11-06",1.7614
"1985-11-07",1.6886
"1985-11-08",1.1838
"1985-11-09",0.5588
"1985-11-10",0.3579
"1985-11-11",0.3006
"1985-11-12",0.7819
"1985-11-13",0.8034
"1985-11-14",1.1086
"1985-11-15",0.5528
"1985-11-16",0.4034
"1985-11-17",0.5346
"1985-11-18",0.6453
"1985-11-19",0.8633
"1985-11-20",0.7954
"1985-11-21",0.9486
"1985-11-22",0.9514
"1985-11-23",0.3503
"1985-11-24",0.2647
"1985-11-25",0.425
"1985-11-26",0.7174
"1985-11-27",0.4346
"1985-11-28",0.3238
"1985-11-29",0.4043
"1985-11-30",0.6012
"1985-12-01",0.4662
"1985-12-02",0.3963
"1985-12-03",0.582
"1985-12-04",0.6405
"1985-12-05",0.6542
"1985-12-06",0.4411
"1985-12-07",0.3322
"1985-12-08",0.2663
"1985-12-09",0.5449
"1985-12-10",0.487
"1985-12-11",0.5872
"1985-12-12",0.9637
"1985-12-13",1.05
"1985-12-14",1.0312
"1985-12-15",1.1635
"1985-12-16",1.3449
"1985-12-17",1.4848
"1985-12-18",1.7878
"1985-12-19",1.7203
"1985-12-20",1.4997
"1985-12-21",1.5767
"1985-12-22",1.6566
"1985-12-23",1.965
"1985-12-24",1.7114
"1985-12-25",1.7472
"1985-12-26",1.4105
"1985-12-27",1.3977
"1985-12-28",0.7754
"1985-12-29",0.3749
"1985-12-30",0.3314
"1985-12-31",0.8506
"1986-01-01",0.4703
"1986-01-02",0.6746
"1986-01-03",0.9381
"1986-01-04",0.4291
"1986-01-05",0.501
"1986-01-06",1.0377
"1986-01-07",1.6932
"1986-01-08",1.0157
"1986-01-09",1.5365
"1986-01-10",1.8646
"1986-01-11",1.6238
"1986-01-12",1.5471
"1986-01-13",1.5053
"1986-01-14",1.3012
"1986-01-15",0.5841
"1986-01-16",0.6078
"1986-01-17",0.6264
"1986-01-18",1.2742
"1986-01-19",1.27
"1986-01-20",0.8981
"1986-01-21",0.99
"1986-01-22",1.3235
"1986-01-23",0.8278
"1986-01-24",1.2569
"1986-01-25",1.6683
"1986-01-26",2.0445
"1986-01-27",1.7615
"1986-01-28",1.7492
"1986-01-29",1.0913
"1986-01-30",0.842
"1986-01-31",1.0233
"1986-02-01",0.8585
"1986-02-02",0.49
"1986-02-03",0.5315
"1986-02-04",0.8498
"1986-02-05",0.8604
"1986-02-06",0.6642
"1986-02-07",1.026
"1986-02-08",0.8945
"1986-02-09",1.1996
"1986-02-10",1.2997
"1986-02-11",1.0758
"1986-02-12",0.7493
"1986-02-13",1.1311
"1986-02-14",0.8824
"1986-02-15",0.5439
"1986-02-16",0.6107
"1986-02-17",0.8886
"1986-02-18",0.7856
"1986-02-19",0.6739
"1986-02-20",0.7263
"1986-02-21",1.2264
"1986-02-22",1.3914
"1986-02-23",1.8046
"1986-02-24",2.7901
"1986-02-25",1.6941
"1986-02-26",2.7053
"1986-02-27",2.9445
"1986-02-28",3.0528
"1986-03-01",1.7504
"1986-03-02",2.3605
"1986-03-03",2.4593
"1986-03-04",2.5346
"1986-03-05",2.4873
"1986-03-06",1.763
"1986-03-07",1.0153
"1986-03-08",0.9998
"1986-03-09",0.8602
"1986-03-10",0.8149
