



California (PST) SNOTEL Site Independence Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue Nov 26 21:19:43 GMT-08:00 2024. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,WTEQ.I-2 (in) ,
541,2020-10-01,,     0.0,    32.0,
541,2020-10-02,,     0.0,    34.2,
541,2020-10-03,,     0.0,    34.9,
541,2020-10-04,,     0.0,    35.2,
541,2020-10-05,,     0.0,    35.0,
541,2020-10-06,,     0.0,    35.4,
541,2020-10-07,,     0.0,    34.7,
541,2020-10-08,,     0.0,    35.4,
541,2020-10-09,,     0.0,    34.4,
541,2020-10-10,,     0.0,    33.0,
541,2020-10-11,,     0.0,    29.4,
541,2020-10-12,,     0.0,    26.7,
541,2020-10-13,,     0.0,    29.8,
541,2020-10-14,,     0.0,    31.2,
541,2020-10-15,,     0.0,    30.0,
541,2020-10-16,,     0.0,    30.0,
541,2020-10-17,,     0.0,    31.0,
541,2020-10-18,,     0.0,    32.9,
541,2020-10-19,,     0.0,    31.2,
541,2020-10-20,,     0.0,    31.5,
541,2020-10-21,,     0.0,    31.7,
541,2020-10-22,,     0.0,    31.4,
541,2020-10-23,,     0.0,    29.6,
541,2020-10-24,,     0.0,    28.5,
541,2020-10-25,,     0.0,    30.2,
541,2020-10-26,,     0.0,    26.4,
541,2020-10-27,,     0.0,    27.2,
541,2020-10-28,,     0.0,    29.7,
541,2020-10-29,,     0.0,    31.2,
541,2020-10-30,,     0.0,    32.7,
541,2020-10-31,,     0.0,    33.2,
541,2020-11-01,,     0.0,    32.0,
541,2020-11-02,,     0.0,    32.2,
541,2020-11-03,,     0.0,    31.5,
541,2020-11-04,,     0.0,    31.0,
541,2020-11-05,,     0.0,    31.0,
541,2020-11-06,,     0.0,    30.4,
541,2020-11-07,,     0.1,    29.1,
541,2020-11-08,,     0.3,    39.2,
541,2020-11-09,,     0.3,    51.8,
