"DateTime","(mm) Grass Reference ET (gridMET) at -120.2390E,39.4316N, 2017-10-01 to 2021-12-31"
"2017-10-01",3.1
"2017-10-02",2.5
"2017-10-03",2.3
"2017-10-04",2.4
"2017-10-05",2.5
"2017-10-06",3.5
"2017-10-07",4
"2017-10-08",3
"2017-10-09",3.6
"2017-10-10",3
"2017-10-11",2.6
"2017-10-12",2.2
"2017-10-13",2.6
"2017-10-14",2.8
"2017-10-15",3.2
"2017-10-16",3.5
"2017-10-17",3.2
"2017-10-18",2.8
"2017-10-19",2.7
"2017-10-20",1.2
"2017-10-21",1.5
"2017-10-22",2.4
"2017-10-23",2.9
"2017-10-24",3.3
"2017-10-25",2.6
"2017-10-26",3.2
"2017-10-27",3.2
"2017-10-28",3.4
"2017-10-29",2.4
"2017-10-30",2.2
"2017-10-31",1.9
"2017-11-01",2.5
"2017-11-02",1.9
"2017-11-03",1
"2017-11-04",0.8
"2017-11-05",1.3
"2017-11-06",1.1
"2017-11-07",1.9
"2017-11-08",1.5
"2017-11-09",1.2
"2017-11-10",1.1
"2017-11-11",1.3
"2017-11-12",1.4
"2017-11-13",1.4
"2017-11-14",1.3
"2017-11-15",1
"2017-11-16",0.4
"2017-11-17",0.9
"2017-11-18",1.7
"2017-11-19",1.6
"2017-11-20",0.8
"2017-11-21",1.3
"2017-11-22",2
"2017-11-23",1.7
"2017-11-24",1.5
"2017-11-25",2.6
"2017-11-26",1.8
"2017-11-27",0.7
"2017-11-28",1.2
"2017-11-29",1
"2017-11-30",1.3
"2017-12-01",1.3
"2017-12-02",1.7
"2017-12-03",0.7
"2017-12-04",0.9
"2017-12-05",1.3
"2017-12-06",1.5
"2017-12-07",1.9
"2017-12-08",2
"2017-12-09",2
"2017-12-10",2.4
"2017-12-11",2.1
"2017-12-12",2.2
"2017-12-13",1.5
"2017-12-14",2
"2017-12-15",2
"2017-12-16",1.1
"2017-12-17",1.4
"2017-12-18",1.4
"2017-12-19",2
"2017-12-20",0.9
"2017-12-21",0.8
"2017-12-22",1.4
"2017-12-23",1.7
"2017-12-24",1.6
"2017-12-25",1.1
"2017-12-26",1.7
"2017-12-27",1.6
"2017-12-28",2.1
"2017-12-29",2.4
"2017-12-30",2
"2017-12-31",0.9
"2018-01-01",1.5
"2018-01-02",1.7
"2018-01-03",1.6
"2018-01-04",1
"2018-01-05",1.1
"2018-01-06",0.7
"2018-01-07",1.4
"2018-01-08",1
"2018-01-09",0.9
"2018-01-10",1
"2018-01-11",1.2
"2018-01-12",1.5
"2018-01-13",2
"2018-01-14",1.8
"2018-01-15",1.9
"2018-01-16",1.2
"2018-01-17",1.4
"2018-01-18",1.5
"2018-01-19",1
"2018-01-20",0.8
"2018-01-21",1
"2018-01-22",0.9
"2018-01-23",1.4
"2018-01-24",2
"2018-01-25",0.9
"2018-01-26",0.8
"2018-01-27",1
"2018-01-28",1.9
"2018-01-29",2
"2018-01-30",2.3
"2018-01-31",1.9
"2018-02-01",1.6
"2018-02-02",1.7
"2018-02-03",1.8
"2018-02-04",1.6
"2018-02-05",2.1
"2018-02-06",2
"2018-02-07",2.5
"2018-02-08",2.2
"2018-02-09",2.7
"2018-02-10",2.4
"2018-02-11",2.4
"2018-02-12",0.9
"2018-02-13",1.4
"2018-02-14",1.7
"2018-02-15",1.6
"2018-02-16",1.7
"2018-02-17",2.2
"2018-02-18",1.4
"2018-02-19",0.8
"2018-02-20",1
"2018-02-21",1.2
"2018-02-22",0.9
"2018-02-23",1
"2018-02-24",0.9
"2018-02-25",1.6
"2018-02-26",0.8
"2018-02-27",1.1
"2018-02-28",1.2
"2018-03-01",0.9
"2018-03-02",0.6
"2018-03-03",1
"2018-03-04",1.3
"2018-03-05",1.7
"2018-03-06",2.4
"2018-03-07",2.2
"2018-03-08",2.1
"2018-03-09",2.3
"2018-03-10",1.7
"2018-03-11",2
"2018-03-12",2.5
"2018-03-13",1.5
"2018-03-14",1.3
"2018-03-15",0.9
"2018-03-16",1.1
"2018-03-17",1.2
"2018-03-18",1.6
"2018-03-19",2.1
"2018-03-20",1.6
"2018-03-21",1.7
"2018-03-22",0.8
"2018-03-23",2
"2018-03-24",1.4
"2018-03-25",1.6
"2018-03-26",1.9
"2018-03-27",2.6
"2018-03-28",3
"2018-03-29",3.1
"2018-03-30",3.1
"2018-03-31",3.6
"2018-04-01",3.5
"2018-04-02",3
"2018-04-03",3.6
"2018-04-04",2.6
"2018-04-05",3
"2018-04-06",1.3
"2018-04-07",2
"2018-04-08",3.3
"2018-04-09",4.4
"2018-04-10",3.9
"2018-04-11",2.8
"2018-04-12",2
"2018-04-13",2.9
"2018-04-14",3.7
"2018-04-15",2.9
"2018-04-16",2
"2018-04-17",2.5
"2018-04-18",2.5
"2018-04-19",2.6
"2018-04-20",3.7
"2018-04-21",3.9
"2018-04-22",4.4
"2018-04-23",4.5
"2018-04-24",4.8
"2018-04-25",4.9
"2018-04-26",5.4
"2018-04-27",4
"2018-04-28",3.2
"2018-04-29",2.3
"2018-04-30",2.8
"2018-05-01",3.4
"2018-05-02",3.7
"2018-05-03",4.3
"2018-05-04",4.6
"2018-05-05",4.2
"2018-05-06",4.8
"2018-05-07",4.5
"2018-05-08",5
"2018-05-09",4.5
"2018-05-10",4.6
"2018-05-11",3.8
"2018-05-12",3.1
"2018-05-13",4
"2018-05-14",4
"2018-05-15",3.6
"2018-05-16",2.4
"2018-05-17",3.6
"2018-05-18",4
"2018-05-19",4.2
"2018-05-20",4.2
"2018-05-21",3.8
"2018-05-22",3.9
"2018-05-23",3.6
"2018-05-24",3.9
"2018-05-25",2.3
"2018-05-26",2.2
"2018-05-27",4.2
"2018-05-28",4.9
"2018-05-29",5.2
"2018-05-30",5.1
"2018-05-31",4.4
"2018-06-01",4.8
"2018-06-02",5.9
"2018-06-03",6
"2018-06-04",5.8
"2018-06-05",5.3
"2018-06-06",5.5
"2018-06-07",5.3
"2018-06-08",5.3
"2018-06-09",3.8
"2018-06-10",4.6
"2018-06-11",5.4
"2018-06-12",6.2
"2018-06-13",6.2
"2018-06-14",5.7
"2018-06-15",5.7
"2018-06-16",4.9
"2018-06-17",3.3
"2018-06-18",4.5
"2018-06-19",4.9
"2018-06-20",6
"2018-06-21",6
"2018-06-22",6.1
