," PDSI (gridMET Drought) at -120.2609E,39.4333N, 1980-11-01 to 2025-11-01"," PDSI (gridMET Drought) at -120.2415E,39.4318N, 1980-11-01 to 2025-11-01"
"1980-11-05",0.86,0.86
"1980-11-10",0.78,0.78
"1980-11-15",0.68,0.68
"1980-11-20",0.57,0.57
"1980-11-25",-0.11,-0.11
"1980-11-30",-0.98,-0.98
"1980-12-05",-0.99,-0.99
"1980-12-10",-1.04,-1.04
"1980-12-15",-1.1,-1.1
"1980-12-20",-1.16,-1.16
"1980-12-25",-1.21,-1.21
"1980-12-30",-1.25,-1.25
"1981-01-05",-1.32,-1.32
"1981-01-10",-1.39,-1.39
"1981-01-15",-1.45,-1.45
"1981-01-20",-1.5,-1.5
"1981-01-25",-1.55,-1.55
"1981-01-30",-1.54,-1.54
"1981-02-04",-1.54,-1.54
"1981-02-09",-1.52,-1.52
"1981-02-14",-1.49,-1.49
"1981-02-19",-1.47,-1.47
"1981-02-24",-1.45,-1.45
"1981-03-01",-1.48,-1.48
"1981-03-06",-1.54,-1.54
"1981-03-11",-1.6,-1.6
"1981-03-16",-1.68,-1.68
"1981-03-21",-1.72,-1.72
"1981-03-26",-1.71,-1.71
"1981-03-31",-1.69,-1.69
"1981-04-05",-1.64,-1.64
"1981-04-10",-1.58,-1.58
"1981-04-15",-1.52,-1.52
"1981-04-20",-1.48,-1.48
"1981-04-25",-1.51,-1.51
"1981-04-30",-1.55,-1.55
"1981-05-05",-1.6,-1.6
"1981-05-10",-1.64,-1.64
"1981-05-15",-1.64,-1.64
"1981-05-20",-1.62,-1.62
"1981-05-25",-1.57,-1.57
"1981-05-30",-1.53,-1.53
"1981-06-04",-1.48,-1.48
"1981-06-09",-1.43,-1.43
"1981-06-14",-1.36,-1.36
"1981-06-19",-1.32,-1.32
"1981-06-24",-1.33,-1.33
"1981-06-29",-1.35,-1.35
"1981-07-04",-1.37,-1.37
"1981-07-09",-1.36,-1.36
"1981-07-14",-1.33,-1.33
"1981-07-19",-1.34,-1.34
"1981-07-24",-1.38,-1.38
"1981-07-29",-1.41,-1.41
"1981-08-03",-1.43,-1.43
"1981-08-08",-1.47,-1.47
"1981-08-13",-1.5,-1.5
"1981-08-18",-1.54,-1.54
"1981-08-23",-1.57,-1.57
"1981-08-28",-1.6,-1.6
