well_id,initial_dataset,m_to_mainChannel,m_to_nearChannel,m_HAND,elev
EEF-1,1,236.13,59.82,,1942.706913
EER-1,1,23.10,23.10,,1932.419089
EET-1,1,110.53,83.96,,1938.272643
EET-2,,,,,1934.249246
EFF-XA1N,,,,,1928.46654
EFF-XA2N,1,16.85,16.85,,1928.075515
EFF-XB7S,,,,,1941.351944
EFF-XB8S,,,,,1945.071572
EFR-XB1S,,,,,1932.39232
EFR-XB2N,,,,,1932.642745
EFR-XB2S,,,,,
EFR-XB3N,,,,,1932.799429
EFR-XB3S,,,,,1932.18852
EHF-XA3S,1,24.20,24.20,,1930.664849
EHR-1,1,5.25,5.25,,1933.12673
EHR-XB1N,,,,,1932.004143
EHT-XA5S,1,82.78,82.78,,1933.390367
EHT-XB4S,,,,,1933.014185
EHT-XB5S,,,,,1935.649046
EHT-XC6S,,,,,1940.998075
EWF-XA2S,1,15.85,15.85,,1929.065618
EWR-1,1,8.69,40.4,,1931.740478
EWR-XB4N,,,,,1932.937735
EWT-1,1,106.13,52.86,,1934.389444
KEF-1,,,,,1972.774384
KER-1,1,6.16,6.16,,1978.102356
KER-XD5N,,,,,1976.617185
KER-XE3S,,,,,1981.922625
KET-1,,,,,1985.19972
KFF-XD5S,,,,,1978.025051
KFF-XD6S,,,,,1978.742138
KFF-XE8S,,,,,1990.202406
KFR-XE1S,1,1.00,1.00,,1981.6826
KFR-XE2S,1,13.40,6.87,,1982.028595
KFT-XD8S,,,,,1989.640713
KHF-1,,,,,1972.741766
KHF-XD4S,,,,,1977.33931
KHF-XE7S,,,,,1988.008166
KHR-1,,,,,1976.441191
KHR-XD1N,,,,,1976.264068
KHR-XD1S,,,,,1976.254737
KHR-XD2N,,,,,1976.288888
KHR-XE2N,,,,,1981.801697
KHT-XD3S,,,,,
KHT-XA6S,,,,,1934.126941
KHT-XD6N,,,,,1977.161449
KHT-XE4S,1,32.62,20.5,,1982.493684
KHT-XE5S,1,97.04,12.63,,1984.484357
KHT-XE6S,1,177.58,42.54,,1985.781846
KRH-XD1S,,,,,
KWF-1,1,71.67,3.26,,1973.10197
KWR-1,1,5.64,5.64,,1969.476847
KWR-XE1N,1,2.50,2.50,,1981.72556
KWT-1,,,,,1989.333941
LET-1,,,,,1889.808848
LHT-1,,,,,1889.809817
LWT-1,,,,,1890.091957
