"","well_id","timestamp","water_binary","ground_to_water"
"164","EEF-1",2018-06-01,1,-5.24741666666666
"163","EEF-1",2018-06-18,1,-1.64908333333333
"165","EEF-1",2018-06-30,1,-5.03575
"254","EEF-1",2018-07-16,1,-17.712
"258","EEF-1",2018-07-25,1,-25.1453333333333
"368","EEF-1",2018-08-10,1,-7.68366666666667
"326","EEF-1",2018-08-24,1,-2.417
"331","EEF-1",2018-09-16,1,-2.917
"313","EEF-1",2018-09-29,1,-1.217
"359","EEF-1",2018-11-18,1,-0.616999999999996
"43","EEF-1",2019-06-18,1,-1.65033333333333
"489","EEF-1",2019-07-06,1,-18.5090833333333
"127","EEF-1",2019-07-26,1,-49.057
"24","EEF-1",2019-08-05,1,-55.8003333333333
"536","EEF-1",2019-08-20,1,-39.4736666666667
"585","EEF-1",2019-09-03,1,-20.007
"527","EEF-1",2019-09-21,1,-1.707
"505","EEF-1",2019-10-05,1,-3.24033333333333
"516","EEF-1",2019-10-20,1,-5.007
"167","EER-1",2018-05-31,1,-17.8634366666667
"194","EER-1",2018-06-18,1,-29.9284366666667
"200","EER-1",2018-06-30,1,-38.92427
"263","EER-1",2018-07-16,1,-43.9896866666667
"242","EER-1",2018-07-25,1,-43.12302
"348","EER-1",2018-08-10,1,-43.2946866666667
"321","EER-1",2018-08-24,1,-41.82802
"350","EER-1",2018-09-16,1,-36.62802
"352","EER-1",2018-09-29,1,-33.1613533333333
"416","EER-1",2018-11-18,1,-25.72802
"49","EER-1",2019-06-02,1,-2.76135333333333
"454","EER-1",2019-06-18,1,-14.6201033333333
"494","EER-1",2019-07-06,1,-33.6284366666667
"161","EER-1",2019-07-26,1,-38.1013533333333
"26","EER-1",2019-08-05,1,-38.8446866666667
"586","EER-1",2019-08-20,1,-39.41802
"559","EER-1",2019-09-03,1,-39.2513533333333
"546","EER-1",2019-09-21,1,-25.0846866666667
"538","EER-1",2019-10-05,1,-23.91802
"575","EER-1",2019-10-20,1,-22.41802
"203","EET-1",2018-06-01,1,-9.36822916666666
"202","EET-1",2018-06-18,1,-48.7382291666667
"192","EET-1",2018-06-30,1,-86.4148958333333
"268","EET-1",2018-07-16,1,-90.1386458333333
"281","EET-1",2018-07-25,0,-88.6803125
"395","EET-1",2018-08-10,1,-89.5436458333333
"345","EET-1",2018-08-24,0,-88.6803125
"85","EET-1",2018-09-16,0,-88.6803125
"102","EET-1",2018-09-29,0,-88.6803125
"399","EET-1",2018-11-18,1,-72.1103125
"65","EET-1",2019-06-02,1,1.8896875
"317","EET-1",2019-06-18,1,-28.0769791666667
"154","EET-1",2019-07-26,1,-87.6503125
"2","EET-1",2019-08-05,1,-87.2603125
"508","EET-1",2019-08-20,0,-88.6803125
"122","EET-1",2019-09-21,0,-88.6803125
"595","EET-1",2019-10-20,1,-84.0336458333333
"208","EFF-XA2N",2018-05-31,1,-8.95325
"184","EFF-XA2N",2018-06-18,1,-16.25575
"197","EFF-XA2N",2018-06-30,1,-24.82825
"302","EFF-XA2N",2018-07-16,1,-31.2303333333333
"303","EFF-XA2N",2018-07-25,1,-31.497
"320","EFF-XA2N",2018-08-10,1,-36.3686666666667
"339","EFF-XA2N",2018-08-24,1,-32.6686666666667
"312","EFF-XA2N",2018-09-16,1,-30.602
"426","EFF-XA2N",2018-09-29,1,-23.102
"337","EFF-XA2N",2018-11-18,1,-8.03533333333333
"451","EFF-XA2N",2019-06-18,1,-5.22741666666667
"460","EFF-XA2N",2019-07-06,1,-17.56075
"157","EFF-XA2N",2019-07-26,1,-25.6753333333333
"14","EFF-XA2N",2019-08-05,1,-28.5853333333333
"530","EFF-XA2N",2019-08-20,1,-28.9586666666667
"511","EFF-XA2N",2019-09-03,1,-28.992
"608","EFF-XA2N",2019-09-21,1,-14.4586666666667
"568","EFF-XA2N",2019-10-05,1,-82.9586666666667
"569","EFF-XA2N",2019-10-20,1,-8.12533333333334
"479","EFF-XB7S",2019-07-06,1,-4.97541666666667
"151","EFF-XB7S",2019-07-26,1,-3.59
"23","EFF-XB7S",2019-08-05,1,-5.5
"606","EFF-XB7S",2019-08-20,1,-5.60666666666667
"604","EFF-XB7S",2019-09-03,1,-5.10666666666667
"590","EFF-XB7S",2019-09-21,1,-3.27333333333333
"525","EFF-XB7S",2019-10-05,1,-3.44
"517","EFF-XB7S",2019-10-20,1,-3.44
"214","EFR-XB1S",2018-06-01,1,-34.9060833333333
"175","EFR-XB1S",2018-06-18,1,-40.6210833333333
"216","EFR-XB1S",2018-06-30,1,-43.9019166666667
"245","EFR-XB1S",2018-07-16,1,-47.1323333333333
"251","EFR-XB1S",2018-07-25,1,-45.6323333333333
"325","EFR-XB1S",2018-08-10,1,-46.2373333333333
"423","EFR-XB1S",2018-08-24,1,-46.104
"420","EFR-XB1S",2018-09-16,1,-47.2373333333333
"360","EFR-XB1S",2018-09-29,1,-47.004
"327","EFR-XB1S",2018-11-18,1,-45.5373333333333
"487","EFR-XB1S",2019-07-06,1,-35.7294166666667
"144","EFR-XB1S",2019-07-26,1,-41.044
"500","EFR-XB1S",2019-10-20,1,-45.594
"274","EFR-XB2N",2018-07-16,1,-27.345
"253","EFR-XB2N",2018-07-25,1,-26.745
"469","EFR-XB2N",2019-07-06,1,-17.40875
"145","EFR-XB2N",2019-07-26,1,-24.6566666666667
"528","EFR-XB2N",2019-10-20,1,-15.94
"296","EFR-XB2S",2018-07-16,0,-19.39
"118","EFR-XB2S",2019-07-06,0,-19.39
"82","EFR-XB2S",2019-07-26,0,-19.39
"503","EFR-XB2S",2019-08-20,0,-19.39
"96","EFR-XB2S",2019-10-20,0,-19.39
"260","EFR-XB3N",2018-07-16,1,-39.395
"305","EFR-XB3N",2018-07-25,1,-38.2616666666667
"480","EFR-XB3N",2019-07-06,1,-28.75875
"135","EFR-XB3N",2019-07-26,1,-33.1733333333333
"570","EFR-XB3N",2019-09-03,1,-34.19
"501","EFR-XB3N",2019-10-20,1,-21.5566666666667
"244","EFR-XB3S",2018-07-16,0,-65.025
"466","EFR-XB3S",2019-07-06,1,-51.15875
"129","EFR-XB3S",2019-07-26,1,-55.3233333333333
"519","EFR-XB3S",2019-10-20,1,-50.34
"233","EHF-XA3S",2018-06-01,1,-3.84285256333334
"239","EHF-XA3S",2018-06-18,1,-5.32451923
"181","EHF-XA3S",2018-06-30,1,-21.4111858966667
"289","EHF-XA3S",2018-07-16,1,-53.3724358966667
"307","EHF-XA3S",2018-07-25,1,-79.1724358966667
"437","EHF-XA3S",2018-08-10,0,-67.1441025633333
"435","EHF-XA3S",2018-08-24,0,-67.1441025633333
"41","EHF-XA3S",2018-09-16,0,-67.1441025633333
"110","EHF-XA3S",2018-09-29,0,-67.1441025633333
"365","EHF-XA3S",2018-11-18,1,-16.3774358966667
"77","EHF-XA3S",2019-06-02,1,0.0892307700000003
"396","EHF-XA3S",2019-06-18,1,-4.74410256333333
"445","EHF-XA3S",2019-06-18,1,-3.80285256333334
"474","EHF-XA3S",2019-07-06,1,-6.90285256333333
"147","EHF-XA3S",2019-07-26,1,-40.0841025633333
"18","EHF-XA3S",2019-08-05,1,-63.36076923
"532","EHF-XA3S",2019-08-20,0,-67.1441025633333
"548","EHF-XA3S",2019-09-21,1,-22.4674358966667
"589","EHF-XA3S",2019-10-05,1,-18.5341025633333
"522","EHF-XA3S",2019-10-20,1,-13.40076923
"183","EHR-1",2018-05-31,1,-29.9101236257143
"219","EHR-1",2018-06-18,1,-44.7267902923809
"210","EHR-1",2018-06-30,1,-59.5434569590476
"255","EHR-1",2018-07-16,1,-67.8997069590476
"285","EHR-1",2018-07-25,1,-67.5663736257143
"311","EHR-1",2018-08-10,1,-70.0047069590476
"342","EHR-1",2018-08-24,1,-66.6380402923809
"318","EHR-1",2018-09-16,1,-58.5713736257143
"372","EHR-1",2018-09-29,1,-57.9713736257143
"386","EHR-1",2018-11-18,1,-41.9047069590476
"58","EHR-1",2019-06-02,1,-4.33804029238095
"440","EHR-1",2019-06-18,1,-9.16345695904761
"477","EHR-1",2019-07-06,1,-36.7634569590476
"125","EHR-1",2019-07-26,1,-54.0780402923809
"1","EHR-1",2019-08-05,1,-60.6547069590476
"607","EHR-1",2019-08-20,1,-62.7947069590476
"628","EHR-1",2019-09-03,1,-62.6613736257143
"526","EHR-1",2019-09-21,1,-50.328040292381
"609","EHR-1",2019-10-05,1,-41.8947069590476
"529","EHR-1",2019-10-20,1,-39.9280402923809
"241","EHR-XB1N",2018-07-16,1,-67.445
"309","EHR-XB1N",2018-07-25,1,-65.8783333333333
"464","EHR-XB1N",2019-07-06,1,-51.50875
"133","EHR-XB1N",2019-07-26,1,-59.49
"565","EHR-XB1N",2019-10-20,1,-46.8733333333333
"220","EHT-XA5S",2018-06-01,1,0.694628787333338
"204","EHT-XA5S",2018-06-18,1,-36.1353712126667
"213","EHT-XA5S",2018-06-30,1,-67.673704546
"267","EHT-XA5S",2018-07-16,1,-106.690787879333
"284","EHT-XA5S",2018-07-25,0,-106.940232312667
"427","EHT-XA5S",2018-08-10,0,-106.940232312667
"375","EHT-XA5S",2018-08-24,0,-106.940232312667
"333","EHT-XA5S",2018-09-16,NA,NA
"86","EHT-XA5S",2018-09-29,0,-106.940232312667
"315","EHT-XA5S",2018-11-18,1,-22.962454546
"51","EHT-XA5S",2019-06-02,1,5.17087878733334
"324","EHT-XA5S",2019-06-18,1,-1.22912121266667
"486","EHT-XA5S",2019-07-06,1,-55.421204546
"132","EHT-XA5S",2019-07-26,1,-91.4691212126667
"562","EHT-XA5S",2019-09-03,0,-106.940232312667
"114","EHT-XA5S",2019-09-21,0,-106.940232312667
"115","EHT-XA5S",2019-10-05,0,-106.940232312667
"554","EHT-XA5S",2019-10-20,1,-42.852454546
"247","EHT-XB4S",2018-07-16,1,-40.795
"490","EHT-XB4S",2019-07-06,1,-26.5920833333333
"117","EHT-XB4S",2019-07-26,0,-44.2
"515","EHT-XB4S",2019-08-20,0,-44.2
"629","EHT-XB4S",2019-10-20,1,-24.79
"186","EHT-XB5S",2018-06-01,1,-17.3401666666667
"196","EHT-XB5S",2018-06-18,1,-62.531
"187","EHT-XB5S",2018-06-30,1,-88.0368333333333
"295","EHT-XB5S",2018-07-16,1,-109.02975
"294","EHT-XB5S",2018-07-25,1,-123.92975
"380","EHT-XB5S",2018-08-10,0,-128.32475
"422","EHT-XB5S",2018-08-24,0,-128.32475
"79","EHT-XB5S",2018-09-16,0,-128.32475
"78","EHT-XB5S",2018-09-29,0,-128.32475
"387","EHT-XB5S",2018-11-18,1,-42.1014166666667
"46","EHT-XB5S",2019-06-02,1,NA
"221","EHT-XC6S",2018-06-01,0,-118.11
"198","EHT-XC6S",2018-06-18,0,-118.11
"226","EWF-XA2S",2018-06-01,1,-10.62925
"209","EWF-XA2S",2018-06-18,1,-20.15425
"228","EWF-XA2S",2018-06-30,1,-40.2625833333333
"301","EWF-XA2S",2018-07-16,1,-53.3971666666667
"269","EWF-XA2S",2018-07-25,0,-52.7855
"353","EWF-XA2S",2018-08-10,0,-52.7855
"419","EWF-XA2S",2018-08-24,0,-52.7855
"74","EWF-XA2S",2018-09-16,0,-52.7855
"95","EWF-XA2S",2018-09-29,0,-52.7855
"330","EWF-XA2S",2018-11-18,1,-32.5688333333333
"34","EWF-XA2S",2019-06-02,NA,NA
"328","EWF-XA2S",2019-06-18,1,-17.5355
"471","EWF-XA2S",2019-07-06,1,-21.6275833333333
"160","EWF-XA2S",2019-07-26,1,-46.7755
"13","EWF-XA2S",2019-08-05,0,-52.7855
"90","EWF-XA2S",2019-09-21,0,-52.7855
"545","EWF-XA2S",2019-10-05,1,-44.2921666666667
"507","EWF-XA2S",2019-10-21,1,-34.4255
"177","EWR-1",2018-06-01,1,-5.42644999999999
"178","EWR-1",2018-06-18,1,-11.2472833333333
"207","EWR-1",2018-06-30,1,-18.76145
"262","EWR-1",2018-07-16,1,-21.0035333333333
"248","EWR-1",2018-07-25,1,-22.5035333333333
"346","EWR-1",2018-08-10,1,-25.0085333333333
"397","EWR-1",2018-08-24,1,-23.6752
"374","EWR-1",2018-09-16,1,-22.6085333333333
"334","EWR-1",2018-09-29,1,-20.1752
"344","EWR-1",2018-11-18,1,-15.6085333333333
"68","EWR-1",2019-06-02,1,17.5914666666667
"76","EWR-1",2019-06-18,1,10.6581333333333
"476","EWR-1",2019-07-06,1,1.46605
"139","EWR-1",2019-07-26,1,-17.7152
"4","EWR-1",2019-08-05,1,-19.8918666666667
"513","EWR-1",2019-08-20,1,-21.5652
"550","EWR-1",2019-09-03,1,-21.4652
"593","EWR-1",2019-09-21,1,-18.2318666666667
"594","EWR-1",2019-10-05,1,-16.1985333333333
"540","EWR-1",2019-10-20,1,-13.5652
"298","EWR-XB4N",2018-07-16,1,-37.6283333333333
"265","EWR-XB4N",2018-07-25,1,-38.095
"473","EWR-XB4N",2019-07-06,1,-27.0920833333333
"143","EWR-XB4N",2019-07-26,1,-36.8066666666667
"551","EWR-XB4N",2019-09-03,1,-36.19
"619","EWR-XB4N",2019-10-20,1,-25.59
"231","EWT-1",2018-06-01,1,-35.9995833333333
"206","EWT-1",2018-06-18,1,-75.07325
"168","EWT-1",2018-06-30,1,-91.58325
"283","EWT-1",2018-07-16,1,-95.4553333333333
"282","EWT-1",2018-07-25,1,-95.622
"393","EWT-1",2018-08-10,1,-95.0936666666667
"366","EWT-1",2018-08-24,0,-93.387
