well_id,timestamp,ground_to_water_cm
EEF-2,2025-05-29 08:22:00,41.93
EEF-2,2025-07-11 18:32:00,140.89
EEF-2,2025-09-21 08:47:00,141.9
EEF-2,2025-10-20 14:37:00,
EEF-2,2025-10-31 15:27:00,72.41
EER-1,2025-05-29 08:40:00,22.515
EER-1,2025-07-11 17:44:00,50.865
EER-1,2025-09-21 13:12:00,27.085
EER-1,2025-10-20 15:41:00,20.485
EER-1,2025-10-31 16:22:00,19.165
EET-1,2025-05-29 08:09:00,38.3875
EET-1,2025-07-11 17:56:00,
EET-1,2025-09-21 09:36:00,
EET-1,2025-10-20 15:12:00,
EET-1,2025-10-31 15:52:00,82.8875
EHF-XA5S,2025-05-29 08:26:00,37.6012
EHF-XA5S,2025-07-11 18:22:00,
EHF-XA5S,2025-09-21 08:49:00,
EHF-XA5S,2025-10-20 14:50:00,63.9212
EHF-XA5S,2025-10-31 15:31:00,29.5812
EHR-1,2025-05-29 08:48:00,28.485
EHR-1,2025-07-11 18:47:00,68.415
EHR-1,2025-09-21 13:09:00,55.005
EHR-1,2025-10-20 15:49:00,38.445
EHR-1,2025-10-31 16:13:00,35.495
EHR-XB2N,2025-07-11 17:42:00,36.45
EHR-XB2N,2025-10-20 15:54:00,21.21
EHT-XC5S,2025-05-29 08:06:00,54.345
EHT-XC5S,2025-07-11 18:02:00,104.935
EHT-XC5S,2025-09-21 09:25:00,98.535
EHT-XC5S,2025-10-20 15:20:00,85.435
EHT-XC5S,2025-10-31 15:47:00,80.255
EWF-1,2025-05-29 08:17:00,79.18
EWF-1,2025-07-11 18:18:00,127.84
EWF-1,2025-09-21 08:53:00,75.21
EWF-1,2025-10-20 14:37:00,60.28
EWF-1,2025-10-31 15:09:00,56.01
EWR-1,2025-05-29 08:35:00,6.735
EWR-1,2025-07-11 17:45:00,23.805
EWR-1,2025-09-21 13:16:00,21.065
EWR-1,2025-10-20 15:36:00,11.815
EWR-1,2025-10-31 16:31:00,9.175
EWT-2,2025-07-11 17:51:00,117.73
EWT-2,2025-09-21 09:46:00,
EWT-2,2025-10-20 15:08:00,81.05
EWT-2,2025-10-31 16:00:00,68.76
KEF-1,2025-05-29 17:12:00,9.27
KEF-1,2025-06-24 16:51:00,13.03
KEF-1,2025-07-14 12:31:00,20.25
KEF-1,2025-09-20 16:05:00,17.3
KEF-1,2025-10-19 16:08:00,12.93
KER-1,2025-05-29 18:06:00,9.925
KER-1,2025-06-24 16:24:00,32.585
KER-1,2025-07-14 13:37:00,
KER-1,2025-09-20 14:51:00,73.635
KER-1,2025-10-19 17:33:00,
KER-1,2025-11-01 14:09:00,
KER-2,2025-06-24 17:00:00,44.875
KER-2,2025-07-14 11:30:00,52.395
KER-2,2025-09-20 16:36:00,55.945
KER-2,2025-10-19 15:17:00,48.025
KER-XD5N,2025-05-29 16:43:00,4.37
KER-XD5N,2025-06-24 16:20:00,25.6
KER-XD5N,2025-07-14 13:42:00,57.51
KET-1,2025-05-29 17:00:00,-5.9
KET-1,2025-06-24 16:34:00,16.75
KET-1,2025-07-14 13:16:00,26.0
KET-1,2025-09-20 15:17:00,26.41
KET-1,2025-10-19 17:06:00,24.48
KHF-1,2025-05-29 17:14:00,14.62
KHF-1,2025-06-24 16:52:00,41.44
KHF-1,2025-07-14 12:14:00,60.03
KHF-1,2025-09-20 16:09:00,53.94
KHF-1,2025-10-19 15:53:00,20.1
KHR-1,2025-05-29 16:45:00,18.945
KHR-1,2025-06-24 16:21:00,36.015
KHR-1,2025-07-14 13:40:00,63.135
KHR-1,2025-09-20 14:39:00,94.125
KHR-1,2025-10-19 17:38:00,93.315
KHT-XD6N,2025-05-29 16:41:00,50.2
KHT-XD6N,2025-06-24 16:17:00,98.36
KHT-XD6N,2025-07-14 13:44:00,134.93
KHT-XE5S,2025-05-29 16:57:00,2.9075
KHT-XE5S,2025-06-24 16:30:00,38.2675
KHT-XE5S,2025-07-14 13:19:00,59.6075
KHT-XE5S,2025-09-20 15:02:00,50.1575
KHT-XE5S,2025-10-19 17:10:00,37.8575
KHT-XE6S,2025-05-29 18:06:00,0.0
KHT-XE6S,2025-06-24 16:32:00,16.7175
KHT-XE6S,2025-07-14 13:17:00,43.2275
KWF-2,2025-06-24 16:36:00,59.97
KWF-2,2025-07-14 13:12:00,96.96
KWF-2,2025-09-20 15:32:00,139.22
KWF-2,2025-10-19 16:46:00,
KWR-1,2025-05-29 17:19:00,0.885
KWR-1,2025-06-24 16:57:00,27.605
KWR-1,2025-07-14 11:51:00,34.105
KWR-1,2025-09-20 16:20:00,36.245
KWR-1,2025-10-19 15:38:00,34.615
KWT-2,2025-06-24 16:41:00,43.29
KWT-2,2025-07-14 13:05:00,48.27
KWT-2,2025-09-20 15:41:00,50.51
KWT-2,2025-10-19 16:34:00,43.9
