well_id,timestamp,welltop_to_water_cm,water_level_1_cm,water_level_2_cm,water_binary,logger?,soil moisture,notes
EHR-1,44336.31806,100.2792,100.2792,100.2792,1,FALSE,,
EER-1,44336.31944,107.188,106.9848,107.2896,1,FALSE,,
EWR-1,44336.32083,107.5944,107.5944,107.5944,1,FALSE,,
EFF-XA1N,44336.32778,136.652,136.5504,136.5504,1,FALSE,,
EFF-XA2N,44336.32639,54.6608,54.5592,54.5592,1,FALSE,,
EHT-XC5S,44336.35208,91.44,91.44,91.44,1,TRUE,"moist, not saturated",
EWF-XA2S,44336.32986,129.54,129.54,129.54,1,FALSE,,
EHF-XA3S,44336.33125,81.1784,81.0768,81.0768,1,FALSE,moist to saturated,
EET-2,44336.33472,106.3752,106.3752,106.3752,1,FALSE,moist to saturated,
EFT-XB6S,44336.34375,42.0624,42.0624,42.0624,1,FALSE,"moist, not saturated",bear poop nearby; pines within 2.5 meters of well
EWT-1,44336.33681,135.2296,135.0264,135.3312,1,FALSE,"moist, not saturated",no flow in small channel to west of well
EHT-XB5S,44336.34167,61.5696,61.5696,61.5696,1,FALSE,"moist, not saturated",
EFF-XB7S,44336.34375,39.0144,39.0144,39.0144,1,FALSE,"saturated and soggy, 1-2 mm of standing water",
EEF-1,44336.34722,72.5424,72.5424,72.5424,1,FALSE,moist to saturated,
EET-1,44336.34861,104.8512,104.8512,104.8512,1,FALSE,moist to saturated,
EHT-XC6S,44336.34931,,,,0,FALSE,,no water
EET-XB4S,44336.35764,120.0912,120.0912,120.0912,1,FALSE,moist to saturated,
EFR-XB3S,44336.35903,125.5776,125.5776,125.5776,1,TRUE,moist to saturated,
EFR-XB2S,44336.36042,135.9408,135.9408,135.9408,1,FALSE,moist to saturated,
EHR-XB1N,44336.36319,130.7592,130.7592,130.7592,1,TRUE,moist,
EFR-XB2N,44336.36458,52.4256,52.4256,52.4256,1,TRUE,moist to saturated,
EFR-XB3N,44336.36528,73.4568,73.4568,73.4568,1,TRUE,moist to saturated,
EWR-XB4N,44336.36667,69.4944,69.4944,69.4944,1,TRUE,"moist, not saturated",
LHT-1,44336.28681,84.4296,84.4296,84.4296,1,FALSE,,frost on ground and grass
LET-1,44336.2875,67.6656,67.6656,67.6656,1,FALSE,,
LWT-1,44336.28958,85.6488,85.6488,85.6488,1,FALSE,,
EFR-XB1S,44336.36181,136.2456,136.2456,136.2456,1,FALSE,moist,
KHT-XD6N,44353.26944,131.9784,131.9784,131.9784,1,FALSE,,
KER-1,44353.27222,100.076,99.9744,99.9744,1,FALSE,,
KWR-XE1N,44353.27708,135.8392,135.636,135.9408,1,FALSE,,
KFR-XE1S,44353.27847,124.968,124.968,124.968,1,FALSE,,
KFR-XE2S,44353.27917,63.8048,64.008,63.7032,1,FALSE,,
KER-XE3S,44353.28125,-5.58800001,-5.08000001,-5.08000001,1,FALSE,,
KHT-XE4S,44353.28056,105.9688,106.0704,106.0704,1,FALSE,,
KHT-XE5S,44353.28264,112.0648,112.1664,112.1664,1,TRUE,,
KHT-XE6S,44353.28611,81.3816,81.3816,81.3816,1,FALSE,,
KET-1,44353.28472,53.6448,53.6448,53.6448,1,FALSE,,
KFF-XE8S,44353.28819,44.196,44.196,44.196,1,FALSE,,"well sheared at ground, needs replacement; reading from ground not top of well"
KWT-1,44353.29028,106.3752,106.3752,106.3752,1,FALSE,,
KFF-XD6S,44353.29444,83.82,83.82,83.82,1,TRUE,,
KHT-XD3S,44353.29653,131.6736,131.6736,131.6736,1,TRUE,,
KHF-XD4S,44353.29583,137.16,137.16,137.16,1,TRUE,,
KHR-XD1S,44353.29722,125.1712,125.2728,125.2728,1,,,
KEF-1,44353.30208,53.1368,53.0352,53.0352,1,TRUE,,
KHF-1,44353.30347,115.5192,115.2144,115.5192,1,TRUE,,
KWF-1,44353.30486,80.4672,80.4672,80.4672,1,FALSE,,
KWR-1,44353.30625,,,,0,FALSE,,cap stuck shut
KER-XD5N,44353.32083,56.0832,56.388,56.388,1,TRUE,,
KHR-1,44353.32014,87.6808,87.7824,87.7824,1,FALSE,,
KHR-XD1N,44353.31806,129.032,128.016,128.016,1,FALSE,,
KHF-XE7S,44353.28681,80.772,80.772,80.772,1,FALSE,,needs a black cap
EHR-1,44353.33264,109.728,109.728,109.728,1,FALSE,,
EER-1,44353.33403,116.2304,116.1288,116.1288,1,FALSE,,
EWR-1,44353.33472,113.0808,113.0808,113.0808,1,FALSE,,
EFF-XA1N,44353.34028,147.828,147.828,147.828,1,FALSE,,
EFF-XA2N,44353.33958,64.008,64.008,64.008,1,FALSE,,
EWF-XA2S,44353.34236,105.2576,105.156,105.156,1,FALSE,,
EHF-XA3S,44353.34167,145.4912,145.0848,145.6944,1,FALSE,,
EHT-XA5S,44353.34375,117.4496,117.348,117.348,1,TRUE,,
EET-2,44353.34444,129.3368,129.2352,129.2352,1,FALSE,,
EFT-XB6S,44353.35208,59.5376,59.436,59.436,1,FALSE,,
EWT-1,44353.34583,149.1488,149.0472,149.0472,1,TRUE,,
EHT-XB5S,44353.35,83.6168,83.5152,83.5152,1,TRUE,,
EFF-XB7S,44353.35417,62.484,62.484,62.484,1,FALSE,saturated,
EEF-1,44353.35486,97.536,94.488,97.536,1,FALSE,saturated,
EET-1,44353.35694,109.6264,109.4232,109.728,1,FALSE,,
EET-XB4S,44353.35972,129.4384,129.54,129.54,1,FALSE,,
EFR-XB3S,44353.36042,137.16,137.16,137.16,1,TRUE,,
EFR-XB2S,44353.36181,142.0368,142.0368,142.0368,1,FALSE,,
EHR-XB1N,44353.36319,141.3256,141.1224,141.4272,1,TRUE,,
EFR-XB2N,44353.36389,58.1152,58.2168,58.2168,1,TRUE,,
EFR-XB3N,44353.36458,81.788,81.6864,81.6864,1,TRUE,,
EWR-XB4N,44353.36528,78.0288,77.724,78.0288,1,FALSE,,
LHT-1,44353.38819,98.1456,98.1456,98.1456,1,FALSE,,mud
LET-1,44353.38889,79.9592,79.8576,79.8576,1,FALSE,,
LWT-1,44353.39097,95.504,95.4024,95.4024,1,FALSE,,
EFR-XB1S,44353.3625,138.5824,137.16,139.2936,1,FALSE,,
KHT-XD6N,44367.30139,115.316,115.2144,115.2144,1,FALSE,,
KER-XD5N,44367.3,76.8096,76.8096,76.8096,1,TRUE,,
KHR-1,44367.29931,142.748,142.6464,142.6464,1,FALSE,,
KHR-XD1N,44367.29931,126.2888,126.1872,126.1872,1,FALSE,,
KER-1,44367.29653,147.32,147.2184,147.2184,1,FALSE,,near bottom
KWR-XE1N,44367.29167,139.192,138.9888,139.2936,1,FALSE,,
KFR-XE1S,44367.29028,127.1016,126.7968,127.1016,1,FALSE,,
KFR-XE2S,44367.28958,63.7032,63.3984,63.7032,1,FALSE,,
KER-XE3S,44367.28958,-6.633333333,-6,-6.5,1,FALSE,,
KHT-XE4S,44367.28681,131.064,131.064,131.064,1,FALSE,,
KHT-XE5S,44367.28611,144.5768,144.4752,144.4752,1,FALSE,,
KET-1,44367.28333,53.0352,53.0352,53.0352,1,FALSE,,
KHT-XE6S,44367.28472,121.7168,121.6152,121.6152,1,FALSE,,
KFF-XE8S,44367.28125,121.92,121.92,121.92,1,FALSE,,
KWT-1,44367.27847,83.82,83.82,83.82,1,FALSE,,ground to top = 6.8 cm
KFF-XD6S,44367.27431,134.5184,134.4168,134.4168,1,FALSE,,
KHT-XD3S,44367.27153,,,,0,FALSE,,no water
KHF-XD4S,44367.27222,153.924,153.924,153.924,1,FALSE,,
KHR-XD1S,44367.27083,125.8824,125.8824,125.8824,1,FALSE,,
KEF-1,44367.26597,54.356,54.2544,54.2544,1,FALSE,,
KHF-1,44367.26458,135.3312,135.3312,135.3312,1,FALSE,,
KWF-1,44367.2625,85.344,85.344,85.344,1,FALSE,,
KWR-1,44367.53889,103.632,103.632,103.632,1,FALSE,,"ground to top = 75.7, 71.2, 70.4 cm"
KHF-XE7S,44367.28264,83.82,83.82,83.82,1,FALSE,,
EHR-1,44367.32153,115.0112,114.9096,114.9096,1,FALSE,,
EER-1,44367.32292,118.9736,118.872,118.872,1,FALSE,,
EWR-1,44367.32361,115.1128,115.2144,115.2144,1,FALSE,,
EFF-XA1N,44367.32917,148.336,148.1328,148.4376,1,FALSE,,
EFF-XA2N,44367.32847,101.3968,101.1936,101.4984,1,FALSE,,
EHT-XC5S,44367.34931,121.92,121.92,121.92,1,FALSE,,past instrumentation at forest edge
EWF-XA2S,44367.33125,153.416,153.3144,153.3144,1,FALSE,,near bottom
EHF-XA3S,44367.33194,152.4,152.4,152.4,1,FALSE,,mud at bottom
EHT-XA5S,44367.33403,143.1544,142.9512,143.256,1,TRUE,,
EET-2,44367.33472,148.7424,148.7424,148.7424,1,FALSE,,near bottom
EFT-XB6S,44367.34167,96.9264,96.9264,96.9264,1,FALSE,,
EWT-1,44367.33681,150.876,150.876,150.876,1,TRUE,,mud at bottom
EHT-XB5S,44367.34028,115.4176,115.5192,115.5192,1,FALSE,,
EFF-XB7S,44367.34306,75.0824,74.9808,74.9808,1,FALSE,"saturated, no standing water",
EEF-1,44367.34514,128.4224,128.3208,128.3208,1,FALSE,moist not saturated,
EET-1,44367.34722,143.3576,143.256,143.256,1,FALSE,moist to dry,
EFR-XB3S,44367.35347,151.0792,151.1808,151.1808,1,TRUE,,
EFR-XB2S,44367.35417,,,,0,FALSE,,no water
EHR-XB1N,44367.35625,145.6944,145.6944,145.6944,1,TRUE,,
EFR-XB2N,44367.35694,62.992,60.96,64.008,1,TRUE,,
EFR-XB3N,44367.35833,85.1408,85.0392,85.0392,1,TRUE,,
