meter_id,well_id,timestamp,welltop_to_water_cm,water_binary,welltop_to_ground_cm,total_well_length_cm,ground_elevation_m,welltop_elevation_m,offset_date,offset_cm,std_dev_cm,ground_to_water_cm
v1,EEF-1,6/1/18 7:45,61.17166667,1,59.383,154.3333333,NA,NA,6/1/18,3.45875,NA,-5.247416667
v1,EEF-1,6/18/18 8:32,57.57333333,1,59.383,154.3333333,NA,NA,6/1/18,3.45875,NA,-1.649083333
v1,EEF-1,6/30/18 8:55,60.96,1,59.383,154.3333333,NA,NA,6/1/18,3.45875,NA,-5.03575
v2,EEF-1,7/16/18 8:40,72.5,1,59.383,154.3333333,NA,NA,7/15/18,4.595,0.211448638,-17.712
v2,EEF-1,7/25/18 8:16,79.93333333,1,59.383,154.3333333,NA,NA,7/15/18,4.595,0.211448638,-25.14533333
v3,EEF-1,8/10/18 7:20,63.46666667,1,59.383,154.3333333,NA,NA,8/24/18,3.6,0.322748612,-7.683666667
v3,EEF-1,8/24/18 8:39,58.2,1,59.383,154.3333333,NA,NA,8/24/18,3.6,0.322748612,-2.417
v3,EEF-1,9/16/18 7:57,58.7,1,59.383,154.3333333,NA,NA,8/24/18,3.6,0.322748612,-2.917
v3,EEF-1,9/29/18 8:39,57,1,59.383,154.3333333,NA,NA,8/24/18,3.6,0.322748612,-1.217
v3,EEF-1,11/18/18 13:16,56.4,1,59.383,154.3333333,NA,NA,8/24/18,3.6,0.322748612,-0.617
nw,EEF-1,6/2/19 19:00,NA,0,59.383,154.3333333,NA,NA,10/13/20,0,NA,-94.95033333
nm,EEF-1,6/18/19 8:55,61.03333333,1,59.383,154.3333333,NA,NA,10/8/20,0,NA,-1.650333333
v5,EEF-1,7/6/19 9:01,74.43333333,1,59.383,154.3333333,NA,NA,7/6/19,3.45875,NA,-18.50908333
v.070919,EEF-1,7/26/19 7:47,105.4,1,59.383,154.3333333,NA,NA,10/17/20,3.04,0.466535285,-49.057
bamboo speaker wire,EEF-1,8/5/19 7:14,112.5333333,1,59.383,154.3333333,NA,NA,9/2/19,2.65,0.744983221,-55.80033333
v6,EEF-1,8/20/19 9:12,95.86666667,1,59.383,154.3333333,NA,NA,9/2/19,2.99,0.555443284,-39.47366667
v6,EEF-1,9/3/19 8:54,76.4,1,59.383,154.3333333,NA,NA,9/2/19,2.99,0.555443284,-20.007
v6,EEF-1,9/21/19 9:34,58.1,1,59.383,154.3333333,NA,NA,9/2/19,2.99,0.555443284,-1.707
v6,EEF-1,10/5/19 7:12,59.63333333,1,59.383,154.3333333,NA,NA,9/2/19,2.99,0.555443284,-3.240333333
v6,EEF-1,10/20/19 14:51,61.4,1,59.383,154.3333333,NA,NA,9/2/19,2.99,0.555443284,-5.007
v1,EER-1,5/31/18 8:40,92.71,1,78.30531333,154.7,NA,NA,6/1/18,3.45875,NA,-17.86343667
