well_id,timestamp,welltop_to_water_cm,water_level_1_cm,water_level_2_cm,water_binary,logger?,soil moisture,notes,ground_to_water_cm,date
EHR-1,5/20/21 7:38,-100.2792,100.2792,100.2792,1,FALSE,,,-44.6792,5/20/21
EER-1,5/20/21 7:40,-107.188,106.9848,107.2896,1,FALSE,,,-28.688,5/20/21
EWR-1,5/20/21 7:42,-107.5944,107.5944,107.5944,1,FALSE,,,-16.2944,5/20/21
EFF-XA1N,5/20/21 7:52,-136.652,136.5504,136.5504,1,FALSE,,,,5/20/21
EFF-XA2N,5/20/21 7:50,-54.6608,54.5592,54.5592,1,FALSE,,,,5/20/21
EHT-XC5S,5/20/21 8:27,-91.44,91.44,91.44,1,TRUE,"moist, not saturated",,,5/20/21
EWF-XA2S,5/20/21 7:55,-129.54,129.54,129.54,1,FALSE,,,,5/20/21
EHF-XA3S,5/20/21 7:57,-81.1784,81.0768,81.0768,1,FALSE,moist to saturated,,,5/20/21
EET-2,5/20/21 8:02,-106.3752,106.3752,106.3752,1,FALSE,moist to saturated,,,5/20/21
EFT-XB6S,5/20/21 8:15,-42.0624,42.0624,42.0624,1,FALSE,"moist, not saturated",bear poop nearby; pines within 2.5 meters of well,,5/20/21
EWT-1,5/20/21 8:05,-135.2296,135.0264,135.3312,1,FALSE,"moist, not saturated",no flow in small channel to west of well,,5/20/21
EHT-XB5S,5/20/21 8:12,-61.5696,61.5696,61.5696,1,FALSE,"moist, not saturated",,-39.3696,5/20/21
EFF-XB7S,5/20/21 8:15,-39.0144,39.0144,39.0144,1,FALSE,"saturated and soggy, 1-2 mm of standing water",,10.9856,5/20/21
EEF-1,5/20/21 8:20,-72.5424,72.5424,72.5424,1,FALSE,moist to saturated,,,5/20/21
EET-1,5/20/21 8:22,-104.8512,104.8512,104.8512,1,FALSE,moist to saturated,,-45.8512,5/20/21
EHT-XC6S,5/20/21 8:23,,,,0,FALSE,,no water,,5/20/21
EET-XB4S,5/20/21 8:35,-120.0912,120.0912,120.0912,1,FALSE,moist to saturated,,,5/20/21
EFR-XB3S,5/20/21 8:37,-125.5776,125.5776,125.5776,1,TRUE,moist to saturated,,-38.6776,5/20/21
EFR-XB2S,5/20/21 8:39,-135.9408,135.9408,135.9408,1,FALSE,moist to saturated,,-39.0408,5/20/21
EHR-XB1N,5/20/21 8:43,-130.7592,130.7592,130.7592,1,TRUE,moist,,,5/20/21
EFR-XB2N,5/20/21 8:45,-52.4256,52.4256,52.4256,1,TRUE,moist to saturated,,,5/20/21
