"","well_id","timestamp","water_binary","ground_to_water"
"149","EEF-1",2018-06-01,1,-5.24741666666666
"143","EEF-1",2018-06-18,1,-1.64908333333333
"136","EEF-1",2018-06-30,1,-5.03575
"242","EEF-1",2018-07-16,1,-17.712
"217","EEF-1",2018-07-25,1,-25.1453333333333
"289","EEF-1",2018-08-10,1,-7.68366666666667
"347","EEF-1",2018-08-24,1,-2.417
"339","EEF-1",2018-09-16,1,-2.917
"316","EEF-1",2018-09-29,1,-1.217
"315","EEF-1",2018-11-18,1,-0.616999999999996
"34","EEF-1",2019-06-18,1,-1.65033333333333
"456","EEF-1",2019-07-06,1,-18.5090833333333
"105","EEF-1",2019-07-26,1,-46.017
"20","EEF-1",2019-08-05,1,-55.8003333333333
"511","EEF-1",2019-08-20,1,-39.4736666666667
"486","EEF-1",2019-09-03,1,-20.007
"521","EEF-1",2019-09-21,1,-1.707
"472","EEF-1",2019-10-05,1,-3.24033333333333
"557","EEF-1",2019-10-20,1,-5.007
"148","EER-1",2018-05-31,1,-17.8634366666667
"159","EER-1",2018-06-18,1,-29.9284366666667
"160","EER-1",2018-06-30,1,-38.92427
"255","EER-1",2018-07-16,1,-43.9896866666667
"268","EER-1",2018-07-25,1,-43.12302
"381","EER-1",2018-08-10,1,-43.2946866666667
"309","EER-1",2018-08-24,1,-41.82802
"294","EER-1",2018-09-16,1,-36.62802
"351","EER-1",2018-09-29,1,-33.1613533333333
"330","EER-1",2018-11-18,1,-25.72802
"27","EER-1",2019-06-02,1,-2.76135333333333
"420","EER-1",2019-06-18,1,-14.6201033333333
"467","EER-1",2019-07-06,1,-33.6284366666667
"122","EER-1",2019-07-26,1,-35.0613533333333
"2","EER-1",2019-08-05,1,-38.8446866666667
"575","EER-1",2019-08-20,1,-39.41802
"560","EER-1",2019-09-03,1,-39.2513533333333
"527","EER-1",2019-09-21,1,-25.0846866666667
"519","EER-1",2019-10-05,1,-23.91802
"479","EER-1",2019-10-20,1,-22.41802
"172","EET-1",2018-06-01,1,-9.36822916666666
"140","EET-1",2018-06-18,1,-48.7382291666667
"175","EET-1",2018-06-30,1,-86.4148958333333
"231","EET-1",2018-07-16,1,-90.1386458333333
"235","EET-1",2018-07-25,0,-88.6803125
"382","EET-1",2018-08-10,1,-89.5436458333333
"331","EET-1",2018-08-24,0,-88.6803125
"86","EET-1",2018-09-16,0,-88.6803125
"92","EET-1",2018-09-29,0,-88.6803125
"344","EET-1",2018-11-18,1,-72.1103125
"41","EET-1",2019-06-02,1,1.8896875
"366","EET-1",2019-06-18,1,-28.0769791666667
"134","EET-1",2019-07-26,1,-84.6103125
"8","EET-1",2019-08-05,1,-87.2603125
"483","EET-1",2019-08-20,0,-88.6803125
