Serial_number:
2092377
Project ID:
ISEECI
Location:
5
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/24/2018,02:30:00 pm,0,9.1224,10.673
8/24/2018,02:40:00 pm,0,9.1205,10.601
8/24/2018,02:50:00 pm,0,9.1181,10.554
8/24/2018,03:00:00 pm,0,9.1170,10.523
8/24/2018,03:10:00 pm,0,9.1160,10.501
8/24/2018,03:20:00 pm,0,9.1158,10.485
8/24/2018,03:30:00 pm,0,9.1153,10.472
8/24/2018,03:40:00 pm,0,9.1145,10.464
8/24/2018,03:50:00 pm,0,9.1140,10.455
8/24/2018,04:00:00 pm,0,9.1141,10.450
8/24/2018,04:10:00 pm,0,9.1131,10.445
8/24/2018,04:20:00 pm,0,9.1133,10.441
8/24/2018,04:30:00 pm,0,9.1135,10.437
8/24/2018,04:40:00 pm,0,9.1134,10.434
8/24/2018,04:50:00 pm,0,9.1135,10.431
8/24/2018,05:00:00 pm,0,9.1134,10.428
8/24/2018,05:10:00 pm,0,9.1128,10.426
8/24/2018,05:20:00 pm,0,9.1131,10.424
8/24/2018,05:30:00 pm,0,9.1133,10.422
8/24/2018,05:40:00 pm,0,9.1129,10.420
8/24/2018,05:50:00 pm,0,9.1134,10.418
8/24/2018,06:00:00 pm,0,9.1137,10.417
8/24/2018,06:10:00 pm,0,9.1139,10.415
8/24/2018,06:20:00 pm,0,9.1146,10.414
8/24/2018,06:30:00 pm,0,9.1153,10.412
8/24/2018,06:40:00 pm,0,9.1164,10.411
8/24/2018,06:50:00 pm,0,9.1175,10.410
8/24/2018,07:00:00 pm,0,9.1185,10.409
8/24/2018,07:10:00 pm,0,9.1197,10.408
8/24/2018,07:20:00 pm,0,9.1212,10.407
8/24/2018,07:30:00 pm,0,9.1221,10.406
8/24/2018,07:40:00 pm,0,9.1241,10.404
8/24/2018,07:50:00 pm,0,9.1255,10.404
8/24/2018,08:00:00 pm,0,9.1265,10.403
8/24/2018,08:10:00 pm,0,9.1279,10.402
8/24/2018,08:20:00 pm,0,9.1288,10.401
8/24/2018,08:30:00 pm,0,9.1305,10.400
8/24/2018,08:40:00 pm,0,9.1323,10.400
8/24/2018,08:50:00 pm,0,9.1351,10.399
8/24/2018,09:00:00 pm,0,9.1365,10.398
8/24/2018,09:10:00 pm,0,9.1387,10.397
8/24/2018,09:20:00 pm,0,9.1395,10.396
8/24/2018,09:30:00 pm,0,9.1414,10.396
8/24/2018,09:40:00 pm,0,9.1417,10.395
8/24/2018,09:50:00 pm,0,9.1425,10.394
8/24/2018,10:00:00 pm,0,9.1435,10.394
8/24/2018,10:10:00 pm,0,9.1444,10.393
8/24/2018,10:20:00 pm,0,9.1449,10.393
8/24/2018,10:30:00 pm,0,9.1465,10.391
8/24/2018,10:40:00 pm,0,9.1464,10.391
8/24/2018,10:50:00 pm,0,9.1466,10.391
8/24/2018,11:00:00 pm,0,9.1467,10.390
8/24/2018,11:10:00 pm,0,9.1474,10.389
8/24/2018,11:20:00 pm,0,9.1482,10.389
8/24/2018,11:30:00 pm,0,9.1491,10.388
8/24/2018,11:40:00 pm,0,9.1493,10.388
8/24/2018,11:50:00 pm,0,9.1496,10.387
8/25/2018,12:00:00 am,0,9.1494,10.386
8/25/2018,12:10:00 am,0,9.1495,10.385
8/25/2018,12:20:00 am,0,9.1503,10.385
8/25/2018,12:30:00 am,0,9.1509,10.384
8/25/2018,12:40:00 am,0,9.1519,10.384
8/25/2018,12:50:00 am,0,9.1522,10.383
8/25/2018,01:00:00 am,0,9.1532,10.383
