Serial_number:
2092351
Project ID:
ISEECI
Location:
1
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/25/2018,12:30:00 pm,0,8.1161,11.622
7/25/2018,12:40:00 pm,0,8.1158,11.105
7/25/2018,12:50:00 pm,0,8.1195,10.813
7/25/2018,01:00:00 pm,0,8.1249,10.642
7/25/2018,01:10:00 pm,0,8.1317,10.540
7/25/2018,01:20:00 pm,0,8.1389,10.477
7/25/2018,01:30:00 pm,0,8.1460,10.437
7/25/2018,01:40:00 pm,0,8.1526,10.411
7/25/2018,01:50:00 pm,0,8.1593,10.392
7/25/2018,02:00:00 pm,0,8.1653,10.379
7/25/2018,02:10:00 pm,0,8.1708,10.369
7/25/2018,02:20:00 pm,0,8.1763,10.361
7/25/2018,02:30:00 pm,0,8.1809,10.355
7/25/2018,02:40:00 pm,0,8.1851,10.350
7/25/2018,02:50:00 pm,0,8.1889,10.346
7/25/2018,03:00:00 pm,0,8.1928,10.342
7/25/2018,03:10:00 pm,0,8.1960,10.339
7/25/2018,03:20:00 pm,0,8.2005,10.337
7/25/2018,03:30:00 pm,0,8.2039,10.334
7/25/2018,03:40:00 pm,0,8.2075,10.332
7/25/2018,03:50:00 pm,0,8.2104,10.329
7/25/2018,04:00:00 pm,0,8.2134,10.328
7/25/2018,04:10:00 pm,0,8.2163,10.326
7/25/2018,04:20:00 pm,0,8.2188,10.324
7/25/2018,04:30:00 pm,0,8.2209,10.322
7/25/2018,04:40:00 pm,0,8.2230,10.321
7/25/2018,04:50:00 pm,0,8.2245,10.321
7/25/2018,05:00:00 pm,0,8.2262,10.320
7/25/2018,05:10:00 pm,0,8.2280,10.318
7/25/2018,05:20:00 pm,0,8.2294,10.317
7/25/2018,05:30:00 pm,0,8.2310,10.316
7/25/2018,05:40:00 pm,0,8.2322,10.315
7/25/2018,05:50:00 pm,0,8.2336,10.315
7/25/2018,06:00:00 pm,0,8.2344,10.313
7/25/2018,06:10:00 pm,0,8.2357,10.313
7/25/2018,06:20:00 pm,0,8.2367,10.313
7/25/2018,06:30:00 pm,0,8.2374,10.312
7/25/2018,06:40:00 pm,0,8.2385,10.311
7/25/2018,06:50:00 pm,0,8.2393,10.310
7/25/2018,07:00:00 pm,0,8.2404,10.309
7/25/2018,07:10:00 pm,0,8.2423,10.306
7/25/2018,07:20:00 pm,0,8.2451,10.304
7/25/2018,07:30:00 pm,0,8.2467,10.303
7/25/2018,07:40:00 pm,0,8.2481,10.302
7/25/2018,07:50:00 pm,0,8.2492,10.302
7/25/2018,08:00:00 pm,0,8.2505,10.301
7/25/2018,08:10:00 pm,0,8.2515,10.300
7/25/2018,08:20:00 pm,0,8.2524,10.299
7/25/2018,08:30:00 pm,0,8.2535,10.299
7/25/2018,08:40:00 pm,0,8.2544,10.298
7/25/2018,08:50:00 pm,0,8.2555,10.298
7/25/2018,09:00:00 pm,0,8.2564,10.297
7/25/2018,09:10:00 pm,0,8.2576,10.296
7/25/2018,09:20:00 pm,0,8.2583,10.296
7/25/2018,09:30:00 pm,0,8.2592,10.296
7/25/2018,09:40:00 pm,0,8.2605,10.296
7/25/2018,09:50:00 pm,0,8.2611,10.295
7/25/2018,10:00:00 pm,0,8.2623,10.295
7/25/2018,10:10:00 pm,0,8.2630,10.294
7/25/2018,10:20:00 pm,0,8.2638,10.294
7/25/2018,10:30:00 pm,0,8.2649,10.294
7/25/2018,10:40:00 pm,0,8.2652,10.294
7/25/2018,10:50:00 pm,0,8.2660,10.293
7/25/2018,11:00:00 pm,0,8.2661,10.294
7/25/2018,11:10:00 pm,0,8.2668,10.293
7/25/2018,11:20:00 pm,0,8.2671,10.293
7/25/2018,11:30:00 pm,0,8.2673,10.293
7/25/2018,11:40:00 pm,0,8.2681,10.292
7/25/2018,11:50:00 pm,0,8.2684,10.293
7/26/2018,12:00:00 am,0,8.2686,10.292
7/26/2018,12:10:00 am,0,8.2692,10.292
7/26/2018,12:20:00 am,0,8.2689,10.292
7/26/2018,12:30:00 am,0,8.2689,10.292
7/26/2018,12:40:00 am,0,8.2694,10.292
7/26/2018,12:50:00 am,0,8.2691,10.292
7/26/2018,01:00:00 am,0,8.2695,10.292
7/26/2018,01:10:00 am,0,8.2695,10.292
7/26/2018,01:20:00 am,0,8.2695,10.292
7/26/2018,01:30:00 am,0,8.2694,10.292
7/26/2018,01:40:00 am,0,8.2695,10.292
7/26/2018,01:50:00 am,0,8.2695,10.292
7/26/2018,02:00:00 am,0,8.2691,10.292
7/26/2018,02:10:00 am,0,8.2690,10.292
7/26/2018,02:20:00 am,0,8.2693,10.292
7/26/2018,02:30:00 am,0,8.2687,10.292
7/26/2018,02:40:00 am,0,8.2687,10.292
7/26/2018,02:50:00 am,0,8.2683,10.292
7/26/2018,03:00:00 am,0,8.2681,10.293
7/26/2018,03:10:00 am,0,8.2678,10.293
7/26/2018,03:20:00 am,0,8.2676,10.292
7/26/2018,03:30:00 am,0,8.2673,10.293
7/26/2018,03:40:00 am,0,8.2670,10.293
7/26/2018,03:50:00 am,0,8.2663,10.293
7/26/2018,04:00:00 am,0,8.2661,10.293
7/26/2018,04:10:00 am,0,8.2658,10.294
7/26/2018,04:20:00 am,0,8.2657,10.293
7/26/2018,04:30:00 am,0,8.2652,10.293
7/26/2018,04:40:00 am,0,8.2646,10.294
7/26/2018,04:50:00 am,0,8.2643,10.294
7/26/2018,05:00:00 am,0,8.2641,10.294
7/26/2018,05:10:00 am,0,8.2638,10.294
7/26/2018,05:20:00 am,0,8.2635,10.294
7/26/2018,05:30:00 am,0,8.2630,10.295
7/26/2018,05:40:00 am,0,8.2630,10.295
7/26/2018,05:50:00 am,0,8.2627,10.295
7/26/2018,06:00:00 am,0,8.2629,10.295
7/26/2018,06:10:00 am,0,8.2627,10.295
7/26/2018,06:20:00 am,0,8.2625,10.295
7/26/2018,06:30:00 am,0,8.2626,10.296
7/26/2018,06:40:00 am,0,8.2626,10.296
7/26/2018,06:50:00 am,0,8.2622,10.296
7/26/2018,07:00:00 am,0,8.2620,10.296
7/26/2018,07:10:00 am,0,8.2618,10.297
7/26/2018,07:20:00 am,0,8.2620,10.297
7/26/2018,07:30:00 am,0,8.2614,10.298
7/26/2018,07:40:00 am,0,8.2612,10.298
7/26/2018,07:50:00 am,0,8.2609,10.299
7/26/2018,08:00:00 am,0,8.2604,10.299
7/26/2018,08:10:00 am,0,8.2599,10.300
7/26/2018,08:20:00 am,0,8.2596,10.301
7/26/2018,08:30:00 am,0,8.2592,10.301
7/26/2018,08:40:00 am,0,8.2587,10.302
7/26/2018,08:50:00 am,0,8.2587,10.302
7/26/2018,09:00:00 am,0,8.2578,10.303
7/26/2018,09:10:00 am,0,8.2571,10.304
7/26/2018,09:20:00 am,0,8.2566,10.304
7/26/2018,09:30:00 am,0,8.2563,10.305
7/26/2018,09:40:00 am,0,8.2554,10.305
7/26/2018,09:50:00 am,0,8.2549,10.306
7/26/2018,10:00:00 am,0,8.2543,10.307
7/26/2018,10:10:00 am,0,8.2535,10.308
7/26/2018,10:20:00 am,0,8.2526,10.309
7/26/2018,10:30:00 am,0,8.2518,10.309
7/26/2018,10:40:00 am,0,8.2510,10.310
7/26/2018,10:50:00 am,0,8.2505,10.310
7/26/2018,11:00:00 am,0,8.2493,10.311
7/26/2018,11:10:00 am,0,8.2490,10.311
7/26/2018,11:20:00 am,0,8.2478,10.312
7/26/2018,11:30:00 am,0,8.2469,10.312
7/26/2018,11:40:00 am,0,8.2462,10.314
7/26/2018,11:50:00 am,0,8.2456,10.313
7/26/2018,12:00:00 pm,0,8.2450,10.314
7/26/2018,12:10:00 pm,0,8.2443,10.315
7/26/2018,12:20:00 pm,0,8.2434,10.315
7/26/2018,12:30:00 pm,0,8.2427,10.316
7/26/2018,12:40:00 pm,0,8.2419,10.317
7/26/2018,12:50:00 pm,0,8.2410,10.317
7/26/2018,01:00:00 pm,0,8.2399,10.317
7/26/2018,01:10:00 pm,0,8.2390,10.318
7/26/2018,01:20:00 pm,0,8.2379,10.319
7/26/2018,01:30:00 pm,0,8.2370,10.319
7/26/2018,01:40:00 pm,0,8.2361,10.320
7/26/2018,01:50:00 pm,0,8.2347,10.321
7/26/2018,02:00:00 pm,0,8.2341,10.321
7/26/2018,02:10:00 pm,0,8.2332,10.322
7/26/2018,02:20:00 pm,0,8.2320,10.322
7/26/2018,02:30:00 pm,0,8.2313,10.322
7/26/2018,02:40:00 pm,0,8.2309,10.322
7/26/2018,02:50:00 pm,0,8.2308,10.322
7/26/2018,03:00:00 pm,0,8.2302,10.322
7/26/2018,03:10:00 pm,0,8.2295,10.322
7/26/2018,03:20:00 pm,0,8.2287,10.322
7/26/2018,03:30:00 pm,0,8.2279,10.323
7/26/2018,03:40:00 pm,0,8.2270,10.324
7/26/2018,03:50:00 pm,0,8.2263,10.323
7/26/2018,04:00:00 pm,0,8.2255,10.324
7/26/2018,04:10:00 pm,0,8.2251,10.323
7/26/2018,04:20:00 pm,0,8.2249,10.324
7/26/2018,04:30:00 pm,0,8.2246,10.324
7/26/2018,04:40:00 pm,0,8.2238,10.324
7/26/2018,04:50:00 pm,0,8.2233,10.324
7/26/2018,05:00:00 pm,0,8.2226,10.324
7/26/2018,05:10:00 pm,0,8.2224,10.324
7/26/2018,05:20:00 pm,0,8.2218,10.324
7/26/2018,05:30:00 pm,0,8.2213,10.324
7/26/2018,05:40:00 pm,0,8.2205,10.324
7/26/2018,05:50:00 pm,0,8.2200,10.324
7/26/2018,06:00:00 pm,0,8.2195,10.324
7/26/2018,06:10:00 pm,0,8.2190,10.324
7/26/2018,06:20:00 pm,0,8.2188,10.325
7/26/2018,06:30:00 pm,0,8.2179,10.325
7/26/2018,06:40:00 pm,0,8.2177,10.325
7/26/2018,06:50:00 pm,0,8.2172,10.325
7/26/2018,07:00:00 pm,0,8.2168,10.325
7/26/2018,07:10:00 pm,0,8.2169,10.325
7/26/2018,07:20:00 pm,0,8.2163,10.325
7/26/2018,07:30:00 pm,0,8.2162,10.324
7/26/2018,07:40:00 pm,0,8.2162,10.324
7/26/2018,07:50:00 pm,0,8.2162,10.324
7/26/2018,08:00:00 pm,0,8.2163,10.324
7/26/2018,08:10:00 pm,0,8.2162,10.324
7/26/2018,08:20:00 pm,0,8.2164,10.324
7/26/2018,08:30:00 pm,0,8.2165,10.323
7/26/2018,08:40:00 pm,0,8.2166,10.323
7/26/2018,08:50:00 pm,0,8.2167,10.323
7/26/2018,09:00:00 pm,0,8.2168,10.323
7/26/2018,09:10:00 pm,0,8.2170,10.323
7/26/2018,09:20:00 pm,0,8.2176,10.323
7/26/2018,09:30:00 pm,0,8.2177,10.323
7/26/2018,09:40:00 pm,0,8.2181,10.323
7/26/2018,09:50:00 pm,0,8.2188,10.324
7/26/2018,10:00:00 pm,0,8.2191,10.323
7/26/2018,10:10:00 pm,0,8.2196,10.323
7/26/2018,10:20:00 pm,0,8.2201,10.323
7/26/2018,10:30:00 pm,0,8.2205,10.323
7/26/2018,10:40:00 pm,0,8.2209,10.323
7/26/2018,10:50:00 pm,0,8.2215,10.323
7/26/2018,11:00:00 pm,0,8.2215,10.323
7/26/2018,11:10:00 pm,0,8.2216,10.323
7/26/2018,11:20:00 pm,0,8.2217,10.324
7/26/2018,11:30:00 pm,0,8.2219,10.324
7/26/2018,11:40:00 pm,0,8.2220,10.324
7/26/2018,11:50:00 pm,0,8.2221,10.324
7/27/2018,12:00:00 am,0,8.2221,10.324
7/27/2018,12:10:00 am,0,8.2220,10.324
7/27/2018,12:20:00 am,0,8.2223,10.324
7/27/2018,12:30:00 am,0,8.2221,10.324
7/27/2018,12:40:00 am,0,8.2222,10.324
7/27/2018,12:50:00 am,0,8.2221,10.325
7/27/2018,01:00:00 am,0,8.2220,10.324
7/27/2018,01:10:00 am,0,8.2221,10.324
7/27/2018,01:20:00 am,0,8.2219,10.324
7/27/2018,01:30:00 am,0,8.2215,10.325
7/27/2018,01:40:00 am,0,8.2216,10.325
7/27/2018,01:50:00 am,0,8.2214,10.325
7/27/2018,02:00:00 am,0,8.2208,10.325
7/27/2018,02:10:00 am,0,8.2210,10.325
7/27/2018,02:20:00 am,0,8.2208,10.325
