Serial_number:
2091639
Project ID:
ISEECI
Location:
4
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/25/2018,12:30:00 pm,0,8.3053,32.916
7/25/2018,12:40:00 pm,0,8.3325,10.775
7/25/2018,12:50:00 pm,0,8.3295,10.077
7/25/2018,01:00:00 pm,0,8.3286,9.687
7/25/2018,01:10:00 pm,0,8.3266,9.435
7/25/2018,01:20:00 pm,0,8.3268,9.266
7/25/2018,01:30:00 pm,0,8.3262,9.150
7/25/2018,01:40:00 pm,0,8.3246,9.070
7/25/2018,01:50:00 pm,0,8.3239,9.015
7/25/2018,02:00:00 pm,0,8.3227,8.975
7/25/2018,02:10:00 pm,0,8.3213,8.946
7/25/2018,02:20:00 pm,0,8.3201,8.924
7/25/2018,02:30:00 pm,0,8.3187,8.908
7/25/2018,02:40:00 pm,0,8.3182,8.895
7/25/2018,02:50:00 pm,0,8.3177,8.884
7/25/2018,03:00:00 pm,0,8.3162,8.876
7/25/2018,03:10:00 pm,0,8.3155,8.869
7/25/2018,03:20:00 pm,0,8.3145,8.862
7/25/2018,03:30:00 pm,0,8.3131,8.856
7/25/2018,03:40:00 pm,0,8.3121,8.852
7/25/2018,03:50:00 pm,0,8.3111,8.849
7/25/2018,04:00:00 pm,0,8.3096,8.845
7/25/2018,04:10:00 pm,0,8.3089,8.844
7/25/2018,04:20:00 pm,0,8.3077,8.842
7/25/2018,04:30:00 pm,0,8.3069,8.839
7/25/2018,04:40:00 pm,0,8.3060,8.838
7/25/2018,04:50:00 pm,0,8.3051,8.837
7/25/2018,05:00:00 pm,0,8.3040,8.836
7/25/2018,05:10:00 pm,0,8.3027,8.835
7/25/2018,05:20:00 pm,0,8.3029,8.833
7/25/2018,05:30:00 pm,0,8.3030,8.831
7/25/2018,05:40:00 pm,0,8.3026,8.829
7/25/2018,05:50:00 pm,0,8.3022,8.828
7/25/2018,06:00:00 pm,0,8.3016,8.827
7/25/2018,06:10:00 pm,0,8.3016,8.826
7/25/2018,06:20:00 pm,0,8.3012,8.825
7/25/2018,06:30:00 pm,0,8.3007,8.824
7/25/2018,06:40:00 pm,0,8.3003,8.823
7/25/2018,06:50:00 pm,0,8.3006,8.822
7/25/2018,07:00:00 pm,0,8.3006,8.822
7/25/2018,07:10:00 pm,0,8.3002,8.821
7/25/2018,07:20:00 pm,0,8.3003,8.820
7/25/2018,07:30:00 pm,0,8.3002,8.820
7/25/2018,07:40:00 pm,0,8.3006,8.819
7/25/2018,07:50:00 pm,0,8.3010,8.818
7/25/2018,08:00:00 pm,0,8.3016,8.818
7/25/2018,08:10:00 pm,0,8.3022,8.817
7/25/2018,08:20:00 pm,0,8.3031,8.817
7/25/2018,08:30:00 pm,0,8.3035,8.816
7/25/2018,08:40:00 pm,0,8.3038,8.815
7/25/2018,08:50:00 pm,0,8.3049,8.815
7/25/2018,09:00:00 pm,0,8.3060,8.815
7/25/2018,09:10:00 pm,0,8.3065,8.814
7/25/2018,09:20:00 pm,0,8.3071,8.814
7/25/2018,09:30:00 pm,0,8.3078,8.813
7/25/2018,09:40:00 pm,0,8.3080,8.814
7/25/2018,09:50:00 pm,0,8.3083,8.813
7/25/2018,10:00:00 pm,0,8.3088,8.813
7/25/2018,10:10:00 pm,0,8.3091,8.813
7/25/2018,10:20:00 pm,0,8.3091,8.813
7/25/2018,10:30:00 pm,0,8.3084,8.812
7/25/2018,10:40:00 pm,0,8.3087,8.812
7/25/2018,10:50:00 pm,0,8.3087,8.811
7/25/2018,11:00:00 pm,0,8.3088,8.811
7/25/2018,11:10:00 pm,0,8.3084,8.811
7/25/2018,11:20:00 pm,0,8.3085,8.810
7/25/2018,11:30:00 pm,0,8.3084,8.810
