Serial_number:,,,,
unknown,,,,
Project ID:,,,,
ISEECI,,,,
Location:,,,,
EET-2,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: ∞C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
7/26/19,11:50:00 AM,0,8.3053,8.913
7/26/19,12:00:00 PM,0,8.286,25.317
7/26/19,12:10:00 PM,0,8.5226,9.755
7/26/19,12:20:00 PM,0,8.5263,9.173
7/26/19,12:30:00 PM,0,8.5324,8.997
7/26/19,12:40:00 PM,0,8.536,8.908
7/26/19,12:50:00 PM,0,8.5377,8.854
7/26/19,1:00:00 PM,0,8.5375,8.82
7/26/19,1:10:00 PM,0,8.5362,8.796
7/26/19,1:20:00 PM,0,8.533,8.779
7/26/19,1:30:00 PM,0,8.5277,8.766
7/26/19,1:40:00 PM,0,8.5248,8.756
7/26/19,1:50:00 PM,0,8.522,8.748
7/26/19,2:00:00 PM,0,8.5194,8.742
7/26/19,2:10:00 PM,0,8.5172,8.737
7/26/19,2:20:00 PM,0,8.5157,8.734
7/26/19,2:30:00 PM,0,8.5142,8.73
7/26/19,2:40:00 PM,0,8.5135,8.727
7/26/19,2:50:00 PM,0,8.5136,8.725
7/26/19,3:00:00 PM,0,8.5157,8.722
7/26/19,3:10:00 PM,0,8.5156,8.72
7/26/19,3:20:00 PM,0,8.5155,8.719
7/26/19,3:30:00 PM,0,8.5142,8.718
7/26/19,3:40:00 PM,0,8.5128,8.717
7/26/19,3:50:00 PM,0,8.5114,8.715
7/26/19,4:00:00 PM,0,8.5098,8.714
7/26/19,4:10:00 PM,0,8.5074,8.714
7/26/19,4:20:00 PM,0,8.5055,8.713
7/26/19,4:30:00 PM,0,8.504,8.713
7/26/19,4:40:00 PM,0,8.5034,8.712
7/26/19,4:50:00 PM,0,8.5024,8.712
7/26/19,5:00:00 PM,0,8.5019,8.711
7/26/19,5:10:00 PM,0,8.5015,8.712
7/26/19,5:20:00 PM,0,8.5012,8.711
7/26/19,5:30:00 PM,0,8.5007,8.711
7/26/19,5:40:00 PM,0,8.5008,8.71
7/26/19,5:50:00 PM,0,8.5023,8.71
7/26/19,6:00:00 PM,0,8.5026,8.71
7/26/19,6:10:00 PM,0,8.502,8.71
7/26/19,6:20:00 PM,0,8.5023,8.71
7/26/19,6:30:00 PM,0,8.5025,8.71
7/26/19,6:40:00 PM,0,8.5034,8.71
7/26/19,6:50:00 PM,0,8.5041,8.71
7/26/19,7:00:00 PM,0,8.5048,8.71
7/26/19,7:10:00 PM,0,8.5056,8.71
7/26/19,7:20:00 PM,0,8.5069,8.71
7/26/19,7:30:00 PM,0,8.5081,8.71
7/26/19,7:40:00 PM,0,8.5087,8.709
7/26/19,7:50:00 PM,0,8.5097,8.709
7/26/19,8:00:00 PM,0,8.5102,8.709
7/26/19,8:10:00 PM,0,8.5103,8.709
7/26/19,8:20:00 PM,0,8.5102,8.709
7/26/19,8:30:00 PM,0,8.5102,8.709
7/26/19,8:40:00 PM,0,8.5098,8.709
7/26/19,8:50:00 PM,0,8.5099,8.709
7/26/19,9:00:00 PM,0,8.5105,8.709
7/26/19,9:10:00 PM,0,8.5115,8.709
7/26/19,9:20:00 PM,0,8.5124,8.709
7/26/19,9:30:00 PM,0,8.5132,8.709
7/26/19,9:40:00 PM,0,8.5137,8.709
7/26/19,9:50:00 PM,0,8.5147,8.709
7/26/19,10:00:00 PM,0,8.5151,8.709
7/26/19,10:10:00 PM,0,8.5154,8.709
7/26/19,10:20:00 PM,0,8.5154,8.709
7/26/19,10:30:00 PM,0,8.5153,8.709
7/26/19,10:40:00 PM,0,8.5149,8.71
7/26/19,10:50:00 PM,0,8.5149,8.709
7/26/19,11:00:00 PM,0,8.5154,8.71
7/26/19,11:10:00 PM,0,8.5158,8.71
7/26/19,11:20:00 PM,0,8.5159,8.71
7/26/19,11:30:00 PM,0,8.5169,8.71
7/26/19,11:40:00 PM,0,8.5169,8.711
7/26/19,11:50:00 PM,0,8.5172,8.711
7/27/19,12:00:00 AM,0,8.5172,8.711
7/27/19,12:10:00 AM,0,8.5176,8.711
7/27/19,12:20:00 AM,0,8.5179,8.711
7/27/19,12:30:00 AM,0,8.5176,8.711
7/27/19,12:40:00 AM,0,8.5172,8.712
7/27/19,12:50:00 AM,0,8.5158,8.712
7/27/19,1:00:00 AM,0,8.5157,8.712
7/27/19,1:10:00 AM,0,8.5149,8.712
7/27/19,1:20:00 AM,0,8.5145,8.713
7/27/19,1:30:00 AM,0,8.5151,8.713
7/27/19,1:40:00 AM,0,8.5151,8.713
7/27/19,1:50:00 AM,0,8.5151,8.713
7/27/19,2:00:00 AM,0,8.5148,8.713
7/27/19,2:10:00 AM,0,8.5145,8.713
7/27/19,2:20:00 AM,0,8.5146,8.714
7/27/19,2:30:00 AM,0,8.5141,8.714
7/27/19,2:40:00 AM,0,8.5137,8.714
7/27/19,2:50:00 AM,0,8.5125,8.715
7/27/19,3:00:00 AM,0,8.5123,8.715
7/27/19,3:10:00 AM,0,8.5118,8.715
7/27/19,3:20:00 AM,0,8.5114,8.715
7/27/19,3:30:00 AM,0,8.5105,8.715
7/27/19,3:40:00 AM,0,8.51,8.716
7/27/19,3:50:00 AM,0,8.5097,8.716
7/27/19,4:00:00 AM,0,8.5095,8.717
7/27/19,4:10:00 AM,0,8.5092,8.716
7/27/19,4:20:00 AM,0,8.5091,8.717
7/27/19,4:30:00 AM,0,8.5086,8.718
7/27/19,4:40:00 AM,0,8.5081,8.717
7/27/19,4:50:00 AM,0,8.5084,8.718
7/27/19,5:00:00 AM,0,8.5085,8.718
7/27/19,5:10:00 AM,0,8.5086,8.718
7/27/19,5:20:00 AM,0,8.5089,8.719
7/27/19,5:30:00 AM,0,8.5099,8.719
7/27/19,5:40:00 AM,0,8.5106,8.719
7/27/19,5:50:00 AM,0,8.5116,8.719
7/27/19,6:00:00 AM,0,8.5123,8.72
7/27/19,6:10:00 AM,0,8.5128,8.72
7/27/19,6:20:00 AM,0,8.5126,8.721
7/27/19,6:30:00 AM,0,8.5126,8.721
7/27/19,6:40:00 AM,0,8.5125,8.721
7/27/19,6:50:00 AM,0,8.513,8.722
7/27/19,7:00:00 AM,0,8.5126,8.722
7/27/19,7:10:00 AM,0,8.513,8.722
7/27/19,7:20:00 AM,0,8.5136,8.723
7/27/19,7:30:00 AM,0,8.5135,8.723
7/27/19,7:40:00 AM,0,8.5138,8.723
7/27/19,7:50:00 AM,0,8.5139,8.723
7/27/19,8:00:00 AM,0,8.514,8.724
7/27/19,8:10:00 AM,0,8.5136,8.724
7/27/19,8:20:00 AM,0,8.5134,8.725
7/27/19,8:30:00 AM,0,8.5134,8.725
7/27/19,8:40:00 AM,0,8.5134,8.725
7/27/19,8:50:00 AM,0,8.5132,8.725
7/27/19,9:00:00 AM,0,8.5131,8.726
7/27/19,9:10:00 AM,0,8.5124,8.727
7/27/19,9:20:00 AM,0,8.5125,8.727
7/27/19,9:30:00 AM,0,8.5122,8.727
7/27/19,9:40:00 AM,0,8.5116,8.728
7/27/19,9:50:00 AM,0,8.5113,8.728
7/27/19,10:00:00 AM,0,8.5111,8.729
7/27/19,10:10:00 AM,0,8.5113,8.729
7/27/19,10:20:00 AM,0,8.5113,8.729
7/27/19,10:30:00 AM,0,8.5114,8.73
7/27/19,10:40:00 AM,0,8.5111,8.73
7/27/19,10:50:00 AM,0,8.5108,8.731
7/27/19,11:00:00 AM,0,8.5103,8.731
7/27/19,11:10:00 AM,0,8.51,8.732
7/27/19,11:20:00 AM,0,8.5097,8.732
7/27/19,11:30:00 AM,0,8.5096,8.732
7/27/19,11:40:00 AM,0,8.5091,8.732
7/27/19,11:50:00 AM,0,8.5089,8.733
7/27/19,12:00:00 PM,0,8.5094,8.733
7/27/19,12:10:00 PM,0,8.5099,8.733
7/27/19,12:20:00 PM,0,8.5102,8.734
7/27/19,12:30:00 PM,0,8.509,8.734
7/27/19,12:40:00 PM,0,8.507,8.735
7/27/19,12:50:00 PM,0,8.5056,8.735
7/27/19,1:00:00 PM,0,8.5051,8.736
7/27/19,1:10:00 PM,0,8.5055,8.736
7/27/19,1:20:00 PM,0,8.5049,8.736
7/27/19,1:30:00 PM,0,8.5037,8.737
7/27/19,1:40:00 PM,0,8.502,8.737
7/27/19,1:50:00 PM,0,8.501,8.738
7/27/19,2:00:00 PM,0,8.5003,8.738
7/27/19,2:10:00 PM,0,8.4997,8.739
7/27/19,2:20:00 PM,0,8.4994,8.739
7/27/19,2:30:00 PM,0,8.4993,8.74
7/27/19,2:40:00 PM,0,8.4996,8.74
7/27/19,2:50:00 PM,0,8.4985,8.74
7/27/19,3:00:00 PM,0,8.4971,8.741
7/27/19,3:10:00 PM,0,8.4969,8.741
7/27/19,3:20:00 PM,0,8.4965,8.742
7/27/19,3:30:00 PM,0,8.4948,8.742
7/27/19,3:40:00 PM,0,8.4931,8.743
7/27/19,3:50:00 PM,0,8.4929,8.743
7/27/19,4:00:00 PM,0,8.4922,8.743
7/27/19,4:10:00 PM,0,8.4922,8.744
7/27/19,4:20:00 PM,0,8.4925,8.744
7/27/19,4:30:00 PM,0,8.4927,8.744
7/27/19,4:40:00 PM,0,8.4928,8.745
7/27/19,4:50:00 PM,0,8.4934,8.745
7/27/19,5:00:00 PM,0,8.4928,8.745
7/27/19,5:10:00 PM,0,8.4922,8.746
7/27/19,5:20:00 PM,0,8.4922,8.746
7/27/19,5:30:00 PM,0,8.4919,8.747
7/27/19,5:40:00 PM,0,8.4905,8.747
7/27/19,5:50:00 PM,0,8.4886,8.747
7/27/19,6:00:00 PM,0,8.4871,8.748
7/27/19,6:10:00 PM,0,8.4863,8.748
7/27/19,6:20:00 PM,0,8.4861,8.748
7/27/19,6:30:00 PM,0,8.4864,8.749
7/27/19,6:40:00 PM,0,8.486,8.749
7/27/19,6:50:00 PM,0,8.4863,8.75
7/27/19,7:00:00 PM,0,8.4864,8.75
7/27/19,7:10:00 PM,0,8.4868,8.751
7/27/19,7:20:00 PM,0,8.4877,8.751
7/27/19,7:30:00 PM,0,8.4887,8.751
7/27/19,7:40:00 PM,0,8.4895,8.752
