Serial_number:
2092350
Project ID:
ISEECI
Location:
6
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/3/2021,12:00:00 pm,0,8.2435,21.282
7/3/2021,12:10:00 pm,0,8.2451,16.283
7/3/2021,12:20:00 pm,0,8.2420,13.862
7/3/2021,12:30:00 pm,0,8.2403,12.502
7/3/2021,12:40:00 pm,0,8.2388,11.690
7/3/2021,12:50:00 pm,0,8.2375,11.194
7/3/2021,01:00:00 pm,0,8.2361,10.885
7/3/2021,01:10:00 pm,0,8.2352,10.691
7/3/2021,01:20:00 pm,0,8.2342,10.568
7/3/2021,01:30:00 pm,0,8.2352,10.488
7/3/2021,01:40:00 pm,0,8.2358,10.435
7/3/2021,01:50:00 pm,0,8.2361,10.399
7/3/2021,02:00:00 pm,0,8.2354,10.373
7/3/2021,02:10:00 pm,0,8.2348,10.355
7/3/2021,02:20:00 pm,0,8.2338,10.341
7/3/2021,02:30:00 pm,0,8.2339,10.330
7/3/2021,02:40:00 pm,0,8.2346,10.322
7/3/2021,02:50:00 pm,0,8.2336,10.314
7/3/2021,03:00:00 pm,0,8.2326,10.309
7/3/2021,03:10:00 pm,0,8.2317,10.305
7/3/2021,03:20:00 pm,0,8.2304,10.300
7/3/2021,03:30:00 pm,0,8.2319,10.297
7/3/2021,03:40:00 pm,0,8.2320,10.293
7/3/2021,03:50:00 pm,0,8.2367,10.291
7/3/2021,04:00:00 pm,0,8.2354,10.288
7/3/2021,04:10:00 pm,0,8.2339,10.286
7/3/2021,04:20:00 pm,0,8.2397,10.284
7/3/2021,04:30:00 pm,0,8.2408,10.282
7/3/2021,04:40:00 pm,0,8.2405,10.281
7/3/2021,04:50:00 pm,0,8.2411,10.279
7/3/2021,05:00:00 pm,0,8.2429,10.278
7/3/2021,05:10:00 pm,0,8.2411,10.277
7/3/2021,05:20:00 pm,0,8.2407,10.277
7/3/2021,05:30:00 pm,0,8.2404,10.276
7/3/2021,05:40:00 pm,0,8.2394,10.275
7/3/2021,05:50:00 pm,0,8.2407,10.274
7/3/2021,06:00:00 pm,0,8.2433,10.274
7/3/2021,06:10:00 pm,0,8.2452,10.273
7/3/2021,06:20:00 pm,0,8.2423,10.272
7/3/2021,06:30:00 pm,0,8.2394,10.272
7/3/2021,06:40:00 pm,0,8.2379,10.271
7/3/2021,06:50:00 pm,0,8.2392,10.271
7/3/2021,07:00:00 pm,0,8.2373,10.271
7/3/2021,07:10:00 pm,0,8.2378,10.270
7/3/2021,07:20:00 pm,0,8.2361,10.271
7/3/2021,07:30:00 pm,0,8.2358,10.270
7/3/2021,07:40:00 pm,0,8.2352,10.270
7/3/2021,07:50:00 pm,0,8.2343,10.270
7/3/2021,08:00:00 pm,0,8.2341,10.270
7/3/2021,08:10:00 pm,0,8.2366,10.270
7/3/2021,08:20:00 pm,0,8.2370,10.270
7/3/2021,08:30:00 pm,0,8.2364,10.270
7/3/2021,08:40:00 pm,0,8.2380,10.270
7/3/2021,08:50:00 pm,0,8.2395,10.270
7/3/2021,09:00:00 pm,0,8.2395,10.270
7/3/2021,09:10:00 pm,0,8.2405,10.270
7/3/2021,09:20:00 pm,0,8.2419,10.270
7/3/2021,09:30:00 pm,0,8.2437,10.270
7/3/2021,09:40:00 pm,0,8.2467,10.270
7/3/2021,09:50:00 pm,0,8.2475,10.270
7/3/2021,10:00:00 pm,0,8.2495,10.270
7/3/2021,10:10:00 pm,0,8.2522,10.270
7/3/2021,10:20:00 pm,0,8.2537,10.270
7/3/2021,10:30:00 pm,0,8.2559,10.270
7/3/2021,10:40:00 pm,0,8.2569,10.271
7/3/2021,10:50:00 pm,0,8.2565,10.271
7/3/2021,11:00:00 pm,0,8.2552,10.271
7/3/2021,11:10:00 pm,0,8.2555,10.271
7/3/2021,11:20:00 pm,0,8.2564,10.271
7/3/2021,11:30:00 pm,0,8.2570,10.271
7/3/2021,11:40:00 pm,0,8.2574,10.272
7/3/2021,11:50:00 pm,0,8.2580,10.272
7/4/2021,12:00:00 am,0,8.2576,10.272
7/4/2021,12:10:00 am,0,8.2569,10.272
7/4/2021,12:20:00 am,0,8.2573,10.273
7/4/2021,12:30:00 am,0,8.2578,10.273
7/4/2021,12:40:00 am,0,8.2582,10.273
7/4/2021,12:50:00 am,0,8.2583,10.274
7/4/2021,01:00:00 am,0,8.2599,10.273
7/4/2021,01:10:00 am,0,8.2602,10.274
7/4/2021,01:20:00 am,0,8.2595,10.274
7/4/2021,01:30:00 am,0,8.2585,10.274
7/4/2021,01:40:00 am,0,8.2587,10.275
7/4/2021,01:50:00 am,0,8.2593,10.275
7/4/2021,02:00:00 am,0,8.2595,10.275
7/4/2021,02:10:00 am,0,8.2598,10.276
7/4/2021,02:20:00 am,0,8.2610,10.276
7/4/2021,02:30:00 am,0,8.2567,10.276
7/4/2021,02:40:00 am,0,8.2511,10.276
7/4/2021,02:50:00 am,0,8.2558,10.277
7/4/2021,03:00:00 am,0,8.2558,10.277
7/4/2021,03:10:00 am,0,8.2562,10.277
7/4/2021,03:20:00 am,0,8.2566,10.278
7/4/2021,03:30:00 am,0,8.2588,10.278
7/4/2021,03:40:00 am,0,8.2602,10.278
7/4/2021,03:50:00 am,0,8.2592,10.279
7/4/2021,04:00:00 am,0,8.2575,10.279
7/4/2021,04:10:00 am,0,8.2530,10.279
7/4/2021,04:20:00 am,0,8.2510,10.279
7/4/2021,04:30:00 am,0,8.2473,10.280
7/4/2021,04:40:00 am,0,8.2467,10.280
7/4/2021,04:50:00 am,0,8.2489,10.280
7/4/2021,05:00:00 am,0,8.2509,10.281
7/4/2021,05:10:00 am,0,8.2547,10.281
7/4/2021,05:20:00 am,0,8.2550,10.281
7/4/2021,05:30:00 am,0,8.2552,10.282
7/4/2021,05:40:00 am,0,8.2562,10.281
7/4/2021,05:50:00 am,0,8.2564,10.282
7/4/2021,06:00:00 am,0,8.2562,10.282
7/4/2021,06:10:00 am,0,8.2556,10.282
7/4/2021,06:20:00 am,0,8.2551,10.283
7/4/2021,06:30:00 am,0,8.2540,10.283
7/4/2021,06:40:00 am,0,8.2533,10.284
7/4/2021,06:50:00 am,0,8.2525,10.284
7/4/2021,07:00:00 am,0,8.2516,10.284
7/4/2021,07:10:00 am,0,8.2513,10.285
7/4/2021,07:20:00 am,0,8.2515,10.285
7/4/2021,07:30:00 am,0,8.2522,10.285
7/4/2021,07:40:00 am,0,8.2528,10.286
7/4/2021,07:50:00 am,0,8.2528,10.286
7/4/2021,08:00:00 am,0,8.2526,10.287
7/4/2021,08:10:00 am,0,8.2526,10.287
7/4/2021,08:20:00 am,0,8.2534,10.287
7/4/2021,08:30:00 am,0,8.2535,10.288
7/4/2021,08:40:00 am,0,8.2543,10.288
7/4/2021,08:50:00 am,0,8.2537,10.288
7/4/2021,09:00:00 am,0,8.2528,10.289
7/4/2021,09:10:00 am,0,8.2527,10.289
7/4/2021,09:20:00 am,0,8.2523,10.289
7/4/2021,09:30:00 am,0,8.2523,10.290
7/4/2021,09:40:00 am,0,8.2514,10.290
7/4/2021,09:50:00 am,0,8.2511,10.291
7/4/2021,10:00:00 am,0,8.2512,10.291
7/4/2021,10:10:00 am,0,8.2511,10.291
7/4/2021,10:20:00 am,0,8.2514,10.292
7/4/2021,10:30:00 am,0,8.2521,10.292
7/4/2021,10:40:00 am,0,8.2512,10.293
7/4/2021,10:50:00 am,0,8.2516,10.293
7/4/2021,11:00:00 am,0,8.2509,10.294
7/4/2021,11:10:00 am,0,8.2514,10.294
7/4/2021,11:20:00 am,0,8.2517,10.294
7/4/2021,11:30:00 am,0,8.2516,10.295
7/4/2021,11:40:00 am,0,8.2519,10.295
7/4/2021,11:50:00 am,0,8.2524,10.295
7/4/2021,12:00:00 pm,0,8.2516,10.296
7/4/2021,12:10:00 pm,0,8.2513,10.296
7/4/2021,12:20:00 pm,0,8.2515,10.297
7/4/2021,12:30:00 pm,0,8.2517,10.297
7/4/2021,12:40:00 pm,0,8.2514,10.298
7/4/2021,12:50:00 pm,0,8.2510,10.298
7/4/2021,01:00:00 pm,0,8.2502,10.298
7/4/2021,01:10:00 pm,0,8.2498,10.298
7/4/2021,01:20:00 pm,0,8.2489,10.298
7/4/2021,01:30:00 pm,0,8.2492,10.299
7/4/2021,01:40:00 pm,0,8.2490,10.299
7/4/2021,01:50:00 pm,0,8.2479,10.300
7/4/2021,02:00:00 pm,0,8.2456,10.300
7/4/2021,02:10:00 pm,0,8.2465,10.300
7/4/2021,02:20:00 pm,0,8.2455,10.300
7/4/2021,02:30:00 pm,0,8.2445,10.301
7/4/2021,02:40:00 pm,0,8.2434,10.302
7/4/2021,02:50:00 pm,0,8.2441,10.302
7/4/2021,03:00:00 pm,0,8.2424,10.302
7/4/2021,03:10:00 pm,0,8.2420,10.303
7/4/2021,03:20:00 pm,0,8.2409,10.303
7/4/2021,03:30:00 pm,0,8.2413,10.304
7/4/2021,03:40:00 pm,0,8.2414,10.304
7/4/2021,03:50:00 pm,0,8.2407,10.304
7/4/2021,04:00:00 pm,0,8.2413,10.305
7/4/2021,04:10:00 pm,0,8.2406,10.305
7/4/2021,04:20:00 pm,0,8.2411,10.305
7/4/2021,04:30:00 pm,0,8.2397,10.306
7/4/2021,04:40:00 pm,0,8.2400,10.306
7/4/2021,04:50:00 pm,0,8.2395,10.306
7/4/2021,05:00:00 pm,0,8.2388,10.307
7/4/2021,05:10:00 pm,0,8.2398,10.307
7/4/2021,05:20:00 pm,0,8.2408,10.307
7/4/2021,05:30:00 pm,0,8.2407,10.308
7/4/2021,05:40:00 pm,0,8.2417,10.308
7/4/2021,05:50:00 pm,0,8.2411,10.308
7/4/2021,06:00:00 pm,0,8.2417,10.309
7/4/2021,06:10:00 pm,0,8.2427,10.309
7/4/2021,06:20:00 pm,0,8.2425,10.309
7/4/2021,06:30:00 pm,0,8.2432,10.309
7/4/2021,06:40:00 pm,0,8.2434,10.310
7/4/2021,06:50:00 pm,0,8.2439,10.310
7/4/2021,07:00:00 pm,0,8.2442,10.310
7/4/2021,07:10:00 pm,0,8.2452,10.310
7/4/2021,07:20:00 pm,0,8.2459,10.311
7/4/2021,07:30:00 pm,0,8.2460,10.311
7/4/2021,07:40:00 pm,0,8.2459,10.311
7/4/2021,07:50:00 pm,0,8.2463,10.312
7/4/2021,08:00:00 pm,0,8.2472,10.312
7/4/2021,08:10:00 pm,0,8.2480,10.312
7/4/2021,08:20:00 pm,0,8.2495,10.313
7/4/2021,08:30:00 pm,0,8.2500,10.313
7/4/2021,08:40:00 pm,0,8.2511,10.313
7/4/2021,08:50:00 pm,0,8.2511,10.313
7/4/2021,09:00:00 pm,0,8.2520,10.314
7/4/2021,09:10:00 pm,0,8.2531,10.314
7/4/2021,09:20:00 pm,0,8.2531,10.315
7/4/2021,09:30:00 pm,0,8.2535,10.315
7/4/2021,09:40:00 pm,0,8.2543,10.315
7/4/2021,09:50:00 pm,0,8.2548,10.315
7/4/2021,10:00:00 pm,0,8.2548,10.316
7/4/2021,10:10:00 pm,0,8.2551,10.316
7/4/2021,10:20:00 pm,0,8.2554,10.317
7/4/2021,10:30:00 pm,0,8.2551,10.317
7/4/2021,10:40:00 pm,0,8.2553,10.317
7/4/2021,10:50:00 pm,0,8.2549,10.317
7/4/2021,11:00:00 pm,0,8.2543,10.318
7/4/2021,11:10:00 pm,0,8.2541,10.318
7/4/2021,11:20:00 pm,0,8.2544,10.319
7/4/2021,11:30:00 pm,0,8.2551,10.319
7/4/2021,11:40:00 pm,0,8.2548,10.319
7/4/2021,11:50:00 pm,0,8.2555,10.320
7/5/2021,12:00:00 am,0,8.2552,10.320
7/5/2021,12:10:00 am,0,8.2549,10.320
7/5/2021,12:20:00 am,0,8.2549,10.321
7/5/2021,12:30:00 am,0,8.2547,10.321
