Serial_number:
2092377
Project ID:
ISEECI
Location:
5
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/5/2021,02:00:00 pm,0,8.1626,34.397
6/5/2021,02:10:00 pm,0,8.1641,33.714
6/5/2021,02:20:00 pm,0,8.1660,33.355
6/5/2021,02:30:00 pm,0,8.1653,33.029
6/5/2021,02:40:00 pm,0,8.1712,32.899
6/5/2021,02:50:00 pm,0,8.1687,32.341
6/5/2021,03:00:00 pm,0,8.1719,32.113
6/5/2021,03:10:00 pm,0,8.1696,31.258
6/5/2021,03:20:00 pm,0,8.1699,30.381
6/5/2021,03:30:00 pm,0,8.2022,29.397
6/5/2021,03:40:00 pm,0,8.2066,28.836
6/5/2021,03:50:00 pm,0,8.2088,29.179
6/5/2021,04:00:00 pm,0,8.2069,30.008
6/5/2021,04:10:00 pm,0,8.5525,7.160
6/5/2021,04:20:00 pm,0,8.5520,6.702
6/5/2021,04:30:00 pm,0,8.5515,6.551
6/5/2021,04:40:00 pm,0,8.5521,6.459
6/5/2021,04:50:00 pm,0,8.5523,6.395
6/5/2021,05:00:00 pm,0,8.5524,6.348
6/5/2021,05:10:00 pm,0,8.5526,6.313
6/5/2021,05:20:00 pm,0,8.5523,6.285
6/5/2021,05:30:00 pm,0,8.5524,6.264
6/5/2021,05:40:00 pm,0,8.5524,6.246
6/5/2021,05:50:00 pm,0,8.5524,6.232
6/5/2021,06:00:00 pm,0,8.5514,6.220
6/5/2021,06:10:00 pm,0,8.5515,6.210
6/5/2021,06:20:00 pm,0,8.5512,6.202
6/5/2021,06:30:00 pm,0,8.5506,6.195
6/5/2021,06:40:00 pm,0,8.5505,6.189
6/5/2021,06:50:00 pm,0,8.5498,6.184
6/5/2021,07:00:00 pm,0,8.5488,6.180
6/5/2021,07:10:00 pm,0,8.5487,6.177
6/5/2021,07:20:00 pm,0,8.5490,6.174
6/5/2021,07:30:00 pm,0,8.5491,6.171
6/5/2021,07:40:00 pm,0,8.5485,6.165
6/5/2021,07:50:00 pm,0,8.5487,6.163
6/5/2021,08:00:00 pm,0,8.5484,6.161
6/5/2021,08:10:00 pm,0,8.5480,6.160
6/5/2021,08:20:00 pm,0,8.5472,6.159
6/5/2021,08:30:00 pm,0,8.5458,6.157
6/5/2021,08:40:00 pm,0,8.5460,6.156
6/5/2021,08:50:00 pm,0,8.5462,6.157
6/5/2021,09:00:00 pm,0,8.5462,6.157
6/5/2021,09:10:00 pm,0,8.5470,6.156
6/5/2021,09:20:00 pm,0,8.5481,6.156
6/5/2021,09:30:00 pm,0,8.5480,6.155
6/5/2021,09:40:00 pm,0,8.5482,6.154
6/5/2021,09:50:00 pm,0,8.5473,6.154
6/5/2021,10:00:00 pm,0,8.5477,6.154
6/5/2021,10:10:00 pm,0,8.5480,6.154
6/5/2021,10:20:00 pm,0,8.5485,6.154
6/5/2021,10:30:00 pm,0,8.5480,6.153
6/5/2021,10:40:00 pm,0,8.5479,6.153
6/5/2021,10:50:00 pm,0,8.5476,6.153
6/5/2021,11:00:00 pm,0,8.5471,6.154
6/5/2021,11:10:00 pm,0,8.5466,6.154
6/5/2021,11:20:00 pm,0,8.5461,6.154
6/5/2021,11:30:00 pm,0,8.5463,6.154
6/5/2021,11:40:00 pm,0,8.5458,6.154
6/5/2021,11:50:00 pm,0,8.5462,6.155
6/6/2021,12:00:00 am,0,8.5460,6.155
6/6/2021,12:10:00 am,0,8.5455,6.155
6/6/2021,12:20:00 am,0,8.5449,6.156
6/6/2021,12:30:00 am,0,8.5449,6.156
6/6/2021,12:40:00 am,0,8.5440,6.156
6/6/2021,12:50:00 am,0,8.5440,6.157
6/6/2021,01:00:00 am,0,8.5431,6.158
