Serial_number:
2091337
Project ID:
SAGE-LHT1
Location:
Baro
LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/2/2024,12:30:00 pm,0,80.4074,26.582
6/2/2024,12:40:00 pm,0,80.4026,26.515
6/2/2024,12:50:00 pm,0,80.3982,26.558
6/2/2024,01:00:00 pm,0,80.3875,26.696
6/2/2024,01:10:00 pm,0,80.3859,26.908
6/2/2024,01:20:00 pm,0,80.3880,27.182
6/2/2024,01:30:00 pm,0,80.3749,27.507
6/2/2024,01:40:00 pm,0,80.1490,27.857
6/2/2024,01:50:00 pm,0,80.0281,28.106
6/2/2024,02:00:00 pm,0,80.0197,28.229
6/2/2024,02:10:00 pm,0,80.0256,28.302
6/2/2024,02:20:00 pm,0,80.0327,28.373
6/2/2024,02:30:00 pm,0,80.0353,28.440
6/2/2024,02:40:00 pm,0,80.0338,28.496
6/2/2024,02:50:00 pm,0,80.0487,28.537
6/2/2024,03:00:00 pm,0,80.0424,28.559
6/2/2024,03:10:00 pm,0,80.0501,28.554
6/2/2024,03:20:00 pm,0,80.0469,28.524
6/2/2024,03:30:00 pm,0,80.0410,28.474
6/2/2024,03:40:00 pm,0,80.0530,28.407
6/2/2024,03:50:00 pm,0,80.0461,28.330
6/2/2024,04:00:00 pm,0,80.0421,28.244
6/2/2024,04:10:00 pm,0,80.0455,28.151
6/2/2024,04:20:00 pm,0,80.1715,28.042
6/2/2024,04:30:00 pm,0,80.3560,27.883
6/2/2024,04:40:00 pm,0,80.3514,27.681
6/2/2024,04:50:00 pm,0,80.3786,27.450
6/2/2024,05:00:00 pm,0,80.3835,27.190
6/2/2024,05:10:00 pm,0,80.3934,26.824
6/2/2024,05:20:00 pm,0,80.7754,26.454
6/2/2024,05:30:00 pm,0,80.8083,26.061
6/2/2024,05:40:00 pm,0,80.8465,25.414
6/2/2024,05:50:00 pm,0,80.8662,24.216
6/2/2024,06:00:00 pm,0,80.8814,22.163
6/2/2024,06:10:00 pm,0,80.8825,20.423
6/2/2024,06:20:00 pm,0,80.8881,19.362
6/2/2024,06:30:00 pm,0,80.8846,19.064
6/2/2024,06:40:00 pm,0,80.8812,18.980
6/2/2024,06:50:00 pm,0,80.9080,18.017
6/2/2024,07:00:00 pm,0,80.9026,17.158
6/2/2024,07:10:00 pm,0,80.9036,16.423
6/2/2024,07:20:00 pm,0,80.8974,15.751
6/2/2024,07:30:00 pm,0,80.8904,15.126
6/2/2024,07:40:00 pm,0,80.9043,14.532
6/2/2024,07:50:00 pm,0,80.9211,14.026
6/2/2024,08:00:00 pm,0,80.9202,13.589
6/2/2024,08:10:00 pm,0,80.8952,13.255
6/2/2024,08:20:00 pm,0,80.9447,13.009
6/2/2024,08:30:00 pm,0,80.9524,12.873
6/2/2024,08:40:00 pm,0,80.9347,12.768
