Serial_number:
2144069
Project ID:
SAGE-KHF-1
Location:
7
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/2/2024,12:30:00 pm,0,8.2038,27.500
6/2/2024,12:40:00 pm,0,8.2031,27.519
6/2/2024,12:50:00 pm,0,8.2028,27.656
6/2/2024,01:00:00 pm,0,8.2021,27.887
6/2/2024,01:10:00 pm,0,8.2016,28.189
6/2/2024,01:20:00 pm,0,8.2018,28.541
6/2/2024,01:30:00 pm,0,8.2008,28.930
6/2/2024,01:40:00 pm,0,8.1778,29.245
6/2/2024,01:50:00 pm,0,8.1664,29.190
6/2/2024,02:00:00 pm,0,8.1600,29.076
6/2/2024,02:10:00 pm,0,8.1594,29.776
6/2/2024,02:20:00 pm,0,8.1577,31.720
6/2/2024,02:30:00 pm,0,8.1603,31.277
6/2/2024,02:40:00 pm,0,8.1548,30.388
6/2/2024,02:50:00 pm,0,8.1592,29.883
6/2/2024,03:00:00 pm,0,8.1573,30.218
6/2/2024,03:10:00 pm,0,8.1723,29.488
6/2/2024,03:20:00 pm,0,8.1703,29.073
6/2/2024,03:30:00 pm,0,9.6046,5.785
6/2/2024,03:40:00 pm,0,9.6004,4.941
6/2/2024,03:50:00 pm,0,9.5926,4.608
6/2/2024,04:00:00 pm,0,9.5887,4.434
6/2/2024,04:10:00 pm,0,9.5868,4.331
6/2/2024,04:20:00 pm,0,9.5854,4.263
6/2/2024,04:30:00 pm,0,9.5849,4.220
6/2/2024,04:40:00 pm,0,9.5842,4.193
6/2/2024,04:50:00 pm,0,9.5841,4.173
6/2/2024,05:00:00 pm,0,9.5925,4.157
6/2/2024,05:10:00 pm,0,9.5927,4.148
6/2/2024,05:20:00 pm,0,9.5926,4.139
6/2/2024,05:30:00 pm,0,9.5930,4.133
6/2/2024,05:40:00 pm,0,9.5948,4.127
6/2/2024,05:50:00 pm,0,9.5979,4.124
6/2/2024,06:00:00 pm,0,9.5989,4.122
6/2/2024,06:10:00 pm,0,9.6001,4.119
6/2/2024,06:20:00 pm,0,9.6008,4.118
6/2/2024,06:30:00 pm,0,9.6016,4.116
6/2/2024,06:40:00 pm,0,9.6016,4.114
6/2/2024,06:50:00 pm,0,9.6043,4.112
6/2/2024,07:00:00 pm,0,9.6044,4.112
6/2/2024,07:10:00 pm,0,9.6049,4.114
6/2/2024,07:20:00 pm,0,9.6056,4.114
6/2/2024,07:30:00 pm,0,9.6058,4.115
6/2/2024,07:40:00 pm,0,9.6083,4.112
6/2/2024,07:50:00 pm,0,9.6106,4.112
6/2/2024,08:00:00 pm,0,9.6111,4.112
6/2/2024,08:10:00 pm,0,9.6107,4.113
6/2/2024,08:20:00 pm,0,9.6161,4.114
6/2/2024,08:30:00 pm,0,9.6176,4.112
6/2/2024,08:40:00 pm,0,9.6157,4.112
6/2/2024,08:50:00 pm,0,9.6175,4.114
6/2/2024,09:00:00 pm,0,9.6206,4.114
6/2/2024,09:10:00 pm,0,9.6215,4.116
6/2/2024,09:20:00 pm,0,9.6232,4.115
6/2/2024,09:30:00 pm,0,9.6237,4.114
6/2/2024,09:40:00 pm,0,9.6260,4.116
6/2/2024,09:50:00 pm,0,9.6272,4.116
6/2/2024,10:00:00 pm,0,9.6287,4.116
6/2/2024,10:10:00 pm,0,9.6297,4.116
6/2/2024,10:20:00 pm,0,9.6306,4.119
6/2/2024,10:30:00 pm,0,9.6295,4.118
6/2/2024,10:40:00 pm,0,9.6301,4.119
6/2/2024,10:50:00 pm,0,9.6286,4.119
6/2/2024,11:00:00 pm,0,9.6289,4.121
6/2/2024,11:10:00 pm,0,9.6310,4.122
6/2/2024,11:20:00 pm,0,9.6310,4.123
6/2/2024,11:30:00 pm,0,9.6317,4.122
6/2/2024,11:40:00 pm,0,9.6317,4.124
6/2/2024,11:50:00 pm,0,9.6302,4.124
6/3/2024,12:00:00 am,0,9.6298,4.125
6/3/2024,12:10:00 am,0,9.6289,4.124
6/3/2024,12:20:00 am,0,9.6288,4.127
6/3/2024,12:30:00 am,0,9.6268,4.128
6/3/2024,12:40:00 am,0,9.6254,4.128
6/3/2024,12:50:00 am,0,9.6237,4.129
6/3/2024,01:00:00 am,0,9.6226,4.131
6/3/2024,01:10:00 am,0,9.6220,4.132
6/3/2024,01:20:00 am,0,9.6208,4.131
6/3/2024,01:30:00 am,0,9.6213,4.133
6/3/2024,01:40:00 am,0,9.6207,4.134
6/3/2024,01:50:00 am,0,9.6208,4.136
6/3/2024,02:00:00 am,0,9.6190,4.135
6/3/2024,02:10:00 am,0,9.6189,4.136
6/3/2024,02:20:00 am,0,9.6180,4.135
6/3/2024,02:30:00 am,0,9.6179,4.135
6/3/2024,02:40:00 am,0,9.6183,4.137
6/3/2024,02:50:00 am,0,9.6169,4.140
6/3/2024,03:00:00 am,0,9.6174,4.139
6/3/2024,03:10:00 am,0,9.6167,4.140
6/3/2024,03:20:00 am,0,9.6161,4.141
6/3/2024,03:30:00 am,0,9.6154,4.143
