Serial_number:
2091639
Project ID:
SAGE-KWT-1
Location:
4
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/14/2024,05:00:00 pm,0,8.6741,7.750
7/14/2024,05:10:00 pm,0,8.6730,7.750
7/14/2024,05:20:00 pm,0,8.6718,7.749
7/14/2024,05:30:00 pm,0,8.6706,7.749
7/14/2024,05:40:00 pm,0,8.6716,7.749
7/14/2024,05:50:00 pm,0,8.6718,7.748
7/14/2024,06:00:00 pm,0,8.6717,7.747
7/14/2024,06:10:00 pm,0,8.6711,7.746
7/14/2024,06:20:00 pm,0,8.6700,7.746
7/14/2024,06:30:00 pm,0,8.6698,7.746
7/14/2024,06:40:00 pm,0,8.6697,7.746
7/14/2024,06:50:00 pm,0,8.6696,7.746
7/14/2024,07:00:00 pm,0,8.6681,7.746
7/14/2024,07:10:00 pm,0,8.6676,7.746
7/14/2024,07:20:00 pm,0,8.6678,7.746
7/14/2024,07:30:00 pm,0,8.6685,7.746
7/14/2024,07:40:00 pm,0,8.6685,7.746
7/14/2024,07:50:00 pm,0,8.6678,7.745
7/14/2024,08:00:00 pm,0,8.6676,7.746
7/14/2024,08:10:00 pm,0,8.6670,7.746
7/14/2024,08:20:00 pm,0,8.6672,7.746
7/14/2024,08:30:00 pm,0,8.6669,7.745
7/14/2024,08:40:00 pm,0,8.6675,7.745
7/14/2024,08:50:00 pm,0,8.6683,7.745
7/14/2024,09:00:00 pm,0,8.6698,7.745
7/14/2024,09:10:00 pm,0,8.6706,7.745
7/14/2024,09:20:00 pm,0,8.6714,7.745
7/14/2024,09:30:00 pm,0,8.6727,7.745
7/14/2024,09:40:00 pm,0,8.6732,7.746
7/14/2024,09:50:00 pm,0,8.6742,7.746
7/14/2024,10:00:00 pm,0,8.6750,7.746
7/14/2024,10:10:00 pm,0,8.6768,7.746
7/14/2024,10:20:00 pm,0,8.6766,7.746
7/14/2024,10:30:00 pm,0,8.6781,7.746
7/14/2024,10:40:00 pm,0,8.6780,7.746
7/14/2024,10:50:00 pm,0,8.6781,7.747
7/14/2024,11:00:00 pm,0,8.6783,7.747
7/14/2024,11:10:00 pm,0,8.6786,7.748
7/14/2024,11:20:00 pm,0,8.6793,7.748
7/14/2024,11:30:00 pm,0,8.6801,7.748
7/14/2024,11:40:00 pm,0,8.6798,7.748
7/14/2024,11:50:00 pm,0,8.6798,7.748
7/15/2024,12:00:00 am,0,8.6802,7.748
7/15/2024,12:10:00 am,0,8.6806,7.749
7/15/2024,12:20:00 am,0,8.6804,7.748
7/15/2024,12:30:00 am,0,8.6809,7.749
7/15/2024,12:40:00 am,0,8.6811,7.749
7/15/2024,12:50:00 am,0,8.6806,7.750
7/15/2024,01:00:00 am,0,8.6799,7.750
7/15/2024,01:10:00 am,0,8.6800,7.750
7/15/2024,01:20:00 am,0,8.6807,7.750
7/15/2024,01:30:00 am,0,8.6809,7.751
7/15/2024,01:40:00 am,0,8.6809,7.751
7/15/2024,01:50:00 am,0,8.6805,7.751
7/15/2024,02:00:00 am,0,8.6801,7.752
7/15/2024,02:10:00 am,0,8.6799,7.752
7/15/2024,02:20:00 am,0,8.6801,7.752
7/15/2024,02:30:00 am,0,8.6794,7.752
7/15/2024,02:40:00 am,0,8.6793,7.753
7/15/2024,02:50:00 am,0,8.6787,7.753
7/15/2024,03:00:00 am,0,8.6782,7.753
7/15/2024,03:10:00 am,0,8.6782,7.754
7/15/2024,03:20:00 am,0,8.6791,7.754
7/15/2024,03:30:00 am,0,8.6792,7.754
7/15/2024,03:40:00 am,0,8.6795,7.754
7/15/2024,03:50:00 am,0,8.6801,7.755
7/15/2024,04:00:00 am,0,8.6800,7.756
7/15/2024,04:10:00 am,0,8.6803,7.755
7/15/2024,04:20:00 am,0,8.6801,7.756
7/15/2024,04:30:00 am,0,8.6802,7.756
7/15/2024,04:40:00 am,0,8.6814,7.756
7/15/2024,04:50:00 am,0,8.6823,7.757
7/15/2024,05:00:00 am,0,8.6829,7.757
7/15/2024,05:10:00 am,0,8.6835,7.757
7/15/2024,05:20:00 am,0,8.6841,7.757
7/15/2024,05:30:00 am,0,8.6845,7.757
7/15/2024,05:40:00 am,0,8.6855,7.758
7/15/2024,05:50:00 am,0,8.6857,7.758
7/15/2024,06:00:00 am,0,8.6863,7.758
7/15/2024,06:10:00 am,0,8.6870,7.759
7/15/2024,06:20:00 am,0,8.6869,7.759
7/15/2024,06:30:00 am,0,8.6879,7.759
7/15/2024,06:40:00 am,0,8.6880,7.760
