Serial_number:
2092351
Project ID:
SAGE-EER-1
Location:
1
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
5/26/2025,05:00:00 am,0,8.7124,6.411
5/26/2025,05:10:00 am,0,8.7133,6.411
5/26/2025,05:20:00 am,0,8.7142,6.411
5/26/2025,05:30:00 am,0,8.7152,6.411
5/26/2025,05:40:00 am,0,8.7159,6.411
5/26/2025,05:50:00 am,0,8.7168,6.412
5/26/2025,06:00:00 am,0,8.7175,6.412
5/26/2025,06:10:00 am,0,8.7181,6.413
5/26/2025,06:20:00 am,0,8.7195,6.413
5/26/2025,06:30:00 am,0,8.7208,6.413
5/26/2025,06:40:00 am,0,8.7217,6.414
5/26/2025,06:50:00 am,0,8.7226,6.414
5/26/2025,07:00:00 am,0,8.7234,6.415
5/26/2025,07:10:00 am,0,8.7246,6.416
5/26/2025,07:20:00 am,0,8.7253,6.416
5/26/2025,07:30:00 am,0,8.7254,6.416
5/26/2025,07:40:00 am,0,8.7265,6.416
5/26/2025,07:50:00 am,0,8.7266,6.417
5/26/2025,08:00:00 am,0,8.7277,6.417
5/26/2025,08:10:00 am,0,8.7286,6.418
5/26/2025,08:20:00 am,0,8.7289,6.418
5/26/2025,08:30:00 am,0,8.7295,6.418
5/26/2025,08:40:00 am,0,8.7306,6.419
5/26/2025,08:50:00 am,0,8.7306,6.419
5/26/2025,09:00:00 am,0,8.7313,6.420
5/26/2025,09:10:00 am,0,8.7318,6.420
5/26/2025,09:20:00 am,0,8.7326,6.421
5/26/2025,09:30:00 am,0,8.7327,6.421
5/26/2025,09:40:00 am,0,8.7323,6.421
5/26/2025,09:50:00 am,0,8.7308,6.422
5/26/2025,10:00:00 am,0,8.7294,6.422
5/26/2025,10:10:00 am,0,8.7276,6.423
5/26/2025,10:20:00 am,0,8.7263,6.423
5/26/2025,10:30:00 am,0,8.7247,6.424
5/26/2025,10:40:00 am,0,8.7235,6.425
5/26/2025,10:50:00 am,0,8.7232,6.425
5/26/2025,11:00:00 am,0,8.7236,6.425
5/26/2025,11:10:00 am,0,8.7220,6.426
5/26/2025,11:20:00 am,0,8.7218,6.426
5/26/2025,11:30:00 am,0,8.7195,6.427
5/26/2025,11:40:00 am,0,8.7190,6.427
5/26/2025,11:50:00 am,0,8.7172,6.428
5/26/2025,12:00:00 pm,0,8.7156,6.428
5/26/2025,12:10:00 pm,0,8.7140,6.429
5/26/2025,12:20:00 pm,0,8.7122,6.430
5/26/2025,12:30:00 pm,0,8.7108,6.430
5/26/2025,12:40:00 pm,0,8.7098,6.431
5/26/2025,12:50:00 pm,0,8.7063,6.431
5/26/2025,01:00:00 pm,0,8.7047,6.432
5/26/2025,01:10:00 pm,0,8.7028,6.432
5/26/2025,01:20:00 pm,0,8.7008,6.433
5/26/2025,01:30:00 pm,0,8.6994,6.433
5/26/2025,01:40:00 pm,0,8.6979,6.434
5/26/2025,01:50:00 pm,0,8.6963,6.434
5/26/2025,02:00:00 pm,0,8.6951,6.435
5/26/2025,02:10:00 pm,0,8.6940,6.435
5/26/2025,02:20:00 pm,0,8.6923,6.436
5/26/2025,02:30:00 pm,0,8.6918,6.437
5/26/2025,02:40:00 pm,0,8.6897,6.437
5/26/2025,02:50:00 pm,0,8.6888,6.438
5/26/2025,03:00:00 pm,0,8.6870,6.439
5/26/2025,03:10:00 pm,0,8.6864,6.440
5/26/2025,03:20:00 pm,0,8.6850,6.440
5/26/2025,03:30:00 pm,0,8.6836,6.441
5/26/2025,03:40:00 pm,0,8.6815,6.442
5/26/2025,03:50:00 pm,0,8.6801,6.443
5/26/2025,04:00:00 pm,0,8.6788,6.445
5/26/2025,04:10:00 pm,0,8.6765,6.445
5/26/2025,04:20:00 pm,0,8.6749,6.446
5/26/2025,04:30:00 pm,0,8.6735,6.447
5/26/2025,04:40:00 pm,0,8.6727,6.448
5/26/2025,04:50:00 pm,0,8.6718,6.448
5/26/2025,05:00:00 pm,0,8.6715,6.449
5/26/2025,05:10:00 pm,0,8.6710,6.450
5/26/2025,05:20:00 pm,0,8.6708,6.450
5/26/2025,05:30:00 pm,0,8.6710,6.451
5/26/2025,05:40:00 pm,0,8.6704,6.451
5/26/2025,05:50:00 pm,0,8.6707,6.452
5/26/2025,06:00:00 pm,0,8.6709,6.452
5/26/2025,06:10:00 pm,0,8.6707,6.453
5/26/2025,06:20:00 pm,0,8.6715,6.453
5/26/2025,06:30:00 pm,0,8.6721,6.453
5/26/2025,06:40:00 pm,0,8.6750,6.454
5/26/2025,06:50:00 pm,0,8.6780,6.454
5/26/2025,07:00:00 pm,0,8.6797,6.454
5/26/2025,07:10:00 pm,0,8.6819,6.454
5/26/2025,07:20:00 pm,0,8.6842,6.453
5/26/2025,07:30:00 pm,0,8.6861,6.453
5/26/2025,07:40:00 pm,0,8.6882,6.453
5/26/2025,07:50:00 pm,0,8.6900,6.453
5/26/2025,08:00:00 pm,0,8.6920,6.453
5/26/2025,08:10:00 pm,0,8.6938,6.453
5/26/2025,08:20:00 pm,0,8.6944,6.453
5/26/2025,08:30:00 pm,0,8.6953,6.453
5/26/2025,08:40:00 pm,0,8.6961,6.453
5/26/2025,08:50:00 pm,0,8.6978,6.453
5/26/2025,09:00:00 pm,0,8.6987,6.454
5/26/2025,09:10:00 pm,0,8.7004,6.454
5/26/2025,09:20:00 pm,0,8.7020,6.454
5/26/2025,09:30:00 pm,0,8.7038,6.455
5/26/2025,09:40:00 pm,0,8.7058,6.455
5/26/2025,09:50:00 pm,0,8.7070,6.455
5/26/2025,10:00:00 pm,0,8.7088,6.456
5/26/2025,10:10:00 pm,0,8.7099,6.456
5/26/2025,10:20:00 pm,0,8.7111,6.456
5/26/2025,10:30:00 pm,0,8.7106,6.457
5/26/2025,10:40:00 pm,0,8.7113,6.457
5/26/2025,10:50:00 pm,0,8.7116,6.458
5/26/2025,11:00:00 pm,0,8.7119,6.458
5/26/2025,11:10:00 pm,0,8.7130,6.459
5/26/2025,11:20:00 pm,0,8.7136,6.459
5/26/2025,11:30:00 pm,0,8.7143,6.460
5/26/2025,11:40:00 pm,0,8.7157,6.460
5/26/2025,11:50:00 pm,0,8.7163,6.461
5/27/2025,12:00:00 am,0,8.7173,6.461
5/27/2025,12:10:00 am,0,8.7176,6.462
