Serial_number:
2092350
Project ID:
SAGE-EET-1
Location:
6
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
5/26/2025,05:00:00 am,0,8.7475,9.141
5/26/2025,05:10:00 am,0,8.7482,9.142
5/26/2025,05:20:00 am,0,8.7494,9.142
5/26/2025,05:30:00 am,0,8.7504,9.143
5/26/2025,05:40:00 am,0,8.7505,9.142
5/26/2025,05:50:00 am,0,8.7510,9.143
5/26/2025,06:00:00 am,0,8.7520,9.144
5/26/2025,06:10:00 am,0,8.7524,9.144
5/26/2025,06:20:00 am,0,8.7536,9.144
5/26/2025,06:30:00 am,0,8.7546,9.145
5/26/2025,06:40:00 am,0,8.7546,9.145
5/26/2025,06:50:00 am,0,8.7558,9.146
5/26/2025,07:00:00 am,0,8.7565,9.146
5/26/2025,07:10:00 am,0,8.7570,9.146
5/26/2025,07:20:00 am,0,8.7573,9.147
5/26/2025,07:30:00 am,0,8.7570,9.147
5/26/2025,07:40:00 am,0,8.7580,9.148
5/26/2025,07:50:00 am,0,8.7577,9.148
5/26/2025,08:00:00 am,0,8.7585,9.148
5/26/2025,08:10:00 am,0,8.7589,9.148
5/26/2025,08:20:00 am,0,8.7590,9.149
5/26/2025,08:30:00 am,0,8.7597,9.150
5/26/2025,08:40:00 am,0,8.7606,9.150
5/26/2025,08:50:00 am,0,8.7602,9.151
5/26/2025,09:00:00 am,0,8.7599,9.151
5/26/2025,09:10:00 am,0,8.7612,9.151
5/26/2025,09:20:00 am,0,8.7610,9.152
5/26/2025,09:30:00 am,0,8.7604,9.152
5/26/2025,09:40:00 am,0,8.7586,9.152
5/26/2025,09:50:00 am,0,8.7570,9.153
5/26/2025,10:00:00 am,0,8.7547,9.154
5/26/2025,10:10:00 am,0,8.7524,9.154
5/26/2025,10:20:00 am,0,8.7497,9.155
5/26/2025,10:30:00 am,0,8.7481,9.155
5/26/2025,10:40:00 am,0,8.7468,9.156
5/26/2025,10:50:00 am,0,8.7473,9.156
5/26/2025,11:00:00 am,0,8.7474,9.156
5/26/2025,11:10:00 am,0,8.7458,9.157
5/26/2025,11:20:00 am,0,8.7468,9.158
5/26/2025,11:30:00 am,0,8.7455,9.158
5/26/2025,11:40:00 am,0,8.7455,9.158
5/26/2025,11:50:00 am,0,8.7449,9.159
5/26/2025,12:00:00 pm,0,8.7448,9.159
5/26/2025,12:10:00 pm,0,8.7434,9.160
5/26/2025,12:20:00 pm,0,8.7420,9.160
5/26/2025,12:30:00 pm,0,8.7427,9.161
5/26/2025,12:40:00 pm,0,8.7421,9.161
5/26/2025,12:50:00 pm,0,8.7392,9.161
5/26/2025,01:00:00 pm,0,8.7387,9.162
5/26/2025,01:10:00 pm,0,8.7374,9.163
5/26/2025,01:20:00 pm,0,8.7357,9.163
5/26/2025,01:30:00 pm,0,8.7370,9.163
5/26/2025,01:40:00 pm,0,8.7345,9.164
5/26/2025,01:50:00 pm,0,8.7348,9.164
5/26/2025,02:00:00 pm,0,8.7334,9.165
5/26/2025,02:10:00 pm,0,8.7320,9.165
5/26/2025,02:20:00 pm,0,8.7321,9.166
5/26/2025,02:30:00 pm,0,8.7306,9.167
5/26/2025,02:40:00 pm,0,8.7298,9.167
5/26/2025,02:50:00 pm,0,8.7278,9.168
5/26/2025,03:00:00 pm,0,8.7263,9.168
5/26/2025,03:10:00 pm,0,8.7267,9.168
5/26/2025,03:20:00 pm,0,8.7260,9.169
5/26/2025,03:30:00 pm,0,8.7247,9.169
5/26/2025,03:40:00 pm,0,8.7225,9.170
5/26/2025,03:50:00 pm,0,8.7219,9.170
5/26/2025,04:00:00 pm,0,8.7217,9.170
5/26/2025,04:10:00 pm,0,8.7192,9.171
5/26/2025,04:20:00 pm,0,8.7182,9.171
5/26/2025,04:30:00 pm,0,8.7172,9.172
5/26/2025,04:40:00 pm,0,8.7175,9.172
5/26/2025,04:50:00 pm,0,8.7171,9.172
5/26/2025,05:00:00 pm,0,8.7170,9.173
5/26/2025,05:10:00 pm,0,8.7168,9.173
5/26/2025,05:20:00 pm,0,8.7169,9.174
5/26/2025,05:30:00 pm,0,8.7173,9.174
5/26/2025,05:40:00 pm,0,8.7168,9.174
5/26/2025,05:50:00 pm,0,8.7163,9.175
5/26/2025,06:00:00 pm,0,8.7164,9.175
5/26/2025,06:10:00 pm,0,8.7159,9.176
5/26/2025,06:20:00 pm,0,8.7166,9.177
5/26/2025,06:30:00 pm,0,8.7166,9.176
5/26/2025,06:40:00 pm,0,8.7167,9.177
5/26/2025,06:50:00 pm,0,8.7175,9.177
5/26/2025,07:00:00 pm,0,8.7182,9.178
5/26/2025,07:10:00 pm,0,8.7190,9.178
5/26/2025,07:20:00 pm,0,8.7205,9.178
5/26/2025,07:30:00 pm,0,8.7214,9.178
5/26/2025,07:40:00 pm,0,8.7225,9.179
5/26/2025,07:50:00 pm,0,8.7241,9.179
5/26/2025,08:00:00 pm,0,8.7261,9.180
5/26/2025,08:10:00 pm,0,8.7278,9.180
5/26/2025,08:20:00 pm,0,8.7280,9.180
5/26/2025,08:30:00 pm,0,8.7289,9.180
5/26/2025,08:40:00 pm,0,8.7297,9.181
5/26/2025,08:50:00 pm,0,8.7314,9.182
5/26/2025,09:00:00 pm,0,8.7329,9.182
5/26/2025,09:10:00 pm,0,8.7349,9.182
5/26/2025,09:20:00 pm,0,8.7371,9.183
5/26/2025,09:30:00 pm,0,8.7387,9.184
5/26/2025,09:40:00 pm,0,8.7404,9.184
5/26/2025,09:50:00 pm,0,8.7415,9.184
5/26/2025,10:00:00 pm,0,8.7428,9.184
5/26/2025,10:10:00 pm,0,8.7436,9.185
5/26/2025,10:20:00 pm,0,8.7439,9.185
5/26/2025,10:30:00 pm,0,8.7425,9.186
5/26/2025,10:40:00 pm,0,8.7431,9.186
5/26/2025,10:50:00 pm,0,8.7429,9.186
5/26/2025,11:00:00 pm,0,8.7432,9.187
5/26/2025,11:10:00 pm,0,8.7449,9.188
5/26/2025,11:20:00 pm,0,8.7448,9.188
5/26/2025,11:30:00 pm,0,8.7459,9.188
5/26/2025,11:40:00 pm,0,8.7470,9.189
5/26/2025,11:50:00 pm,0,8.7471,9.189
5/27/2025,12:00:00 am,0,8.7477,9.189
5/27/2025,12:10:00 am,0,8.7479,9.190
5/27/2025,12:20:00 am,0,8.7478,9.190
5/27/2025,12:30:00 am,0,8.7473,9.190
5/27/2025,12:40:00 am,0,8.7477,9.191
5/27/2025,12:50:00 am,0,8.7483,9.191
5/27/2025,01:00:00 am,0,8.7481,9.192
5/27/2025,01:10:00 am,0,8.7488,9.192
5/27/2025,01:20:00 am,0,8.7493,9.192
5/27/2025,01:30:00 am,0,8.7495,9.193
5/27/2025,01:40:00 am,0,8.7493,9.193
5/27/2025,01:50:00 am,0,8.7488,9.194
5/27/2025,02:00:00 am,0,8.7493,9.194
5/27/2025,02:10:00 am,0,8.7494,9.195
5/27/2025,02:20:00 am,0,8.7499,9.196
5/27/2025,02:30:00 am,0,8.7500,9.196
5/27/2025,02:40:00 am,0,8.7498,9.196
5/27/2025,02:50:00 am,0,8.7497,9.197
5/27/2025,03:00:00 am,0,8.7496,9.197
5/27/2025,03:10:00 am,0,8.7487,9.197
5/27/2025,03:20:00 am,0,8.7484,9.198
5/27/2025,03:30:00 am,0,8.7483,9.198
5/27/2025,03:40:00 am,0,8.7486,9.199
5/27/2025,03:50:00 am,0,8.7489,9.199
5/27/2025,04:00:00 am,0,8.7498,9.200
5/27/2025,04:10:00 am,0,8.7498,9.200
5/27/2025,04:20:00 am,0,8.7505,9.200
5/27/2025,04:30:00 am,0,8.7505,9.200
5/27/2025,04:40:00 am,0,8.7510,9.201
5/27/2025,04:50:00 am,0,8.7515,9.201
5/27/2025,05:00:00 am,0,8.7522,9.202
5/27/2025,05:10:00 am,0,8.7528,9.202
5/27/2025,05:20:00 am,0,8.7540,9.203
5/27/2025,05:30:00 am,0,8.7545,9.203
5/27/2025,05:40:00 am,0,8.7548,9.204
5/27/2025,05:50:00 am,0,8.7550,9.204
5/27/2025,06:00:00 am,0,8.7555,9.205
5/27/2025,06:10:00 am,0,8.7564,9.204
5/27/2025,06:20:00 am,0,8.7571,9.205
5/27/2025,06:30:00 am,0,8.7572,9.205
5/27/2025,06:40:00 am,0,8.7575,9.206
5/27/2025,06:50:00 am,0,8.7579,9.206
5/27/2025,07:00:00 am,0,8.7585,9.207
5/27/2025,07:10:00 am,0,8.7583,9.207
5/27/2025,07:20:00 am,0,8.7585,9.208
5/27/2025,07:30:00 am,0,8.7587,9.208
5/27/2025,07:40:00 am,0,8.7590,9.209
5/27/2025,07:50:00 am,0,8.7593,9.210
5/27/2025,08:00:00 am,0,8.7594,9.210
5/27/2025,08:10:00 am,0,8.7603,9.210
5/27/2025,08:20:00 am,0,8.7610,9.211
5/27/2025,08:30:00 am,0,8.7617,9.212
5/27/2025,08:40:00 am,0,8.7623,9.211
5/27/2025,08:50:00 am,0,8.7625,9.212
5/27/2025,09:00:00 am,0,8.7631,9.213
5/27/2025,09:10:00 am,0,8.7626,9.213
5/27/2025,09:20:00 am,0,8.7620,9.214
5/27/2025,09:30:00 am,0,8.7609,9.214
5/27/2025,09:40:00 am,0,8.7598,9.215
5/27/2025,09:50:00 am,0,8.7587,9.216
5/27/2025,10:00:00 am,0,8.7569,9.216
5/27/2025,10:10:00 am,0,8.7555,9.217
5/27/2025,10:20:00 am,0,8.7539,9.217
5/27/2025,10:30:00 am,0,8.7522,9.218
5/27/2025,10:40:00 am,0,8.7508,9.218
5/27/2025,10:50:00 am,0,8.7490,9.219
5/27/2025,11:00:00 am,0,8.7484,9.220
5/27/2025,11:10:00 am,0,8.7457,9.220
5/27/2025,11:20:00 am,0,8.7432,9.221
5/27/2025,11:30:00 am,0,8.7419,9.221
5/27/2025,11:40:00 am,0,8.7405,9.222
5/27/2025,11:50:00 am,0,8.7387,9.222
5/27/2025,12:00:00 pm,0,8.7374,9.223
5/27/2025,12:10:00 pm,0,8.7367,9.223
5/27/2025,12:20:00 pm,0,8.7359,9.224
5/27/2025,12:30:00 pm,0,8.7351,9.224
5/27/2025,12:40:00 pm,0,8.7334,9.225
5/27/2025,12:50:00 pm,0,8.7323,9.225
5/27/2025,01:00:00 pm,0,8.7309,9.226
5/27/2025,01:10:00 pm,0,8.7299,9.226
5/27/2025,01:20:00 pm,0,8.7291,9.227
5/27/2025,01:30:00 pm,0,8.7278,9.227
5/27/2025,01:40:00 pm,0,8.7255,9.228
5/27/2025,01:50:00 pm,0,8.7252,9.228
5/27/2025,02:00:00 pm,0,8.7233,9.229
5/27/2025,02:10:00 pm,0,8.7213,9.229
5/27/2025,02:20:00 pm,0,8.7212,9.230
5/27/2025,02:30:00 pm,0,8.7195,9.231
5/27/2025,02:40:00 pm,0,8.7174,9.231
5/27/2025,02:50:00 pm,0,8.7169,9.231
5/27/2025,03:00:00 pm,0,8.7155,9.232
5/27/2025,03:10:00 pm,0,8.7146,9.232
5/27/2025,03:20:00 pm,0,8.7135,9.233
5/27/2025,03:30:00 pm,0,8.7118,9.233
5/27/2025,03:40:00 pm,0,8.7111,9.234
5/27/2025,03:50:00 pm,0,8.7098,9.234
5/27/2025,04:00:00 pm,0,8.7087,9.235
5/27/2025,04:10:00 pm,0,8.7070,9.235
5/27/2025,04:20:00 pm,0,8.7058,9.236
5/27/2025,04:30:00 pm,0,8.7047,9.236
5/27/2025,04:40:00 pm,0,8.7043,9.236
5/27/2025,04:50:00 pm,0,8.7036,9.237
5/27/2025,05:00:00 pm,0,8.7029,9.237
5/27/2025,05:10:00 pm,0,8.7023,9.237
5/27/2025,05:20:00 pm,0,8.7019,9.238
5/27/2025,05:30:00 pm,0,8.7016,9.238
5/27/2025,05:40:00 pm,0,8.7006,9.239
5/27/2025,05:50:00 pm,0,8.7014,9.239
5/27/2025,06:00:00 pm,0,8.7021,9.239
5/27/2025,06:10:00 pm,0,8.7033,9.239
5/27/2025,06:20:00 pm,0,8.7040,9.240
5/27/2025,06:30:00 pm,0,8.7035,9.240
5/27/2025,06:40:00 pm,0,8.7039,9.241
5/27/2025,06:50:00 pm,0,8.7045,9.240
5/27/2025,07:00:00 pm,0,8.7047,9.241
5/27/2025,07:10:00 pm,0,8.7056,9.241
5/27/2025,07:20:00 pm,0,8.7067,9.241
5/27/2025,07:30:00 pm,0,8.7076,9.242
5/27/2025,07:40:00 pm,0,8.7083,9.243
5/27/2025,07:50:00 pm,0,8.7088,9.243
5/27/2025,08:00:00 pm,0,8.7100,9.243
