Serial_number:
2144069
Project ID:
SAGE-EWT-1
Location:
7
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
5/26/2025,05:00:00 am,0,8.9832,3.375
5/26/2025,05:10:00 am,0,8.9839,3.373
5/26/2025,05:20:00 am,0,8.9846,3.373
5/26/2025,05:30:00 am,0,8.9850,3.374
5/26/2025,05:40:00 am,0,8.9850,3.374
5/26/2025,05:50:00 am,0,8.9855,3.375
5/26/2025,06:00:00 am,0,8.9858,3.375
5/26/2025,06:10:00 am,0,8.9864,3.373
5/26/2025,06:20:00 am,0,8.9869,3.376
5/26/2025,06:30:00 am,0,8.9877,3.377
5/26/2025,06:40:00 am,0,8.9879,3.376
5/26/2025,06:50:00 am,0,8.9887,3.375
5/26/2025,07:00:00 am,0,8.9889,3.377
5/26/2025,07:10:00 am,0,8.9896,3.378
5/26/2025,07:20:00 am,0,8.9895,3.377
5/26/2025,07:30:00 am,0,8.9889,3.377
5/26/2025,07:40:00 am,0,8.9895,3.377
5/26/2025,07:50:00 am,0,8.9898,3.377
5/26/2025,08:00:00 am,0,8.9901,3.378
5/26/2025,08:10:00 am,0,8.9908,3.379
5/26/2025,08:20:00 am,0,8.9906,3.377
5/26/2025,08:30:00 am,0,8.9911,3.377
5/26/2025,08:40:00 am,0,8.9914,3.379
5/26/2025,08:50:00 am,0,8.9912,3.380
5/26/2025,09:00:00 am,0,8.9912,3.378
5/26/2025,09:10:00 am,0,8.9922,3.377
5/26/2025,09:20:00 am,0,8.9925,3.378
5/26/2025,09:30:00 am,0,8.9924,3.381
5/26/2025,09:40:00 am,0,8.9918,3.378
5/26/2025,09:50:00 am,0,8.9910,3.380
5/26/2025,10:00:00 am,0,8.9906,3.381
5/26/2025,10:10:00 am,0,8.9902,3.381
5/26/2025,10:20:00 am,0,8.9888,3.381
5/26/2025,10:30:00 am,0,8.9889,3.381
5/26/2025,10:40:00 am,0,8.9887,3.380
5/26/2025,10:50:00 am,0,8.9891,3.380
5/26/2025,11:00:00 am,0,8.9900,3.382
5/26/2025,11:10:00 am,0,8.9900,3.383
5/26/2025,11:20:00 am,0,8.9904,3.381
5/26/2025,11:30:00 am,0,8.9902,3.381
5/26/2025,11:40:00 am,0,8.9909,3.383
5/26/2025,11:50:00 am,0,8.9910,3.382
5/26/2025,12:00:00 pm,0,8.9903,3.383
5/26/2025,12:10:00 pm,0,8.9903,3.383
5/26/2025,12:20:00 pm,0,8.9898,3.383
5/26/2025,12:30:00 pm,0,8.9900,3.384
5/26/2025,12:40:00 pm,0,8.9906,3.384
5/26/2025,12:50:00 pm,0,8.9885,3.383
5/26/2025,01:00:00 pm,0,8.9880,3.384
5/26/2025,01:10:00 pm,0,8.9873,3.384
5/26/2025,01:20:00 pm,0,8.9869,3.386
5/26/2025,01:30:00 pm,0,8.9870,3.384
5/26/2025,01:40:00 pm,0,8.9860,3.386
5/26/2025,01:50:00 pm,0,8.9872,3.386
5/26/2025,02:00:00 pm,0,8.9867,3.387
5/26/2025,02:10:00 pm,0,8.9857,3.384
5/26/2025,02:20:00 pm,0,8.9852,3.386
5/26/2025,02:30:00 pm,0,8.9850,3.386
5/26/2025,02:40:00 pm,0,8.9835,3.387
5/26/2025,02:50:00 pm,0,8.9831,3.386
5/26/2025,03:00:00 pm,0,8.9822,3.387
5/26/2025,03:10:00 pm,0,8.9825,3.386
5/26/2025,03:20:00 pm,0,8.9833,3.387
5/26/2025,03:30:00 pm,0,8.9819,3.387
5/26/2025,03:40:00 pm,0,8.9807,3.388
5/26/2025,03:50:00 pm,0,8.9802,3.387
5/26/2025,04:00:00 pm,0,8.9801,3.390
5/26/2025,04:10:00 pm,0,8.9786,3.389
5/26/2025,04:20:00 pm,0,8.9780,3.390
5/26/2025,04:30:00 pm,0,8.9773,3.389
5/26/2025,04:40:00 pm,0,8.9777,3.389
5/26/2025,04:50:00 pm,0,8.9773,3.389
5/26/2025,05:00:00 pm,0,8.9778,3.388
5/26/2025,05:10:00 pm,0,8.9774,3.390
5/26/2025,05:20:00 pm,0,8.9783,3.391
5/26/2025,05:30:00 pm,0,8.9784,3.390
5/26/2025,05:40:00 pm,0,8.9782,3.390
5/26/2025,05:50:00 pm,0,8.9779,3.390
5/26/2025,06:00:00 pm,0,8.9778,3.391
5/26/2025,06:10:00 pm,0,8.9778,3.391
5/26/2025,06:20:00 pm,0,8.9784,3.392
5/26/2025,06:30:00 pm,0,8.9781,3.390
5/26/2025,06:40:00 pm,0,8.9783,3.392
5/26/2025,06:50:00 pm,0,8.9790,3.390
