Serial_number:
2212698
Project ID:
sagehen
Location:
EWT-2
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/24/2025,03:20:00 pm,0,8.2250,36.310
6/24/2025,03:30:00 pm,0,8.3620,32.447
6/24/2025,03:40:00 pm,0,8.5105,10.405
6/24/2025,03:50:00 pm,0,8.5195,9.586
6/24/2025,04:00:00 pm,0,8.5190,9.272
6/24/2025,04:10:00 pm,0,8.5159,9.108
6/24/2025,04:20:00 pm,0,8.5104,9.007
6/24/2025,04:30:00 pm,0,8.5043,8.940
6/24/2025,04:40:00 pm,0,8.4995,8.896
6/24/2025,04:50:00 pm,0,8.4953,8.866
6/24/2025,05:00:00 pm,0,8.4917,8.843
6/24/2025,05:10:00 pm,0,8.4891,8.827
6/24/2025,05:20:00 pm,0,8.4883,8.813
6/24/2025,05:30:00 pm,0,8.4865,8.802
6/24/2025,05:40:00 pm,0,8.4849,8.793
6/24/2025,05:50:00 pm,0,8.4835,8.787
6/24/2025,06:00:00 pm,0,8.4823,8.781
6/24/2025,06:10:00 pm,0,8.4817,8.775
6/24/2025,06:20:00 pm,0,8.4812,8.772
6/24/2025,06:30:00 pm,0,8.4810,8.765
6/24/2025,06:40:00 pm,0,8.4809,8.764
6/24/2025,06:50:00 pm,0,8.4808,8.762
6/24/2025,07:00:00 pm,0,8.4806,8.758
6/24/2025,07:10:00 pm,0,8.4810,8.755
6/24/2025,07:20:00 pm,0,8.4811,8.754
6/24/2025,07:30:00 pm,0,8.4816,8.752
6/24/2025,07:40:00 pm,0,8.4827,8.750
6/24/2025,07:50:00 pm,0,8.4846,8.750
6/24/2025,08:00:00 pm,0,8.4862,8.748
6/24/2025,08:10:00 pm,0,8.4870,8.745
6/24/2025,08:20:00 pm,0,8.4875,8.744
6/24/2025,08:30:00 pm,0,8.4881,8.744
6/24/2025,08:40:00 pm,0,8.4888,8.743
6/24/2025,08:50:00 pm,0,8.4895,8.742
6/24/2025,09:00:00 pm,0,8.4906,8.743
6/24/2025,09:10:00 pm,0,8.4917,8.740
6/24/2025,09:20:00 pm,0,8.4932,8.739
6/24/2025,09:30:00 pm,0,8.4947,8.738
6/24/2025,09:40:00 pm,0,8.4964,8.739
6/24/2025,09:50:00 pm,0,8.4982,8.736
6/24/2025,10:00:00 pm,0,8.5000,8.738
6/24/2025,10:10:00 pm,0,8.5020,8.738
6/24/2025,10:20:00 pm,0,8.5038,8.737
6/24/2025,10:30:00 pm,0,8.5056,8.736
6/24/2025,10:40:00 pm,0,8.5070,8.735
6/24/2025,10:50:00 pm,0,8.5086,8.733
6/24/2025,11:00:00 pm,0,8.5104,8.733
6/24/2025,11:10:00 pm,0,8.5121,8.732
6/24/2025,11:20:00 pm,0,8.5141,8.733
6/24/2025,11:30:00 pm,0,8.5158,8.731
6/24/2025,11:40:00 pm,0,8.5174,8.731
6/24/2025,11:50:00 pm,0,8.5190,8.731
6/25/2025,12:00:00 am,0,8.5206,8.730
6/25/2025,12:10:00 am,0,8.5216,8.730
6/25/2025,12:20:00 am,0,8.5216,8.732
6/25/2025,12:30:00 am,0,8.5215,8.728
6/25/2025,12:40:00 am,0,8.5220,8.730
6/25/2025,12:50:00 am,0,8.5224,8.731
6/25/2025,01:00:00 am,0,8.5229,8.729
6/25/2025,01:10:00 am,0,8.5243,8.730
6/25/2025,01:20:00 am,0,8.5262,8.727
6/25/2025,01:30:00 am,0,8.5265,8.729
6/25/2025,01:40:00 am,0,8.5268,8.729
6/25/2025,01:50:00 am,0,8.5270,8.729
6/25/2025,02:00:00 am,0,8.5271,8.728
6/25/2025,02:10:00 am,0,8.5278,8.726
6/25/2025,02:20:00 am,0,8.5283,8.727
6/25/2025,02:30:00 am,0,8.5291,8.727
6/25/2025,02:40:00 am,0,8.5299,8.727
6/25/2025,02:50:00 am,0,8.5311,8.727
6/25/2025,03:00:00 am,0,8.5320,8.726
6/25/2025,03:10:00 am,0,8.5327,8.728
6/25/2025,03:20:00 am,0,8.5329,8.726
6/25/2025,03:30:00 am,0,8.5333,8.726
6/25/2025,03:40:00 am,0,8.5344,8.726
6/25/2025,03:50:00 am,0,8.5349,8.725
6/25/2025,04:00:00 am,0,8.5355,8.726
6/25/2025,04:10:00 am,0,8.5357,8.726
6/25/2025,04:20:00 am,0,8.5369,8.725
6/25/2025,04:30:00 am,0,8.5381,8.724
6/25/2025,04:40:00 am,0,8.5395,8.726
6/25/2025,04:50:00 am,0,8.5407,8.726
6/25/2025,05:00:00 am,0,8.5419,8.724
6/25/2025,05:10:00 am,0,8.5434,8.722
6/25/2025,05:20:00 am,0,8.5450,8.724
6/25/2025,05:30:00 am,0,8.5465,8.723
6/25/2025,05:40:00 am,0,8.5481,8.725
6/25/2025,05:50:00 am,0,8.5496,8.724
6/25/2025,06:00:00 am,0,8.5508,8.723
6/25/2025,06:10:00 am,0,8.5522,8.723
6/25/2025,06:20:00 am,0,8.5538,8.725
6/25/2025,06:30:00 am,0,8.5554,8.723
6/25/2025,06:40:00 am,0,8.5567,8.723
6/25/2025,06:50:00 am,0,8.5578,8.723
6/25/2025,07:00:00 am,0,8.5587,8.724
6/25/2025,07:10:00 am,0,8.5593,8.724
6/25/2025,07:20:00 am,0,8.5603,8.721
6/25/2025,07:30:00 am,0,8.5613,8.723
6/25/2025,07:40:00 am,0,8.5629,8.721
6/25/2025,07:50:00 am,0,8.5641,8.722
6/25/2025,08:00:00 am,0,8.5659,8.722
6/25/2025,08:10:00 am,0,8.5681,8.722
6/25/2025,08:20:00 am,0,8.5692,8.723
6/25/2025,08:30:00 am,0,8.5700,8.723
6/25/2025,08:40:00 am,0,8.5706,8.721
6/25/2025,08:50:00 am,0,8.5706,8.723
6/25/2025,09:00:00 am,0,8.5704,8.722
6/25/2025,09:10:00 am,0,8.5698,8.720
6/25/2025,09:20:00 am,0,8.5680,8.723
6/25/2025,09:30:00 am,0,8.5663,8.720
6/25/2025,09:40:00 am,0,8.5642,8.721
6/25/2025,09:50:00 am,0,8.5615,8.720
6/25/2025,10:00:00 am,0,8.5586,8.721
6/25/2025,10:10:00 am,0,8.5549,8.722
6/25/2025,10:20:00 am,0,8.5512,8.721
6/25/2025,10:30:00 am,0,8.5470,8.721
6/25/2025,10:40:00 am,0,8.5426,8.719
6/25/2025,10:50:00 am,0,8.5382,8.720
6/25/2025,11:00:00 am,0,8.5346,8.720
6/25/2025,11:10:00 am,0,8.5318,8.721
6/25/2025,11:20:00 am,0,8.5291,8.720
6/25/2025,11:30:00 am,0,8.5261,8.720
6/25/2025,11:40:00 am,0,8.5250,8.720
6/25/2025,11:50:00 am,0,8.5236,8.720
6/25/2025,12:00:00 pm,0,8.5224,8.720
6/25/2025,12:10:00 pm,0,8.5208,8.720
6/25/2025,12:20:00 pm,0,8.5192,8.719
6/25/2025,12:30:00 pm,0,8.5169,8.720
6/25/2025,12:40:00 pm,0,8.5144,8.721
6/25/2025,12:50:00 pm,0,8.5115,8.718
6/25/2025,01:00:00 pm,0,8.5087,8.718
6/25/2025,01:10:00 pm,0,8.5056,8.719
6/25/2025,01:20:00 pm,0,8.5032,8.720
6/25/2025,01:30:00 pm,0,8.5011,8.718
6/25/2025,01:40:00 pm,0,8.4994,8.718
6/25/2025,01:50:00 pm,0,8.4981,8.721
