Serial_number:
2212691
Project ID:
sagehen
Location:
KHF-1
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/24/2025,05:30:00 pm,0,9.2909,21.331
6/24/2025,05:40:00 pm,0,9.3032,8.740
6/24/2025,05:50:00 pm,0,9.3030,8.144
6/24/2025,06:00:00 pm,0,9.3028,7.917
6/24/2025,06:10:00 pm,0,9.3034,7.788
6/24/2025,06:20:00 pm,0,9.3041,7.709
6/24/2025,06:30:00 pm,0,9.3043,7.659
6/24/2025,06:40:00 pm,0,9.3026,7.623
6/24/2025,06:50:00 pm,0,9.3020,7.600
6/24/2025,07:00:00 pm,0,9.3011,7.583
6/24/2025,07:10:00 pm,0,9.3009,7.571
6/24/2025,07:20:00 pm,0,9.3004,7.565
6/24/2025,07:30:00 pm,0,9.3006,7.557
6/24/2025,07:40:00 pm,0,9.3007,7.550
6/24/2025,07:50:00 pm,0,9.3007,7.546
6/24/2025,08:00:00 pm,0,9.3008,7.546
6/24/2025,08:10:00 pm,0,9.3011,7.541
6/24/2025,08:20:00 pm,0,9.3013,7.541
6/24/2025,08:30:00 pm,0,9.3012,7.538
6/24/2025,08:40:00 pm,0,9.3015,7.537
6/24/2025,08:50:00 pm,0,9.3016,7.534
6/24/2025,09:00:00 pm,0,9.3016,7.535
6/24/2025,09:10:00 pm,0,9.3021,7.534
6/24/2025,09:20:00 pm,0,9.3025,7.534
6/24/2025,09:30:00 pm,0,9.3027,7.534
6/24/2025,09:40:00 pm,0,9.3038,7.532
6/24/2025,09:50:00 pm,0,9.3042,7.533
6/24/2025,10:00:00 pm,0,9.3067,7.531
6/24/2025,10:10:00 pm,0,9.3069,7.533
6/24/2025,10:20:00 pm,0,9.3068,7.531
6/24/2025,10:30:00 pm,0,9.3074,7.531
6/24/2025,10:40:00 pm,0,9.3078,7.533
6/24/2025,10:50:00 pm,0,9.3079,7.533
6/24/2025,11:00:00 pm,0,9.3078,7.529
6/24/2025,11:10:00 pm,0,9.3077,7.530
6/24/2025,11:20:00 pm,0,9.3086,7.530
6/24/2025,11:30:00 pm,0,9.3087,7.530
6/24/2025,11:40:00 pm,0,9.3090,7.532
6/24/2025,11:50:00 pm,0,9.3093,7.530
6/25/2025,12:00:00 am,0,9.3095,7.532
6/25/2025,12:10:00 am,0,9.3095,7.530
6/25/2025,12:20:00 am,0,9.3095,7.529
6/25/2025,12:30:00 am,0,9.3094,7.530
6/25/2025,12:40:00 am,0,9.3098,7.529
6/25/2025,12:50:00 am,0,9.3095,7.531
6/25/2025,01:00:00 am,0,9.3099,7.530
6/25/2025,01:10:00 am,0,9.3101,7.531
6/25/2025,01:20:00 am,0,9.3100,7.532
6/25/2025,01:30:00 am,0,9.3102,7.532
6/25/2025,01:40:00 am,0,9.3102,7.530
6/25/2025,01:50:00 am,0,9.3100,7.529
6/25/2025,02:00:00 am,0,9.3105,7.530
6/25/2025,02:10:00 am,0,9.3111,7.532
6/25/2025,02:20:00 am,0,9.3119,7.532
6/25/2025,02:30:00 am,0,9.3126,7.534
6/25/2025,02:40:00 am,0,9.3132,7.533
6/25/2025,02:50:00 am,0,9.3139,7.532
6/25/2025,03:00:00 am,0,9.3145,7.533
6/25/2025,03:10:00 am,0,9.3151,7.533
6/25/2025,03:20:00 am,0,9.3157,7.533
6/25/2025,03:30:00 am,0,9.3161,7.533
6/25/2025,03:40:00 am,0,9.3163,7.533
6/25/2025,03:50:00 am,0,9.3161,7.533
6/25/2025,04:00:00 am,0,9.3162,7.536
6/25/2025,04:10:00 am,0,9.3162,7.534
6/25/2025,04:20:00 am,0,9.3166,7.536
6/25/2025,04:30:00 am,0,9.3174,7.536
6/25/2025,04:40:00 am,0,9.3183,7.536
6/25/2025,04:50:00 am,0,9.3186,7.536
6/25/2025,05:00:00 am,0,9.3189,7.537
6/25/2025,05:10:00 am,0,9.3194,7.538
6/25/2025,05:20:00 am,0,9.3206,7.537
6/25/2025,05:30:00 am,0,9.3216,7.539
6/25/2025,05:40:00 am,0,9.3224,7.538
6/25/2025,05:50:00 am,0,9.3228,7.539
6/25/2025,06:00:00 am,0,9.3234,7.539
6/25/2025,06:10:00 am,0,9.3242,7.538
6/25/2025,06:20:00 am,0,9.3252,7.539
6/25/2025,06:30:00 am,0,9.3259,7.538
6/25/2025,06:40:00 am,0,9.3263,7.540
6/25/2025,06:50:00 am,0,9.3267,7.541
6/25/2025,07:00:00 am,0,9.3268,7.542
6/25/2025,07:10:00 am,0,9.3266,7.540
6/25/2025,07:20:00 am,0,9.3272,7.540
6/25/2025,07:30:00 am,0,9.3278,7.539
6/25/2025,07:40:00 am,0,9.3284,7.542
6/25/2025,07:50:00 am,0,9.3287,7.542
6/25/2025,08:00:00 am,0,9.3297,7.541
6/25/2025,08:10:00 am,0,9.3301,7.544
6/25/2025,08:20:00 am,0,9.3308,7.543
6/25/2025,08:30:00 am,0,9.3311,7.541
6/25/2025,08:40:00 am,0,9.3313,7.543
6/25/2025,08:50:00 am,0,9.3314,7.543
6/25/2025,09:00:00 am,0,9.3315,7.543
6/25/2025,09:10:00 am,0,9.3309,7.542
6/25/2025,09:20:00 am,0,9.3301,7.544
