Serial_number:
2196025
Project ID:
SAGE-KHT-XE5S
Location:
11
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
5/26/2025,08:00:00 pm,0,9.8433,6.176
5/26/2025,08:10:00 pm,0,9.8459,6.179
5/26/2025,08:20:00 pm,0,9.8464,6.179
5/26/2025,08:30:00 pm,0,9.8479,6.180
5/26/2025,08:40:00 pm,0,9.8490,6.182
5/26/2025,08:50:00 pm,0,9.8512,6.181
5/26/2025,09:00:00 pm,0,9.8533,6.180
5/26/2025,09:10:00 pm,0,9.8559,6.182
5/26/2025,09:20:00 pm,0,9.8581,6.184
5/26/2025,09:30:00 pm,0,9.8601,6.183
5/26/2025,09:40:00 pm,0,9.8628,6.182
5/26/2025,09:50:00 pm,0,9.8645,6.184
5/26/2025,10:00:00 pm,0,9.8663,6.184
5/26/2025,10:10:00 pm,0,9.8674,6.184
5/26/2025,10:20:00 pm,0,9.8679,6.186
5/26/2025,10:30:00 pm,0,9.8672,6.187
5/26/2025,10:40:00 pm,0,9.8675,6.187
5/26/2025,10:50:00 pm,0,9.8683,6.186
5/26/2025,11:00:00 pm,0,9.8691,6.187
5/26/2025,11:10:00 pm,0,9.8711,6.186
5/26/2025,11:20:00 pm,0,9.8720,6.189
5/26/2025,11:30:00 pm,0,9.8737,6.189
5/26/2025,11:40:00 pm,0,9.8752,6.190
5/26/2025,11:50:00 pm,0,9.8756,6.190
5/27/2025,12:00:00 am,0,9.8770,6.191
5/27/2025,12:10:00 am,0,9.8771,6.192
5/27/2025,12:20:00 am,0,9.8775,6.193
5/27/2025,12:30:00 am,0,9.8774,6.194
5/27/2025,12:40:00 am,0,9.8776,6.193
5/27/2025,12:50:00 am,0,9.8786,6.194
5/27/2025,01:00:00 am,0,9.8792,6.195
5/27/2025,01:10:00 am,0,9.8803,6.196
5/27/2025,01:20:00 am,0,9.8812,6.195
5/27/2025,01:30:00 am,0,9.8822,6.197
5/27/2025,01:40:00 am,0,9.8819,6.196
5/27/2025,01:50:00 am,0,9.8818,6.198
5/27/2025,02:00:00 am,0,9.8827,6.198
5/27/2025,02:10:00 am,0,9.8830,6.200
5/27/2025,02:20:00 am,0,9.8840,6.199
5/27/2025,02:30:00 am,0,9.8841,6.200
5/27/2025,02:40:00 am,0,9.8843,6.200
5/27/2025,02:50:00 am,0,9.8846,6.201
5/27/2025,03:00:00 am,0,9.8852,6.201
5/27/2025,03:10:00 am,0,9.8845,6.200
5/27/2025,03:20:00 am,0,9.8843,6.203
5/27/2025,03:30:00 am,0,9.8846,6.203
5/27/2025,03:40:00 am,0,9.8855,6.203
5/27/2025,03:50:00 am,0,9.8859,6.204
5/27/2025,04:00:00 am,0,9.8867,6.205
5/27/2025,04:10:00 am,0,9.8876,6.206
5/27/2025,04:20:00 am,0,9.8884,6.206
5/27/2025,04:30:00 am,0,9.8892,6.206
5/27/2025,04:40:00 am,0,9.8901,6.207
5/27/2025,04:50:00 am,0,9.8909,6.209
5/27/2025,05:00:00 am,0,9.8911,6.210
5/27/2025,05:10:00 am,0,9.8920,6.209
5/27/2025,05:20:00 am,0,9.8932,6.210
5/27/2025,05:30:00 am,0,9.8942,6.210
5/27/2025,05:40:00 am,0,9.8952,6.212
5/27/2025,05:50:00 am,0,9.8951,6.211
5/27/2025,06:00:00 am,0,9.8963,6.210
5/27/2025,06:10:00 am,0,9.8972,6.212
5/27/2025,06:20:00 am,0,9.8976,6.212
5/27/2025,06:30:00 am,0,9.8983,6.212
5/27/2025,06:40:00 am,0,9.8992,6.212
5/27/2025,06:50:00 am,0,9.8995,6.215
5/27/2025,07:00:00 am,0,9.8997,6.217
5/27/2025,07:10:00 am,0,9.9002,6.215
5/27/2025,07:20:00 am,0,9.9008,6.216
5/27/2025,07:30:00 am,0,9.9013,6.216
5/27/2025,07:40:00 am,0,9.9016,6.220
5/27/2025,07:50:00 am,0,9.9017,6.217
5/27/2025,08:00:00 am,0,9.9020,6.220
5/27/2025,08:10:00 am,0,9.9031,6.220
5/27/2025,08:20:00 am,0,9.9037,6.220
5/27/2025,08:30:00 am,0,9.9045,6.222
5/27/2025,08:40:00 am,0,9.9048,6.220
5/27/2025,08:50:00 am,0,9.9051,6.220
5/27/2025,09:00:00 am,0,9.9056,6.222
5/27/2025,09:10:00 am,0,9.9052,6.225
5/27/2025,09:20:00 am,0,9.9044,6.221
5/27/2025,09:30:00 am,0,9.9039,6.223
5/27/2025,09:40:00 am,0,9.9031,6.225
5/27/2025,09:50:00 am,0,9.9021,6.224
5/27/2025,10:00:00 am,0,9.9008,6.226
5/27/2025,10:10:00 am,0,9.8997,6.225
5/27/2025,10:20:00 am,0,9.8986,6.226
5/27/2025,10:30:00 am,0,9.8978,6.228
5/27/2025,10:40:00 am,0,9.8968,6.226
5/27/2025,10:50:00 am,0,9.8955,6.228
5/27/2025,11:00:00 am,0,9.8946,6.230
5/27/2025,11:10:00 am,0,9.8931,6.229
5/27/2025,11:20:00 am,0,9.8910,6.229
5/27/2025,11:30:00 am,0,9.8886,6.231
5/27/2025,11:40:00 am,0,9.8877,6.230
5/27/2025,11:50:00 am,0,9.8849,6.231
5/27/2025,12:00:00 pm,0,9.8828,6.233
5/27/2025,12:10:00 pm,0,9.8808,6.231
5/27/2025,12:20:00 pm,0,9.8798,6.232
5/27/2025,12:30:00 pm,0,9.8773,6.233
5/27/2025,12:40:00 pm,0,9.8748,6.234
5/27/2025,12:50:00 pm,0,9.8734,6.234
5/27/2025,01:00:00 pm,0,9.8705,6.236
5/27/2025,01:10:00 pm,0,9.8685,6.235
5/27/2025,01:20:00 pm,0,9.8662,6.236
5/27/2025,01:30:00 pm,0,9.8649,6.236
5/27/2025,01:40:00 pm,0,9.8624,6.237
5/27/2025,01:50:00 pm,0,9.8603,6.239
5/27/2025,02:00:00 pm,0,9.8582,6.239
5/27/2025,02:10:00 pm,0,9.8563,6.239
5/27/2025,02:20:00 pm,0,9.8529,6.240
5/27/2025,02:30:00 pm,0,9.8523,6.241
5/27/2025,02:40:00 pm,0,9.8503,6.240
5/27/2025,02:50:00 pm,0,9.8486,6.242
5/27/2025,03:00:00 pm,0,9.8471,6.243
5/27/2025,03:10:00 pm,0,9.8461,6.243
5/27/2025,03:20:00 pm,0,9.8431,6.244
