Serial_number:
2091639
Project ID:
ISEECI
Location:
4
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/3/2021,12:00:00 pm,0,8.2482,29.589
7/3/2021,12:10:00 pm,0,8.2500,20.636
7/3/2021,12:20:00 pm,0,8.2465,16.803
7/3/2021,12:30:00 pm,0,8.2394,14.764
7/3/2021,12:40:00 pm,0,8.2362,13.573
7/3/2021,12:50:00 pm,0,8.2336,12.847
7/3/2021,01:00:00 pm,0,8.2318,12.399
7/3/2021,01:10:00 pm,0,8.2299,12.121
7/3/2021,01:20:00 pm,0,8.2291,11.944
7/3/2021,01:30:00 pm,0,8.2303,11.830
7/3/2021,01:40:00 pm,0,8.2304,11.756
7/3/2021,01:50:00 pm,0,8.2315,11.705
7/3/2021,02:00:00 pm,0,8.2301,11.670
7/3/2021,02:10:00 pm,0,8.2299,11.645
7/3/2021,02:20:00 pm,0,8.2286,11.627
7/3/2021,02:30:00 pm,0,8.2287,11.613
7/3/2021,02:40:00 pm,0,8.2288,11.603
7/3/2021,02:50:00 pm,0,8.2284,11.594
7/3/2021,03:00:00 pm,0,8.2274,11.586
7/3/2021,03:10:00 pm,0,8.2264,11.581
7/3/2021,03:20:00 pm,0,8.2256,11.577
7/3/2021,03:30:00 pm,0,8.2267,11.572
7/3/2021,03:40:00 pm,0,8.2267,11.568
7/3/2021,03:50:00 pm,0,8.2316,11.564
7/3/2021,04:00:00 pm,0,8.2303,11.560
7/3/2021,04:10:00 pm,0,8.2280,11.556
7/3/2021,04:20:00 pm,0,8.2348,11.552
7/3/2021,04:30:00 pm,0,8.2356,11.549
7/3/2021,04:40:00 pm,0,8.2348,11.547
7/3/2021,04:50:00 pm,0,8.2360,11.545
7/3/2021,05:00:00 pm,0,8.2377,11.543
7/3/2021,05:10:00 pm,0,8.2356,11.542
7/3/2021,05:20:00 pm,0,8.2357,11.540
7/3/2021,05:30:00 pm,0,8.2349,11.539
7/3/2021,05:40:00 pm,0,8.2342,11.538
7/3/2021,05:50:00 pm,0,8.2353,11.536
7/3/2021,06:00:00 pm,0,8.2376,11.535
7/3/2021,06:10:00 pm,0,8.2396,11.533
7/3/2021,06:20:00 pm,0,8.2362,11.532
7/3/2021,06:30:00 pm,0,8.2339,11.530
7/3/2021,06:40:00 pm,0,8.2328,11.529
7/3/2021,06:50:00 pm,0,8.2336,11.528
7/3/2021,07:00:00 pm,0,8.2321,11.527
7/3/2021,07:10:00 pm,0,8.2326,11.526
7/3/2021,07:20:00 pm,0,8.2308,11.526
7/3/2021,07:30:00 pm,0,8.2302,11.526
7/3/2021,07:40:00 pm,0,8.2296,11.525
7/3/2021,07:50:00 pm,0,8.2285,11.524
7/3/2021,08:00:00 pm,0,8.2288,11.524
7/3/2021,08:10:00 pm,0,8.2310,11.523
7/3/2021,08:20:00 pm,0,8.2316,11.522
7/3/2021,08:30:00 pm,0,8.2307,11.522
7/3/2021,08:40:00 pm,0,8.2323,11.521
7/3/2021,08:50:00 pm,0,8.2338,11.521
7/3/2021,09:00:00 pm,0,8.2338,11.520
7/3/2021,09:10:00 pm,0,8.2348,11.520
7/3/2021,09:20:00 pm,0,8.2362,11.519
7/3/2021,09:30:00 pm,0,8.2380,11.519
7/3/2021,09:40:00 pm,0,8.2411,11.519
7/3/2021,09:50:00 pm,0,8.2418,11.518
7/3/2021,10:00:00 pm,0,8.2439,11.518
7/3/2021,10:10:00 pm,0,8.2465,11.518
7/3/2021,10:20:00 pm,0,8.2481,11.517
7/3/2021,10:30:00 pm,0,8.2503,11.517
7/3/2021,10:40:00 pm,0,8.2516,11.517
7/3/2021,10:50:00 pm,0,8.2505,11.516
7/3/2021,11:00:00 pm,0,8.2498,11.516
7/3/2021,11:10:00 pm,0,8.2499,11.516
7/3/2021,11:20:00 pm,0,8.2507,11.517
7/3/2021,11:30:00 pm,0,8.2516,11.516
7/3/2021,11:40:00 pm,0,8.2518,11.516
7/3/2021,11:50:00 pm,0,8.2520,11.517
7/4/2021,12:00:00 am,0,8.2515,11.517
7/4/2021,12:10:00 am,0,8.2511,11.517
7/4/2021,12:20:00 am,0,8.2517,11.517
7/4/2021,12:30:00 am,0,8.2526,11.517
7/4/2021,12:40:00 am,0,8.2522,11.517
7/4/2021,12:50:00 am,0,8.2523,11.517
7/4/2021,01:00:00 am,0,8.2541,11.518
7/4/2021,01:10:00 am,0,8.2545,11.518
7/4/2021,01:20:00 am,0,8.2537,11.518
7/4/2021,01:30:00 am,0,8.2526,11.518
7/4/2021,01:40:00 am,0,8.2532,11.518
7/4/2021,01:50:00 am,0,8.2534,11.519
7/4/2021,02:00:00 am,0,8.2541,11.519
7/4/2021,02:10:00 am,0,8.2542,11.519
7/4/2021,02:20:00 am,0,8.2551,11.519
7/4/2021,02:30:00 am,0,8.2514,11.519
7/4/2021,02:40:00 am,0,8.2454,11.519
7/4/2021,02:50:00 am,0,8.2497,11.520
7/4/2021,03:00:00 am,0,8.2500,11.520
7/4/2021,03:10:00 am,0,8.2505,11.521
7/4/2021,03:20:00 am,0,8.2505,11.521
7/4/2021,03:30:00 am,0,8.2537,11.521
7/4/2021,03:40:00 am,0,8.2547,11.521
7/4/2021,03:50:00 am,0,8.2535,11.521
7/4/2021,04:00:00 am,0,8.2519,11.521
7/4/2021,04:10:00 am,0,8.2470,11.521
7/4/2021,04:20:00 am,0,8.2456,11.522
7/4/2021,04:30:00 am,0,8.2413,11.522
7/4/2021,04:40:00 am,0,8.2412,11.523
7/4/2021,04:50:00 am,0,8.2432,11.523
7/4/2021,05:00:00 am,0,8.2454,11.523
7/4/2021,05:10:00 am,0,8.2493,11.523
7/4/2021,05:20:00 am,0,8.2492,11.523
7/4/2021,05:30:00 am,0,8.2497,11.524
7/4/2021,05:40:00 am,0,8.2507,11.524
7/4/2021,05:50:00 am,0,8.2505,11.524
7/4/2021,06:00:00 am,0,8.2504,11.524
7/4/2021,06:10:00 am,0,8.2500,11.524
7/4/2021,06:20:00 am,0,8.2495,11.524
7/4/2021,06:30:00 am,0,8.2481,11.525
7/4/2021,06:40:00 am,0,8.2477,11.525
7/4/2021,06:50:00 am,0,8.2466,11.525
7/4/2021,07:00:00 am,0,8.2458,11.526
7/4/2021,07:10:00 am,0,8.2455,11.526
7/4/2021,07:20:00 am,0,8.2455,11.527
7/4/2021,07:30:00 am,0,8.2464,11.527
7/4/2021,07:40:00 am,0,8.2468,11.527
7/4/2021,07:50:00 am,0,8.2473,11.529
7/4/2021,08:00:00 am,0,8.2469,11.528
7/4/2021,08:10:00 am,0,8.2469,11.529
7/4/2021,08:20:00 am,0,8.2477,11.530
7/4/2021,08:30:00 am,0,8.2479,11.530
7/4/2021,08:40:00 am,0,8.2485,11.530
7/4/2021,08:50:00 am,0,8.2479,11.531
7/4/2021,09:00:00 am,0,8.2472,11.532
7/4/2021,09:10:00 am,0,8.2473,11.533
7/4/2021,09:20:00 am,0,8.2468,11.533
7/4/2021,09:30:00 am,0,8.2462,11.533
7/4/2021,09:40:00 am,0,8.2455,11.534
7/4/2021,09:50:00 am,0,8.2454,11.534
7/4/2021,10:00:00 am,0,8.2455,11.535
7/4/2021,10:10:00 am,0,8.2455,11.535
7/4/2021,10:20:00 am,0,8.2455,11.536
7/4/2021,10:30:00 am,0,8.2459,11.536
7/4/2021,10:40:00 am,0,8.2455,11.537
7/4/2021,10:50:00 am,0,8.2453,11.537
7/4/2021,11:00:00 am,0,8.2453,11.538
7/4/2021,11:10:00 am,0,8.2455,11.539
7/4/2021,11:20:00 am,0,8.2455,11.540
7/4/2021,11:30:00 am,0,8.2462,11.540
7/4/2021,11:40:00 am,0,8.2461,11.540
7/4/2021,11:50:00 am,0,8.2466,11.541
7/4/2021,12:00:00 pm,0,8.2462,11.542
7/4/2021,12:10:00 pm,0,8.2458,11.543
7/4/2021,12:20:00 pm,0,8.2453,11.543
7/4/2021,12:30:00 pm,0,8.2458,11.544
7/4/2021,12:40:00 pm,0,8.2456,11.545
7/4/2021,12:50:00 pm,0,8.2455,11.546
7/4/2021,01:00:00 pm,0,8.2444,11.547
7/4/2021,01:10:00 pm,0,8.2441,11.548
7/4/2021,01:20:00 pm,0,8.2433,11.549
7/4/2021,01:30:00 pm,0,8.2433,11.550
7/4/2021,01:40:00 pm,0,8.2431,11.551
7/4/2021,01:50:00 pm,0,8.2416,11.552
7/4/2021,02:00:00 pm,0,8.2401,11.554
7/4/2021,02:10:00 pm,0,8.2407,11.555
7/4/2021,02:20:00 pm,0,8.2400,11.556
7/4/2021,02:30:00 pm,0,8.2387,11.558
7/4/2021,02:40:00 pm,0,8.2380,11.559
7/4/2021,02:50:00 pm,0,8.2381,11.560
7/4/2021,03:00:00 pm,0,8.2369,11.561
7/4/2021,03:10:00 pm,0,8.2361,11.563
7/4/2021,03:20:00 pm,0,8.2359,11.564
7/4/2021,03:30:00 pm,0,8.2354,11.565
7/4/2021,03:40:00 pm,0,8.2356,11.566
7/4/2021,03:50:00 pm,0,8.2354,11.567
