Serial_number:
2091639
Project ID:
ISEECI
Location:
4
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/27/2018,03:00:00 pm,0,8.2468,30.531
7/27/2018,03:10:00 pm,0,8.7420,12.791
7/27/2018,03:20:00 pm,0,8.7561,12.235
7/27/2018,03:30:00 pm,0,8.7603,12.028
7/27/2018,03:40:00 pm,0,8.7588,11.916
7/27/2018,03:50:00 pm,0,8.7548,11.846
7/27/2018,04:00:00 pm,0,8.7499,11.799
7/27/2018,04:10:00 pm,0,8.7457,11.766
7/27/2018,04:20:00 pm,0,8.7417,11.742
7/27/2018,04:30:00 pm,0,8.7396,11.724
7/27/2018,04:40:00 pm,0,8.7366,11.710
7/27/2018,04:50:00 pm,0,8.7343,11.699
7/27/2018,05:00:00 pm,0,8.7327,11.691
7/27/2018,05:10:00 pm,0,8.7310,11.684
7/27/2018,05:20:00 pm,0,8.7299,11.678
7/27/2018,05:30:00 pm,0,8.7286,11.672
7/27/2018,05:40:00 pm,0,8.7276,11.667
7/27/2018,05:50:00 pm,0,8.7263,11.664
7/27/2018,06:00:00 pm,0,8.7257,11.660
7/27/2018,06:10:00 pm,0,8.7245,11.658
7/27/2018,06:20:00 pm,0,8.7243,11.655
7/27/2018,06:30:00 pm,0,8.7238,11.652
7/27/2018,06:40:00 pm,0,8.7239,11.650
7/27/2018,06:50:00 pm,0,8.7243,11.648
7/27/2018,07:00:00 pm,0,8.7244,11.646
7/27/2018,07:10:00 pm,0,8.7260,11.643
7/27/2018,07:20:00 pm,0,8.7278,11.639
7/27/2018,07:30:00 pm,0,8.7304,11.637
7/27/2018,07:40:00 pm,0,8.7325,11.633
7/27/2018,07:50:00 pm,0,8.7349,11.630
7/27/2018,08:00:00 pm,0,8.7371,11.628
7/27/2018,08:10:00 pm,0,8.7392,11.625
7/27/2018,08:20:00 pm,0,8.7416,11.623
