Serial_number:
2195841
Project ID:
SAGE-EEF-1
Location:
9
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/14/2024,05:00:00 pm,0,8.3370,11.171
7/14/2024,05:10:00 pm,0,8.3363,11.167
7/14/2024,05:20:00 pm,0,8.3357,11.168
7/14/2024,05:30:00 pm,0,8.3351,11.166
7/14/2024,05:40:00 pm,0,8.3360,11.164
7/14/2024,05:50:00 pm,0,8.3372,11.163
7/14/2024,06:00:00 pm,0,8.3370,11.162
7/14/2024,06:10:00 pm,0,8.3364,11.163
7/14/2024,06:20:00 pm,0,8.3362,11.161
7/14/2024,06:30:00 pm,0,8.3358,11.162
7/14/2024,06:40:00 pm,0,8.3359,11.160
7/14/2024,06:50:00 pm,0,8.3362,11.158
7/14/2024,07:00:00 pm,0,8.3353,11.158
7/14/2024,07:10:00 pm,0,8.3345,11.158
7/14/2024,07:20:00 pm,0,8.3352,11.156
7/14/2024,07:30:00 pm,0,8.3362,11.156
7/14/2024,07:40:00 pm,0,8.3363,11.155
7/14/2024,07:50:00 pm,0,8.3366,11.157
7/14/2024,08:00:00 pm,0,8.3353,11.156
7/14/2024,08:10:00 pm,0,8.3357,11.153
7/14/2024,08:20:00 pm,0,8.3365,11.156
7/14/2024,08:30:00 pm,0,8.3369,11.153
7/14/2024,08:40:00 pm,0,8.3379,11.153
7/14/2024,08:50:00 pm,0,8.3390,11.152
7/14/2024,09:00:00 pm,0,8.3404,11.151
7/14/2024,09:10:00 pm,0,8.3415,11.151
7/14/2024,09:20:00 pm,0,8.3424,11.150
7/14/2024,09:30:00 pm,0,8.3437,11.151
7/14/2024,09:40:00 pm,0,8.3445,11.152
7/14/2024,09:50:00 pm,0,8.3458,11.150
7/14/2024,10:00:00 pm,0,8.3464,11.150
7/14/2024,10:10:00 pm,0,8.3474,11.151
7/14/2024,10:20:00 pm,0,8.3482,11.150
7/14/2024,10:30:00 pm,0,8.3490,11.152
7/14/2024,10:40:00 pm,0,8.3495,11.153
7/14/2024,10:50:00 pm,0,8.3497,11.153
7/14/2024,11:00:00 pm,0,8.3500,11.154
7/14/2024,11:10:00 pm,0,8.3504,11.153
7/14/2024,11:20:00 pm,0,8.3511,11.154
7/14/2024,11:30:00 pm,0,8.3517,11.153
7/14/2024,11:40:00 pm,0,8.3517,11.152
7/14/2024,11:50:00 pm,0,8.3522,11.154
7/15/2024,12:00:00 am,0,8.3524,11.156
7/15/2024,12:10:00 am,0,8.3525,11.156
7/15/2024,12:20:00 am,0,8.3526,11.157
7/15/2024,12:30:00 am,0,8.3529,11.155
7/15/2024,12:40:00 am,0,8.3531,11.156
7/15/2024,12:50:00 am,0,8.3533,11.157
7/15/2024,01:00:00 am,0,8.3528,11.157
7/15/2024,01:10:00 am,0,8.3526,11.156
7/15/2024,01:20:00 am,0,8.3526,11.155
7/15/2024,01:30:00 am,0,8.3527,11.155
7/15/2024,01:40:00 am,0,8.3526,11.156
7/15/2024,01:50:00 am,0,8.3520,11.156
7/15/2024,02:00:00 am,0,8.3516,11.158
7/15/2024,02:10:00 am,0,8.3511,11.159
7/15/2024,02:20:00 am,0,8.3511,11.158
7/15/2024,02:30:00 am,0,8.3502,11.160
7/15/2024,02:40:00 am,0,8.3498,11.157
7/15/2024,02:50:00 am,0,8.3492,11.158
7/15/2024,03:00:00 am,0,8.3486,11.159
7/15/2024,03:10:00 am,0,8.3487,11.158
7/15/2024,03:20:00 am,0,8.3494,11.160
7/15/2024,03:30:00 am,0,8.3496,11.160
7/15/2024,03:40:00 am,0,8.3497,11.162
7/15/2024,03:50:00 am,0,8.3493,11.161
7/15/2024,04:00:00 am,0,8.3489,11.163
