Serial_number:
2092351
Project ID:
ISEECI
Location:
1
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/27/2018,03:00:00 pm,0,8.4341,10.301
7/27/2018,03:10:00 pm,0,8.4387,10.091
7/27/2018,03:20:00 pm,0,8.4407,9.976
7/27/2018,03:30:00 pm,0,8.4405,9.905
7/27/2018,03:40:00 pm,0,8.4389,9.857
7/27/2018,03:50:00 pm,0,8.4374,9.823
7/27/2018,04:00:00 pm,0,8.4356,9.799
7/27/2018,04:10:00 pm,0,8.4340,9.780
7/27/2018,04:20:00 pm,0,8.4322,9.765
7/27/2018,04:30:00 pm,0,8.4305,9.754
7/27/2018,04:40:00 pm,0,8.4292,9.744
7/27/2018,04:50:00 pm,0,8.4281,9.736
7/27/2018,05:00:00 pm,0,8.4278,9.730
7/27/2018,05:10:00 pm,0,8.4272,9.725
7/27/2018,05:20:00 pm,0,8.4273,9.720
7/27/2018,05:30:00 pm,0,8.4278,9.716
7/27/2018,05:40:00 pm,0,8.4278,9.711
7/27/2018,05:50:00 pm,0,8.4290,9.709
7/27/2018,06:00:00 pm,0,8.4298,9.705
7/27/2018,06:10:00 pm,0,8.4312,9.702
7/27/2018,06:20:00 pm,0,8.4328,9.700
7/27/2018,06:30:00 pm,0,8.4349,9.697
7/27/2018,06:40:00 pm,0,8.4371,9.695
7/27/2018,06:50:00 pm,0,8.4396,9.693
7/27/2018,07:00:00 pm,0,8.4428,9.691
7/27/2018,07:10:00 pm,0,8.4462,9.689
7/27/2018,07:20:00 pm,0,8.4498,9.686
7/27/2018,07:30:00 pm,0,8.4538,9.684
7/27/2018,07:40:00 pm,0,8.4581,9.682
7/27/2018,07:50:00 pm,0,8.4622,9.681
7/27/2018,08:00:00 pm,0,8.4673,9.680
7/27/2018,08:10:00 pm,0,8.4718,9.678
7/27/2018,08:20:00 pm,0,8.4773,9.677
7/27/2018,08:30:00 pm,0,8.4820,9.676
7/27/2018,08:40:00 pm,0,8.4872,9.674
7/27/2018,08:50:00 pm,0,8.4923,9.674
7/27/2018,09:00:00 pm,0,8.4973,9.673
7/27/2018,09:10:00 pm,0,8.5015,9.672
7/27/2018,09:20:00 pm,0,8.5062,9.671
7/27/2018,09:30:00 pm,0,8.5107,9.670
7/27/2018,09:40:00 pm,0,8.5147,9.670
7/27/2018,09:50:00 pm,0,8.5184,9.669
7/27/2018,10:00:00 pm,0,8.5219,9.669
7/27/2018,10:10:00 pm,0,8.5253,9.669
7/27/2018,10:20:00 pm,0,8.5285,9.668
7/27/2018,10:30:00 pm,0,8.5316,9.668
7/27/2018,10:40:00 pm,0,8.5348,9.667
