Serial_number:,,,,
2092351,,,,
Project ID:,,,,
ISEECI,,,,
Location:,,,,
1,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
6/2/2019,12:00:00 PM,0,9.1649,3.899
6/2/2019,12:10:00 PM,0,9.1654,3.887
6/2/2019,12:20:00 PM,0,9.1663,3.879
6/2/2019,12:30:00 PM,0,9.1671,3.872
6/2/2019,12:40:00 PM,0,9.1663,3.866
6/2/2019,12:50:00 PM,0,9.1661,3.862
6/2/2019,1:00:00 PM,0,9.1663,3.858
6/2/2019,1:10:00 PM,0,9.1656,3.856
6/2/2019,1:20:00 PM,0,9.1641,3.853
6/2/2019,1:30:00 PM,0,9.1642,3.851
6/2/2019,1:40:00 PM,0,9.1638,3.849
6/2/2019,1:50:00 PM,0,9.1632,3.848
6/2/2019,2:00:00 PM,0,9.1635,3.846
6/2/2019,2:10:00 PM,0,9.1716,3.845
6/2/2019,2:20:00 PM,0,9.1887,3.845
6/2/2019,2:30:00 PM,0,9.1909,3.843
6/2/2019,2:40:00 PM,0,9.1942,3.842
6/2/2019,2:50:00 PM,0,9.1917,3.841
6/2/2019,3:00:00 PM,0,9.1915,3.841
6/2/2019,3:10:00 PM,0,9.1893,3.84
6/2/2019,3:20:00 PM,0,9.187,3.84
6/2/2019,3:30:00 PM,0,9.1852,3.839
6/2/2019,3:40:00 PM,0,9.1835,3.839
6/2/2019,3:50:00 PM,0,9.1801,3.839
6/2/2019,4:00:00 PM,0,9.1779,3.839
6/2/2019,4:10:00 PM,0,9.1762,3.839
6/2/2019,4:20:00 PM,0,9.1744,3.839
6/2/2019,4:30:00 PM,0,9.1731,3.84
6/2/2019,4:40:00 PM,0,9.1741,3.84
6/2/2019,4:50:00 PM,0,9.1769,3.84
6/2/2019,5:00:00 PM,0,9.1778,3.84
6/2/2019,5:10:00 PM,0,9.1777,3.84
6/2/2019,5:20:00 PM,0,9.1764,3.84
6/2/2019,5:30:00 PM,0,9.1762,3.841
6/2/2019,5:40:00 PM,0,9.1753,3.84
6/2/2019,5:50:00 PM,0,9.1753,3.84
6/2/2019,6:00:00 PM,0,9.1751,3.841
6/2/2019,6:10:00 PM,0,9.1749,3.841
