Serial_number:
2092377
Project ID:
ISEECI
Location:
5
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/26/2018,06:00:00 pm,0,8.2208,24.245
8/26/2018,06:10:00 pm,0,8.2243,23.467
8/26/2018,06:20:00 pm,0,8.2195,22.387
8/26/2018,06:30:00 pm,0,8.2212,21.231
8/26/2018,06:40:00 pm,0,8.2206,20.470
8/26/2018,06:50:00 pm,0,8.2215,19.929
8/26/2018,07:00:00 pm,0,8.2230,19.512
8/26/2018,07:10:00 pm,0,8.2230,19.174
8/26/2018,07:20:00 pm,0,8.2251,18.885
8/26/2018,07:30:00 pm,0,8.2253,18.638
8/26/2018,07:40:00 pm,0,8.2253,18.447
8/26/2018,07:50:00 pm,0,8.2271,18.289
8/26/2018,08:00:00 pm,0,8.2266,18.163
8/26/2018,08:10:00 pm,0,8.2276,18.033
8/26/2018,08:20:00 pm,0,8.2290,17.925
8/26/2018,08:30:00 pm,0,8.2286,17.820
8/26/2018,08:40:00 pm,0,8.2294,17.703
8/26/2018,08:50:00 pm,0,8.2299,17.575
8/26/2018,09:00:00 pm,0,8.2312,17.389
8/26/2018,09:10:00 pm,0,8.2305,17.209
8/26/2018,09:20:00 pm,0,8.2309,17.062
8/26/2018,09:30:00 pm,0,8.2303,16.941
8/26/2018,09:40:00 pm,0,8.2300,16.838
8/26/2018,09:50:00 pm,0,8.2284,16.771
8/26/2018,10:00:00 pm,0,8.2171,16.713
8/26/2018,10:10:00 pm,0,8.1938,16.331
8/26/2018,10:20:00 pm,0,8.1942,16.164
8/26/2018,10:30:00 pm,0,8.1940,16.022
8/26/2018,10:40:00 pm,0,8.1937,15.872
8/26/2018,10:50:00 pm,0,8.1934,15.702
8/26/2018,11:00:00 pm,0,8.1945,15.513
8/26/2018,11:10:00 pm,0,8.1940,15.304
8/26/2018,11:20:00 pm,0,8.1943,15.082
8/26/2018,11:30:00 pm,0,8.1950,14.847
8/26/2018,11:40:00 pm,0,8.1959,14.603
8/26/2018,11:50:00 pm,0,8.1960,14.349
8/27/2018,12:00:00 am,0,8.1951,14.087
8/27/2018,12:10:00 am,0,8.1950,13.817
8/27/2018,12:20:00 am,0,8.1948,13.542
8/27/2018,12:30:00 am,0,8.1949,13.260
8/27/2018,12:40:00 am,0,8.1943,12.976
8/27/2018,12:50:00 am,0,8.1944,12.689
8/27/2018,01:00:00 am,0,8.1940,12.403
8/27/2018,01:10:00 am,0,8.1934,12.115
8/27/2018,01:20:00 am,0,8.1918,11.827
8/27/2018,01:30:00 am,0,8.1911,11.540
8/27/2018,01:40:00 am,0,8.1910,11.254
8/27/2018,01:50:00 am,0,8.1895,10.970
8/27/2018,02:00:00 am,0,8.1890,10.689
8/27/2018,02:10:00 am,0,8.1892,10.411
8/27/2018,02:20:00 am,0,8.1883,10.136
8/27/2018,02:30:00 am,0,8.1880,9.865
8/27/2018,02:40:00 am,0,8.1872,9.599
8/27/2018,02:50:00 am,0,8.1870,9.334
8/27/2018,03:00:00 am,0,8.1864,9.073
8/27/2018,03:10:00 am,0,8.1866,8.816
