Serial_number:
2092161
Project ID:
ISEECI
Location:
3
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/24/2018,02:30:00 pm,0,8.1838,17.786
8/24/2018,02:40:00 pm,0,8.1820,15.432
8/24/2018,02:50:00 pm,0,8.1809,14.070
8/24/2018,03:00:00 pm,0,8.1796,13.211
8/24/2018,03:10:00 pm,0,8.1788,12.649
8/24/2018,03:20:00 pm,0,8.1778,12.275
8/24/2018,03:30:00 pm,0,8.1775,12.024
8/24/2018,03:40:00 pm,0,8.1771,11.855
8/24/2018,03:50:00 pm,0,8.1759,11.740
8/24/2018,04:00:00 pm,0,8.1753,11.662
8/24/2018,04:10:00 pm,0,8.1749,11.607
8/24/2018,04:20:00 pm,0,8.1754,11.569
8/24/2018,04:30:00 pm,0,8.1750,11.541
8/24/2018,04:40:00 pm,0,8.1750,11.520
8/24/2018,04:50:00 pm,0,8.1755,11.505
8/24/2018,05:00:00 pm,0,8.1756,11.492
8/24/2018,05:10:00 pm,0,8.1747,11.482
8/24/2018,05:20:00 pm,0,8.1751,11.473
8/24/2018,05:30:00 pm,0,8.1749,11.466
8/24/2018,05:40:00 pm,0,8.1755,11.460
8/24/2018,05:50:00 pm,0,8.1754,11.455
8/24/2018,06:00:00 pm,0,8.1757,11.450
8/24/2018,06:10:00 pm,0,8.1760,11.446
8/24/2018,06:20:00 pm,0,8.1762,11.442
8/24/2018,06:30:00 pm,0,8.1762,11.438
8/24/2018,06:40:00 pm,0,8.1765,11.435
8/24/2018,06:50:00 pm,0,8.1767,11.431
8/24/2018,07:00:00 pm,0,8.1769,11.428
8/24/2018,07:10:00 pm,0,8.1777,11.425
8/24/2018,07:20:00 pm,0,8.1781,11.423
8/24/2018,07:30:00 pm,0,8.1780,11.420
8/24/2018,07:40:00 pm,0,8.1794,11.417
8/24/2018,07:50:00 pm,0,8.1801,11.414
8/24/2018,08:00:00 pm,0,8.1796,11.412
8/24/2018,08:10:00 pm,0,8.1799,11.410
8/24/2018,08:20:00 pm,0,8.1805,11.408
8/24/2018,08:30:00 pm,0,8.1807,11.406
8/24/2018,08:40:00 pm,0,8.1819,11.403
8/24/2018,08:50:00 pm,0,8.1829,11.401
8/24/2018,09:00:00 pm,0,8.1838,11.400
8/24/2018,09:10:00 pm,0,8.1842,11.398
8/24/2018,09:20:00 pm,0,8.1847,11.396
8/24/2018,09:30:00 pm,0,8.1846,11.394
8/24/2018,09:40:00 pm,0,8.1845,11.392
8/24/2018,09:50:00 pm,0,8.1841,11.391
8/24/2018,10:00:00 pm,0,8.1842,11.389
8/24/2018,10:10:00 pm,0,8.1843,11.387
8/24/2018,10:20:00 pm,0,8.1845,11.386
8/24/2018,10:30:00 pm,0,8.1847,11.384
8/24/2018,10:40:00 pm,0,8.1838,11.383
8/24/2018,10:50:00 pm,0,8.1836,11.381
8/24/2018,11:00:00 pm,0,8.1833,11.380
8/24/2018,11:10:00 pm,0,8.1833,11.379
8/24/2018,11:20:00 pm,0,8.1832,11.377
8/24/2018,11:30:00 pm,0,8.1834,11.376
8/24/2018,11:40:00 pm,0,8.1834,11.375
8/24/2018,11:50:00 pm,0,8.1827,11.373
8/25/2018,12:00:00 am,0,8.1822,11.372
8/25/2018,12:10:00 am,0,8.1817,11.371
8/25/2018,12:20:00 am,0,8.1821,11.370
8/25/2018,12:30:00 am,0,8.1822,11.369
8/25/2018,12:40:00 am,0,8.1831,11.367
8/25/2018,12:50:00 am,0,8.1830,11.366
8/25/2018,01:00:00 am,0,8.1834,11.365
8/25/2018,01:10:00 am,0,8.1831,11.364
8/25/2018,01:20:00 am,0,8.1825,11.363
8/25/2018,01:30:00 am,0,8.1824,11.362
8/25/2018,01:40:00 am,0,8.1824,11.361
8/25/2018,01:50:00 am,0,8.1821,11.360
8/25/2018,02:00:00 am,0,8.1818,11.359
8/25/2018,02:10:00 am,0,8.1818,11.358
8/25/2018,02:20:00 am,0,8.1819,11.357
8/25/2018,02:30:00 am,0,8.1823,11.356
8/25/2018,02:40:00 am,0,8.1819,11.355
8/25/2018,02:50:00 am,0,8.1822,11.354
8/25/2018,03:00:00 am,0,8.1825,11.354
8/25/2018,03:10:00 am,0,8.1821,11.353
8/25/2018,03:20:00 am,0,8.1823,11.352
8/25/2018,03:30:00 am,0,8.1823,11.351
8/25/2018,03:40:00 am,0,8.1813,11.351
8/25/2018,03:50:00 am,0,8.1815,11.350
8/25/2018,04:00:00 am,0,8.1809,11.349
8/25/2018,04:10:00 am,0,8.1813,11.349
8/25/2018,04:20:00 am,0,8.1809,11.348
8/25/2018,04:30:00 am,0,8.1807,11.347
8/25/2018,04:40:00 am,0,8.1802,11.347
8/25/2018,04:50:00 am,0,8.1802,11.346
8/25/2018,05:00:00 am,0,8.1807,11.345
8/25/2018,05:10:00 am,0,8.1816,11.345
8/25/2018,05:20:00 am,0,8.1816,11.344
8/25/2018,05:30:00 am,0,8.1820,11.344
8/25/2018,05:40:00 am,0,8.1823,11.343
8/25/2018,05:50:00 am,0,8.1831,11.342
8/25/2018,06:00:00 am,0,8.1840,11.342
8/25/2018,06:10:00 am,0,8.1840,11.342
8/25/2018,06:20:00 am,0,8.1845,11.341
8/25/2018,06:30:00 am,0,8.1849,11.341
8/25/2018,06:40:00 am,0,8.1852,11.340
8/25/2018,06:50:00 am,0,8.1852,11.340
8/25/2018,07:00:00 am,0,8.1845,11.339
8/25/2018,07:10:00 am,0,8.1845,11.129
8/25/2018,07:20:00 am,0,8.1849,11.227
8/25/2018,07:30:00 am,0,8.1855,11.271
8/25/2018,07:40:00 am,0,8.1857,11.293
8/25/2018,07:50:00 am,0,8.1853,11.305
8/25/2018,08:00:00 am,0,8.1862,11.313
8/25/2018,08:10:00 am,0,8.1862,11.318
8/25/2018,08:20:00 am,0,8.1863,11.320
8/25/2018,08:30:00 am,0,8.1864,11.323
8/25/2018,08:40:00 am,0,8.1858,11.324
8/25/2018,08:50:00 am,0,8.1857,11.326
8/25/2018,09:00:00 am,0,8.1861,11.327
8/25/2018,09:10:00 am,0,8.1869,11.327
8/25/2018,09:20:00 am,0,8.1875,11.327
8/25/2018,09:30:00 am,0,8.1884,11.328
8/25/2018,09:40:00 am,0,8.1891,11.328
8/25/2018,09:50:00 am,0,8.1895,11.328
8/25/2018,10:00:00 am,0,8.1903,11.328
8/25/2018,10:10:00 am,0,8.1910,11.328
8/25/2018,10:20:00 am,0,8.1915,11.328
8/25/2018,10:30:00 am,0,8.1922,11.327
8/25/2018,10:40:00 am,0,8.1919,11.327
8/25/2018,10:50:00 am,0,8.1927,11.327
8/25/2018,11:00:00 am,0,8.1918,11.326
8/25/2018,11:10:00 am,0,8.1918,11.327
8/25/2018,11:20:00 am,0,8.1929,11.326
8/25/2018,11:30:00 am,0,8.1925,11.326
8/25/2018,11:40:00 am,0,8.1927,11.326
8/25/2018,11:50:00 am,0,8.1923,11.325
8/25/2018,12:00:00 pm,0,8.1924,11.325
8/25/2018,12:10:00 pm,0,8.1917,11.325
8/25/2018,12:20:00 pm,0,8.1915,11.324
8/25/2018,12:30:00 pm,0,8.1921,11.324
8/25/2018,12:40:00 pm,0,8.1922,11.323
8/25/2018,12:50:00 pm,0,8.1914,11.323
8/25/2018,01:00:00 pm,0,8.1911,11.323
