Serial_number:
2092352
Project ID:
ISEECI
Location:
2
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/25/2018,12:30:00 pm,0,8.2655,34.481
7/25/2018,12:40:00 pm,0,8.5879,12.726
7/25/2018,12:50:00 pm,0,8.6269,11.121
7/25/2018,01:00:00 pm,0,8.6398,10.723
7/25/2018,01:10:00 pm,0,8.6399,10.543
7/25/2018,01:20:00 pm,0,8.6363,10.443
7/25/2018,01:30:00 pm,0,8.6323,10.383
7/25/2018,01:40:00 pm,0,8.6275,10.344
7/25/2018,01:50:00 pm,0,8.6235,10.318
7/25/2018,02:00:00 pm,0,8.6201,10.299
7/25/2018,02:10:00 pm,0,8.6166,10.285
7/25/2018,02:20:00 pm,0,8.6137,10.275
7/25/2018,02:30:00 pm,0,8.6108,10.267
7/25/2018,02:40:00 pm,0,8.6092,10.260
7/25/2018,02:50:00 pm,0,8.6077,10.255
7/25/2018,03:00:00 pm,0,8.6063,10.251
7/25/2018,03:10:00 pm,0,8.6048,10.247
7/25/2018,03:20:00 pm,0,8.6037,10.244
7/25/2018,03:30:00 pm,0,8.6027,10.242
7/25/2018,03:40:00 pm,0,8.6021,10.239
7/25/2018,03:50:00 pm,0,8.6016,10.237
7/25/2018,04:00:00 pm,0,8.6013,10.235
7/25/2018,04:10:00 pm,0,8.6008,10.233
7/25/2018,04:20:00 pm,0,8.6020,10.232
7/25/2018,04:30:00 pm,0,8.6015,10.230
7/25/2018,04:40:00 pm,0,8.6011,10.229
7/25/2018,04:50:00 pm,0,8.6013,10.227
7/25/2018,05:00:00 pm,0,8.6014,10.226
7/25/2018,05:10:00 pm,0,8.6011,10.225
7/25/2018,05:20:00 pm,0,8.6010,10.223
7/25/2018,05:30:00 pm,0,8.6013,10.222
7/25/2018,05:40:00 pm,0,8.6012,10.221
7/25/2018,05:50:00 pm,0,8.6016,10.220
7/25/2018,06:00:00 pm,0,8.6021,10.219
7/25/2018,06:10:00 pm,0,8.6026,10.218
7/25/2018,06:20:00 pm,0,8.6028,10.217
7/25/2018,06:30:00 pm,0,8.6032,10.216
7/25/2018,06:40:00 pm,0,8.6038,10.217
7/25/2018,06:50:00 pm,0,8.6049,10.216
7/25/2018,07:00:00 pm,0,8.6057,10.215
7/25/2018,07:10:00 pm,0,8.6066,10.214
7/25/2018,07:20:00 pm,0,8.6076,10.214
7/25/2018,07:30:00 pm,0,8.6087,10.213
7/25/2018,07:40:00 pm,0,8.6100,10.213
7/25/2018,07:50:00 pm,0,8.6116,10.212
7/25/2018,08:00:00 pm,0,8.6132,10.212
7/25/2018,08:10:00 pm,0,8.6151,10.212
7/25/2018,08:20:00 pm,0,8.6171,10.211
7/25/2018,08:30:00 pm,0,8.6190,10.211
7/25/2018,08:40:00 pm,0,8.6205,10.211
7/25/2018,08:50:00 pm,0,8.6227,10.211
7/25/2018,09:00:00 pm,0,8.6243,10.211
7/25/2018,09:10:00 pm,0,8.6258,10.210
7/25/2018,09:20:00 pm,0,8.6271,10.210
7/25/2018,09:30:00 pm,0,8.6283,10.210
7/25/2018,09:40:00 pm,0,8.6293,10.210
7/25/2018,09:50:00 pm,0,8.6305,10.210
