Serial_number:
2092352
Project ID:
ISEECI
Location:
2
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/5/2021,02:00:00 pm,0,8.5164,8.232
6/5/2021,02:10:00 pm,0,8.5148,7.994
6/5/2021,02:20:00 pm,0,8.5130,7.858
6/5/2021,02:30:00 pm,0,8.5116,7.770
6/5/2021,02:40:00 pm,0,8.5095,7.712
6/5/2021,02:50:00 pm,0,8.5098,7.668
6/5/2021,03:00:00 pm,0,8.5079,7.638
6/5/2021,03:10:00 pm,0,8.5069,7.614
6/5/2021,03:20:00 pm,0,8.5046,7.596
6/5/2021,03:30:00 pm,0,8.5048,7.581
6/5/2021,03:40:00 pm,0,8.5034,7.570
6/5/2021,03:50:00 pm,0,8.5034,7.562
6/5/2021,04:00:00 pm,0,8.5016,7.554
6/5/2021,04:10:00 pm,0,8.4996,7.548
6/5/2021,04:20:00 pm,0,8.4995,7.543
6/5/2021,04:30:00 pm,0,8.4983,7.539
6/5/2021,04:40:00 pm,0,8.5007,7.535
6/5/2021,04:50:00 pm,0,8.5001,7.532
6/5/2021,05:00:00 pm,0,8.4994,7.530
6/5/2021,05:10:00 pm,0,8.4999,7.527
6/5/2021,05:20:00 pm,0,8.4999,7.525
6/5/2021,05:30:00 pm,0,8.4997,7.523
6/5/2021,05:40:00 pm,0,8.4987,7.521
6/5/2021,05:50:00 pm,0,8.4991,7.520
6/5/2021,06:00:00 pm,0,8.4973,7.518
6/5/2021,06:10:00 pm,0,8.4964,7.518
6/5/2021,06:20:00 pm,0,8.4957,7.517
6/5/2021,06:30:00 pm,0,8.4958,7.516
6/5/2021,06:40:00 pm,0,8.4949,7.515
6/5/2021,06:50:00 pm,0,8.4945,7.515
6/5/2021,07:00:00 pm,0,8.4937,7.514
6/5/2021,07:10:00 pm,0,8.4931,7.515
6/5/2021,07:20:00 pm,0,8.4925,7.514
6/5/2021,07:30:00 pm,0,8.4925,7.514
6/5/2021,07:40:00 pm,0,8.4927,7.514
6/5/2021,07:50:00 pm,0,8.4921,7.514
6/5/2021,08:00:00 pm,0,8.4920,7.514
6/5/2021,08:10:00 pm,0,8.4916,7.514
6/5/2021,08:20:00 pm,0,8.4911,7.514
6/5/2021,08:30:00 pm,0,8.4905,7.515
6/5/2021,08:40:00 pm,0,8.4905,7.515
6/5/2021,08:50:00 pm,0,8.4905,7.515
6/5/2021,09:00:00 pm,0,8.4909,7.515
6/5/2021,09:10:00 pm,0,8.4921,7.515
6/5/2021,09:20:00 pm,0,8.4937,7.515
6/5/2021,09:30:00 pm,0,8.4945,7.516
6/5/2021,09:40:00 pm,0,8.4954,7.516
6/5/2021,09:50:00 pm,0,8.4959,7.516
6/5/2021,10:00:00 pm,0,8.4964,7.517
6/5/2021,10:10:00 pm,0,8.4976,7.518
6/5/2021,10:20:00 pm,0,8.4981,7.518
6/5/2021,10:30:00 pm,0,8.4983,7.518
6/5/2021,10:40:00 pm,0,8.4977,7.519
6/5/2021,10:50:00 pm,0,8.4966,7.519
6/5/2021,11:00:00 pm,0,8.4967,7.520
6/5/2021,11:10:00 pm,0,8.4961,7.520
6/5/2021,11:20:00 pm,0,8.4956,7.520
6/5/2021,11:30:00 pm,0,8.4959,7.521
6/5/2021,11:40:00 pm,0,8.4956,7.522
6/5/2021,11:50:00 pm,0,8.4950,7.522
6/6/2021,12:00:00 am,0,8.4953,7.523
6/6/2021,12:10:00 am,0,8.4952,7.524
6/6/2021,12:20:00 am,0,8.4942,7.524
6/6/2021,12:30:00 am,0,8.4942,7.524
6/6/2021,12:40:00 am,0,8.4935,7.525
6/6/2021,12:50:00 am,0,8.4933,7.526
6/6/2021,01:00:00 am,0,8.4923,7.526
6/6/2021,01:10:00 am,0,8.4916,7.526
6/6/2021,01:20:00 am,0,8.4916,7.527
6/6/2021,01:30:00 am,0,8.4915,7.528
6/6/2021,01:40:00 am,0,8.4918,7.528
6/6/2021,01:50:00 am,0,8.4905,7.529
6/6/2021,02:00:00 am,0,8.4893,7.529
6/6/2021,02:10:00 am,0,8.4889,7.530
6/6/2021,02:20:00 am,0,8.4881,7.531
6/6/2021,02:30:00 am,0,8.4878,7.531
6/6/2021,02:40:00 am,0,8.4875,7.532
6/6/2021,02:50:00 am,0,8.4870,7.533
6/6/2021,03:00:00 am,0,8.4866,7.533
6/6/2021,03:10:00 am,0,8.4857,7.534
6/6/2021,03:20:00 am,0,8.4848,7.534
6/6/2021,03:30:00 am,0,8.4843,7.534
6/6/2021,03:40:00 am,0,8.4838,7.535
6/6/2021,03:50:00 am,0,8.4833,7.536
6/6/2021,04:00:00 am,0,8.4824,7.537
6/6/2021,04:10:00 am,0,8.4826,7.538
6/6/2021,04:20:00 am,0,8.4822,7.538
6/6/2021,04:30:00 am,0,8.4828,7.539
6/6/2021,04:40:00 am,0,8.4825,7.540
6/6/2021,04:50:00 am,0,8.4827,7.541
6/6/2021,05:00:00 am,0,8.4828,7.541
6/6/2021,05:10:00 am,0,8.4827,7.542
6/6/2021,05:20:00 am,0,8.4836,7.542
6/6/2021,05:30:00 am,0,8.4830,7.543
6/6/2021,05:40:00 am,0,8.4819,7.544
6/6/2021,05:50:00 am,0,8.4819,7.544
6/6/2021,06:00:00 am,0,8.4824,7.545
6/6/2021,06:10:00 am,0,8.4820,7.546
6/6/2021,06:20:00 am,0,8.4825,7.547
6/6/2021,06:30:00 am,0,8.4828,7.548
6/6/2021,06:40:00 am,0,8.4815,7.548
6/6/2021,06:50:00 am,0,8.4807,7.549
6/6/2021,07:00:00 am,0,8.4802,7.596
6/6/2021,07:10:00 am,0,8.4792,7.718
6/6/2021,07:20:00 am,0,8.4779,7.667
6/6/2021,07:30:00 am,0,8.4775,7.633
6/6/2021,07:40:00 am,0,8.4776,7.612
6/6/2021,07:50:00 am,0,8.4767,7.597
6/6/2021,08:00:00 am,0,8.4761,7.587
6/6/2021,08:10:00 am,0,8.4755,7.581
6/6/2021,08:20:00 am,0,8.4746,7.577
6/6/2021,08:30:00 am,0,8.4741,7.574
6/6/2021,08:40:00 am,0,8.4722,7.572
6/6/2021,08:50:00 am,0,8.4708,7.571
6/6/2021,09:00:00 am,0,8.4696,7.570
6/6/2021,09:10:00 am,0,8.4694,7.569
6/6/2021,09:20:00 am,0,8.4694,7.569
6/6/2021,09:30:00 am,0,8.4673,7.568
6/6/2021,09:40:00 am,0,8.4659,7.571
6/6/2021,09:50:00 am,0,8.4647,7.569
6/6/2021,10:00:00 am,0,8.4647,7.568
6/6/2021,10:10:00 am,0,8.4654,7.568
6/6/2021,10:20:00 am,0,8.4645,7.569
6/6/2021,10:30:00 am,0,8.4627,7.569
6/6/2021,10:40:00 am,0,8.4618,7.569
6/6/2021,10:50:00 am,0,8.4605,7.569
6/6/2021,11:00:00 am,0,8.4603,7.570
6/6/2021,11:10:00 am,0,8.4599,7.570
6/6/2021,11:20:00 am,0,8.4603,7.571
6/6/2021,11:30:00 am,0,8.4594,7.570
6/6/2021,11:40:00 am,0,8.4604,7.571
6/6/2021,11:50:00 am,0,8.4601,7.571
6/6/2021,12:00:00 pm,0,8.4621,7.573
6/6/2021,12:10:00 pm,0,8.4617,7.572
6/6/2021,12:20:00 pm,0,8.4600,7.572
6/6/2021,12:30:00 pm,0,8.4586,7.573
6/6/2021,12:40:00 pm,0,8.4577,7.573
6/6/2021,12:50:00 pm,0,8.4569,7.574
6/6/2021,01:00:00 pm,0,8.4538,7.574
6/6/2021,01:10:00 pm,0,8.4539,7.575
6/6/2021,01:20:00 pm,0,8.4532,7.576
6/6/2021,01:30:00 pm,0,8.4534,7.577
6/6/2021,01:40:00 pm,0,8.4525,7.577
6/6/2021,01:50:00 pm,0,8.4516,7.578
6/6/2021,02:00:00 pm,0,8.4496,7.578
6/6/2021,02:10:00 pm,0,8.4487,7.579
6/6/2021,02:20:00 pm,0,8.4482,7.580
6/6/2021,02:30:00 pm,0,8.4463,7.580
6/6/2021,02:40:00 pm,0,8.4467,7.581
6/6/2021,02:50:00 pm,0,8.4453,7.582
6/6/2021,03:00:00 pm,0,8.4450,7.582
6/6/2021,03:10:00 pm,0,8.4446,7.583
6/6/2021,03:20:00 pm,0,8.4444,7.583
6/6/2021,03:30:00 pm,0,8.4436,7.584
6/6/2021,03:40:00 pm,0,8.4421,7.585
6/6/2021,03:50:00 pm,0,8.4418,7.586
6/6/2021,04:00:00 pm,0,8.4415,7.586
6/6/2021,04:10:00 pm,0,8.4409,7.587
6/6/2021,04:20:00 pm,0,8.4396,7.588
6/6/2021,04:30:00 pm,0,8.4385,7.588
6/6/2021,04:40:00 pm,0,8.4378,7.589
6/6/2021,04:50:00 pm,0,8.4365,7.589
6/6/2021,05:00:00 pm,0,8.4368,7.590
6/6/2021,05:10:00 pm,0,8.4369,7.590
