Serial_number:
2195852
Project ID:
SAGE-KEF-E8S
Location:
12
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/13/2024,10:00:00 am,0,8.2397,22.263
7/13/2024,10:00:10 am,0,8.2391,22.304
7/13/2024,10:00:20 am,0,8.2381,22.346
7/13/2024,10:00:30 am,0,8.2379,22.390
7/13/2024,10:00:40 am,0,8.2374,22.435
7/13/2024,10:00:50 am,0,8.2365,22.481
7/13/2024,10:01:00 am,0,8.2360,22.531
7/13/2024,10:01:10 am,0,8.2352,22.578
7/13/2024,10:01:20 am,0,8.2349,22.625
7/13/2024,10:01:30 am,0,8.2345,22.674
7/13/2024,10:01:40 am,0,8.2341,22.719
7/13/2024,10:01:50 am,0,8.2339,22.767
7/13/2024,10:02:00 am,0,8.2340,22.809
7/13/2024,10:02:10 am,0,8.2337,22.850
7/13/2024,10:02:20 am,0,8.2334,22.893
7/13/2024,10:02:30 am,0,8.2335,22.938
7/13/2024,10:02:40 am,0,8.2333,22.981
7/13/2024,10:02:50 am,0,8.2332,23.027
7/13/2024,10:03:00 am,0,8.2329,23.071
7/13/2024,10:03:10 am,0,8.2327,23.119
7/13/2024,10:03:20 am,0,8.2324,23.164
7/13/2024,10:03:30 am,0,8.2319,23.211
7/13/2024,10:03:40 am,0,8.2320,23.257
7/13/2024,10:03:50 am,0,8.2324,23.299
7/13/2024,10:04:00 am,0,8.2316,23.339
7/13/2024,10:04:10 am,0,8.2309,23.381
7/13/2024,10:04:20 am,0,8.2304,23.423
7/13/2024,10:04:30 am,0,8.2298,23.464
7/13/2024,10:04:40 am,0,8.2293,23.503
7/13/2024,10:04:50 am,0,8.2287,23.544
7/13/2024,10:05:00 am,0,8.2286,23.583
7/13/2024,10:05:10 am,0,8.2280,23.624
7/13/2024,10:05:20 am,0,8.2283,23.659
7/13/2024,10:05:30 am,0,8.2285,23.703
7/13/2024,10:05:40 am,0,8.2285,23.746
7/13/2024,10:05:50 am,0,8.2281,23.783
7/13/2024,10:06:00 am,0,8.2279,23.818
7/13/2024,10:06:10 am,0,8.2281,23.850
7/13/2024,10:06:20 am,0,8.2279,23.875
7/13/2024,10:06:30 am,0,8.2280,23.903
7/13/2024,10:06:40 am,0,8.2279,23.925
7/13/2024,10:06:50 am,0,8.2281,23.947
7/13/2024,10:07:00 am,0,8.2279,23.965
7/13/2024,10:07:10 am,0,8.2282,23.980
7/13/2024,10:07:20 am,0,8.2281,23.994
7/13/2024,10:07:30 am,0,8.2282,24.004
7/13/2024,10:07:40 am,0,8.2283,24.014
7/13/2024,10:07:50 am,0,8.2284,24.022
7/13/2024,10:08:00 am,0,8.2288,24.029
7/13/2024,10:08:10 am,0,8.2288,24.035
7/13/2024,10:08:20 am,0,8.2289,24.039
7/13/2024,10:08:30 am,0,8.2290,24.040
7/13/2024,10:08:40 am,0,8.2291,24.041
7/13/2024,10:08:50 am,0,8.2287,24.041
7/13/2024,10:09:00 am,0,8.2293,24.039
7/13/2024,10:09:10 am,0,8.2285,24.039
7/13/2024,10:09:20 am,0,8.2293,24.037
7/13/2024,10:09:30 am,0,8.2297,24.040
7/13/2024,10:09:40 am,0,8.2309,24.037
7/13/2024,10:09:50 am,0,8.2306,24.037
7/13/2024,10:10:00 am,0,8.2311,24.039
7/13/2024,10:10:10 am,0,8.2324,24.041
7/13/2024,10:10:20 am,0,8.2322,24.042
7/13/2024,10:10:30 am,0,8.2332,24.043
7/13/2024,10:10:40 am,0,8.2335,24.047
7/13/2024,10:10:50 am,0,8.2342,24.051
7/13/2024,10:11:00 am,0,8.2339,24.054
7/13/2024,10:11:10 am,0,8.2345,24.059
7/13/2024,10:11:20 am,0,8.2338,24.064
7/13/2024,10:11:30 am,0,8.2337,24.070
7/13/2024,10:11:40 am,0,8.2335,24.077
7/13/2024,10:11:50 am,0,8.2336,24.085
7/13/2024,10:12:00 am,0,8.2346,24.092
7/13/2024,10:12:10 am,0,8.2346,24.101
7/13/2024,10:12:20 am,0,8.2353,24.111
7/13/2024,10:12:30 am,0,8.2348,24.121
7/13/2024,10:12:40 am,0,8.2348,24.131
7/13/2024,10:12:50 am,0,8.2349,24.142
7/13/2024,10:13:00 am,0,8.2348,24.151
7/13/2024,10:13:10 am,0,8.2350,24.160
7/13/2024,10:13:20 am,0,8.2350,24.171
7/13/2024,10:13:30 am,0,8.2349,24.178
7/13/2024,10:13:40 am,0,8.2348,24.186
7/13/2024,10:13:50 am,0,8.2351,24.194
7/13/2024,10:14:00 am,0,8.2351,24.201
7/13/2024,10:14:10 am,0,8.2354,24.209
