Serial_number:
2195853
Project ID:
SAGE-EWR-B4N
Location:
10
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/12/2024,10:45:00 am,0,8.2764,35.156
7/12/2024,10:45:10 am,0,8.2763,35.163
7/12/2024,10:45:20 am,0,8.2761,35.169
7/12/2024,10:45:30 am,0,8.2764,35.176
7/12/2024,10:45:40 am,0,8.2762,35.182
7/12/2024,10:45:50 am,0,8.2761,35.188
7/12/2024,10:46:00 am,0,8.2766,35.191
7/12/2024,10:46:10 am,0,8.2761,35.194
7/12/2024,10:46:20 am,0,8.2761,35.199
7/12/2024,10:46:30 am,0,8.2765,35.200
7/12/2024,10:46:40 am,0,8.2764,35.208
7/12/2024,10:46:50 am,0,8.2765,35.216
7/12/2024,10:47:00 am,0,8.2761,35.221
7/12/2024,10:47:10 am,0,8.2764,35.226
7/12/2024,10:47:20 am,0,8.2764,35.233
7/12/2024,10:47:30 am,0,8.2766,35.239
7/12/2024,10:47:40 am,0,8.2762,35.247
7/12/2024,10:47:50 am,0,8.2763,35.250
7/12/2024,10:48:00 am,0,8.2762,35.255
7/12/2024,10:48:10 am,0,8.2762,35.265
7/12/2024,10:48:20 am,0,8.2762,35.272
7/12/2024,10:48:30 am,0,8.2761,35.280
7/12/2024,10:48:40 am,0,8.2764,35.286
7/12/2024,10:48:50 am,0,8.2764,35.293
7/12/2024,10:49:00 am,0,8.2764,35.299
7/12/2024,10:49:10 am,0,8.2761,35.303
7/12/2024,10:49:20 am,0,8.2763,35.311
7/12/2024,10:49:30 am,0,8.2762,35.317
7/12/2024,10:49:40 am,0,8.2762,35.321
7/12/2024,10:49:50 am,0,8.2763,35.332
7/12/2024,10:50:00 am,0,8.2764,35.335
7/12/2024,10:50:10 am,0,8.2763,35.342
7/12/2024,10:50:20 am,0,8.2764,35.347
7/12/2024,10:50:30 am,0,8.2761,35.352
7/12/2024,10:50:40 am,0,8.2761,35.357
7/12/2024,10:50:50 am,0,8.2761,35.363
7/12/2024,10:51:00 am,0,8.2761,35.369
7/12/2024,10:51:10 am,0,8.2761,35.375
7/12/2024,10:51:20 am,0,8.2759,35.381
7/12/2024,10:51:30 am,0,8.2760,35.385
7/12/2024,10:51:40 am,0,8.2761,35.390
7/12/2024,10:51:50 am,0,8.2758,35.398
7/12/2024,10:52:00 am,0,8.2759,35.401
7/12/2024,10:52:10 am,0,8.2762,35.407
7/12/2024,10:52:20 am,0,8.2761,35.414
7/12/2024,10:52:30 am,0,8.2760,35.422
7/12/2024,10:52:40 am,0,8.2759,35.430
7/12/2024,10:52:50 am,0,8.2758,35.437
7/12/2024,10:53:00 am,0,8.2760,35.443
7/12/2024,10:53:10 am,0,8.2759,35.450
7/12/2024,10:53:20 am,0,8.2762,35.458
7/12/2024,10:53:30 am,0,8.2759,35.464
7/12/2024,10:53:40 am,0,8.2761,35.472
7/12/2024,10:53:50 am,0,8.2760,35.477
7/12/2024,10:54:00 am,0,8.2761,35.485
7/12/2024,10:54:10 am,0,8.2761,35.491
7/12/2024,10:54:20 am,0,8.2761,35.496
7/12/2024,10:54:30 am,0,8.2760,35.501
7/12/2024,10:54:40 am,0,8.2763,35.509
7/12/2024,10:54:50 am,0,8.2760,35.515
7/12/2024,10:55:00 am,0,8.2760,35.523
7/12/2024,10:55:10 am,0,8.2759,35.528
7/12/2024,10:55:20 am,0,8.2759,35.534
7/12/2024,10:55:30 am,0,8.2760,35.544
7/12/2024,10:55:40 am,0,8.2761,35.550
7/12/2024,10:55:50 am,0,8.2761,35.557
7/12/2024,10:56:00 am,0,8.2762,35.564
7/12/2024,10:56:10 am,0,8.2759,35.569
7/12/2024,10:56:20 am,0,8.2762,35.578
7/12/2024,10:56:30 am,0,8.2762,35.586
7/12/2024,10:56:40 am,0,8.2759,35.590
7/12/2024,10:56:50 am,0,8.2761,35.598
7/12/2024,10:57:00 am,0,8.2761,35.604
7/12/2024,10:57:10 am,0,8.2761,35.608
7/12/2024,10:57:20 am,0,8.2760,35.614
7/12/2024,10:57:30 am,0,8.2748,35.616
