Serial_number:
2196027
Project ID:
SAGE-KWR-1
Location:
8
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/13/2024,10:00:00 am,0,8.2311,21.767
7/13/2024,10:00:10 am,0,8.2303,21.775
7/13/2024,10:00:20 am,0,8.2298,21.784
7/13/2024,10:00:30 am,0,8.2301,21.793
7/13/2024,10:00:40 am,0,8.2303,21.805
7/13/2024,10:00:50 am,0,8.2296,21.814
7/13/2024,10:01:00 am,0,8.2290,21.824
7/13/2024,10:01:10 am,0,8.2286,21.837
7/13/2024,10:01:20 am,0,8.2288,21.847
7/13/2024,10:01:30 am,0,8.2293,21.859
7/13/2024,10:01:40 am,0,8.2278,21.871
7/13/2024,10:01:50 am,0,8.2275,21.883
7/13/2024,10:02:00 am,0,8.2276,21.896
7/13/2024,10:02:10 am,0,8.2274,21.907
7/13/2024,10:02:20 am,0,8.2273,21.923
7/13/2024,10:02:30 am,0,8.2274,21.936
7/13/2024,10:02:40 am,0,8.2276,21.951
7/13/2024,10:02:50 am,0,8.2272,21.963
7/13/2024,10:03:00 am,0,8.2274,21.978
7/13/2024,10:03:10 am,0,8.2272,21.991
7/13/2024,10:03:20 am,0,8.2272,22.004
7/13/2024,10:03:30 am,0,8.2270,22.020
7/13/2024,10:03:40 am,0,8.2271,22.032
7/13/2024,10:03:50 am,0,8.2255,22.051
7/13/2024,10:04:00 am,0,8.2278,22.060
7/13/2024,10:04:10 am,0,8.2270,22.075
7/13/2024,10:04:20 am,0,8.2255,22.090
7/13/2024,10:04:30 am,0,8.2248,22.104
7/13/2024,10:04:40 am,0,8.2250,22.119
7/13/2024,10:04:50 am,0,8.2243,22.133
7/13/2024,10:05:00 am,0,8.2241,22.150
7/13/2024,10:05:10 am,0,8.2242,22.162
7/13/2024,10:05:20 am,0,8.2230,22.178
7/13/2024,10:05:30 am,0,8.2232,22.197
7/13/2024,10:05:40 am,0,8.2230,22.212
7/13/2024,10:05:50 am,0,8.2229,22.228
7/13/2024,10:06:00 am,0,8.2230,22.245
7/13/2024,10:06:10 am,0,8.2227,22.260
7/13/2024,10:06:20 am,0,8.2229,22.274
7/13/2024,10:06:30 am,0,8.2229,22.290
7/13/2024,10:06:40 am,0,8.2228,22.304
7/13/2024,10:06:50 am,0,8.2228,22.319
7/13/2024,10:07:00 am,0,8.2229,22.334
7/13/2024,10:07:10 am,0,8.2228,22.345
7/13/2024,10:07:20 am,0,8.2227,22.359
7/13/2024,10:07:30 am,0,8.2228,22.375
7/13/2024,10:07:40 am,0,8.2232,22.387
7/13/2024,10:07:50 am,0,8.2232,22.399
7/13/2024,10:08:00 am,0,8.2233,22.412
7/13/2024,10:08:10 am,0,8.2233,22.423
7/13/2024,10:08:20 am,0,8.2232,22.436
7/13/2024,10:08:30 am,0,8.2232,22.447
7/13/2024,10:08:40 am,0,8.2231,22.458
7/13/2024,10:08:50 am,0,8.2242,22.469
7/13/2024,10:09:00 am,0,8.2165,22.481
7/13/2024,10:09:10 am,0,8.2237,22.495
7/13/2024,10:09:20 am,0,8.2236,22.507
7/13/2024,10:09:30 am,0,8.2265,22.516
7/13/2024,10:09:40 am,0,8.2256,22.527
7/13/2024,10:09:50 am,0,8.2250,22.538
7/13/2024,10:10:00 am,0,8.2257,22.546
7/13/2024,10:10:10 am,0,8.2265,22.555
7/13/2024,10:10:20 am,0,8.2260,22.564
7/13/2024,10:10:30 am,0,8.2300,22.571
7/13/2024,10:10:40 am,0,8.2280,22.579
7/13/2024,10:10:50 am,0,8.2284,22.586
7/13/2024,10:11:00 am,0,8.2290,22.591
7/13/2024,10:11:10 am,0,8.2289,22.599
7/13/2024,10:11:20 am,0,8.2288,22.608
7/13/2024,10:11:30 am,0,8.2288,22.614
7/13/2024,10:11:40 am,0,8.2288,22.624
7/13/2024,10:11:50 am,0,8.2289,22.635
7/13/2024,10:12:00 am,0,8.2291,22.642
7/13/2024,10:12:10 am,0,8.2292,22.649
7/13/2024,10:12:20 am,0,8.2295,22.658
7/13/2024,10:12:30 am,0,8.2295,22.665
7/13/2024,10:12:40 am,0,8.2293,22.672
7/13/2024,10:12:50 am,0,8.2292,22.680
7/13/2024,10:13:00 am,0,8.2293,22.684
7/13/2024,10:13:10 am,0,8.2291,22.692
7/13/2024,10:13:20 am,0,8.2295,22.700
7/13/2024,10:13:30 am,0,8.2294,22.706
7/13/2024,10:13:40 am,0,8.2294,22.714
7/13/2024,10:13:50 am,0,8.2279,22.732
7/13/2024,10:14:00 am,0,8.2281,22.759
7/13/2024,10:14:10 am,0,8.2301,22.772
7/13/2024,10:14:20 am,0,8.2284,22.787
7/13/2024,10:14:30 am,0,8.2283,22.793
7/13/2024,10:14:40 am,0,8.2281,22.802
7/13/2024,10:14:50 am,0,8.2283,22.812
7/13/2024,10:15:00 am,0,8.2284,22.820
7/13/2024,10:15:10 am,0,8.2285,22.829
7/13/2024,10:15:20 am,0,8.2286,22.840
7/13/2024,10:15:30 am,0,8.2287,22.849
7/13/2024,10:15:40 am,0,8.2286,22.859
7/13/2024,10:15:50 am,0,8.2288,22.870
7/13/2024,10:16:00 am,0,8.2290,22.879
7/13/2024,10:16:10 am,0,8.2288,22.888
7/13/2024,10:16:20 am,0,8.2288,22.897
7/13/2024,10:16:30 am,0,8.2287,22.907
7/13/2024,10:16:40 am,0,8.2290,22.918
7/13/2024,10:16:50 am,0,8.2290,22.927
7/13/2024,10:17:00 am,0,8.2290,22.937
7/13/2024,10:17:10 am,0,8.2290,22.945
7/13/2024,10:17:20 am,0,8.2292,22.956
7/13/2024,10:17:30 am,0,8.2293,22.966
7/13/2024,10:17:40 am,0,8.2292,22.976
7/13/2024,10:17:50 am,0,8.2297,22.985
7/13/2024,10:18:00 am,0,8.2292,22.996
7/13/2024,10:18:10 am,0,8.2292,23.006
7/13/2024,10:18:20 am,0,8.2297,23.015
7/13/2024,10:18:30 am,0,8.2290,23.029
7/13/2024,10:18:40 am,0,8.2291,23.042
7/13/2024,10:18:50 am,0,8.2280,23.058
7/13/2024,10:19:00 am,0,8.2292,23.071
7/13/2024,10:19:10 am,0,8.2287,23.088
7/13/2024,10:19:20 am,0,8.2285,23.101
7/13/2024,10:19:30 am,0,8.2287,23.118
7/13/2024,10:19:40 am,0,8.2290,23.133
7/13/2024,10:19:50 am,0,8.2289,23.150
7/13/2024,10:20:00 am,0,8.2290,23.166
7/13/2024,10:20:10 am,0,8.2288,23.182
7/13/2024,10:20:20 am,0,8.2289,23.198
7/13/2024,10:20:30 am,0,8.2289,23.212
7/13/2024,10:20:40 am,0,8.2291,23.227
7/13/2024,10:20:50 am,0,8.2289,23.241
7/13/2024,10:21:00 am,0,8.2288,23.256
7/13/2024,10:21:10 am,0,8.2288,23.269
7/13/2024,10:21:20 am,0,8.2289,23.282
7/13/2024,10:21:30 am,0,8.2300,23.296
7/13/2024,10:21:40 am,0,8.2289,23.324
7/13/2024,10:21:50 am,0,8.2291,23.353
7/13/2024,10:22:00 am,0,8.2289,23.379
7/13/2024,10:22:10 am,0,8.2290,23.409
7/13/2024,10:22:20 am,0,8.2291,23.433
7/13/2024,10:22:30 am,0,8.2291,23.457
7/13/2024,10:22:40 am,0,8.2290,23.481
7/13/2024,10:22:50 am,0,8.2292,23.504
7/13/2024,10:23:00 am,0,8.2291,23.522
7/13/2024,10:23:10 am,0,8.2309,23.547
7/13/2024,10:23:20 am,0,8.2316,23.639
7/13/2024,10:23:30 am,0,8.2329,23.844
7/13/2024,10:23:40 am,0,8.2327,23.962
7/13/2024,10:23:50 am,0,8.2327,24.076
7/13/2024,10:24:00 am,0,8.2329,24.193
7/13/2024,10:24:10 am,0,8.2330,24.319
7/13/2024,10:24:20 am,0,8.2331,24.446
7/13/2024,10:24:30 am,0,8.2331,24.577
7/13/2024,10:24:40 am,0,8.2332,24.710
7/13/2024,10:24:50 am,0,8.2332,24.843
7/13/2024,10:25:00 am,0,8.2333,24.978
7/13/2024,10:25:10 am,0,8.2334,25.112
7/13/2024,10:25:20 am,0,8.2332,25.239
7/13/2024,10:25:30 am,0,8.2332,25.362
7/13/2024,10:25:40 am,0,8.2332,25.482
7/13/2024,10:25:50 am,0,8.2330,25.599
7/13/2024,10:26:00 am,0,8.2333,25.713
7/13/2024,10:26:10 am,0,8.2334,25.826
7/13/2024,10:26:20 am,0,8.2337,25.936
7/13/2024,10:26:30 am,0,8.2338,26.050
7/13/2024,10:26:40 am,0,8.2341,26.163
7/13/2024,10:26:50 am,0,8.2334,26.277
7/13/2024,10:27:00 am,0,8.2346,26.388
7/13/2024,10:27:10 am,0,8.2344,26.487
7/13/2024,10:27:20 am,0,8.2344,26.580
7/13/2024,10:27:30 am,0,8.2345,26.666
7/13/2024,10:27:40 am,0,8.2344,26.746
7/13/2024,10:27:50 am,0,8.2347,26.819
7/13/2024,10:28:00 am,0,8.2338,26.883
7/13/2024,10:28:10 am,0,8.2345,26.943
7/13/2024,10:28:20 am,0,8.2347,26.997
7/13/2024,10:28:30 am,0,8.2320,27.042
7/13/2024,10:28:40 am,0,8.2324,27.083
7/13/2024,10:28:50 am,0,8.2325,27.120
7/13/2024,10:29:00 am,0,8.2328,27.152
