Serial_number:
2196025
Project ID:
SAGE-LET-1
Location:
11
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/14/2024,08:30:00 am,0,8.3521,18.592
7/14/2024,08:30:10 am,0,8.3516,18.589
7/14/2024,08:30:20 am,0,8.3517,18.588
7/14/2024,08:30:30 am,0,8.3507,18.583
7/14/2024,08:30:40 am,0,8.3538,18.581
7/14/2024,08:30:50 am,0,8.3538,18.578
7/14/2024,08:31:00 am,0,8.3512,18.574
7/14/2024,08:31:10 am,0,8.3519,18.570
7/14/2024,08:31:20 am,0,8.3516,18.566
7/14/2024,08:31:30 am,0,8.3517,18.562
7/14/2024,08:31:40 am,0,8.3516,18.558
7/14/2024,08:31:50 am,0,8.3510,18.553
7/14/2024,08:32:00 am,0,8.3510,18.549
7/14/2024,08:32:10 am,0,8.3512,18.546
7/14/2024,08:32:20 am,0,8.3513,18.540
7/14/2024,08:32:30 am,0,8.3511,18.535
7/14/2024,08:32:40 am,0,8.3524,18.532
7/14/2024,08:32:50 am,0,8.3526,18.526
7/14/2024,08:33:00 am,0,8.3535,18.524
7/14/2024,08:33:10 am,0,8.3537,18.519
7/14/2024,08:33:20 am,0,8.3540,18.514
7/14/2024,08:33:30 am,0,8.3525,18.509
7/14/2024,08:33:40 am,0,8.3537,18.537
7/14/2024,08:33:50 am,0,8.3535,18.528
7/14/2024,08:34:00 am,0,8.3536,18.507
7/14/2024,08:34:10 am,0,8.3537,18.485
7/14/2024,08:34:20 am,0,8.3537,18.469
7/14/2024,08:34:30 am,0,8.3540,18.453
7/14/2024,08:34:40 am,0,8.3542,18.434
7/14/2024,08:34:50 am,0,8.3542,18.416
7/14/2024,08:35:00 am,0,8.3542,18.396
7/14/2024,08:35:10 am,0,8.3545,18.377
7/14/2024,08:35:20 am,0,8.3542,18.360
7/14/2024,08:35:30 am,0,8.3542,18.338
7/14/2024,08:35:40 am,0,8.3542,18.322
7/14/2024,08:35:50 am,0,8.3541,18.305
7/14/2024,08:36:00 am,0,8.3542,18.284
7/14/2024,08:36:10 am,0,8.3543,18.264
7/14/2024,08:36:20 am,0,8.3543,18.250
7/14/2024,08:36:30 am,0,8.3544,18.227
7/14/2024,08:36:40 am,0,8.3544,18.207
7/14/2024,08:36:50 am,0,8.3545,18.186
7/14/2024,08:37:00 am,0,8.3546,18.165
7/14/2024,08:37:10 am,0,8.3547,18.143
7/14/2024,08:37:20 am,0,8.3546,18.122
7/14/2024,08:37:30 am,0,8.3546,18.102
7/14/2024,08:37:40 am,0,8.3547,18.083
7/14/2024,08:37:50 am,0,8.3547,18.063
7/14/2024,08:38:00 am,0,8.3546,18.044
7/14/2024,08:38:10 am,0,8.3546,18.027
7/14/2024,08:38:20 am,0,8.3548,18.006
7/14/2024,08:38:30 am,0,8.3547,17.987
7/14/2024,08:38:40 am,0,8.3550,17.970
7/14/2024,08:38:50 am,0,8.3549,17.952
7/14/2024,08:39:00 am,0,8.3550,17.936
7/14/2024,08:39:10 am,0,8.3550,17.920
7/14/2024,08:39:20 am,0,8.3551,17.904
7/14/2024,08:39:30 am,0,8.3554,17.896
7/14/2024,08:39:40 am,0,8.3549,17.859
7/14/2024,08:39:50 am,0,8.3546,17.868
7/14/2024,08:40:00 am,0,8.3555,17.885
7/14/2024,08:40:10 am,0,8.3559,17.885
7/14/2024,08:40:20 am,0,8.3560,17.880
7/14/2024,08:40:30 am,0,8.3569,17.866
7/14/2024,08:40:40 am,0,8.3580,18.129
7/14/2024,08:40:50 am,0,8.3597,18.192
7/14/2024,08:41:00 am,0,8.3582,18.196
7/14/2024,08:41:10 am,0,8.3569,18.186
7/14/2024,08:41:20 am,0,8.3563,18.168
7/14/2024,08:41:30 am,0,8.3559,18.148
7/14/2024,08:41:40 am,0,8.3558,18.122
7/14/2024,08:41:50 am,0,8.3558,18.096
7/14/2024,08:42:00 am,0,8.3541,18.059
7/14/2024,08:42:10 am,0,8.3533,18.010
7/14/2024,08:42:20 am,0,8.3547,17.961
7/14/2024,08:42:30 am,0,8.7321,16.777
7/14/2024,08:42:40 am,0,8.7151,15.846
7/14/2024,08:42:50 am,0,8.7270,15.175
7/14/2024,08:43:00 am,0,8.7300,14.578
7/14/2024,08:43:10 am,0,8.7315,14.033
7/14/2024,08:43:20 am,0,8.7312,13.536
7/14/2024,08:43:30 am,0,8.7312,13.092
7/14/2024,08:43:40 am,0,8.7314,12.700
7/14/2024,08:43:50 am,0,8.7307,12.355
7/14/2024,08:44:00 am,0,8.7281,12.049
7/14/2024,08:44:10 am,0,8.7264,11.781
7/14/2024,08:44:20 am,0,8.7248,11.545
7/14/2024,08:44:30 am,0,8.7235,11.338
7/14/2024,08:44:40 am,0,8.7223,11.151
7/14/2024,08:44:50 am,0,8.7214,10.987
7/14/2024,08:45:00 am,0,8.7207,10.842
7/14/2024,08:45:10 am,0,8.7200,10.710
7/14/2024,08:45:20 am,0,8.7192,10.593
7/14/2024,08:45:30 am,0,8.7187,10.486
7/14/2024,08:45:40 am,0,8.7179,10.391
7/14/2024,08:45:50 am,0,8.7177,10.303
7/14/2024,08:46:00 am,0,8.7170,10.224
7/14/2024,08:46:10 am,0,8.7170,10.153
7/14/2024,08:46:20 am,0,8.7163,10.082
7/14/2024,08:46:30 am,0,8.7158,10.022
7/14/2024,08:46:40 am,0,8.7153,9.967
7/14/2024,08:46:50 am,0,8.7149,9.911
7/14/2024,08:47:00 am,0,8.7147,9.863
7/14/2024,08:47:10 am,0,8.7145,9.816
7/14/2024,08:47:20 am,0,8.7142,9.773
7/14/2024,08:47:30 am,0,8.7143,9.734
7/14/2024,08:47:40 am,0,8.7138,9.697
7/14/2024,08:47:50 am,0,8.7137,9.660
7/14/2024,08:48:00 am,0,8.7138,9.627
