,DT,baro LEVEL,Date,Time,ms,TEMPERATURE,logger LEVEL,Compensated Level
0,2018-08-26 19:00:00,8.234310380399998,8/26/2018,07:00:00 pm,0,11.554,8.9863,0.7519896196000015
1,2018-08-26 19:10:00,8.2333926324,8/26/2018,07:10:00 pm,0,11.541,8.9875,0.7541073676000014
2,2018-08-26 19:20:00,8.2348916208,8/26/2018,07:20:00 pm,0,11.531,8.9904,0.7555083792000001
3,2018-08-26 19:30:00,8.2349935928,8/26/2018,07:30:00 pm,0,11.524,8.9914,0.7564064072000001
4,2018-08-26 19:40:00,8.235411677999998,8/26/2018,07:40:00 pm,0,11.517,8.9921,0.7566883220000022
5,2018-08-26 19:50:00,8.236431398,8/26/2018,07:50:00 pm,0,11.512,8.9941,0.757668601999999
6,2018-08-26 20:00:00,8.2365435672,8/26/2018,08:00:00 pm,0,11.509,8.9955,0.7589564327999998
7,2018-08-26 20:10:00,8.2365639616,8/26/2018,08:10:00 pm,0,11.504,8.9967,0.7601360384000007
8,2018-08-26 20:20:00,8.237960978,8/26/2018,08:20:00 pm,0,11.501,8.9981,0.7601390220000006
9,2018-08-26 20:30:00,8.23831788,8/26/2018,08:30:00 pm,0,11.498,8.9988,0.7604821199999989
10,2018-08-26 20:40:00,8.2390622756,8/26/2018,08:40:00 pm,0,11.496,9.0004,0.7613377244000006
11,2018-08-26 20:50:00,8.239796474,8/26/2018,08:50:00 pm,0,11.494,9.0012,0.7614035260000005
12,2018-08-26 21:00:00,8.24112211,8/26/2018,09:00:00 pm,0,11.492,9.0037,0.7625778900000011
13,2018-08-26 21:10:00,8.2407244192,8/26/2018,09:10:00 pm,0,11.49,9.0029,0.762175580800001
14,2018-08-26 21:20:00,8.2410609268,8/26/2018,09:20:00 pm,0,11.488,9.0036,0.762539073200001
15,2018-08-26 21:30:00,8.2408773772,8/26/2018,09:30:00 pm,0,11.486,9.0043,0.7634226228000003
16,2018-08-26 21:40:00,8.240591855599998,8/26/2018,09:40:00 pm,0,11.485,9.0046,0.7640081444000018
17,2018-08-26 21:50:00,8.2401941648,8/26/2018,09:50:00 pm,0,11.484,9.0045,0.7643058352000001
