,DT,baro LEVEL,Date,Time,ms,TEMPERATURE,logger LEVEL,Compensated Level
0,2019-07-26 16:20:00,8.2262545924,7/26/2019,04:20:00 pm,0,9.32,8.4511,0.22484540760000016
1,2019-07-26 16:30:00,8.2276516088,7/26/2019,04:30:00 pm,0,9.331,8.4508,0.22314839119999874
2,2019-07-26 16:40:00,8.226509522399999,7/26/2019,04:40:00 pm,0,9.328,8.4498,0.22329047760000087
3,2019-07-26 16:50:00,8.2263667616,7/26/2019,04:50:00 pm,0,9.325,8.4496,0.22323323840000064
4,2019-07-26 17:00:00,8.2265707056,7/26/2019,05:00:00 pm,0,9.324,8.4496,0.22302929439999986
5,2019-07-26 17:10:00,8.2266624804,7/26/2019,05:10:00 pm,0,9.324,8.4496,0.2229375196000003
6,2019-07-26 17:20:00,8.2260914372,7/26/2019,05:20:00 pm,0,9.324,8.4495,0.22340856280000132
7,2019-07-26 17:30:00,8.226744058,7/26/2019,05:30:00 pm,0,9.324,8.449,0.22225594200000032
8,2019-07-26 17:40:00,8.2271927348,7/26/2019,05:40:00 pm,0,9.324,8.4497,0.22250726520000086
9,2019-07-26 17:50:00,8.2286101456,7/26/2019,05:50:00 pm,0,9.323,8.4501,0.22148985440000146
10,2019-07-26 18:00:00,8.228345018399999,7/26/2019,06:00:00 pm,0,9.324,8.4506,0.2222549816000008
11,2019-07-26 18:10:00,8.228477582,7/26/2019,06:10:00 pm,0,9.325,8.4508,0.2223224179999992
12,2019-07-26 18:20:00,8.2295890768,7/26/2019,06:20:00 pm,0,9.325,8.4509,0.2213109232000008
13,2019-07-26 18:30:00,8.230568007999999,7/26/2019,06:30:00 pm,0,9.324,8.4517,0.2211319920000019
14,2019-07-26 18:40:00,8.231587728,7/26/2019,06:40:00 pm,0,9.324,8.4525,0.2209122720000014
15,2019-07-26 18:50:00,8.231842658,7/26/2019,06:50:00 pm,0,9.325,8.4521,0.22025734200000002
16,2019-07-26 19:00:00,8.2322403488,7/26/2019,07:00:00 pm,0,9.325,8.4526,0.22035965120000078
17,2019-07-26 19:10:00,8.233616970799998,7/26/2019,07:10:00 pm,0,9.326,8.453,0.2193830292000012
18,2019-07-26 19:20:00,8.2344225496,7/26/2019,07:20:00 pm,0,9.326,8.4543,0.21987745040000028
19,2019-07-26 19:30:00,8.234667282399998,7/26/2019,07:30:00 pm,0,9.326,8.454,0.21933271760000217
20,2019-07-26 19:40:00,8.2350649732,7/26/2019,07:40:00 pm,0,9.325,8.4549,0.21983502680000022
21,2019-07-26 19:50:00,8.2355340444,7/26/2019,07:50:00 pm,0,9.325,8.4561,0.2205659555999997
22,2019-07-26 20:00:00,8.2359521296,7/26/2019,08:00:00 pm,0,9.327,8.4562,0.2202478704000015
23,2019-07-26 20:10:00,8.236176468,7/26/2019,08:10:00 pm,0,9.326,8.4568,0.2206235319999994
24,2019-07-26 20:20:00,8.2369106664,7/26/2019,08:20:00 pm,0,9.324,8.4571,0.22018933360000048
25,2019-07-26 20:30:00,8.235788974399998,7/26/2019,08:30:00 pm,0,9.324,8.4565,0.22071102560000178
26,2019-07-26 20:40:00,8.2354218752,7/26/2019,08:40:00 pm,0,9.324,8.4568,0.2213781247999993
27,2019-07-26 20:50:00,8.236105087599999,7/26/2019,08:50:00 pm,0,9.323,8.4575,0.22139491240000098
28,2019-07-26 21:00:00,8.2375326956,7/26/2019,09:00:00 pm,0,9.323,8.4588,0.22126730439999953
29,2019-07-26 21:10:00,8.2387665568,7/26/2019,09:10:00 pm,0,9.323,8.4597,0.22093344319999986
30,2019-07-26 21:20:00,8.239307008399999,7/26/2019,09:20:00 pm,0,9.322,8.4606,0.22129299160000038
31,2019-07-26 21:30:00,8.2394497692,7/26/2019,09:30:00 pm,0,9.322,8.4612,0.22175023079999967
32,2019-07-26 21:40:00,8.2407448136,7/26/2019,09:40:00 pm,0,9.322,8.4618,0.221055186400001
33,2019-07-26 21:50:00,8.2418970972,7/26/2019,09:50:00 pm,0,9.322,8.4629,0.22100290279999868
34,2019-07-26 22:00:00,8.241652364399998,7/26/2019,10:00:00 pm,0,9.323,8.4633,0.2216476356000019
35,2019-07-26 22:10:00,8.2422030132,7/26/2019,10:10:00 pm,0,9.323,8.463,0.22079698679999993
36,2019-07-26 22:20:00,8.2416727588,7/26/2019,10:20:00 pm,0,9.323,8.4631,0.22142724120000068
37,2019-07-26 22:30:00,8.2414892092,7/26/2019,10:30:00 pm,0,9.322,8.4632,0.22171079080000133
38,2019-07-26 22:40:00,8.2408773772,7/26/2019,10:40:00 pm,0,9.323,8.4624,0.22152262280000024
39,2019-07-26 22:50:00,8.2414076316,7/26/2019,10:50:00 pm,0,9.324,8.4627,0.22129236840000033
40,2019-07-26 23:00:00,8.241988871999999,7/26/2019,11:00:00 pm,0,9.324,8.4635,0.22151112800000128
41,2019-07-26 23:10:00,8.242733267599998,7/26/2019,11:10:00 pm,0,9.324,8.4639,0.22116673240000218
42,2019-07-26 23:20:00,8.243824367999999,7/26/2019,11:20:00 pm,0,9.323,8.4645,0.22067563200000073
43,2019-07-26 23:30:00,8.244303636399998,7/26/2019,11:30:00 pm,0,9.324,8.4648,0.22049636360000235
44,2019-07-26 23:40:00,8.243865156799998,7/26/2019,11:40:00 pm,0,9.324,8.4646,0.22073484320000247
45,2019-07-26 23:50:00,8.2445483692,7/26/2019,11:50:00 pm,0,9.324,8.465,0.22045163079999952
46,2019-07-27 00:00:00,8.2446197496,7/27/2019,12:00:00 am,0,9.325,8.4649,0.2202802504000001
47,2019-07-27 00:10:00,8.2450378348,7/27/2019,12:10:00 am,0,9.325,8.4655,0.22046216520000073
48,2019-07-27 00:20:00,8.244854285199999,7/27/2019,12:20:00 am,0,9.325,8.4652,0.22034571480000054
49,2019-07-27 00:30:00,8.2440487064,7/27/2019,12:30:00 am,0,9.326,8.4645,0.22045129360000004
50,2019-07-27 00:40:00,8.2439161428,7/27/2019,12:40:00 am,0,9.326,8.4639,0.2199838572000008
51,2019-07-27 00:50:00,8.242427351599998,7/27/2019,12:50:00 am,0,9.328,8.4631,0.22067264840000256
52,2019-07-27 01:00:00,8.243447071599999,7/27/2019,01:00:00 am,0,9.328,8.4626,0.21915292840000156
53,2019-07-27 01:10:00,8.242784253599998,7/27/2019,01:10:00 am,0,9.328,8.4627,0.21991574640000167
54,2019-07-27 01:20:00,8.2426414928,7/27/2019,01:20:00 am,0,9.33,8.4628,0.22015850719999897
55,2019-07-27 01:30:00,8.2431819444,7/27/2019,01:30:00 am,0,9.33,8.4629,0.21971805559999957
56,2019-07-27 01:40:00,8.243039183599999,7/27/2019,01:40:00 am,0,9.33,8.4632,0.22016081640000174
57,2019-07-27 01:50:00,8.242733267599998,7/27/2019,01:50:00 am,0,9.33,8.4626,0.21986673240000165
58,2019-07-27 02:00:00,8.2421316328,7/27/2019,02:00:00 am,0,9.33,8.4624,0.22026836720000098
59,2019-07-27 02:10:00,8.2425905068,7/27/2019,02:10:00 am,0,9.329,8.4622,0.21960949320000012
60,2019-07-27 02:20:00,8.242427351599998,7/27/2019,02:20:00 am,0,9.329,8.462,0.21957264840000157
61,2019-07-27 02:30:00,8.2420704496,7/27/2019,02:30:00 am,0,9.33,8.461,0.2189295504000004
62,2019-07-27 02:40:00,8.241479012,7/27/2019,02:40:00 am,0,9.331,8.4606,0.21912098800000024
63,2019-07-27 02:50:00,8.241295462399998,7/27/2019,02:50:00 am,0,9.331,8.4605,0.21920453760000136
64,2019-07-27 03:00:00,8.2403471228,7/27/2019,03:00:00 am,0,9.331,8.4595,0.21915287720000087
65,2019-07-27 03:10:00,8.239184642,7/27/2019,03:10:00 am,0,9.331,8.4589,0.2197153580000002
66,2019-07-27 03:20:00,8.2392662196,7/27/2019,03:20:00 am,0,9.332,8.4588,0.21953378040000082
67,2019-07-27 03:30:00,8.23908267,7/27/2019,03:30:00 am,0,9.332,8.458,0.21891733000000002
68,2019-07-27 03:40:00,8.2384912324,7/27/2019,03:40:00 am,0,9.332,8.4578,0.21930876760000118
69,2019-07-27 03:50:00,8.2388889232,7/27/2019,03:50:00 am,0,9.333,8.4576,0.21871107680000001
70,2019-07-27 04:00:00,8.238256696799999,7/27/2019,04:00:00 am,0,9.332,8.457,0.2187433032000019
71,2019-07-27 04:10:00,8.238215907999999,7/27/2019,04:10:00 am,0,9.333,8.4571,0.21888409200000147
72,2019-07-27 04:20:00,8.237583681599999,7/27/2019,04:20:00 am,0,9.333,8.4562,0.21861631840000229
73,2019-07-27 04:30:00,8.237114610399999,7/27/2019,04:30:00 am,0,9.334,8.4562,0.2190853896000018
74,2019-07-27 04:40:00,8.237889597599999,7/27/2019,04:40:00 am,0,9.334,8.4565,0.2186104024000013
75,2019-07-27 04:50:00,8.2384912324,7/27/2019,04:50:00 am,0,9.334,8.4567,0.2182087676000002
76,2019-07-27 05:00:00,8.2383994576,7/27/2019,05:00:00 am,0,9.334,8.4566,0.21820054239999997
77,2019-07-27 05:10:00,8.2391642476,7/27/2019,05:10:00 am,0,9.335,8.4572,0.2180357524000005
78,2019-07-27 05:20:00,8.239429374799998,7/27/2019,05:20:00 am,0,9.335,8.4578,0.21837062520000217
79,2019-07-27 05:30:00,8.2402349536,7/27/2019,05:30:00 am,0,9.335,8.459,0.21876504639999972
80,2019-07-27 05:40:00,8.2414178288,7/27/2019,05:40:00 am,0,9.336,8.4594,0.21798217120000096
81,2019-07-27 05:50:00,8.242355971199999,7/27/2019,05:50:00 am,0,9.336,8.4606,0.21824402880000093
82,2019-07-27 06:00:00,8.243314508,7/27/2019,06:00:00 am,0,9.336,8.4608,0.21748549200000156
83,2019-07-27 06:10:00,8.2436102268,7/27/2019,06:10:00 am,0,9.336,8.461,0.21738977320000075
84,2019-07-27 06:20:00,8.243467466,7/27/2019,06:20:00 am,0,9.337,8.461,0.21753253400000006
85,2019-07-27 06:30:00,8.2431513528,7/27/2019,06:30:00 am,0,9.338,8.4611,0.21794864720000007
86,2019-07-27 06:40:00,8.2429881976,7/27/2019,06:40:00 am,0,9.338,8.4617,0.21871180239999966
87,2019-07-27 06:50:00,8.243314508,7/27/2019,06:50:00 am,0,9.338,8.4617,0.21838549200000124
88,2019-07-27 07:00:00,8.24392634,7/27/2019,07:00:00 am,0,9.338,8.4621,0.21817365999999971
89,2019-07-27 07:10:00,8.244089495199999,7/27/2019,07:10:00 am,0,9.339,8.4622,0.21811050480000027
90,2019-07-27 07:20:00,8.2443750168,7/27/2019,07:20:00 am,0,9.34,8.4626,0.21822498320000072
91,2019-07-27 07:30:00,8.244895074,7/27/2019,07:30:00 am,0,9.34,8.4627,0.21780492599999945
92,2019-07-27 07:40:00,8.2447625104,7/27/2019,07:40:00 am,0,9.341,8.4633,0.21853748960000097
93,2019-07-27 07:50:00,8.245231581599999,7/27/2019,07:50:00 am,0,9.344,8.463,0.21776841840000039
94,2019-07-27 08:00:00,8.245629272399999,7/27/2019,08:00:00 am,0,9.345,8.4628,0.217170727600001
95,2019-07-27 08:10:00,8.2458943996,7/27/2019,08:10:00 am,0,9.346,8.4632,0.21730560040000135
96,2019-07-27 08:20:00,8.246261498800001,7/27/2019,08:20:00 am,0,9.346,8.4634,0.2171385011999991
97,2019-07-27 08:30:00,8.2469039224,7/27/2019,08:30:00 am,0,9.346,8.4636,0.21669607759999998
98,2019-07-27 08:40:00,8.2472200356,7/27/2019,08:40:00 am,0,9.347,8.4637,0.2164799643999995
99,2019-07-27 08:50:00,8.2474851628,7/27/2019,08:50:00 am,0,9.347,8.4637,0.216214837199999
100,2019-07-27 09:00:00,8.2462309072,7/27/2019,09:00:00 am,0,9.346,8.4627,0.2164690928000006
101,2019-07-27 09:10:00,8.2447829048,7/27/2019,09:10:00 am,0,9.347,8.4626,0.21781709520000092
102,2019-07-27 09:20:00,8.244884876799999,7/27/2019,09:20:00 am,0,9.347,8.463,0.21811512320000048
103,2019-07-27 09:30:00,8.2447829048,7/27/2019,09:30:00 am,0,9.348,8.4626,0.21781709520000092
104,2019-07-27 09:40:00,8.244997046,7/27/2019,09:40:00 am,0,9.349,8.4617,0.2167029540000005
105,2019-07-27 09:50:00,8.2458434136,7/27/2019,09:50:00 am,0,9.35,8.4614,0.21555658639999997
106,2019-07-27 10:00:00,8.245547694799999,7/27/2019,10:00:00 am,0,9.35,8.4615,0.21595230520000008
107,2019-07-27 10:10:00,8.246404259599998,7/27/2019,10:10:00 am,0,9.352,8.4611,0.2146957404000016
108,2019-07-27 10:20:00,8.2469039224,7/27/2019,10:20:00 am,0,9.353,8.4613,0.2143960776
109,2019-07-27 10:30:00,8.2471690496,7/27/2019,10:30:00 am,0,9.353,8.4614,0.2142309503999993
110,2019-07-27 10:40:00,8.2475259516,7/27/2019,10:40:00 am,0,9.354,8.4607,0.2131740483999991
111,2019-07-27 10:50:00,8.2468427392,7/27/2019,10:50:00 am,0,9.355,8.4604,0.21355726080000004
112,2019-07-27 11:00:00,8.2471792468,7/27/2019,11:00:00 am,0,9.355,8.4594,0.21222075320000044
113,2019-07-27 11:10:00,8.247189443999998,7/27/2019,11:10:00 am,0,9.356,8.4596,0.2124105560000018
114,2019-07-27 11:20:00,8.247403585199999,7/27/2019,11:20:00 am,0,9.357,8.4591,0.21169641480000045
115,2019-07-27 11:30:00,8.2478624592,7/27/2019,11:30:00 am,0,9.358,8.4594,0.2115375408000002
116,2019-07-27 11:40:00,8.247576937599998,7/27/2019,11:40:00 am,0,9.358,8.4585,0.2109230624000027
117,2019-07-27 11:50:00,8.247423979599999,7/27/2019,11:50:00 am,0,9.358,8.4585,0.21107602040000195
118,2019-07-27 12:00:00,8.2463430764,7/27/2019,12:00:00 pm,0,9.357,8.4574,0.21105692359999928
119,2019-07-27 12:10:00,8.2478318676,7/27/2019,12:10:00 pm,0,9.357,8.458,0.21016813239999976
120,2019-07-27 12:20:00,8.245608878,7/27/2019,12:20:00 pm,0,9.357,8.457,0.2113911220000002
121,2019-07-27 12:30:00,8.2455986808,7/27/2019,12:30:00 pm,0,9.357,8.4559,0.21030131919999917
122,2019-07-27 12:40:00,8.2442526504,7/27/2019,12:40:00 pm,0,9.358,8.4545,0.21024734959999947
123,2019-07-27 12:50:00,8.2443138336,7/27/2019,12:50:00 pm,0,9.358,8.4534,0.20908616640000055
124,2019-07-27 13:00:00,8.2432227332,7/27/2019,01:00:00 pm,0,9.359,8.4535,0.21027726680000036
125,2019-07-27 13:10:00,8.2422132104,7/27/2019,01:10:00 pm,0,9.359,8.4531,0.21088678959999996
126,2019-07-27 13:20:00,8.243130958399998,7/27/2019,01:20:00 pm,0,9.36,8.4527,0.20956904160000178
127,2019-07-27 13:30:00,8.242355971199999,7/27/2019,01:30:00 pm,0,9.361,8.4514,0.20904402880000106
128,2019-07-27 13:40:00,8.241162898799999,7/27/2019,01:40:00 pm,0,9.362,8.4501,0.20893710120000186
129,2019-07-27 13:50:00,8.2410507296,7/27/2019,01:50:00 pm,0,9.363,8.4494,0.20834927040000117
130,2019-07-27 14:00:00,8.2407346164,7/27/2019,02:00:00 pm,0,9.363,8.4488,0.20806538360000104
131,2019-07-27 14:10:00,8.239816868399998,7/27/2019,02:10:00 pm,0,9.363,8.4485,0.20868313160000085
132,2019-07-27 14:20:00,8.239857657199998,7/27/2019,02:20:00 pm,0,9.364,8.448,0.2081423428000022
133,2019-07-27 14:30:00,8.238960303599999,7/27/2019,02:30:00 pm,0,9.365,8.4475,0.2085396964000008
134,2019-07-27 14:40:00,8.2388685288,7/27/2019,02:40:00 pm,0,9.364,8.4464,0.20753147120000115
135,2019-07-27 14:50:00,8.238929712000001,7/27/2019,02:50:00 pm,0,9.364,8.445,0.20607028799999938
136,2019-07-27 15:00:00,8.237940583599999,7/27/2019,03:00:00 pm,0,9.364,8.4444,0.20645941640000132
137,2019-07-27 15:10:00,8.237247174,7/27/2019,03:10:00 pm,0,9.363,8.444,0.20675282600000067
138,2019-07-27 15:20:00,8.237512301199999,7/27/2019,03:20:00 pm,0,9.364,8.4435,0.20598769880000134
139,2019-07-27 15:30:00,8.236992244,7/27/2019,03:30:00 pm,0,9.365,8.4422,0.20520775600000007
140,2019-07-27 15:40:00,8.236329426,7/27/2019,03:40:00 pm,0,9.367,8.4416,0.20527057400000004
141,2019-07-27 15:50:00,8.2354218752,7/27/2019,03:50:00 pm,0,9.367,8.4409,0.20547812479999905
142,2019-07-27 16:00:00,8.2350853676,7/27/2019,04:00:00 pm,0,9.368,8.4398,0.20471463239999999
143,2019-07-27 16:10:00,8.2351465508,7/27/2019,04:10:00 pm,0,9.368,8.4398,0.20465344920000028
144,2019-07-27 16:20:00,8.2343613664,7/27/2019,04:20:00 pm,0,9.367,8.4394,0.2050386335999992
145,2019-07-27 16:30:00,8.2341166336,7/27/2019,04:30:00 pm,0,9.367,8.4391,0.20498336640000048
146,2019-07-27 16:40:00,8.233841309199999,7/27/2019,04:40:00 pm,0,9.366,8.439,0.20515869080000115
147,2019-07-27 16:50:00,8.2333110548,7/27/2019,04:50:00 pm,0,9.366,8.4387,0.20538894520000106
148,2019-07-27 17:00:00,8.2322607432,7/27/2019,05:00:00 pm,0,9.365,8.4379,0.2056392568000014
149,2019-07-27 17:10:00,8.2314959532,7/27/2019,05:10:00 pm,0,9.365,8.4375,0.2060040468000004
150,2019-07-27 17:20:00,8.2306291912,7/27/2019,05:20:00 pm,0,9.366,8.4373,0.20667080880000022
151,2019-07-27 17:30:00,8.231077867999998,7/27/2019,05:30:00 pm,0,9.367,8.4365,0.20542213200000248
152,2019-07-27 17:40:00,8.2310472764,7/27/2019,05:40:00 pm,0,9.368,8.4356,0.20455272360000087
153,2019-07-27 17:50:00,8.230557810799999,7/27/2019,05:50:00 pm,0,9.37,8.4342,0.20364218920000177
154,2019-07-27 18:00:00,8.230292683599998,7/27/2019,06:00:00 pm,0,9.371,8.4341,0.2038073164000025
155,2019-07-27 18:10:00,8.230313078,7/27/2019,06:10:00 pm,0,9.371,8.4337,0.20338692199999997
156,2019-07-27 18:20:00,8.230517021999999,7/27/2019,06:20:00 pm,0,9.371,8.4339,0.2033829780000005
157,2019-07-27 18:30:00,8.230924909999999,7/27/2019,06:30:00 pm,0,9.371,8.4342,0.20327509000000177
158,2019-07-27 18:40:00,8.231026882,7/27/2019,06:40:00 pm,0,9.372,8.4337,0.20267311799999987
159,2019-07-27 18:50:00,8.231302206399999,7/27/2019,06:50:00 pm,0,9.372,8.4335,0.20219779360000167
160,2019-07-27 19:00:00,8.231648911199999,7/27/2019,07:00:00 pm,0,9.372,8.4333,0.20165108880000027
161,2019-07-27 19:10:00,8.2319140384,7/27/2019,07:10:00 pm,0,9.372,8.4339,0.20198596160000015
162,2019-07-27 19:20:00,8.232607448,7/27/2019,07:20:00 pm,0,9.372,8.4333,0.20069255199999958
163,2019-07-27 19:30:00,8.23296435,7/27/2019,07:30:00 pm,0,9.372,8.4344,0.20143565000000052
164,2019-07-27 19:40:00,8.233423224,7/27/2019,07:40:00 pm,0,9.371,8.4348,0.20137677600000004
165,2019-07-27 19:50:00,8.233963675599998,7/27/2019,07:50:00 pm,0,9.37,8.4356,0.20163632440000256
166,2019-07-27 20:00:00,8.2336577596,7/27/2019,08:00:00 pm,0,9.369,8.436,0.20234224040000015
167,2019-07-27 20:10:00,8.233678154,7/27/2019,08:10:00 pm,0,9.368,8.4364,0.2027218460000011
168,2019-07-27 20:20:00,8.233810717599999,7/27/2019,08:20:00 pm,0,9.368,8.4369,0.20308928240000057
169,2019-07-27 20:30:00,8.2344123524,7/27/2019,08:30:00 pm,0,9.367,8.4376,0.20318764760000008
170,2019-07-27 20:40:00,8.2348814236,7/27/2019,08:40:00 pm,0,9.367,8.4382,0.20331857640000095
171,2019-07-27 20:50:00,8.2352281284,7/27/2019,08:50:00 pm,0,9.366,8.4392,0.2039718716000003
172,2019-07-27 21:00:00,8.2359827212,7/27/2019,09:00:00 pm,0,9.366,8.4399,0.20391727880000055
173,2019-07-27 21:10:00,8.2362376512,7/27/2019,09:10:00 pm,0,9.366,8.4399,0.2036623488
