,DT,baro LEVEL,Date,Time,ms,TEMPERATURE,logger LEVEL,Compensated Level
0,2018-10-12 12:40:00,8.1677328616,10/12/2018,12:40:00 pm,0,6.232,8.4303,0.26256713840000145
1,2018-10-12 12:50:00,8.1666009724,10/12/2018,12:50:00 pm,0,6.221,8.4297,0.2630990276000009
2,2018-10-12 13:00:00,8.16591776,10/12/2018,01:00:00 pm,0,6.228,8.4284,0.26248224000000064
3,2018-10-12 13:10:00,8.1650815896,10/12/2018,01:10:00 pm,0,6.222,8.4272,0.2621184103999994
4,2018-10-12 13:20:00,8.1631339244,10/12/2018,01:20:00 pm,0,6.218,8.4265,0.26336607560000047
5,2018-10-12 13:30:00,8.159850425999998,10/12/2018,01:30:00 pm,0,6.217,8.4248,0.26494957400000096
6,2018-10-12 13:40:00,8.1602481168,10/12/2018,01:40:00 pm,0,6.217,8.4229,0.2626518832000002
7,2018-10-12 13:50:00,8.159136621999998,10/12/2018,01:50:00 pm,0,6.217,8.4217,0.2625633780000012
8,2018-10-12 14:00:00,8.1585961704,10/12/2018,02:00:00 pm,0,6.221,8.4202,0.2616038296000003
9,2018-10-12 14:10:00,8.1583412404,10/12/2018,02:10:00 pm,0,6.223,8.4196,0.26125875960000045
10,2018-10-12 14:20:00,8.156475152799999,10/12/2018,02:20:00 pm,0,6.222,8.4188,0.2623248472000004
11,2018-10-12 14:30:00,8.1556593768,10/12/2018,02:30:00 pm,0,6.221,8.418,0.26234062320000007
12,2018-10-12 14:40:00,8.1555981936,10/12/2018,02:40:00 pm,0,6.219,8.4178,0.26220180640000024
13,2018-10-12 14:50:00,8.152936724399998,10/12/2018,02:50:00 pm,0,6.219,8.4159,0.26296327560000243
14,2018-10-12 15:00:00,8.1545274876,10/12/2018,03:00:00 pm,0,6.218,8.4156,0.2610725124000002
15,2018-10-12 15:10:00,8.156638308,10/12/2018,03:10:00 pm,0,6.216,8.4161,0.25946169200000035
16,2018-10-12 15:20:00,8.156169236799999,10/12/2018,03:20:00 pm,0,6.217,8.4157,0.2595307632000008
17,2018-10-12 15:30:00,8.1556389824,10/12/2018,03:30:00 pm,0,6.221,8.4156,0.25996101760000023
18,2018-10-12 15:40:00,8.1547110372,10/12/2018,03:40:00 pm,0,6.221,8.4151,0.26038896280000046
19,2018-10-12 15:50:00,8.1541807828,10/12/2018,03:50:00 pm,0,6.221,8.4139,0.2597192172000007
20,2018-10-12 16:00:00,8.1528041608,10/12/2018,04:00:00 pm,0,6.222,8.4132,0.2603958391999992
21,2018-10-12 16:10:00,8.153507767599999,10/12/2018,04:10:00 pm,0,6.225,8.4133,0.2597922324000006
22,2018-10-12 16:20:00,8.1556389824,10/12/2018,04:20:00 pm,0,6.227,8.4129,0.2572610176000012
23,2018-10-12 16:30:00,8.15546563,10/12/2018,04:30:00 pm,0,6.228,8.4127,0.25723436999999905
24,2018-10-12 16:40:00,8.154333740799999,10/12/2018,04:40:00 pm,0,6.229,8.4123,0.2579662592000016
25,2018-10-12 16:50:00,8.1536607256,10/12/2018,04:50:00 pm,0,6.23,8.4121,0.2584392744000006
26,2018-10-12 17:00:00,8.153946247199999,10/12/2018,05:00:00 pm,0,6.23,8.4122,0.25825375280000173
27,2018-10-12 17:10:00,8.1538034864,10/12/2018,05:10:00 pm,0,6.232,8.4125,0.25869651360000034
28,2018-10-12 17:20:00,8.1543235436,10/12/2018,05:20:00 pm,0,6.233,8.4123,0.2579764563999998
29,2018-10-12 17:30:00,8.15419098,10/12/2018,05:30:00 pm,0,6.235,8.4118,0.2576090200000003
30,2018-10-12 17:40:00,8.1540482192,10/12/2018,05:40:00 pm,0,6.238,8.4113,0.2572517808000008
31,2018-10-12 17:50:00,8.154343937999998,10/12/2018,05:50:00 pm,0,6.236,8.4113,0.2569560620000022
32,2018-10-12 18:00:00,8.1553024748,10/12/2018,06:00:00 pm,0,6.236,8.4121,0.25679752520000143
33,2018-10-12 18:10:00,8.155404446799999,10/12/2018,06:10:00 pm,0,6.236,8.4125,0.257095553200001
34,2018-10-12 18:20:00,8.1556491796,10/12/2018,06:20:00 pm,0,6.236,8.4118,0.25615082040000026
35,2018-10-12 18:30:00,8.1558429264,10/12/2018,06:30:00 pm,0,6.236,8.412,0.25615707360000073
36,2018-10-12 18:40:00,8.156128447999999,10/12/2018,06:40:00 pm,0,6.236,8.4127,0.2565715520000005
37,2018-10-12 18:50:00,8.156872843599999,10/12/2018,06:50:00 pm,0,6.237,8.4127,0.25582715640000053
38,2018-10-12 19:00:00,8.157902760799999,10/12/2018,07:00:00 pm,0,6.235,8.4138,0.2558972392000012
39,2018-10-12 19:10:00,8.1594833268,10/12/2018,07:10:00 pm,0,6.235,8.4148,0.2553166731999994
40,2018-10-12 19:20:00,8.1604214692,10/12/2018,07:20:00 pm,0,6.235,8.4162,0.2557785308000007
41,2018-10-12 19:30:00,8.1613596116,10/12/2018,07:30:00 pm,0,6.234,8.4169,0.25554038840000004
42,2018-10-12 19:40:00,8.1628178112,10/12/2018,07:40:00 pm,0,6.234,8.4183,0.2554821888000003
43,2018-10-12 19:50:00,8.162960572,10/12/2018,07:50:00 pm,0,6.233,8.4198,0.25683942800000104
44,2018-10-12 20:00:00,8.1628789944,10/12/2018,08:00:00 pm,0,6.233,8.4196,0.2567210056000011
45,2018-10-12 20:10:00,8.163868122799999,10/12/2018,08:10:00 pm,0,6.231,8.4202,0.25633187720000095
46,2018-10-12 20:20:00,8.163939503199998,10/12/2018,08:20:00 pm,0,6.23,8.4207,0.2567604968000019
47,2018-10-12 20:30:00,8.1639598976,10/12/2018,08:30:00 pm,0,6.23,8.4208,0.2568401024
48,2018-10-12 20:40:00,8.1640108836,10/12/2018,08:40:00 pm,0,6.231,8.4214,0.2573891164000006
49,2018-10-12 20:50:00,8.1633378684,10/12/2018,08:50:00 pm,0,6.228,8.421,0.25766213160000007
50,2018-10-12 21:00:00,8.16362339,10/12/2018,09:00:00 pm,0,6.227,8.4205,0.25687661000000084
51,2018-10-12 21:10:00,8.1641944332,10/12/2018,09:10:00 pm,0,6.225,8.4216,0.25740556679999926
52,2018-10-12 21:20:00,8.163766150799999,10/12/2018,09:20:00 pm,0,6.221,8.4215,0.257733849200001
53,2018-10-12 21:30:00,8.164245419199998,10/12/2018,09:30:00 pm,0,6.218,8.4217,0.25745458080000105
54,2018-10-12 21:40:00,8.164867448399999,10/12/2018,09:40:00 pm,0,6.216,8.4227,0.25783255160000174
55,2018-10-12 21:50:00,8.164459560400001,10/12/2018,09:50:00 pm,0,6.214,8.4226,0.2581404395999982
56,2018-10-12 22:00:00,8.164592123999999,10/12/2018,10:00:00 pm,0,6.212,8.423,0.2584078760000015
57,2018-10-12 22:10:00,8.164439166,10/12/2018,10:10:00 pm,0,6.209,8.4229,0.25846083400000097
58,2018-10-12 22:20:00,8.164643109999998,10/12/2018,10:20:00 pm,0,6.205,8.4228,0.2581568900000022
59,2018-10-12 22:30:00,8.1638375312,10/12/2018,10:30:00 pm,0,6.204,8.4224,0.2585624687999992
60,2018-10-12 22:40:00,8.1626138672,10/12/2018,10:40:00 pm,0,6.202,8.422,0.25938613280000133
