,DT,baro LEVEL,Date,Time,ms,TEMPERATURE,logger LEVEL,Compensated Level
0,2018-08-24 15:20:00,8.1926038324,8/24/2018,03:20:00 pm,0,10.485,9.1158,0.9231961676000005
1,2018-08-24 15:30:00,8.191971606,8/24/2018,03:30:00 pm,0,10.472,9.1153,0.9233283940000003
2,2018-08-24 15:40:00,8.191329182399999,8/24/2018,03:40:00 pm,0,10.464,9.1145,0.9231708176000009
3,2018-08-24 15:50:00,8.189870982799999,8/24/2018,03:50:00 pm,0,10.455,9.114,0.9241290172000021
4,2018-08-24 16:00:00,8.1904726176,8/24/2018,04:00:00 pm,0,10.45,9.1141,0.9236273824000012
5,2018-08-24 16:10:00,8.189136784399999,8/24/2018,04:10:00 pm,0,10.445,9.1131,0.9239632156000006
6,2018-08-24 16:20:00,8.1886167272,8/24/2018,04:20:00 pm,0,10.441,9.1133,0.9246832728000012
7,2018-08-24 16:30:00,8.1889328404,8/24/2018,04:30:00 pm,0,10.437,9.1135,0.9245671596000005
8,2018-08-24 16:40:00,8.18860653,8/24/2018,04:40:00 pm,0,10.434,9.1134,0.9247934700000009
9,2018-08-24 16:50:00,8.189095995599999,8/24/2018,04:50:00 pm,0,10.431,9.1135,0.9244040044000013
10,2018-08-24 17:00:00,8.1889940236,8/24/2018,05:00:00 pm,0,10.428,9.1134,0.924405976400001
11,2018-08-24 17:10:00,8.1884637692,8/24/2018,05:10:00 pm,0,10.426,9.1128,0.9243362307999998
12,2018-08-24 17:20:00,8.188708501999999,8/24/2018,05:20:00 pm,0,10.424,9.1131,0.9243914980000003
13,2018-08-24 17:30:00,8.1888002768,8/24/2018,05:30:00 pm,0,10.422,9.1133,0.9244997232000003
14,2018-08-24 17:40:00,8.1889022488,8/24/2018,05:40:00 pm,0,10.42,9.1129,0.9239977511999999
15,2018-08-24 17:50:00,8.188698304799999,8/24/2018,05:50:00 pm,0,10.418,9.1134,0.9247016952000013
16,2018-08-24 18:00:00,8.1892387564,8/24/2018,06:00:00 pm,0,10.417,9.1137,0.9244612435999997
17,2018-08-24 18:10:00,8.1885963328,8/24/2018,06:10:00 pm,0,10.415,9.1139,0.9253036671999997
18,2018-08-24 18:20:00,8.1889532348,8/24/2018,06:20:00 pm,0,10.414,9.1146,0.9256467651999998
19,2018-08-24 18:30:00,8.1890756012,8/24/2018,06:30:00 pm,0,10.412,9.1153,0.9262243987999987
20,2018-08-24 18:40:00,8.1896466444,8/24/2018,06:40:00 pm,0,10.411,9.1164,0.9267533556000007
21,2018-08-24 18:50:00,8.1895956584,8/24/2018,06:50:00 pm,0,10.41,9.1175,0.9279043415999997
22,2018-08-24 19:00:00,8.1894630948,8/24/2018,07:00:00 pm,0,10.409,9.1185,0.9290369051999985
23,2018-08-24 19:10:00,8.19013611,8/24/2018,07:10:00 pm,0,10.408,9.1197,0.9295638900000007
24,2018-08-24 19:20:00,8.1900545324,8/24/2018,07:20:00 pm,0,10.407,9.1212,0.9311454676000004
25,2018-08-24 19:30:00,8.1897384192,8/24/2018,07:30:00 pm,0,10.406,9.1221,0.9323615808000003
26,2018-08-24 19:40:00,8.1907581392,8/24/2018,07:40:00 pm,0,10.404,9.1241,0.9333418608000006
27,2018-08-24 19:50:00,8.191094646799998,8/24/2018,07:50:00 pm,0,10.404,9.1255,0.9344053532000025
28,2018-08-24 20:00:00,8.1905032092,8/24/2018,08:00:00 pm,0,10.403,9.1265,0.9359967908000009
29,2018-08-24 20:10:00,8.1904624204,8/24/2018,08:10:00 pm,0,10.402,9.1279,0.937437579600001
30,2018-08-24 20:20:00,8.190594984,8/24/2018,08:20:00 pm,0,10.401,9.1288,0.9382050159999995
31,2018-08-24 20:30:00,8.191013069199998,8/24/2018,08:30:00 pm,0,10.4,9.1305,0.9394869308000011
32,2018-08-24 20:40:00,8.192420282799999,8/24/2018,08:40:00 pm,0,10.4,9.1323,0.939879717200002
33,2018-08-24 20:50:00,8.1934502,8/24/2018,08:50:00 pm,0,10.399,9.1351,0.9416498000000004
34,2018-08-24 21:00:00,8.194214989999999,8/24/2018,09:00:00 pm,0,10.398,9.1365,0.9422850100000009
35,2018-08-24 21:10:00,8.1944495256,8/24/2018,09:10:00 pm,0,10.397,9.1387,0.9442504744000004
36,2018-08-24 21:20:00,8.194714652799998,8/24/2018,09:20:00 pm,0,10.396,9.1395,0.9447853472000016
37,2018-08-24 21:30:00,8.1951939212,8/24/2018,09:30:00 pm,0,10.396,9.1414,0.9462060788000013
38,2018-08-24 21:40:00,8.1944495256,8/24/2018,09:40:00 pm,0,10.395,9.1417,0.9472504744000005
39,2018-08-24 21:50:00,8.1944903144,8/24/2018,09:50:00 pm,0,10.394,9.1425,0.9480096856000007
40,2018-08-24 22:00:00,8.1946534696,8/24/2018,10:00:00 pm,0,10.394,9.1435,0.9488465303999991
41,2018-08-24 22:10:00,8.194949188399999,8/24/2018,10:10:00 pm,0,10.393,9.1444,0.9494508116000002
42,2018-08-24 22:20:00,8.194673863999999,8/24/2018,10:20:00 pm,0,10.393,9.1449,0.9502261360000013
43,2018-08-24 22:30:00,8.194979779999999,8/24/2018,10:30:00 pm,0,10.391,9.1465,0.9515202200000008
