,DT,baro LEVEL,Date,Time,ms,TEMPERATURE,logger LEVEL,Compensated Level
0,2019-07-30 20:00:00,8.18605723,7/30/2019,08:00:00 pm,0,12.798,8.3807,0.19464276999999974
1,2019-07-30 20:10:00,8.1863835404,7/30/2019,08:10:00 pm,0,12.811,8.3813,0.19491645959999992
2,2019-07-30 20:20:00,8.1866996536,7/30/2019,08:20:00 pm,0,12.807,8.3817,0.19500034640000052
3,2019-07-30 20:30:00,8.1874644436,7/30/2019,08:30:00 pm,0,12.805,8.3822,0.1947355563999995
4,2019-07-30 20:40:00,8.1885657412,7/30/2019,08:40:00 pm,0,12.803,8.383,0.19443425879999943
5,2019-07-30 20:50:00,8.1892081648,7/30/2019,08:50:00 pm,0,12.802,8.3839,0.19469183520000044
6,2019-07-30 21:00:00,8.189779208,7/30/2019,09:00:00 pm,0,12.801,8.3851,0.1953207920000004
7,2019-07-30 21:10:00,8.1907887308,7/30/2019,09:10:00 pm,0,12.8,8.3856,0.19481126920000058
8,2019-07-30 21:20:00,8.191635098399999,7/30/2019,09:20:00 pm,0,12.8,8.387,0.19536490160000142
9,2019-07-30 21:30:00,8.1934298056,7/30/2019,09:30:00 pm,0,12.799,8.3882,0.1947701944000002
10,2019-07-30 21:40:00,8.194255778799999,7/30/2019,09:40:00 pm,0,12.799,8.3894,0.1951442212000014
11,2019-07-30 21:50:00,8.194571891999999,7/30/2019,09:50:00 pm,0,12.8,8.3904,0.1958281080000006
12,2019-07-30 22:00:00,8.1943475536,7/30/2019,10:00:00 pm,0,12.801,8.3907,0.1963524464000006
13,2019-07-30 22:10:00,8.1943475536,7/30/2019,10:10:00 pm,0,12.801,8.3912,0.19685244639999944
14,2019-07-30 22:20:00,8.194255778799999,7/30/2019,10:20:00 pm,0,12.805,8.3917,0.19744422120000138
15,2019-07-30 22:30:00,8.194571891999999,7/30/2019,10:30:00 pm,0,12.803,8.3922,0.19762810800000175
16,2019-07-30 22:40:00,8.194276173199999,7/30/2019,10:40:00 pm,0,12.803,8.3929,0.19862382680000046
17,2019-07-30 22:50:00,8.1945413004,7/30/2019,10:50:00 pm,0,12.803,8.3934,0.19885869960000058
18,2019-07-30 23:00:00,8.194235384399999,7/30/2019,11:00:00 pm,0,12.802,8.3937,0.19946461560000195
19,2019-07-30 23:10:00,8.194184398400001,7/30/2019,11:10:00 pm,0,12.803,8.3937,0.19951560159999993
20,2019-07-30 23:20:00,8.1952041184,7/30/2019,11:20:00 pm,0,12.803,8.3947,0.19949588160000076
21,2019-07-30 23:30:00,8.1944903144,7/30/2019,11:30:00 pm,0,12.802,8.395,0.20050968560000015
22,2019-07-30 23:40:00,8.194714652799998,7/30/2019,11:40:00 pm,0,12.803,8.3954,0.20068534720000208
23,2019-07-30 23:50:00,8.194571891999999,7/30/2019,11:50:00 pm,0,12.803,8.3959,0.20132810800000023
24,2019-07-31 00:00:00,8.1950103716,7/31/2019,12:00:00 am,0,12.803,8.3966,0.20158962839999894
25,2019-07-31 00:10:00,8.1957139784,7/31/2019,12:10:00 am,0,12.803,8.3974,0.2016860215999987
26,2019-07-31 00:20:00,8.195377470799999,7/31/2019,12:20:00 am,0,12.803,8.3973,0.20192252920000087
27,2019-07-31 00:30:00,8.1959383168,7/31/2019,12:30:00 am,0,12.805,8.3986,0.20266168320000055
28,2019-07-31 00:40:00,8.1958771336,7/31/2019,12:40:00 am,0,12.804,8.3991,0.20322286640000087
29,2019-07-31 00:50:00,8.1957139784,7/31/2019,12:50:00 am,0,12.804,8.3994,0.20368602159999938
30,2019-07-31 01:00:00,8.1961320636,7/31/2019,01:00:00 am,0,12.804,8.4001,0.20396793639999977
31,2019-07-31 01:10:00,8.1959077252,7/31/2019,01:10:00 am,0,12.805,8.4009,0.20499227480000037
32,2019-07-31 01:20:00,8.195897528,7/31/2019,01:20:00 am,0,12.805,8.4012,0.20530247199999963
33,2019-07-31 01:30:00,8.1962238384,7/31/2019,01:30:00 am,0,12.805,8.4012,0.20497616159999943
34,2019-07-31 01:40:00,8.196019894400001,7/31/2019,01:40:00 am,0,12.805,8.4019,0.2058801055999986
35,2019-07-31 01:50:00,8.1959179224,7/31/2019,01:50:00 am,0,12.807,8.4021,0.20618207760000118
36,2019-07-31 02:00:00,8.196417585199999,7/31/2019,02:00:00 am,0,12.807,8.4029,0.20648241480000173
37,2019-07-31 02:10:00,8.1965807404,7/31/2019,02:10:00 am,0,12.806,8.4036,0.2070192596000009
38,2019-07-31 02:20:00,8.1961422608,7/31/2019,02:20:00 am,0,12.807,8.4035,0.207357739199999
39,2019-07-31 02:30:00,8.1956527952,7/31/2019,02:30:00 am,0,12.806,8.4035,0.20784720480000018
40,2019-07-31 02:40:00,8.196081077599999,7/31/2019,02:40:00 am,0,12.806,8.4043,0.2082189224000004
41,2019-07-31 02:50:00,8.1960606832,7/31/2019,02:50:00 am,0,12.807,8.4045,0.20843931679999983
42,2019-07-31 03:00:00,8.196019894400001,7/31/2019,03:00:00 am,0,12.806,8.4049,0.2088801055999987
43,2019-07-31 03:10:00,8.1958771336,7/31/2019,03:10:00 am,0,12.807,8.4055,0.20962286640000016
44,2019-07-31 03:20:00,8.195734372799999,7/31/2019,03:20:00 am,0,12.807,8.4054,0.20966562720000148
45,2019-07-31 03:30:00,8.19523471,7/31/2019,03:30:00 am,0,12.807,8.406,0.21076529000000122
46,2019-07-31 03:40:00,8.1952245128,7/31/2019,03:40:00 am,0,12.807,8.4062,0.2109754872000007
47,2019-07-31 03:50:00,8.194877808,7/31/2019,03:50:00 am,0,12.807,8.4058,0.21092219199999995
48,2019-07-31 04:00:00,8.1944903144,7/31/2019,04:00:00 am,0,12.807,8.406,0.21150968560000116
49,2019-07-31 04:10:00,8.1945514976,7/31/2019,04:10:00 am,0,12.808,8.4069,0.21234850240000114
50,2019-07-31 04:20:00,8.1944903144,7/31/2019,04:20:00 am,0,12.809,8.4068,0.21230968560000107
