,DT,baro LEVEL,Date,Time,ms,TEMPERATURE,logger LEVEL,Compensated Level
0,2018-08-25 08:30:00,8.197875784799999,8/25/2018,08:30:00 am,0,10.477,8.5071,0.30922421520000043
1,2018-08-25 08:40:00,8.1974475024,8/25/2018,08:40:00 am,0,10.466,8.5073,0.30985249760000144
2,2018-08-25 08:50:00,8.197855390399999,8/25/2018,08:50:00 am,0,10.459,8.507,0.30914460960000056
3,2018-08-25 09:00:00,8.1989464908,8/25/2018,09:00:00 am,0,10.455,8.5075,0.30855350920000113
4,2018-08-25 09:10:00,8.199701083599999,8/25/2018,09:10:00 am,0,10.452,8.5078,0.30809891640000053
5,2018-08-25 09:20:00,8.199792858399999,8/25/2018,09:20:00 am,0,10.45,8.5079,0.30810714160000074
6,2018-08-25 09:30:00,8.2011082972,8/25/2018,09:30:00 am,0,10.449,8.5087,0.3075917027999999
7,2018-08-25 09:40:00,8.2022605808,8/25/2018,09:40:00 am,0,10.448,8.5096,0.30733941919999985
8,2018-08-25 09:50:00,8.203035567999999,8/25/2018,09:50:00 am,0,10.447,8.5091,0.3060644320000012
9,2018-08-25 10:00:00,8.2047792892,8/25/2018,10:00:00 am,0,10.446,8.509,0.304220710800001
10,2018-08-25 10:10:00,8.207430561199999,8/25/2018,10:10:00 am,0,10.446,8.5099,0.3024694388000011
11,2018-08-25 10:20:00,8.208613436399999,8/25/2018,10:20:00 am,0,10.445,8.5091,0.3004865636000016
12,2018-08-25 10:30:00,8.2098778892,8/25/2018,10:30:00 am,0,10.446,8.5078,0.2979221108000001
13,2018-08-25 10:40:00,8.210071636,8/25/2018,10:40:00 am,0,10.445,8.5064,0.29632836399999896
14,2018-08-25 10:50:00,8.2112647084,8/25/2018,10:50:00 am,0,10.445,8.5053,0.2940352916000002
15,2018-08-25 11:00:00,8.2113360888,8/25/2018,11:00:00 am,0,10.445,8.5039,0.29256391120000025
16,2018-08-25 11:10:00,8.2119887096,8/25/2018,11:10:00 am,0,10.444,8.5022,0.29021129040000027
17,2018-08-25 11:20:00,8.213436712,8/25/2018,11:20:00 am,0,10.444,8.502,0.28856328800000064
18,2018-08-25 11:30:00,8.213232768,8/25/2018,11:30:00 am,0,10.444,8.5,0.28676723200000076
19,2018-08-25 11:40:00,8.2131511904,8/25/2018,11:40:00 am,0,10.443,8.4981,0.28494880960000124
20,2018-08-25 11:50:00,8.213324542799999,8/25/2018,11:50:00 am,0,10.443,8.4969,0.2835754572000013
21,2018-08-25 12:00:00,8.2126821192,8/25/2018,12:00:00 pm,0,10.443,8.4945,0.28181788080000025
22,2018-08-25 12:10:00,8.2127534996,8/25/2018,12:10:00 pm,0,10.443,8.4937,0.2809465004000007
23,2018-08-25 12:20:00,8.212518964000001,8/25/2018,12:20:00 pm,0,10.443,8.4928,0.2802810359999999
24,2018-08-25 12:30:00,8.212671922,8/25/2018,12:30:00 pm,0,10.443,8.4922,0.27952807800000024
25,2018-08-25 12:40:00,8.2120906816,8/25/2018,12:40:00 pm,0,10.443,8.4919,0.2798093183999999
26,2018-08-25 12:50:00,8.2113564832,8/25/2018,12:50:00 pm,0,10.442,8.4898,0.27844351680000123
27,2018-08-25 13:00:00,8.2112647084,8/25/2018,01:00:00 pm,0,10.442,8.4894,0.27813529159999995
28,2018-08-25 13:10:00,8.2099390724,8/25/2018,01:10:00 pm,0,10.441,8.4878,0.2778609276000008
29,2018-08-25 13:20:00,8.210561101599998,8/25/2018,01:20:00 pm,0,10.441,8.4879,0.2773388984000018
30,2018-08-25 13:30:00,8.211101553199999,8/25/2018,01:30:00 pm,0,10.44,8.4874,0.27629844680000026
31,2018-08-25 13:40:00,8.211111750399999,8/25/2018,01:40:00 pm,0,10.44,8.4864,0.27528824960000087
32,2018-08-25 13:50:00,8.2109587924,8/25/2018,01:50:00 pm,0,10.44,8.4862,0.2752412076000006
33,2018-08-25 14:00:00,8.209979861199999,8/25/2018,02:00:00 pm,0,10.44,8.4851,0.2751201388000002
34,2018-08-25 14:10:00,8.2096841424,8/25/2018,02:10:00 pm,0,10.439,8.4844,0.2747158576000004
35,2018-08-25 14:20:00,8.2091742824,8/25/2018,02:20:00 pm,0,10.439,8.4832,0.2740257176000007
36,2018-08-25 14:30:00,8.2087561972,8/25/2018,02:30:00 pm,0,10.439,8.4823,0.2735438028000008
37,2018-08-25 14:40:00,8.2069207012,8/25/2018,02:40:00 pm,0,10.439,8.4809,0.2739792988000005
38,2018-08-25 14:50:00,8.2054930932,8/25/2018,02:50:00 pm,0,10.439,8.48,0.274506906800001
39,2018-08-25 15:00:00,8.2047486976,8/25/2018,03:00:00 pm,0,10.438,8.4796,0.2748513024000001
40,2018-08-25 15:10:00,8.2038717384,8/25/2018,03:10:00 pm,0,10.437,8.4792,0.27532826160000035
41,2018-08-25 15:20:00,8.204198048799999,8/25/2018,03:20:00 pm,0,10.437,8.4795,0.2753019512000012
42,2018-08-25 15:30:00,8.2028418212,8/25/2018,03:30:00 pm,0,10.436,8.4789,0.2760581787999996
43,2018-08-25 15:40:00,8.2030763568,8/25/2018,03:40:00 pm,0,10.436,8.4782,0.2751236431999988
