,DT,baro LEVEL,Date,Time,ms,TEMPERATURE,logger LEVEL,Compensated Level
0,2018-10-03 13:50:00,8.157607042,10/3/2018,01:50:00 pm,0,8.454,8.4798,0.3221929579999987
1,2018-10-03 14:00:00,8.1531916544,10/3/2018,02:00:00 pm,0,8.492,8.5592,0.4060083456000001
2,2018-10-03 14:10:00,8.153273232,10/3/2018,02:10:00 pm,0,8.487,8.5893,0.4360267679999996
3,2018-10-03 14:20:00,8.151692665999999,10/3/2018,02:20:00 pm,0,8.479,8.5974,0.4457073340000015
4,2018-10-03 14:30:00,8.1499183532,10/3/2018,02:30:00 pm,0,8.473,8.6004,0.45048164680000014
5,2018-10-03 14:40:00,8.148766069599999,10/3/2018,02:40:00 pm,0,8.469,8.6038,0.45503393040000084
6,2018-10-03 14:50:00,8.1486233088,10/3/2018,02:50:00 pm,0,8.466,8.6043,0.45567669120000076
7,2018-10-03 15:00:00,8.148429562,10/3/2018,03:00:00 pm,0,8.464,8.6044,0.4559704379999996
8,2018-10-03 15:10:00,8.14679801,10/3/2018,03:10:00 pm,0,8.462,8.6058,0.45900199000000086
9,2018-10-03 15:20:00,8.1460740088,10/3/2018,03:20:00 pm,0,8.461,8.6055,0.45942599119999983
10,2018-10-03 15:30:00,8.1451460636,10/3/2018,03:30:00 pm,0,8.461,8.603,0.4578539363999994
11,2018-10-03 15:40:00,8.145451979599999,10/3/2018,03:40:00 pm,0,8.46,8.601,0.455548020400002
12,2018-10-03 15:50:00,8.145125669199999,10/3/2018,03:50:00 pm,0,8.459,8.5983,0.45317433080000136
13,2018-10-03 16:00:00,8.1452378384,10/3/2018,04:00:00 pm,0,8.459,8.5953,0.4500621616
14,2018-10-03 16:10:00,8.1458904592,10/3/2018,04:10:00 pm,0,8.459,8.5919,0.44600954080000044
15,2018-10-03 16:20:00,8.146696037999998,10/3/2018,04:20:00 pm,0,8.459,8.5899,0.4432039620000019
16,2018-10-03 16:30:00,8.1464513052,10/3/2018,04:30:00 pm,0,8.458,8.5881,0.44164869480000135
17,2018-10-03 16:40:00,8.1463595304,10/3/2018,04:40:00 pm,0,8.458,8.585,0.438640469600001
18,2018-10-03 16:50:00,8.146930573599999,10/3/2018,04:50:00 pm,0,8.458,8.5821,0.43516942640000167
19,2018-10-03 17:00:00,8.1468591932,10/3/2018,05:00:00 pm,0,8.458,8.5793,0.43244080680000074
20,2018-10-03 17:10:00,8.1471651092,10/3/2018,05:10:00 pm,0,8.458,8.5771,0.42993489080000025
21,2018-10-03 17:20:00,8.14807266,10/3/2018,05:20:00 pm,0,8.458,8.5764,0.42832733999999917
22,2018-10-03 17:30:00,8.1471855036,10/3/2018,05:30:00 pm,0,8.458,8.5775,0.4303144964000012
23,2018-10-03 17:40:00,8.148735477999999,10/3/2018,05:40:00 pm,0,8.457,8.5797,0.4309645220000018
24,2018-10-03 17:50:00,8.1485009424,10/3/2018,05:50:00 pm,0,8.457,8.5806,0.43209905760000034
25,2018-10-03 18:00:00,8.1485417312,10/3/2018,06:00:00 pm,0,8.458,8.5785,0.4299582688000001
26,2018-10-03 18:10:00,8.1485417312,10/3/2018,06:10:00 pm,0,8.458,8.576,0.4274582688000006
27,2018-10-03 18:20:00,8.1480828572,10/3/2018,06:20:00 pm,0,8.458,8.5732,0.42511714279999957
28,2018-10-03 18:30:00,8.148011476799999,10/3/2018,06:30:00 pm,0,8.457,8.5704,0.4223885232000004
29,2018-10-03 18:40:00,8.148460153599999,10/3/2018,06:40:00 pm,0,8.457,8.5683,0.41983984640000216
30,2018-10-03 18:50:00,8.148123646,10/3/2018,06:50:00 pm,0,8.457,8.5656,0.4174763539999997
31,2018-10-03 19:00:00,8.148796661199999,10/3/2018,07:00:00 pm,0,8.457,8.5636,0.41480333880000053
32,2018-10-03 19:10:00,8.148847647199998,10/3/2018,07:10:00 pm,0,8.457,8.5617,0.41285235280000165
33,2018-10-03 19:20:00,8.1492555352,10/3/2018,07:20:00 pm,0,8.457,8.56,0.4107444648000005
34,2018-10-03 19:30:00,8.148715083599999,10/3/2018,07:30:00 pm,0,8.457,8.5575,0.40878491640000014
35,2018-10-03 19:40:00,8.148806858399999,10/3/2018,07:40:00 pm,0,8.457,8.5552,0.4063931416000006
36,2018-10-03 19:50:00,8.148796661199999,10/3/2018,07:50:00 pm,0,8.456,8.5531,0.4043033388000019
37,2018-10-03 20:00:00,8.1482969984,10/3/2018,08:00:00 pm,0,8.457,8.5513,0.40300300160000013
38,2018-10-03 20:10:00,8.1488986332,10/3/2018,08:10:00 pm,0,8.456,8.5494,0.40050136680000037
39,2018-10-03 20:20:00,8.1489190276,10/3/2018,08:20:00 pm,0,8.457,8.5482,0.3992809723999997
40,2018-10-03 20:30:00,8.1493371128,10/3/2018,08:30:00 pm,0,8.456,8.5465,0.39716288720000037
41,2018-10-03 20:40:00,8.150265058,10/3/2018,08:40:00 pm,0,8.456,8.5454,0.3951349420000003
42,2018-10-03 20:50:00,8.1504791992,10/3/2018,08:50:00 pm,0,8.456,8.5447,0.3942208008000012
43,2018-10-03 21:00:00,8.149897958799999,10/3/2018,09:00:00 pm,0,8.456,8.5431,0.39320204120000213
44,2018-10-03 21:10:00,8.1504282132,10/3/2018,09:10:00 pm,0,8.456,8.5411,0.3906717868000005
45,2018-10-03 21:20:00,8.1507443264,10/3/2018,09:20:00 pm,0,8.455,8.5402,0.38945567360000055
46,2018-10-03 21:30:00,8.150418016,10/3/2018,09:30:00 pm,0,8.456,8.5392,0.3887819839999995
47,2018-10-03 21:40:00,8.1500815084,10/3/2018,09:40:00 pm,0,8.455,8.5374,0.3873184916000003
48,2018-10-03 21:50:00,8.149541056799999,10/3/2018,09:50:00 pm,0,8.455,8.5353,0.3857589432000008
49,2018-10-03 22:00:00,8.14960224,10/3/2018,10:00:00 pm,0,8.454,8.5338,0.3841977599999993
50,2018-10-03 22:10:00,8.149969339199998,10/3/2018,10:10:00 pm,0,8.454,8.5327,0.38273066080000184
51,2018-10-03 22:20:00,8.149704212,10/3/2018,10:20:00 pm,0,8.454,8.5312,0.3814957880000005
52,2018-10-03 22:30:00,8.1496838176,10/3/2018,10:30:00 pm,0,8.453,8.5294,0.37971618240000105
53,2018-10-03 22:40:00,8.14858252,10/3/2018,10:40:00 pm,0,8.453,8.5276,0.3790174799999999
54,2018-10-03 22:50:00,8.14858252,10/3/2018,10:50:00 pm,0,8.454,8.5259,0.3773174800000003
55,2018-10-03 23:00:00,8.148715083599999,10/3/2018,11:00:00 pm,0,8.453,8.5244,0.3756849164000009
56,2018-10-03 23:10:00,8.147991082399999,10/3/2018,11:10:00 pm,0,8.452,8.5227,0.37470891760000136
57,2018-10-03 23:20:00,8.148990408,10/3/2018,11:20:00 pm,0,8.452,8.5217,0.37270959199999965
58,2018-10-03 23:30:00,8.148735477999999,10/3/2018,11:30:00 pm,0,8.452,8.521,0.3722645220000018
59,2018-10-03 23:40:00,8.1489190276,10/3/2018,11:40:00 pm,0,8.452,8.5202,0.371280972400001
60,2018-10-03 23:50:00,8.148429562,10/3/2018,11:50:00 pm,0,8.451,8.5187,0.37027043800000037
61,2018-10-04 00:00:00,8.147358855999999,10/4/2018,12:00:00 am,0,8.451,8.5173,0.369941144000002
62,2018-10-04 00:10:00,8.1475220112,10/4/2018,12:10:00 am,0,8.45,8.5158,0.36827798880000095
63,2018-10-04 00:20:00,8.147277278399999,10/4/2018,12:20:00 am,0,8.45,8.5148,0.3675227216000003
64,2018-10-04 00:30:00,8.14603322,10/4/2018,12:30:00 am,0,8.449,8.5131,0.36706678000000004
65,2018-10-04 00:40:00,8.145482571199999,10/4/2018,12:40:00 am,0,8.449,8.5115,0.3660174288000011
66,2018-10-04 00:50:00,8.145839473199999,10/4/2018,12:50:00 am,0,8.448,8.5104,0.36456052680000184
67,2018-10-04 01:00:00,8.1453398104,10/4/2018,01:00:00 am,0,8.448,8.5095,0.36416018959999974
68,2018-10-04 01:10:00,8.145431585199999,10/4/2018,01:10:00 am,0,8.448,8.5082,0.36276841480000144
69,2018-10-04 01:20:00,8.145604937599998,10/4/2018,01:20:00 am,0,8.447,8.5068,0.361195062400002
70,2018-10-04 01:30:00,8.1453805992,10/4/2018,01:30:00 am,0,8.446,8.5061,0.36071940080000076
71,2018-10-04 01:40:00,8.1448503448,10/4/2018,01:40:00 am,0,8.445,8.5049,0.3600496551999992
72,2018-10-04 01:50:00,8.14424871,10/4/2018,01:50:00 am,0,8.445,8.5037,0.35945129000000087
73,2018-10-04 02:00:00,8.1437184556,10/4/2018,02:00:00 am,0,8.445,8.504,0.3602815443999994
74,2018-10-04 02:10:00,8.144320090399999,10/4/2018,02:10:00 am,0,8.444,8.5019,0.3575799096000001
75,2018-10-04 02:20:00,8.1437796388,10/4/2018,02:20:00 am,0,8.443,8.5031,0.3593203612
76,2018-10-04 02:30:00,8.1432391872,10/4/2018,02:30:00 am,0,8.443,8.4997,0.35646081279999997
