,DT,baro LEVEL,Date,Time,ms,TEMPERATURE,logger LEVEL,Compensated Level
0,2019-08-20 18:30:00,8.197376122,8/20/2019,06:30:00 pm,0,10.91,8.3444,0.1470238780000006
1,2019-08-20 18:40:00,8.19778401,8/20/2019,06:40:00 pm,0,10.895,8.3453,0.14751599000000049
2,2019-08-20 18:50:00,8.197885981999999,8/20/2019,06:50:00 pm,0,10.885,8.3458,0.1479140180000016
3,2019-08-20 19:00:00,8.197906376399999,8/20/2019,07:00:00 pm,0,10.878,8.3465,0.14859362360000183
4,2019-08-20 19:10:00,8.198773138399998,8/20/2019,07:10:00 pm,0,10.873,8.3477,0.14892686160000146
5,2019-08-20 19:20:00,8.1996297032,8/20/2019,07:20:00 pm,0,10.87,8.349,0.1493702968000008
6,2019-08-20 19:30:00,8.1999458164,8/20/2019,07:30:00 pm,0,10.866,8.3503,0.15035418360000108
7,2019-08-20 19:40:00,8.201220466399999,8/20/2019,07:40:00 pm,0,10.864,8.3518,0.15057953360000198
8,2019-08-20 19:50:00,8.2018730872,8/20/2019,07:50:00 pm,0,10.862,8.353,0.15112691280000057
9,2019-08-20 20:00:00,8.2027398492,8/20/2019,08:00:00 pm,0,10.86,8.3546,0.15186015079999926
10,2019-08-20 20:10:00,8.2039635132,8/20/2019,08:10:00 pm,0,10.859,8.356,0.15203648680000015
11,2019-08-20 20:20:00,8.2046977116,8/20/2019,08:20:00 pm,0,10.858,8.3577,0.15300228839999974
12,2019-08-20 20:30:00,8.203351681200001,8/20/2019,08:30:00 pm,0,10.857,8.3574,0.15404831879999925
13,2019-08-20 20:40:00,8.2047996836,8/20/2019,08:40:00 pm,0,10.856,8.3594,0.1546003164000016
14,2019-08-20 20:50:00,8.205605262399999,8/20/2019,08:50:00 pm,0,10.855,8.3603,0.15469473760000163
15,2019-08-20 21:00:00,8.2062272916,8/20/2019,09:00:00 pm,0,10.855,8.3616,0.15537270839999984
16,2019-08-20 21:10:00,8.2071042508,8/20/2019,09:10:00 pm,0,10.854,8.3633,0.15619574920000012
17,2019-08-20 21:20:00,8.2074101668,8/20/2019,09:20:00 pm,0,10.853,8.3645,0.1570898331999988
18,2019-08-20 21:30:00,8.208083182,8/20/2019,09:30:00 pm,0,10.853,8.3655,0.1574168180000015
19,2019-08-20 21:40:00,8.2087052112,8/20/2019,09:40:00 pm,0,10.853,8.3662,0.15749478879999934
20,2019-08-20 21:50:00,8.2086542252,8/20/2019,09:50:00 pm,0,10.852,8.3674,0.15874577479999985
21,2019-08-20 22:00:00,8.2087765916,8/20/2019,10:00:00 pm,0,10.851,8.3681,0.1593234084000006
22,2019-08-20 22:10:00,8.209337437599999,8/20/2019,10:10:00 pm,0,10.852,8.3694,0.16006256240000205
23,2019-08-20 22:20:00,8.2094496068,8/20/2019,10:20:00 pm,0,10.851,8.3701,0.16065039320000096
24,2019-08-20 22:30:00,8.2091436908,8/20/2019,10:30:00 pm,0,10.85,8.3704,0.16125630920000056
25,2019-08-20 22:40:00,8.2097249312,8/20/2019,10:40:00 pm,0,10.85,8.3717,0.16197506880000034
26,2019-08-20 22:50:00,8.210224594,8/20/2019,10:50:00 pm,0,10.85,8.3725,0.1622754060000009
27,2019-08-20 23:00:00,8.209959466799999,8/20/2019,11:00:00 pm,0,10.85,8.3735,0.16354053320000084
