deploy_end,deploy_start,deployment_id,deploy_year,well_id,DT,Date,Time,raw_Level_m,TEMPERATURE,end_date_x,cut_start,cut_end,temp_threshold,end_date_y,Rate of Change
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 00:10:00,8/12/2019,12:10:00 am,9.1721,9.627,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,9.999999999994457e-05
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 00:20:00,8/12/2019,12:20:00 am,9.1725,9.628,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,9.999999999994457e-05
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 00:30:00,8/12/2019,12:30:00 am,9.1722,9.627,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,9.999999999994457e-05
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 00:40:00,8/12/2019,12:40:00 am,9.1722,9.627,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 00:50:00,8/12/2019,12:50:00 am,9.1727,9.627,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 01:00:00,8/12/2019,01:00:00 am,9.1728,9.627,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 01:10:00,8/12/2019,01:10:00 am,9.172,9.626,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.00010000000000012221
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 01:20:00,8/12/2019,01:20:00 am,9.1723,9.626,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 01:30:00,8/12/2019,01:30:00 am,9.1721,9.626,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 01:40:00,8/12/2019,01:40:00 am,9.1722,9.626,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 01:50:00,8/12/2019,01:50:00 am,9.1718,9.625,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,9.999999999994457e-05
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 02:00:00,8/12/2019,02:00:00 am,9.1723,9.626,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,9.999999999994457e-05
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 02:10:00,8/12/2019,02:10:00 am,9.1726,9.625,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,9.999999999994457e-05
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 02:20:00,8/12/2019,02:20:00 am,9.1729,9.625,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 02:30:00,8/12/2019,02:30:00 am,9.1734,9.625,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 02:40:00,8/12/2019,02:40:00 am,9.1736,9.625,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 02:50:00,8/12/2019,02:50:00 am,9.1737,9.625,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 03:00:00,8/12/2019,03:00:00 am,9.1739,9.624,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,9.999999999994457e-05
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 03:10:00,8/12/2019,03:10:00 am,9.1739,9.624,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 03:20:00,8/12/2019,03:20:00 am,9.174,9.624,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 03:30:00,8/12/2019,03:30:00 am,9.174,9.624,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 03:40:00,8/12/2019,03:40:00 am,9.1742,9.624,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 03:50:00,8/12/2019,03:50:00 am,9.1748,9.623,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.00010000000000012221
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 04:00:00,8/12/2019,04:00:00 am,9.1751,9.623,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 04:10:00,8/12/2019,04:10:00 am,9.1759,9.623,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 04:20:00,8/12/2019,04:20:00 am,9.1759,9.622,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,9.999999999994457e-05
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 04:30:00,8/12/2019,04:30:00 am,9.176,9.623,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,9.999999999994457e-05
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 04:40:00,8/12/2019,04:40:00 am,9.1764,9.623,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 04:50:00,8/12/2019,04:50:00 am,9.1769,9.622,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,9.999999999994457e-05
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 05:00:00,8/12/2019,05:00:00 am,9.1778,9.622,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 05:10:00,8/12/2019,05:10:00 am,9.1782,9.622,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 05:20:00,8/12/2019,05:20:00 am,9.1789,9.622,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 05:30:00,8/12/2019,05:30:00 am,9.1796,9.621,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,9.999999999994457e-05
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 05:40:00,8/12/2019,05:40:00 am,9.1798,9.621,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 05:50:00,8/12/2019,05:50:00 am,9.1805,9.621,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 06:00:00,8/12/2019,06:00:00 am,9.1812,9.62,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.00010000000000012221
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 06:10:00,8/12/2019,06:10:00 am,9.1811,9.62,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 06:20:00,8/12/2019,06:20:00 am,9.1821,9.62,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 06:30:00,8/12/2019,06:30:00 am,9.1825,9.62,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 06:40:00,8/12/2019,06:40:00 am,9.1832,9.62,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 06:50:00,8/12/2019,06:50:00 am,9.1835,9.619,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,9.999999999994457e-05
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 07:00:00,8/12/2019,07:00:00 am,9.1832,9.619,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 07:10:00,8/12/2019,07:10:00 am,9.1837,9.619,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 07:20:00,8/12/2019,07:20:00 am,9.1839,9.619,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 07:30:00,8/12/2019,07:30:00 am,9.1844,9.618,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,9.999999999994457e-05
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 07:40:00,8/12/2019,07:40:00 am,9.1848,9.618,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 07:50:00,8/12/2019,07:50:00 am,9.1848,9.618,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 08:00:00,8/12/2019,08:00:00 am,9.1852,9.618,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 08:10:00,8/12/2019,08:10:00 am,9.186,9.618,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 08:20:00,8/12/2019,08:20:00 am,9.1857,9.617,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,9.999999999994457e-05
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 08:30:00,8/12/2019,08:30:00 am,9.1857,9.616,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.00010000000000012221
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 08:40:00,8/12/2019,08:40:00 am,9.1862,9.617,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.00010000000000012221
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 08:50:00,8/12/2019,08:50:00 am,9.1861,9.616,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.00010000000000012221
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 09:00:00,8/12/2019,09:00:00 am,9.1858,9.616,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 09:10:00,8/12/2019,09:10:00 am,9.1855,9.616,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 09:20:00,8/12/2019,09:20:00 am,9.1857,9.615,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,9.999999999994457e-05
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 09:30:00,8/12/2019,09:30:00 am,9.1854,9.615,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 09:40:00,8/12/2019,09:40:00 am,9.1861,9.615,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 09:50:00,8/12/2019,09:50:00 am,9.1866,9.615,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 10:00:00,8/12/2019,10:00:00 am,9.1858,9.615,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 10:10:00,8/12/2019,10:10:00 am,9.1866,9.614,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,9.999999999994457e-05
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 10:20:00,8/12/2019,10:20:00 am,9.1872,9.614,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 10:30:00,8/12/2019,10:30:00 am,9.1863,9.614,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 10:40:00,8/12/2019,10:40:00 am,9.1848,9.614,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 10:50:00,8/12/2019,10:50:00 am,9.182,9.613,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.00010000000000012221
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 11:00:00,8/12/2019,11:00:00 am,9.1787,9.613,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 11:10:00,8/12/2019,11:10:00 am,9.1758,9.613,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 11:20:00,8/12/2019,11:20:00 am,9.1711,9.613,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 11:30:00,8/12/2019,11:30:00 am,9.1685,9.612,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,9.999999999994457e-05
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 11:40:00,8/12/2019,11:40:00 am,9.165,9.612,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 11:50:00,8/12/2019,11:50:00 am,9.1615,9.612,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 12:00:00,8/12/2019,12:00:00 pm,9.1572,9.612,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 12:10:00,8/12/2019,12:10:00 pm,9.1544,9.611,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,9.999999999994457e-05
2019-11-11 23:59:00,2019-06-03,KEF-1_2019_0603_1111,2019,KEF-1,2019-08-12 12:20:00,8/12/2019,12:20:00 pm,9.1514,9.611,2019-11-11,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2019-10-20,0.0
