deploy_end,deploy_start,deployment_id,deploy_year,well_id,DT,Date,Time,raw_Level_m,TEMPERATURE,end_date_x,cut_start,cut_end,temp_threshold,end_date_y,Rate of Change
2024-11-11 23:59:00,2024-07-14,KET-1_2024_0714_1111,2024,KET-1,2024-07-14 17:00:00,7/14/2024,05:00:00 pm,8.9727,10.734,2024-11-11,2024-07-14 17:00:00,2024-11-09 12:50:00,0.5,2024-11-09,0.0001
2024-11-11 23:59:00,2024-07-14,KET-1_2024_0714_1111,2024,KET-1,2024-07-14 17:10:00,7/14/2024,05:10:00 pm,8.9714,10.732,2024-11-11,2024-07-14 17:00:00,2024-11-09 12:50:00,0.5,2024-11-09,0.0002000000000000668
2024-11-11 23:59:00,2024-07-14,KET-1_2024_0714_1111,2024,KET-1,2024-07-14 17:20:00,7/14/2024,05:20:00 pm,8.9698,10.734,2024-11-11,2024-07-14 17:00:00,2024-11-09 12:50:00,0.5,2024-11-09,0.0002000000000000668
2024-11-11 23:59:00,2024-07-14,KET-1_2024_0714_1111,2024,KET-1,2024-07-14 17:30:00,7/14/2024,05:30:00 pm,8.969,10.732,2024-11-11,2024-07-14 17:00:00,2024-11-09 12:50:00,0.5,2024-11-09,0.0002000000000000668
2024-11-11 23:59:00,2024-07-14,KET-1_2024_0714_1111,2024,KET-1,2024-07-14 17:40:00,7/14/2024,05:40:00 pm,8.9694,10.734,2024-11-11,2024-07-14 17:00:00,2024-11-09 12:50:00,0.5,2024-11-09,0.0002000000000000668
2024-11-11 23:59:00,2024-07-14,KET-1_2024_0714_1111,2024,KET-1,2024-07-14 17:50:00,7/14/2024,05:50:00 pm,8.9702,10.733,2024-11-11,2024-07-14 17:00:00,2024-11-09 12:50:00,0.5,2024-11-09,9.999999999994457e-05
2024-11-11 23:59:00,2024-07-14,KET-1_2024_0714_1111,2024,KET-1,2024-07-14 18:00:00,7/14/2024,06:00:00 pm,8.9709,10.735,2024-11-11,2024-07-14 17:00:00,2024-11-09 12:50:00,0.5,2024-11-09,0.00019999999999988915
2024-11-11 23:59:00,2024-07-14,KET-1_2024_0714_1111,2024,KET-1,2024-07-14 18:10:00,7/14/2024,06:10:00 pm,8.971,10.733,2024-11-11,2024-07-14 17:00:00,2024-11-09 12:50:00,0.5,2024-11-09,0.00019999999999988915
2024-11-11 23:59:00,2024-07-14,KET-1_2024_0714_1111,2024,KET-1,2024-07-14 18:20:00,7/14/2024,06:20:00 pm,8.9708,10.734,2024-11-11,2024-07-14 17:00:00,2024-11-09 12:50:00,0.5,2024-11-09,9.999999999994457e-05
2024-11-11 23:59:00,2024-07-14,KET-1_2024_0714_1111,2024,KET-1,2024-07-14 18:30:00,7/14/2024,06:30:00 pm,8.9709,10.734,2024-11-11,2024-07-14 17:00:00,2024-11-09 12:50:00,0.5,2024-11-09,0.0
