deploy_end,deploy_start,deployment_id,deploy_year,well_id,DT,Date,Time,raw_Level_m,TEMPERATURE,end_date_x,cut_start,cut_end,temp_threshold,end_date_y,Rate of Change
2018-08-26 23:59:00,2018-08-24,KHT-XE4S_2018_0824_0826,2018,KHT-XE4S,2018-08-24 14:30:00,8/24/2018,02:30:00 pm,8.1838,17.786,2018-08-26,2018-08-24 14:30:00,2018-08-26 14:30:00,0.5,2018-08-26,0.0001
2018-08-26 23:59:00,2018-08-24,KHT-XE4S_2018_0824_0826,2018,KHT-XE4S,2018-08-24 14:40:00,8/24/2018,02:40:00 pm,8.182,15.432,2018-08-26,2018-08-24 14:30:00,2018-08-26 14:30:00,0.5,2018-08-26,0.2354000000000001
2018-08-26 23:59:00,2018-08-24,KHT-XE4S_2018_0824_0826,2018,KHT-XE4S,2018-08-24 14:50:00,8/24/2018,02:50:00 pm,8.1809,14.07,2018-08-26,2018-08-24 14:30:00,2018-08-26 14:30:00,0.5,2018-08-26,0.13620000000000002
2018-08-26 23:59:00,2018-08-24,KHT-XE4S_2018_0824_0826,2018,KHT-XE4S,2018-08-24 15:00:00,8/24/2018,03:00:00 pm,8.1796,13.211,2018-08-26,2018-08-24 14:30:00,2018-08-26 14:30:00,0.5,2018-08-26,0.0859
2018-08-26 23:59:00,2018-08-24,KHT-XE4S_2018_0824_0826,2018,KHT-XE4S,2018-08-24 15:10:00,8/24/2018,03:10:00 pm,8.1788,12.649,2018-08-26,2018-08-24 14:30:00,2018-08-26 14:30:00,0.5,2018-08-26,0.05620000000000012
2018-08-26 23:59:00,2018-08-24,KHT-XE4S_2018_0824_0826,2018,KHT-XE4S,2018-08-24 15:20:00,8/24/2018,03:20:00 pm,8.1778,12.275,2018-08-26,2018-08-24 14:30:00,2018-08-26 14:30:00,0.5,2018-08-26,0.03739999999999988
2018-08-26 23:59:00,2018-08-24,KHT-XE4S_2018_0824_0826,2018,KHT-XE4S,2018-08-24 15:30:00,8/24/2018,03:30:00 pm,8.1775,12.024,2018-08-26,2018-08-24 14:30:00,2018-08-26 14:30:00,0.5,2018-08-26,0.025100000000000122
2018-08-26 23:59:00,2018-08-24,KHT-XE4S_2018_0824_0826,2018,KHT-XE4S,2018-08-24 15:40:00,8/24/2018,03:40:00 pm,8.1771,11.855,2018-08-26,2018-08-24 14:30:00,2018-08-26 14:30:00,0.5,2018-08-26,0.01689999999999987
2018-08-26 23:59:00,2018-08-24,KHT-XE4S_2018_0824_0826,2018,KHT-XE4S,2018-08-24 15:50:00,8/24/2018,03:50:00 pm,8.1759,11.74,2018-08-26,2018-08-24 14:30:00,2018-08-26 14:30:00,0.5,2018-08-26,0.01150000000000002
2018-08-26 23:59:00,2018-08-24,KHT-XE4S_2018_0824_0826,2018,KHT-XE4S,2018-08-24 16:00:00,8/24/2018,04:00:00 pm,8.1753,11.662,2018-08-26,2018-08-24 14:30:00,2018-08-26 14:30:00,0.5,2018-08-26,0.007799999999999941
