deploy_end,deploy_start,deployment_id,deploy_year,well_id,DT,Date,Time,raw_Level_m,TEMPERATURE,end_date_x,cut_start,cut_end,temp_threshold,end_date_y,Rate of Change
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 12:30:00,7/26/2018,12:30:00 pm,8.2984,8.827,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,9.999999999994457e-05
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 12:40:00,7/26/2018,12:40:00 pm,8.2976,8.828,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,9.999999999994457e-05
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 12:50:00,7/26/2018,12:50:00 pm,8.2965,8.828,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.0
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 13:00:00,7/26/2018,01:00:00 pm,8.2958,8.83,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.0002000000000000668
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 13:10:00,7/26/2018,01:10:00 pm,8.2952,8.831,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,9.999999999994457e-05
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 13:20:00,7/26/2018,01:20:00 pm,8.2937,8.831,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.0
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 13:30:00,7/26/2018,01:30:00 pm,8.2927,8.832,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.00010000000000012221
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 13:40:00,7/26/2018,01:40:00 pm,8.2918,8.833,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,9.999999999994457e-05
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 13:50:00,7/26/2018,01:50:00 pm,8.2905,8.833,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.0
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 14:00:00,7/26/2018,02:00:00 pm,8.2895,8.834,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,9.999999999994457e-05
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 14:10:00,7/26/2018,02:10:00 pm,8.2883,8.835,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.00010000000000012221
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 14:20:00,7/26/2018,02:20:00 pm,8.2869,8.835,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.0
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 14:30:00,7/26/2018,02:30:00 pm,8.2863,8.836,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,9.999999999994457e-05
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 14:40:00,7/26/2018,02:40:00 pm,8.2856,8.835,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,9.999999999994457e-05
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 14:50:00,7/26/2018,02:50:00 pm,8.2847,8.835,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.0
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 15:00:00,7/26/2018,03:00:00 pm,8.2842,8.834,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.00010000000000012221
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 15:10:00,7/26/2018,03:10:00 pm,8.2833,8.834,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.0
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 15:20:00,7/26/2018,03:20:00 pm,8.2825,8.834,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.0
