well_id,Date,Time,ms,DT,raw_Level_m,TEMPERATURE,Rate of Change
EWR-1,10/1/2018,03:00:00 pm,0,2018-10-01 15:00:00,8.341,8.059,0.025099999999999945
EWR-1,10/1/2018,03:10:00 pm,0,2018-10-01 15:10:00,8.3435,7.808,0.014199999999999945
EWR-1,10/1/2018,03:20:00 pm,0,2018-10-01 15:20:00,8.3448,7.666,0.00910000000000002
EWR-1,10/1/2018,03:30:00 pm,0,2018-10-01 15:30:00,8.3448,7.575,0.006300000000000061
EWR-1,10/1/2018,03:40:00 pm,0,2018-10-01 15:40:00,8.3445,7.512,0.004499999999999993
EWR-1,10/1/2018,03:50:00 pm,0,2018-10-01 15:50:00,8.3438,7.467,0.0034999999999999255
EWR-1,10/1/2018,04:00:00 pm,0,2018-10-01 16:00:00,8.3442,7.432,0.0025000000000000356
EWR-1,10/1/2018,04:10:00 pm,0,2018-10-01 16:10:00,8.3431,7.407,0.0020999999999999908
EWR-1,10/1/2018,04:20:00 pm,0,2018-10-01 16:20:00,8.3433,7.386,0.0016000000000000014
EWR-1,10/1/2018,04:30:00 pm,0,2018-10-01 16:30:00,8.3453,7.37,0.0014000000000000234
EWR-1,10/1/2018,04:40:00 pm,0,2018-10-01 16:40:00,8.347,7.356,0.0009999999999999788
EWR-1,10/1/2018,04:50:00 pm,0,2018-10-01 16:50:00,8.3469,7.346,0.0009999999999999788
EWR-1,10/1/2018,05:00:00 pm,0,2018-10-01 17:00:00,8.3456,7.336,0.0007000000000000562
EWR-1,10/1/2018,05:10:00 pm,0,2018-10-01 17:10:00,8.3423,7.329,0.0005999999999999339
EWR-1,10/1/2018,05:20:00 pm,0,2018-10-01 17:20:00,8.3415,7.323,0.0005000000000000782
EWR-1,10/1/2018,05:30:00 pm,0,2018-10-01 17:30:00,8.3423,7.318,0.0004999999999999894
EWR-1,10/1/2018,05:40:00 pm,0,2018-10-01 17:40:00,8.3433,7.313,0.00030000000000001136
EWR-1,10/1/2018,05:50:00 pm,0,2018-10-01 17:50:00,8.3442,7.31,0.00029999999999992256
EWR-1,10/1/2018,06:00:00 pm,0,2018-10-01 18:00:00,8.3465,7.307,0.00030000000000001136
EWR-1,10/1/2018,06:10:00 pm,0,2018-10-01 18:10:00,8.3476,7.304,0.0002000000000000668
EWR-1,10/1/2018,06:20:00 pm,0,2018-10-01 18:20:00,8.3489,7.302,0.00029999999999992256
EWR-1,10/1/2018,06:30:00 pm,0,2018-10-01 18:30:00,8.3501,7.299,0.0001000000000000334
EWR-1,10/1/2018,06:40:00 pm,0,2018-10-01 18:40:00,8.3512,7.298,0.00019999999999997797
EWR-1,10/1/2018,06:50:00 pm,0,2018-10-01 18:50:00,8.3516,7.296,0.0001000000000000334
EWR-1,10/1/2018,07:00:00 pm,0,2018-10-01 19:00:00,8.3522,7.295,0.0001000000000000334
EWR-1,10/1/2018,07:10:00 pm,0,2018-10-01 19:10:00,8.3527,7.294,0.0
EWR-1,10/1/2018,07:20:00 pm,0,2018-10-01 19:20:00,8.3533,7.294,9.999999999994457e-05
EWR-1,10/1/2018,07:30:00 pm,0,2018-10-01 19:30:00,8.3529,7.293,0.0001000000000000334
EWR-1,10/1/2018,07:40:00 pm,0,2018-10-01 19:40:00,8.3524,7.292,9.999999999994457e-05
EWR-1,10/1/2018,07:50:00 pm,0,2018-10-01 19:50:00,8.352,7.291,0.0
EWR-1,10/1/2018,08:00:00 pm,0,2018-10-01 20:00:00,8.3524,7.291,0.0
EWR-1,10/1/2018,08:10:00 pm,0,2018-10-01 20:10:00,8.3526,7.291,0.0
EWR-1,10/1/2018,08:20:00 pm,0,2018-10-01 20:20:00,8.3538,7.291,0.0
EWR-1,10/1/2018,08:30:00 pm,0,2018-10-01 20:30:00,8.3546,7.291,0.0
EWR-1,10/1/2018,08:40:00 pm,0,2018-10-01 20:40:00,8.3545,7.291,0.0
EWR-1,10/1/2018,08:50:00 pm,0,2018-10-01 20:50:00,8.3544,7.291,0.0
EWR-1,10/1/2018,09:00:00 pm,0,2018-10-01 21:00:00,8.3549,7.291,9.999999999994457e-05
