well_id,Date,Time,ms,DT,raw_Level_m,TEMPERATURE,Rate of Change
KET-1,8/6/2021,07:35:00 am,0,2021-08-06 07:35:00,8.8521,10.919,9.999999999994457e-05
KET-1,8/6/2021,07:45:00 am,0,2021-08-06 07:45:00,8.8465,10.92,0.0002000000000000668
KET-1,8/6/2021,07:55:00 am,0,2021-08-06 07:55:00,8.8439,10.918,9.999999999994457e-05
KET-1,8/6/2021,08:05:00 am,0,2021-08-06 08:05:00,8.8424,10.917,9.999999999994457e-05
KET-1,8/6/2021,08:15:00 am,0,2021-08-06 08:15:00,8.8421,10.916,0.00010000000000012221
KET-1,8/6/2021,08:25:00 am,0,2021-08-06 08:25:00,8.8414,10.915,0.0
KET-1,8/6/2021,08:35:00 am,0,2021-08-06 08:35:00,8.8409,10.915,9.999999999994457e-05
KET-1,8/6/2021,08:45:00 am,0,2021-08-06 08:45:00,8.841,10.914,0.0
KET-1,8/6/2021,08:55:00 am,0,2021-08-06 08:55:00,8.8394,10.914,0.0
KET-1,8/6/2021,09:05:00 am,0,2021-08-06 09:05:00,8.8395,10.914,0.0
KET-1,8/6/2021,09:15:00 am,0,2021-08-06 09:15:00,8.8389,10.914,9.999999999994457e-05
KET-1,8/6/2021,09:25:00 am,0,2021-08-06 09:25:00,8.8387,10.913,0.0
KET-1,8/6/2021,09:35:00 am,0,2021-08-06 09:35:00,8.8389,10.913,0.0
KET-1,8/6/2021,09:45:00 am,0,2021-08-06 09:45:00,8.838,10.913,0.0
KET-1,8/6/2021,09:55:00 am,0,2021-08-06 09:55:00,8.8361,10.913,9.999999999994457e-05
KET-1,8/6/2021,10:05:00 am,0,2021-08-06 10:05:00,8.8344,10.914,9.999999999994457e-05
KET-1,8/6/2021,10:15:00 am,0,2021-08-06 10:15:00,8.8315,10.913,0.0
KET-1,8/6/2021,10:25:00 am,0,2021-08-06 10:25:00,8.8298,10.913,9.999999999994457e-05
KET-1,8/6/2021,10:35:00 am,0,2021-08-06 10:35:00,8.8267,10.914,0.0
KET-1,8/6/2021,10:45:00 am,0,2021-08-06 10:45:00,8.8239,10.914,0.0
KET-1,8/6/2021,10:55:00 am,0,2021-08-06 10:55:00,8.8209,10.914,0.0
KET-1,8/6/2021,11:05:00 am,0,2021-08-06 11:05:00,8.8175,10.914,0.0
KET-1,8/6/2021,11:15:00 am,0,2021-08-06 11:15:00,8.8137,10.914,9.999999999994457e-05
KET-1,8/6/2021,11:25:00 am,0,2021-08-06 11:25:00,8.8099,10.915,0.0
KET-1,8/6/2021,11:35:00 am,0,2021-08-06 11:35:00,8.8055,10.915,0.0
KET-1,8/6/2021,11:45:00 am,0,2021-08-06 11:45:00,8.8006,10.915,9.999999999994457e-05
KET-1,8/6/2021,11:55:00 am,0,2021-08-06 11:55:00,8.7953,10.914,9.999999999994457e-05
KET-1,8/6/2021,12:05:00 pm,0,2021-08-06 12:05:00,8.789,10.915,0.0
KET-1,8/6/2021,12:15:00 pm,0,2021-08-06 12:15:00,8.7831,10.915,0.0
KET-1,8/6/2021,12:25:00 pm,0,2021-08-06 12:25:00,8.7771,10.915,0.0
KET-1,8/6/2021,12:35:00 pm,0,2021-08-06 12:35:00,8.7712,10.915,0.0
KET-1,8/6/2021,12:45:00 pm,0,2021-08-06 12:45:00,8.7644,10.915,0.00010000000000012221
KET-1,8/6/2021,12:55:00 pm,0,2021-08-06 12:55:00,8.7579,10.916,0.0
KET-1,8/6/2021,01:05:00 pm,0,2021-08-06 13:05:00,8.7511,10.916,0.0
KET-1,8/6/2021,01:15:00 pm,0,2021-08-06 13:15:00,8.744,10.916,0.0
KET-1,8/6/2021,01:25:00 pm,0,2021-08-06 13:25:00,8.7365,10.916,0.0
KET-1,8/6/2021,01:35:00 pm,0,2021-08-06 13:35:00,8.7287,10.916,0.0
KET-1,8/6/2021,01:45:00 pm,0,2021-08-06 13:45:00,8.7207,10.916,0.0
KET-1,8/6/2021,01:55:00 pm,0,2021-08-06 13:55:00,8.7124,10.916,0.0
KET-1,8/6/2021,02:05:00 pm,0,2021-08-06 14:05:00,8.7039,10.916,9.999999999994457e-05
KET-1,8/6/2021,02:15:00 pm,0,2021-08-06 14:15:00,8.6952,10.917,9.999999999994457e-05
KET-1,8/6/2021,02:25:00 pm,0,2021-08-06 14:25:00,8.687,10.916,9.999999999994457e-05
KET-1,8/6/2021,02:35:00 pm,0,2021-08-06 14:35:00,8.6794,10.917,0.0
KET-1,8/6/2021,02:45:00 pm,0,2021-08-06 14:45:00,8.6722,10.917,0.0
KET-1,8/6/2021,02:55:00 pm,0,2021-08-06 14:55:00,8.6654,10.917,0.0
KET-1,8/6/2021,03:05:00 pm,0,2021-08-06 15:05:00,8.6589,10.917,0.0
KET-1,8/6/2021,03:15:00 pm,0,2021-08-06 15:15:00,8.6526,10.917,0.0
KET-1,8/6/2021,03:25:00 pm,0,2021-08-06 15:25:00,8.647,10.917,9.999999999994457e-05
KET-1,8/6/2021,03:35:00 pm,0,2021-08-06 15:35:00,8.6412,10.918,0.0
KET-1,8/6/2021,03:45:00 pm,0,2021-08-06 15:45:00,8.6359,10.918,0.0
KET-1,8/6/2021,03:55:00 pm,0,2021-08-06 15:55:00,8.6311,10.918,0.0
KET-1,8/6/2021,04:05:00 pm,0,2021-08-06 16:05:00,8.6267,10.918,0.0
KET-1,8/6/2021,04:15:00 pm,0,2021-08-06 16:15:00,8.6223,10.918,0.0
KET-1,8/6/2021,04:25:00 pm,0,2021-08-06 16:25:00,8.6172,10.918,0.0
KET-1,8/6/2021,04:35:00 pm,0,2021-08-06 16:35:00,8.6129,10.918,0.00010000000000012221
KET-1,8/6/2021,04:45:00 pm,0,2021-08-06 16:45:00,8.6088,10.919,0.0
KET-1,8/6/2021,04:55:00 pm,0,2021-08-06 16:55:00,8.6054,10.919,0.0
KET-1,8/6/2021,05:05:00 pm,0,2021-08-06 17:05:00,8.6026,10.919,0.0
KET-1,8/6/2021,05:15:00 pm,0,2021-08-06 17:15:00,8.6,10.919,0.0
KET-1,8/6/2021,05:25:00 pm,0,2021-08-06 17:25:00,8.5975,10.919,0.0
KET-1,8/6/2021,05:35:00 pm,0,2021-08-06 17:35:00,8.5958,10.919,0.0
KET-1,8/6/2021,05:45:00 pm,0,2021-08-06 17:45:00,8.5943,10.919,0.0
KET-1,8/6/2021,05:55:00 pm,0,2021-08-06 17:55:00,8.5935,10.919,0.0
KET-1,8/6/2021,06:05:00 pm,0,2021-08-06 18:05:00,8.5932,10.919,0.0
KET-1,8/6/2021,06:15:00 pm,0,2021-08-06 18:15:00,8.5937,10.919,0.0
KET-1,8/6/2021,06:25:00 pm,0,2021-08-06 18:25:00,8.5958,10.919,0.0
KET-1,8/6/2021,06:35:00 pm,0,2021-08-06 18:35:00,8.5975,10.919,9.999999999994457e-05
KET-1,8/6/2021,06:45:00 pm,0,2021-08-06 18:45:00,8.6009,10.92,0.0
KET-1,8/6/2021,06:55:00 pm,0,2021-08-06 18:55:00,8.6041,10.92,9.999999999994457e-05
KET-1,8/6/2021,07:05:00 pm,0,2021-08-06 19:05:00,8.6081,10.919,9.999999999994457e-05
KET-1,8/6/2021,07:15:00 pm,0,2021-08-06 19:15:00,8.6129,10.92,0.0
KET-1,8/6/2021,07:25:00 pm,0,2021-08-06 19:25:00,8.6181,10.92,0.0
KET-1,8/6/2021,07:35:00 pm,0,2021-08-06 19:35:00,8.6239,10.92,9.999999999994457e-05
KET-1,8/6/2021,07:45:00 pm,0,2021-08-06 19:45:00,8.6291,10.919,9.999999999994457e-05
KET-1,8/6/2021,07:55:00 pm,0,2021-08-06 19:55:00,8.635,10.92,0.0
KET-1,8/6/2021,08:05:00 pm,0,2021-08-06 20:05:00,8.6413,10.92,9.999999999994457e-05
KET-1,8/6/2021,08:15:00 pm,0,2021-08-06 20:15:00,8.6476,10.919,0.0
KET-1,8/6/2021,08:25:00 pm,0,2021-08-06 20:25:00,8.6538,10.919,9.999999999994457e-05
KET-1,8/6/2021,08:35:00 pm,0,2021-08-06 20:35:00,8.6603,10.92,0.0
KET-1,8/6/2021,08:45:00 pm,0,2021-08-06 20:45:00,8.6669,10.92,0.0
KET-1,8/6/2021,08:55:00 pm,0,2021-08-06 20:55:00,8.6733,10.92,0.0
KET-1,8/6/2021,09:05:00 pm,0,2021-08-06 21:05:00,8.6787,10.92,9.999999999994457e-05
KET-1,8/6/2021,09:15:00 pm,0,2021-08-06 21:15:00,8.6855,10.919,9.999999999994457e-05
KET-1,8/6/2021,09:25:00 pm,0,2021-08-06 21:25:00,8.6921,10.92,9.999999999994457e-05
KET-1,8/6/2021,09:35:00 pm,0,2021-08-06 21:35:00,8.6988,10.919,9.999999999994457e-05
KET-1,8/6/2021,09:45:00 pm,0,2021-08-06 21:45:00,8.705,10.92,0.0
KET-1,8/6/2021,09:55:00 pm,0,2021-08-06 21:55:00,8.7112,10.92,0.0
KET-1,8/6/2021,10:05:00 pm,0,2021-08-06 22:05:00,8.7165,10.92,0.0
KET-1,8/6/2021,10:15:00 pm,0,2021-08-06 22:15:00,8.7212,10.92,0.0
KET-1,8/6/2021,10:25:00 pm,0,2021-08-06 22:25:00,8.7258,10.92,0.0
KET-1,8/6/2021,10:35:00 pm,0,2021-08-06 22:35:00,8.7301,10.92,0.0
KET-1,8/6/2021,10:45:00 pm,0,2021-08-06 22:45:00,8.735,10.92,0.0
KET-1,8/6/2021,10:55:00 pm,0,2021-08-06 22:55:00,8.7389,10.92,0.0
KET-1,8/6/2021,11:05:00 pm,0,2021-08-06 23:05:00,8.7431,10.92,0.0
KET-1,8/6/2021,11:15:00 pm,0,2021-08-06 23:15:00,8.7463,10.92,0.0
KET-1,8/6/2021,11:25:00 pm,0,2021-08-06 23:25:00,8.7505,10.92,0.0
KET-1,8/6/2021,11:35:00 pm,0,2021-08-06 23:35:00,8.7549,10.92,0.0
KET-1,8/6/2021,11:45:00 pm,0,2021-08-06 23:45:00,8.7582,10.92,0.0
KET-1,8/6/2021,11:55:00 pm,0,2021-08-06 23:55:00,8.7615,10.92,0.0
