well_id,Date,Time,ms,DT,raw_Level_m,TEMPERATURE,Rate of Change
KHR-1,7/14/2024,05:00:00 pm,0,2024-07-14 17:00:00,8.6542,9.605,0.00030000000000001136
KHR-1,7/14/2024,05:10:00 pm,0,2024-07-14 17:10:00,8.6538,9.602,9.999999999994457e-05
KHR-1,7/14/2024,05:20:00 pm,0,2024-07-14 17:20:00,8.6533,9.601,9.999999999994457e-05
KHR-1,7/14/2024,05:30:00 pm,0,2024-07-14 17:30:00,8.6529,9.602,0.0
KHR-1,7/14/2024,05:40:00 pm,0,2024-07-14 17:40:00,8.6542,9.602,9.999999999994457e-05
KHR-1,7/14/2024,05:50:00 pm,0,2024-07-14 17:50:00,8.6544,9.601,0.0002000000000000668
KHR-1,7/14/2024,06:00:00 pm,0,2024-07-14 18:00:00,8.6547,9.599,9.999999999994457e-05
KHR-1,7/14/2024,06:10:00 pm,0,2024-07-14 18:10:00,8.6546,9.598,0.0
KHR-1,7/14/2024,06:20:00 pm,0,2024-07-14 18:20:00,8.6544,9.598,9.999999999994457e-05
KHR-1,7/14/2024,06:30:00 pm,0,2024-07-14 18:30:00,8.6545,9.599,0.0002000000000000668
KHR-1,7/14/2024,06:40:00 pm,0,2024-07-14 18:40:00,8.6548,9.597,9.999999999994457e-05
KHR-1,7/14/2024,06:50:00 pm,0,2024-07-14 18:50:00,8.655,9.596,0.0
KHR-1,7/14/2024,07:00:00 pm,0,2024-07-14 19:00:00,8.6543,9.596,9.999999999994457e-05
KHR-1,7/14/2024,07:10:00 pm,0,2024-07-14 19:10:00,8.6543,9.595,0.0
KHR-1,7/14/2024,07:20:00 pm,0,2024-07-14 19:20:00,8.655,9.595,0.0
KHR-1,7/14/2024,07:30:00 pm,0,2024-07-14 19:30:00,8.6565,9.595,0.00010000000000012221
KHR-1,7/14/2024,07:40:00 pm,0,2024-07-14 19:40:00,8.6566,9.594,0.0
KHR-1,7/14/2024,07:50:00 pm,0,2024-07-14 19:50:00,8.6567,9.594,9.999999999994457e-05
KHR-1,7/14/2024,08:00:00 pm,0,2024-07-14 20:00:00,8.657,9.593,0.0
KHR-1,7/14/2024,08:10:00 pm,0,2024-07-14 20:10:00,8.6573,9.593,0.00030000000000001136
KHR-1,7/14/2024,08:20:00 pm,0,2024-07-14 20:20:00,8.6578,9.59,9.999999999994457e-05
KHR-1,7/14/2024,08:30:00 pm,0,2024-07-14 20:30:00,8.6586,9.591,0.00030000000000001136
KHR-1,7/14/2024,08:40:00 pm,0,2024-07-14 20:40:00,8.6597,9.588,0.00010000000000012221
KHR-1,7/14/2024,08:50:00 pm,0,2024-07-14 20:50:00,8.6608,9.589,0.0002000000000000668
KHR-1,7/14/2024,09:00:00 pm,0,2024-07-14 21:00:00,8.6628,9.587,9.999999999994457e-05
KHR-1,7/14/2024,09:10:00 pm,0,2024-07-14 21:10:00,8.6642,9.588,0.0
KHR-1,7/14/2024,09:20:00 pm,0,2024-07-14 21:20:00,8.665,9.588,9.999999999994457e-05
KHR-1,7/14/2024,09:30:00 pm,0,2024-07-14 21:30:00,8.6668,9.587,0.00030000000000001136
KHR-1,7/14/2024,09:40:00 pm,0,2024-07-14 21:40:00,8.668,9.59,0.00030000000000001136
KHR-1,7/14/2024,09:50:00 pm,0,2024-07-14 21:50:00,8.669,9.587,0.00030000000000001136
KHR-1,7/14/2024,10:00:00 pm,0,2024-07-14 22:00:00,8.6699,9.59,0.0002000000000000668
KHR-1,7/14/2024,10:10:00 pm,0,2024-07-14 22:10:00,8.6712,9.588,0.0002000000000000668
KHR-1,7/14/2024,10:20:00 pm,0,2024-07-14 22:20:00,8.6718,9.59,0.0
KHR-1,7/14/2024,10:30:00 pm,0,2024-07-14 22:30:00,8.673,9.59,0.0
KHR-1,7/14/2024,10:40:00 pm,0,2024-07-14 22:40:00,8.6728,9.59,0.0
KHR-1,7/14/2024,10:50:00 pm,0,2024-07-14 22:50:00,8.6731,9.59,0.0
KHR-1,7/14/2024,11:00:00 pm,0,2024-07-14 23:00:00,8.6732,9.59,0.0002000000000000668
KHR-1,7/14/2024,11:10:00 pm,0,2024-07-14 23:10:00,8.6735,9.588,0.0002000000000000668
KHR-1,7/14/2024,11:20:00 pm,0,2024-07-14 23:20:00,8.6743,9.59,9.999999999994457e-05
KHR-1,7/14/2024,11:30:00 pm,0,2024-07-14 23:30:00,8.6747,9.589,0.00019999999999988915
KHR-1,7/14/2024,11:40:00 pm,0,2024-07-14 23:40:00,8.6747,9.591,0.0
KHR-1,7/14/2024,11:50:00 pm,0,2024-07-14 23:50:00,8.6747,9.591,0.00010000000000012221
KHR-1,7/15/2024,12:00:00 am,0,2024-07-15 00:00:00,8.6752,9.592,0.0002000000000000668
KHR-1,7/15/2024,12:10:00 am,0,2024-07-15 00:10:00,8.6754,9.59,9.999999999994457e-05
KHR-1,7/15/2024,12:20:00 am,0,2024-07-15 00:20:00,8.6753,9.591,0.0
KHR-1,7/15/2024,12:30:00 am,0,2024-07-15 00:30:00,8.6754,9.591,0.00010000000000012221
KHR-1,7/15/2024,12:40:00 am,0,2024-07-15 00:40:00,8.6759,9.592,0.0002000000000000668
KHR-1,7/15/2024,12:50:00 am,0,2024-07-15 00:50:00,8.6751,9.59,0.0
KHR-1,7/15/2024,01:00:00 am,0,2024-07-15 01:00:00,8.6748,9.59,0.0002000000000000668
KHR-1,7/15/2024,01:10:00 am,0,2024-07-15 01:10:00,8.6749,9.592,0.00010000000000012221
KHR-1,7/15/2024,01:20:00 am,0,2024-07-15 01:20:00,8.6752,9.591,0.0
KHR-1,7/15/2024,01:30:00 am,0,2024-07-15 01:30:00,8.6755,9.591,0.0
KHR-1,7/15/2024,01:40:00 am,0,2024-07-15 01:40:00,8.6752,9.591,0.0002000000000000668
KHR-1,7/15/2024,01:50:00 am,0,2024-07-15 01:50:00,8.6749,9.593,9.999999999994457e-05
KHR-1,7/15/2024,02:00:00 am,0,2024-07-15 02:00:00,8.6743,9.592,0.0
KHR-1,7/15/2024,02:10:00 am,0,2024-07-15 02:10:00,8.6744,9.592,9.999999999994457e-05
KHR-1,7/15/2024,02:20:00 am,0,2024-07-15 02:20:00,8.6742,9.593,0.0002000000000000668
KHR-1,7/15/2024,02:30:00 am,0,2024-07-15 02:30:00,8.674,9.595,0.00010000000000012221
KHR-1,7/15/2024,02:40:00 am,0,2024-07-15 02:40:00,8.6736,9.594,0.0
KHR-1,7/15/2024,02:50:00 am,0,2024-07-15 02:50:00,8.6734,9.594,0.0002000000000000668
KHR-1,7/15/2024,03:00:00 am,0,2024-07-15 03:00:00,8.673,9.596,0.0
KHR-1,7/15/2024,03:10:00 am,0,2024-07-15 03:10:00,8.6726,9.596,0.0
KHR-1,7/15/2024,03:20:00 am,0,2024-07-15 03:20:00,8.6734,9.596,0.0
KHR-1,7/15/2024,03:30:00 am,0,2024-07-15 03:30:00,8.6736,9.596,0.0
KHR-1,7/15/2024,03:40:00 am,0,2024-07-15 03:40:00,8.6734,9.596,9.999999999994457e-05
KHR-1,7/15/2024,03:50:00 am,0,2024-07-15 03:50:00,8.6742,9.595,9.999999999994457e-05
KHR-1,7/15/2024,04:00:00 am,0,2024-07-15 04:00:00,8.674,9.596,9.999999999994457e-05
KHR-1,7/15/2024,04:10:00 am,0,2024-07-15 04:10:00,8.674,9.597,0.00010000000000012221
