,Date,Time,ms,DT,raw_LEVEL_m,TEMPERATURE,Rate of Change
110,10/5/19,11:50:00 AM,0,2019-10-05 11:50:00,8.6164,9.291,0.002999999999999936
111,10/5/19,12:00:00 PM,0,2019-10-05 12:00:00,8.6158,9.261000000000001,0.002200000000000202
112,10/5/19,12:10:00 PM,0,2019-10-05 12:10:00,8.6153,9.238999999999999,0.0014999999999998793
113,10/5/19,12:20:00 PM,0,2019-10-05 12:20:00,8.6149,9.224,0.0012000000000000454
114,10/5/19,12:30:00 PM,0,2019-10-05 12:30:00,8.6138,9.212,0.0009999999999999788
115,10/5/19,12:40:00 PM,0,2019-10-05 12:40:00,8.6123,9.202,0.0008000000000000895
116,10/5/19,12:50:00 PM,0,2019-10-05 12:50:00,8.6125,9.193999999999999,0.0006000000000000227
117,10/5/19,1:00:00 PM,0,2019-10-05 13:00:00,8.6113,9.187999999999999,0.0005999999999998451
118,10/5/19,1:10:00 PM,0,2019-10-05 13:10:00,8.6096,9.182,0.0005000000000000782
119,10/5/19,1:20:00 PM,0,2019-10-05 13:20:00,8.6085,9.177,0.00039999999999995595
120,10/5/19,1:30:00 PM,0,2019-10-05 13:30:00,8.6073,9.173,0.00030000000000001136
121,10/5/19,1:40:00 PM,0,2019-10-05 13:40:00,8.6068,9.17,0.00030000000000001136
122,10/5/19,1:50:00 PM,0,2019-10-05 13:50:00,8.607000000000001,9.167,0.00039999999999995595
123,10/5/19,2:00:00 PM,0,2019-10-05 14:00:00,8.6068,9.163,0.00030000000000001136
124,10/5/19,2:10:00 PM,0,2019-10-05 14:10:00,8.6056,9.16,0.00010000000000012221
125,10/5/19,2:20:00 PM,0,2019-10-05 14:20:00,8.6049,9.158999999999999,0.0002999999999998337
126,10/5/19,2:30:00 PM,0,2019-10-05 14:30:00,8.6041,9.156,0.0002000000000000668
127,10/5/19,2:40:00 PM,0,2019-10-05 14:40:00,8.6042,9.154,0.00019999999999988915
128,10/5/19,2:50:00 PM,0,2019-10-05 14:50:00,8.6034,9.152000000000001,0.0002000000000000668
129,10/5/19,3:00:00 PM,0,2019-10-05 15:00:00,8.6043,9.15,0.0002000000000000668
130,10/5/19,3:10:00 PM,0,2019-10-05 15:10:00,8.6039,9.148,0.00019999999999988915
131,10/5/19,3:20:00 PM,0,2019-10-05 15:20:00,8.6036,9.146,0.0002000000000000668
132,10/5/19,3:30:00 PM,0,2019-10-05 15:30:00,8.6036,9.144,0.00010000000000012221
133,10/5/19,3:40:00 PM,0,2019-10-05 15:40:00,8.6045,9.142999999999999,0.00019999999999988915
134,10/5/19,3:50:00 PM,0,2019-10-05 15:50:00,8.6044,9.141,9.999999999994457e-05
135,10/5/19,4:00:00 PM,0,2019-10-05 16:00:00,8.6043,9.14,0.0002000000000000668
136,10/5/19,4:10:00 PM,0,2019-10-05 16:10:00,8.6047,9.138,0.00019999999999988915
137,10/5/19,4:20:00 PM,0,2019-10-05 16:20:00,8.6059,9.136000000000001,0.00010000000000012221
138,10/5/19,4:30:00 PM,0,2019-10-05 16:30:00,8.606,9.135,9.999999999994457e-05
139,10/5/19,4:40:00 PM,0,2019-10-05 16:40:00,8.6065,9.134,0.0002000000000000668
140,10/5/19,4:50:00 PM,0,2019-10-05 16:50:00,8.6064,9.132,9.999999999994457e-05
141,10/5/19,5:00:00 PM,0,2019-10-05 17:00:00,8.6068,9.131,9.999999999994457e-05
142,10/5/19,5:10:00 PM,0,2019-10-05 17:10:00,8.6076,9.13,0.00010000000000012221
143,10/5/19,5:20:00 PM,0,2019-10-05 17:20:00,8.6075,9.129,9.999999999994457e-05
144,10/5/19,5:30:00 PM,0,2019-10-05 17:30:00,8.6082,9.128,9.999999999994457e-05
145,10/5/19,5:40:00 PM,0,2019-10-05 17:40:00,8.609,9.127,0.00010000000000012221
146,10/5/19,5:50:00 PM,0,2019-10-05 17:50:00,8.6095,9.126,9.999999999994457e-05
147,10/5/19,6:00:00 PM,0,2019-10-05 18:00:00,8.6104,9.125,0.0002000000000000668
148,10/5/19,6:10:00 PM,0,2019-10-05 18:10:00,8.6113,9.123,9.999999999994457e-05
149,10/5/19,6:20:00 PM,0,2019-10-05 18:20:00,8.6126,9.122,9.999999999994457e-05
150,10/5/19,6:30:00 PM,0,2019-10-05 18:30:00,8.6135,9.121,0.00010000000000012221
151,10/5/19,6:40:00 PM,0,2019-10-05 18:40:00,8.6142,9.12,9.999999999994457e-05
152,10/5/19,6:50:00 PM,0,2019-10-05 18:50:00,8.6155,9.119,9.999999999994457e-05
153,10/5/19,7:00:00 PM,0,2019-10-05 19:00:00,8.6175,9.118,9.999999999994457e-05
154,10/5/19,7:10:00 PM,0,2019-10-05 19:10:00,8.6189,9.117,0.00010000000000012221
155,10/5/19,7:20:00 PM,0,2019-10-05 19:20:00,8.6207,9.116,9.999999999994457e-05
156,10/5/19,7:30:00 PM,0,2019-10-05 19:30:00,8.6226,9.115,0.00010000000000012221
157,10/5/19,7:40:00 PM,0,2019-10-05 19:40:00,8.6234,9.113999999999999,9.999999999994457e-05
158,10/5/19,7:50:00 PM,0,2019-10-05 19:50:00,8.625,9.113,9.999999999994457e-05
159,10/5/19,8:00:00 PM,0,2019-10-05 20:00:00,8.6265,9.112,9.999999999994457e-05
160,10/5/19,8:10:00 PM,0,2019-10-05 20:10:00,8.6278,9.111,0.00010000000000012221
161,10/5/19,8:20:00 PM,0,2019-10-05 20:20:00,8.6288,9.11,9.999999999994457e-05
162,10/5/19,8:30:00 PM,0,2019-10-05 20:30:00,8.6297,9.109,0.00010000000000012221
163,10/5/19,8:40:00 PM,0,2019-10-05 20:40:00,8.6308,9.107999999999999,9.999999999976694e-05
164,10/5/19,8:50:00 PM,0,2019-10-05 20:50:00,8.6318,9.107000000000001,0.00010000000000012221
165,10/5/19,9:00:00 PM,0,2019-10-05 21:00:00,8.6321,9.106,9.999999999994457e-05
166,10/5/19,9:10:00 PM,0,2019-10-05 21:10:00,8.6328,9.105,0.00010000000000012221
167,10/5/19,9:20:00 PM,0,2019-10-05 21:20:00,8.6339,9.104,9.999999999994457e-05
168,10/5/19,9:30:00 PM,0,2019-10-05 21:30:00,8.6341,9.103,9.999999999994457e-05
169,10/5/19,9:40:00 PM,0,2019-10-05 21:40:00,8.6345,9.102,9.999999999994457e-05
170,10/5/19,9:50:00 PM,0,2019-10-05 21:50:00,8.6356,9.101,0.00010000000000012221
171,10/5/19,10:00:00 PM,0,2019-10-05 22:00:00,8.6356,9.1,9.999999999994457e-05
172,10/5/19,10:10:00 PM,0,2019-10-05 22:10:00,8.6354,9.099,0.00010000000000012221
173,10/5/19,10:20:00 PM,0,2019-10-05 22:20:00,8.6363,9.097999999999999,9.999999999976694e-05
174,10/5/19,10:30:00 PM,0,2019-10-05 22:30:00,8.6372,9.097000000000001,0.00010000000000012221
175,10/5/19,10:40:00 PM,0,2019-10-05 22:40:00,8.6379,9.096,0.0002000000000000668
176,10/5/19,10:50:00 PM,0,2019-10-05 22:50:00,8.6392,9.094,0.0
177,10/5/19,11:00:00 PM,0,2019-10-05 23:00:00,8.639,9.094,0.00019999999999988915
178,10/5/19,11:10:00 PM,0,2019-10-05 23:10:00,8.6392,9.092,0.0
179,10/5/19,11:20:00 PM,0,2019-10-05 23:20:00,8.6396,9.092,9.999999999994457e-05
180,10/5/19,11:30:00 PM,0,2019-10-05 23:30:00,8.6397,9.091000000000001,0.00010000000000012221
181,10/5/19,11:40:00 PM,0,2019-10-05 23:40:00,8.6393,9.09,9.999999999994457e-05
182,10/5/19,11:50:00 PM,0,2019-10-05 23:50:00,8.6387,9.089,0.00010000000000012221
183,10/6/19,12:00:00 AM,0,2019-10-06 00:00:00,8.6385,9.088,9.999999999994457e-05
184,10/6/19,12:10:00 AM,0,2019-10-06 00:10:00,8.6385,9.087,0.00019999999999988915
185,10/6/19,12:20:00 AM,0,2019-10-06 00:20:00,8.6378,9.085,0.0
186,10/6/19,12:30:00 AM,0,2019-10-06 00:30:00,8.6386,9.085,0.00010000000000012221
187,10/6/19,12:40:00 AM,0,2019-10-06 00:40:00,8.6392,9.084,9.999999999994457e-05
188,10/6/19,12:50:00 AM,0,2019-10-06 00:50:00,8.639,9.083,0.0002000000000000668
189,10/6/19,1:00:00 AM,0,2019-10-06 01:00:00,8.6391,9.081,9.999999999994457e-05
190,10/6/19,1:10:00 AM,0,2019-10-06 01:10:00,8.6387,9.08,9.999999999994457e-05
191,10/6/19,1:20:00 AM,0,2019-10-06 01:20:00,8.6394,9.079,0.00010000000000012221
192,10/6/19,1:30:00 AM,0,2019-10-06 01:30:00,8.6401,9.078,0.0
193,10/6/19,1:40:00 AM,0,2019-10-06 01:40:00,8.6406,9.078,0.00019999999999988915
194,10/6/19,1:50:00 AM,0,2019-10-06 01:50:00,8.6414,9.076,0.00010000000000012221
195,10/6/19,2:00:00 AM,0,2019-10-06 02:00:00,8.642000000000001,9.075,9.999999999994457e-05
196,10/6/19,2:10:00 AM,0,2019-10-06 02:10:00,8.6427,9.074,9.999999999994457e-05
197,10/6/19,2:20:00 AM,0,2019-10-06 02:20:00,8.6423,9.073,0.0
198,10/6/19,2:30:00 AM,0,2019-10-06 02:30:00,8.6418,9.073,0.0002000000000000668
199,10/6/19,2:40:00 AM,0,2019-10-06 02:40:00,8.6415,9.071,0.0
200,10/6/19,2:50:00 AM,0,2019-10-06 02:50:00,8.6419,9.071,9.999999999994457e-05
201,10/6/19,3:00:00 AM,0,2019-10-06 03:00:00,8.6415,9.07,0.0002000000000000668
202,10/6/19,3:10:00 AM,0,2019-10-06 03:10:00,8.6411,9.068,9.999999999994457e-05
203,10/6/19,3:20:00 AM,0,2019-10-06 03:20:00,8.6414,9.067,9.999999999994457e-05
204,10/6/19,3:30:00 AM,0,2019-10-06 03:30:00,8.6418,9.066,0.00010000000000012221
205,10/6/19,3:40:00 AM,0,2019-10-06 03:40:00,8.6413,9.065,9.999999999994457e-05
206,10/6/19,3:50:00 AM,0,2019-10-06 03:50:00,8.6419,9.064,0.0
207,10/6/19,4:00:00 AM,0,2019-10-06 04:00:00,8.6416,9.064,0.00010000000000012221
208,10/6/19,4:10:00 AM,0,2019-10-06 04:10:00,8.6418,9.062999999999999,0.00019999999999988915
209,10/6/19,4:20:00 AM,0,2019-10-06 04:20:00,8.6417,9.061,9.999999999994457e-05
210,10/6/19,4:30:00 AM,0,2019-10-06 04:30:00,8.6417,9.06,0.00010000000000012221
211,10/6/19,4:40:00 AM,0,2019-10-06 04:40:00,8.6417,9.059,9.999999999994457e-05
212,10/6/19,4:50:00 AM,0,2019-10-06 04:50:00,8.642000000000001,9.058,9.999999999994457e-05
213,10/6/19,5:00:00 AM,0,2019-10-06 05:00:00,8.6424,9.057,0.0
214,10/6/19,5:10:00 AM,0,2019-10-06 05:10:00,8.6422,9.057,0.0002000000000000668
215,10/6/19,5:20:00 AM,0,2019-10-06 05:20:00,8.6423,9.055,0.0
216,10/6/19,5:30:00 AM,0,2019-10-06 05:30:00,8.6425,9.055,9.999999999994457e-05
217,10/6/19,5:40:00 AM,0,2019-10-06 05:40:00,8.6433,9.054,0.00010000000000012221
218,10/6/19,5:50:00 AM,0,2019-10-06 05:50:00,8.6436,9.052999999999999,0.00019999999999988915
219,10/6/19,6:00:00 AM,0,2019-10-06 06:00:00,8.644,9.051,0.0
220,10/6/19,6:10:00 AM,0,2019-10-06 06:10:00,8.6448,9.051,0.0002000000000000668
221,10/6/19,6:20:00 AM,0,2019-10-06 06:20:00,8.6454,9.049,0.0
222,10/6/19,6:30:00 AM,0,2019-10-06 06:30:00,8.6461,9.049,0.00019999999999988915
