well_id,DateTime,raw_Level_m,Temp_c
EER-1,2025-05-26 07:50:00,8.7266,6.417
EER-1,2025-05-26 08:00:00,8.7277,6.417
EER-1,2025-05-26 08:10:00,8.7286,6.418
EER-1,2025-05-26 08:20:00,8.7289,6.418
EER-1,2025-05-26 08:30:00,8.7295,6.418
EER-1,2025-05-26 08:40:00,8.7306,6.419
EER-1,2025-05-26 08:50:00,8.7306,6.419
EER-1,2025-05-26 09:00:00,8.7313,6.42
EER-1,2025-05-26 09:10:00,8.7318,6.42
EER-1,2025-05-26 09:20:00,8.7326,6.421
EER-1,2025-05-26 09:30:00,8.7327,6.421
EER-1,2025-05-26 09:40:00,8.7323,6.421
EER-1,2025-05-26 09:50:00,8.7308,6.422
EER-1,2025-05-26 10:00:00,8.7294,6.422
EER-1,2025-05-26 10:10:00,8.7276,6.423
EER-1,2025-05-26 10:20:00,8.7263,6.423
EER-1,2025-05-26 10:30:00,8.7247,6.424
EER-1,2025-05-26 10:40:00,8.7235,6.425
EER-1,2025-05-26 10:50:00,8.7232,6.425
EER-1,2025-05-26 11:00:00,8.7236,6.425
EER-1,2025-05-26 11:10:00,8.722,6.426
EER-1,2025-05-26 11:20:00,8.7218,6.426
EER-1,2025-05-26 11:30:00,8.7195,6.427
EER-1,2025-05-26 11:40:00,8.719,6.427
EER-1,2025-05-26 11:50:00,8.7172,6.428
EER-1,2025-05-26 12:00:00,8.7156,6.428
EER-1,2025-05-26 12:10:00,8.714,6.429
EER-1,2025-05-26 12:20:00,8.7122,6.43
EER-1,2025-05-26 12:30:00,8.7108,6.43
EER-1,2025-05-26 12:40:00,8.7098,6.431
EER-1,2025-05-26 12:50:00,8.7063,6.431
EER-1,2025-05-26 13:00:00,8.7047,6.432
EER-1,2025-05-26 13:10:00,8.7028,6.432
EER-1,2025-05-26 13:20:00,8.7008,6.433
EER-1,2025-05-26 13:30:00,8.6994,6.433
EER-1,2025-05-26 13:40:00,8.6979,6.434
EER-1,2025-05-26 13:50:00,8.6963,6.434
EER-1,2025-05-26 14:00:00,8.6951,6.435
EER-1,2025-05-26 14:10:00,8.694,6.435
EER-1,2025-05-26 14:20:00,8.6923,6.436
EER-1,2025-05-26 14:30:00,8.6918,6.437
EER-1,2025-05-26 14:40:00,8.6897,6.437
EER-1,2025-05-26 14:50:00,8.6888,6.438
EER-1,2025-05-26 15:00:00,8.687,6.439
EER-1,2025-05-26 15:10:00,8.6864,6.44
EER-1,2025-05-26 15:20:00,8.685,6.44
EER-1,2025-05-26 15:30:00,8.6836,6.441
EER-1,2025-05-26 15:40:00,8.6815,6.442
EER-1,2025-05-26 15:50:00,8.6801,6.443
EER-1,2025-05-26 16:00:00,8.6788,6.445
EER-1,2025-05-26 16:10:00,8.6765,6.445
EER-1,2025-05-26 16:20:00,8.6749,6.446
EER-1,2025-05-26 16:30:00,8.6735,6.447
EER-1,2025-05-26 16:40:00,8.6727,6.448
EER-1,2025-05-26 16:50:00,8.6718,6.448
EER-1,2025-05-26 17:00:00,8.6715,6.449
EER-1,2025-05-26 17:10:00,8.671,6.45
EER-1,2025-05-26 17:20:00,8.6708,6.45
EER-1,2025-05-26 17:30:00,8.671,6.451
EER-1,2025-05-26 17:40:00,8.6704,6.451
