well_id,DateTime,raw_Level_m,Temp_c,deployment_id,Rate of Change,temp_threshold
EER-1,2024-10-06 15:20:00,8.726,8.481,EER-1_2024_1006_1111,0.0001,1.72
EER-1,2024-10-06 15:30:00,8.7229,8.388,EER-1_2024_1006_1111,0.009299999999999998,1.72
EER-1,2024-10-06 15:40:00,8.7221,8.332,EER-1_2024_1006_1111,0.005599999999999916,1.72
EER-1,2024-10-06 15:50:00,8.7213,8.293,EER-1_2024_1006_1111,0.0039000000000001477,1.72
EER-1,2024-10-06 16:00:00,8.7199,8.27,EER-1_2024_1006_1111,0.0022999999999999687,1.72
EER-1,2024-10-06 16:10:00,8.7186,8.253,EER-1_2024_1006_1111,0.001699999999999946,1.72
EER-1,2024-10-06 16:20:00,8.7187,8.241,EER-1_2024_1006_1111,0.0012000000000000454,1.72
EER-1,2024-10-06 16:30:00,8.7179,8.231,EER-1_2024_1006_1111,0.0009999999999999788,1.72
EER-1,2024-10-06 16:40:00,8.7171,8.224,EER-1_2024_1006_1111,0.0006999999999999674,1.72
EER-1,2024-10-06 16:50:00,8.7164,8.217,EER-1_2024_1006_1111,0.0006999999999999674,1.72
EER-1,2024-10-06 17:00:00,8.716,8.215,EER-1_2024_1006_1111,0.0002000000000000668,1.72
EER-1,2024-10-06 17:10:00,8.716,8.208,EER-1_2024_1006_1111,0.0006999999999999674,1.72
EER-1,2024-10-06 17:20:00,8.7157,8.208,EER-1_2024_1006_1111,0.0,1.72
EER-1,2024-10-06 17:30:00,8.7162,8.206,EER-1_2024_1006_1111,0.0002000000000000668,1.72
EER-1,2024-10-06 17:40:00,8.7166,8.202,EER-1_2024_1006_1111,0.00039999999999995595,1.72
EER-1,2024-10-06 17:50:00,8.7164,8.2,EER-1_2024_1006_1111,0.0002000000000000668,1.72
EER-1,2024-10-06 18:00:00,8.7167,8.197,EER-1_2024_1006_1111,0.00030000000000001136,1.72
EER-1,2024-10-06 18:10:00,8.7171,8.195,EER-1_2024_1006_1111,0.00019999999999988915,1.72
EER-1,2024-10-06 18:20:00,8.7176,8.196,EER-1_2024_1006_1111,9.999999999994457e-05,1.72
EER-1,2024-10-06 18:30:00,8.7182,8.194,EER-1_2024_1006_1111,0.00019999999999988915,1.72
EER-1,2024-10-06 18:40:00,8.7187,8.192,EER-1_2024_1006_1111,0.0002000000000000668,1.72
EER-1,2024-10-06 18:50:00,8.7196,8.19,EER-1_2024_1006_1111,0.0002000000000000668,1.72
EER-1,2024-10-06 19:00:00,8.7205,8.19,EER-1_2024_1006_1111,0.0,1.72
EER-1,2024-10-06 19:10:00,8.7219,8.19,EER-1_2024_1006_1111,0.0,1.72
EER-1,2024-10-06 19:20:00,8.7233,8.189,EER-1_2024_1006_1111,9.999999999994457e-05,1.72
EER-1,2024-10-06 19:30:00,8.7244,8.188,EER-1_2024_1006_1111,9.999999999994457e-05,1.72
EER-1,2024-10-06 19:40:00,8.7249,8.185,EER-1_2024_1006_1111,0.00030000000000001136,1.72
EER-1,2024-10-06 19:50:00,8.7257,8.185,EER-1_2024_1006_1111,0.0,1.72
EER-1,2024-10-06 20:00:00,8.7265,8.187,EER-1_2024_1006_1111,0.00019999999999988915,1.72
EER-1,2024-10-06 20:10:00,8.7275,8.185,EER-1_2024_1006_1111,0.00019999999999988915,1.72
EER-1,2024-10-06 20:20:00,8.7288,8.183,EER-1_2024_1006_1111,0.0002000000000000668,1.72
EER-1,2024-10-06 20:30:00,8.7296,8.184,EER-1_2024_1006_1111,9.999999999994457e-05,1.72
EER-1,2024-10-06 20:40:00,8.7305,8.183,EER-1_2024_1006_1111,9.999999999994457e-05,1.72
EER-1,2024-10-06 20:50:00,8.7312,8.181,EER-1_2024_1006_1111,0.0002000000000000668,1.72
EER-1,2024-10-06 21:00:00,8.7319,8.183,EER-1_2024_1006_1111,0.0002000000000000668,1.72
EER-1,2024-10-06 21:10:00,8.7325,8.182,EER-1_2024_1006_1111,9.999999999994457e-05,1.72
