well_id,DateTime,raw_Level_m,Temp_c,deployment_id,Rate of Change,temp_threshold
KEF-1,2018-07-15 15:40:00,9.1302,10.909,KEF-1_2018_0715_0717,2.5956,1.0
KEF-1,2018-07-15 15:50:00,9.1208,10.25,KEF-1_2018_0715_0717,0.06590000000000007,1.0
KEF-1,2018-07-15 16:00:00,9.119,10.028,KEF-1_2018_0715_0717,0.022199999999999952,1.0
KEF-1,2018-07-15 16:10:00,9.1162,9.877,KEF-1_2018_0715_0717,0.01509999999999998,1.0
KEF-1,2018-07-15 16:20:00,9.1141,9.764,KEF-1_2018_0715_0717,0.011300000000000133,1.0
KEF-1,2018-07-15 16:30:00,9.109,9.684,KEF-1_2018_0715_0717,0.008000000000000007,1.0
KEF-1,2018-07-15 16:40:00,9.1082,9.623,KEF-1_2018_0715_0717,0.006099999999999994,1.0
KEF-1,2018-07-15 16:50:00,9.1081,9.58,KEF-1_2018_0715_0717,0.004299999999999926,1.0
KEF-1,2018-07-15 17:00:00,9.1079,9.543,KEF-1_2018_0715_0717,0.003700000000000081,1.0
KEF-1,2018-07-15 17:10:00,9.1077,9.516,KEF-1_2018_0715_0717,0.0026999999999999247,1.0
KEF-1,2018-07-15 17:20:00,9.1075,9.495,KEF-1_2018_0715_0717,0.0021000000000000797,1.0
KEF-1,2018-07-15 17:30:00,9.1071,9.476,KEF-1_2018_0715_0717,0.0018999999999998352,1.0
KEF-1,2018-07-15 17:40:00,9.107,9.464,KEF-1_2018_0715_0717,0.0012000000000000454,1.0
KEF-1,2018-07-15 17:50:00,9.1071,9.453,KEF-1_2018_0715_0717,0.001100000000000101,1.0
KEF-1,2018-07-15 18:00:00,9.1064,9.443,KEF-1_2018_0715_0717,0.0009999999999999788,1.0
KEF-1,2018-07-15 18:10:00,9.1069,9.434,KEF-1_2018_0715_0717,0.0009000000000000341,1.0
KEF-1,2018-07-15 18:20:00,9.1069,9.427,KEF-1_2018_0715_0717,0.0006999999999999674,1.0
KEF-1,2018-07-15 18:30:00,9.1075,9.422,KEF-1_2018_0715_0717,0.0004999999999999005,1.0
KEF-1,2018-07-15 18:40:00,9.1087,9.417,KEF-1_2018_0715_0717,0.0005000000000000782,1.0
KEF-1,2018-07-15 18:50:00,9.1096,9.413,KEF-1_2018_0715_0717,0.00039999999999995595,1.0
KEF-1,2018-07-15 19:00:00,9.1108,9.411,KEF-1_2018_0715_0717,0.0002000000000000668,1.0
KEF-1,2018-07-15 19:10:00,9.1121,9.407,KEF-1_2018_0715_0717,0.00039999999999995595,1.0
KEF-1,2018-07-15 19:20:00,9.113,9.406,KEF-1_2018_0715_0717,9.999999999994457e-05,1.0
KEF-1,2018-07-15 19:30:00,9.1143,9.403,KEF-1_2018_0715_0717,0.00030000000000001136,1.0
KEF-1,2018-07-15 19:40:00,9.1157,9.402,KEF-1_2018_0715_0717,0.00010000000000012221,1.0
KEF-1,2018-07-15 19:50:00,9.1177,9.4,KEF-1_2018_0715_0717,0.00019999999999988915,1.0
KEF-1,2018-07-15 20:00:00,9.1193,9.398,KEF-1_2018_0715_0717,0.0002000000000000668,1.0
KEF-1,2018-07-15 20:10:00,9.1207,9.397,KEF-1_2018_0715_0717,9.999999999994457e-05,1.0
KEF-1,2018-07-15 20:20:00,9.1219,9.396,KEF-1_2018_0715_0717,9.999999999994457e-05,1.0
KEF-1,2018-07-15 20:30:00,9.1226,9.395,KEF-1_2018_0715_0717,0.00010000000000012221,1.0
KEF-1,2018-07-15 20:40:00,9.1234,9.394,KEF-1_2018_0715_0717,9.999999999994457e-05,1.0
KEF-1,2018-07-15 20:50:00,9.1239,9.393,KEF-1_2018_0715_0717,9.999999999994457e-05,1.0
KEF-1,2018-07-15 21:00:00,9.1251,9.393,KEF-1_2018_0715_0717,0.0,1.0
KEF-1,2018-07-15 21:10:00,9.1263,9.393,KEF-1_2018_0715_0717,0.0,1.0
KEF-1,2018-07-15 21:20:00,9.1279,9.392,KEF-1_2018_0715_0717,0.00010000000000012221,1.0
KEF-1,2018-07-15 21:30:00,9.1292,9.392,KEF-1_2018_0715_0717,0.0,1.0
KEF-1,2018-07-15 21:40:00,9.1302,9.392,KEF-1_2018_0715_0717,0.0,1.0
KEF-1,2018-07-15 21:50:00,9.1307,9.391,KEF-1_2018_0715_0717,9.999999999994457e-05,1.0
KEF-1,2018-07-15 22:00:00,9.1313,9.39,KEF-1_2018_0715_0717,9.999999999994457e-05,1.0
KEF-1,2018-07-15 22:10:00,9.1322,9.391,KEF-1_2018_0715_0717,9.999999999994457e-05,1.0
KEF-1,2018-07-15 22:20:00,9.1332,9.393,KEF-1_2018_0715_0717,0.0002000000000000668,1.0
KEF-1,2018-07-15 22:30:00,9.1344,9.391,KEF-1_2018_0715_0717,0.0002000000000000668,1.0
KEF-1,2018-07-15 22:40:00,9.1351,9.391,KEF-1_2018_0715_0717,0.0,1.0
