well_id,DateTime,raw_Level_m,Temp_c,deployment_id,Rate of Change,temp_threshold
KFR-XE1S,2018-07-25 12:30:00,8.4238,10.672,KFR-XE1S_2018_0725_0727,0.0001,0.5
KFR-XE1S,2018-07-25 12:40:00,8.4266,10.432,KFR-XE1S_2018_0725_0727,0.02400000000000002,0.5
KFR-XE1S,2018-07-25 12:50:00,8.4306,10.301,KFR-XE1S_2018_0725_0727,0.013100000000000023,0.5
KFR-XE1S,2018-07-25 13:00:00,8.4336,10.217,KFR-XE1S_2018_0725_0727,0.008399999999999963,0.5
KFR-XE1S,2018-07-25 13:10:00,8.4359,10.156,KFR-XE1S_2018_0725_0727,0.006099999999999994,0.5
KFR-XE1S,2018-07-25 13:20:00,8.4379,10.111,KFR-XE1S_2018_0725_0727,0.004499999999999993,0.5
KFR-XE1S,2018-07-25 13:30:00,8.4391,10.076,KFR-XE1S_2018_0725_0727,0.0035000000000000144,0.5
KFR-XE1S,2018-07-25 13:40:00,8.4398,10.048,KFR-XE1S_2018_0725_0727,0.002800000000000047,0.5
KFR-XE1S,2018-07-25 13:50:00,8.4401,10.024,KFR-XE1S_2018_0725_0727,0.002400000000000091,0.5
KFR-XE1S,2018-07-25 14:00:00,8.4406,10.006,KFR-XE1S_2018_0725_0727,0.0017999999999998907,0.5
KFR-XE1S,2018-07-25 14:10:00,8.4403,9.989,KFR-XE1S_2018_0725_0727,0.001699999999999946,0.5
KFR-XE1S,2018-07-25 14:20:00,8.4402,9.975,KFR-XE1S_2018_0725_0727,0.0014000000000001123,0.5
KFR-XE1S,2018-07-25 14:30:00,8.4394,9.965,KFR-XE1S_2018_0725_0727,0.0009999999999999788,0.5
KFR-XE1S,2018-07-25 14:40:00,8.4386,9.955,KFR-XE1S_2018_0725_0727,0.0009999999999999788,0.5
KFR-XE1S,2018-07-25 14:50:00,8.4376,9.947,KFR-XE1S_2018_0725_0727,0.0008000000000000895,0.5
KFR-XE1S,2018-07-25 15:00:00,8.4373,9.939,KFR-XE1S_2018_0725_0727,0.0007999999999999119,0.5
KFR-XE1S,2018-07-25 15:10:00,8.4364,9.934,KFR-XE1S_2018_0725_0727,0.0005000000000000782,0.5
KFR-XE1S,2018-07-25 15:20:00,8.4356,9.927,KFR-XE1S_2018_0725_0727,0.0006999999999999674,0.5
KFR-XE1S,2018-07-25 15:30:00,8.4347,9.921,KFR-XE1S_2018_0725_0727,0.0006000000000000227,0.5
KFR-XE1S,2018-07-25 15:40:00,8.4341,9.914,KFR-XE1S_2018_0725_0727,0.0006999999999999674,0.5
KFR-XE1S,2018-07-25 15:50:00,8.4331,9.909,KFR-XE1S_2018_0725_0727,0.0004999999999999005,0.5
KFR-XE1S,2018-07-25 16:00:00,8.4322,9.905,KFR-XE1S_2018_0725_0727,0.0004000000000001336,0.5
KFR-XE1S,2018-07-25 16:10:00,8.4315,9.902,KFR-XE1S_2018_0725_0727,0.00030000000000001136,0.5
KFR-XE1S,2018-07-25 16:20:00,8.4308,9.899,KFR-XE1S_2018_0725_0727,0.00030000000000001136,0.5
KFR-XE1S,2018-07-25 16:30:00,8.4295,9.896,KFR-XE1S_2018_0725_0727,0.0002999999999998337,0.5
KFR-XE1S,2018-07-25 16:40:00,8.4286,9.894,KFR-XE1S_2018_0725_0727,0.0002000000000000668,0.5
KFR-XE1S,2018-07-25 16:50:00,8.4281,9.891,KFR-XE1S_2018_0725_0727,0.00030000000000001136,0.5
KFR-XE1S,2018-07-25 17:00:00,8.4275,9.889,KFR-XE1S_2018_0725_0727,0.0002000000000000668,0.5
KFR-XE1S,2018-07-25 17:10:00,8.4269,9.887,KFR-XE1S_2018_0725_0727,0.00019999999999988915,0.5
KFR-XE1S,2018-07-25 17:20:00,8.4265,9.885,KFR-XE1S_2018_0725_0727,0.0002000000000000668,0.5
KFR-XE1S,2018-07-25 17:30:00,8.4263,9.884,KFR-XE1S_2018_0725_0727,9.999999999994457e-05,0.5
KFR-XE1S,2018-07-25 17:40:00,8.426,9.882,KFR-XE1S_2018_0725_0727,0.0002000000000000668,0.5
KFR-XE1S,2018-07-25 17:50:00,8.4254,9.88,KFR-XE1S_2018_0725_0727,0.00019999999999988915,0.5
KFR-XE1S,2018-07-25 18:00:00,8.425,9.879,KFR-XE1S_2018_0725_0727,0.00010000000000012221,0.5
KFR-XE1S,2018-07-25 18:10:00,8.4253,9.877,KFR-XE1S_2018_0725_0727,0.00019999999999988915,0.5
KFR-XE1S,2018-07-25 18:20:00,8.4251,9.876,KFR-XE1S_2018_0725_0727,0.00010000000000012221,0.5
KFR-XE1S,2018-07-25 18:30:00,8.4252,9.875,KFR-XE1S_2018_0725_0727,9.999999999994457e-05,0.5
KFR-XE1S,2018-07-25 18:40:00,8.4251,9.873,KFR-XE1S_2018_0725_0727,0.0002000000000000668,0.5
KFR-XE1S,2018-07-25 18:50:00,8.4254,9.872,KFR-XE1S_2018_0725_0727,9.999999999994457e-05,0.5
KFR-XE1S,2018-07-25 19:00:00,8.4256,9.871,KFR-XE1S_2018_0725_0727,9.999999999994457e-05,0.5
