well_id,cut_start,cut_end,temp_threshold,front_cutoff,back_cutoff
EEF-1,2018-07-17 17:00:00,2018-07-25 11:10:00,0.1,0,8
EEF-1,2018-07-27 15:00:00,2018-08-24 06:00:00,1.0,1,0
EEF-1,2018-08-26 18:00:00,2018-11-18 06:00:00,0.5,0,0
EEF-1,2019-09-21 15:10:00,2019-10-20 10:30:00,1.0,1,0
EEF-1,2021-07-03 12:20:00,2021-07-05 12:00:00,0.5,0,0
EEF-1,2021-07-05 15:45:00,2021-08-22 09:51:00,0.5,0,0
EEF-1,2024-07-14 17:00:00,2024-11-11 00:00:00,0.01,0,192
EEF-XA3S,2018-07-27 15:00:00,2018-08-24 12:00:00,0.05,5,22
EER-1,2018-07-17 17:00:00,2018-07-25 09:00:00,0.01,0,0
EER-1,2018-07-27 15:00:00,2018-08-24 11:50:00,0.01,2,23
EER-1,2018-08-26 18:00:00,2018-11-19 12:30:00,0.01,0,137
EER-1,2021-07-03 12:25:00,2021-07-05 12:00:00,1.5,1,0
EER-1,2021-09-08 14:41:00,2021-11-13 08:00:00,1.59,0,0
EER-1,2024-10-06 15:30:00,2024-11-09 11:00:00,1.72,0,0
EER-1,2025-05-26 08:00:00,2025-10-31 16:00:00,0.1,0,0
EET-1,2018-07-17 17:00:00,2018-07-25 11:10:00,0.2,0,5
EET-1,2021-07-03 12:00:00,2021-07-05 12:00:00,0.1,3,0
EET-1,2021-07-05 15:45:00,2021-07-20 13:37:00,1.0,0,1
EET-1,2025-05-26 08:00:00,2025-10-31 16:00:00,0.5,0,3
EET-2,2019-07-26 12:05:00,2019-10-04 17:20:00,0.5,1,0
EET-2,2024-06-02 12:40:00,2024-07-12 07:30:00,0.5,2,0
EET-2,2025-05-26 08:00:00,2025-10-31 16:00:00,0.2,0,5
EFF-XA2S,2018-07-17 17:00:00,2018-07-25 11:00:00,0.2,0,7
EHR-1,2018-07-27 15:00:00,2018-08-24 07:50:00,0.1,2,1
EHR-1,2018-08-26 18:00:00,2018-11-19 12:50:00,0.1,0,134
EHR-1,2021-07-03 12:28:00,2021-07-05 12:00:00,0.5,2,0
EHR-1,2024-07-14 17:00:00,2024-11-11 00:00:00,0.05,0,188
EHR-1,2025-05-26 08:00:00,2025-10-31 15:50:00,0.1,0,0
EHT-XA5S,2018-07-17 17:00:00,2018-07-25 11:00:00,0.2,0,7
EHT-XA5S,2019-06-02 13:00:00,2019-09-03 09:10:00,0.5,0,0
EHT-XA5S,2021-06-05 16:02:00,2021-07-03 11:19:00,0.5,1,0
EHT-XA5S,2024-06-02 12:35:00,2024-07-12 07:30:00,0.05,2,1
EHT-XA5S,2025-05-26 08:00:00,2025-10-31 16:00:00,0.05,0,5
EWR-1,2018-07-17 17:00:00,2018-07-25 11:00:00,0.2,0,8
