well_id,timestamp,welltop_to_water_cm,water_level_1_cm,water_level_2_cm,water_level_3_cm,water_binary,logger?,meter_id,soil moisture,notes,vegetation,HGMZ
EHR-1,6/2/19 8:01,58.5,,,,TRUE,NaN,nm,,need clay pack,,
EHR-1,6/2/19 8:01,60.5,,,,TRUE,NaN,nm,,,,
EHR-1,6/2/19 8:01,58.5,,,,TRUE,NaN,nm,,,,
EER-1,6/2/19 8:07,80.7,,,,TRUE,NaN,nm,,,,
EER-1,6/2/19 8:07,81,,,,TRUE,NaN,nm,,,,
EER-1,6/2/19 8:07,81.5,,,,TRUE,NaN,nm,,,,
EWR-1,6/2/19 8:14,72.5,,,,TRUE,NaN,nm,overbank,"21.5 cm above ground,  connected to stream flow",,
EWR-1,6/2/19 8:14,73,,,,TRUE,NaN,nm,,,,
EWR-1,6/2/19 8:14,73,,,,TRUE,NaN,nm,,,,
EWT-1,6/2/19 10:20,21.5,,,,TRUE,NaN,nm,saturated,water at soil surface,,
EWT-1,6/2/19 10:20,21.6,,,,TRUE,NaN,nm,,,,
EWT-1,6/2/19 10:20,21.6,,,,TRUE,NaN,nm,,,,
EHT-XA5S,6/2/19 10:34,32,,,,TRUE,NaN,nm,standing,pond at surface 4 cm,,
EHT-XA5S,6/2/19 10:34,33.5,,,,TRUE,NaN,nm,,,,
EHT-XA5S,6/2/19 10:34,34,,,,TRUE,NaN,nm,,,,
EEF-XA3S,6/2/19 11:55,65.5,,,,TRUE,NaN,nm,,,,
EEF-XA3S,6/2/19 11:55,65.5,,,,TRUE,NaN,nm,,,,
EEF-XA3S,6/2/19 11:55,65.7,,,,TRUE,NaN,nm,standing,"pond at surface 5 cm, 37 cm to east, flow 18 cm wide",,
EFF-XA2S,6/2/19 11:55,,,,,FALSE,NaN,nw,saturated,"couldn't measure depth, no bldngs present, looks like riparian, bend cut into terrace",,
EET-1,6/2/19 18:40,57.5,,,,TRUE,NaN,nm,,,,
EET-1,6/2/19 18:40,57.5,,,,TRUE,NaN,nm,,,,
EET-1,6/2/19 18:40,57.5,,,,TRUE,NaN,nm,saturated,needs clay fill,,
EEF-1,6/2/19 19:00,57.383,,,,TRUE,NaN,nm,standing,pond at surface 2 cm deep; so welltop_to_ground_cm = 59.383 - 2,,
EHT-XB5S,6/2/19 19:55,-1.5,,,,TRUE,NaN,nm,standing,pond at surface 1.5 cm deep,,
KHT-XD6N,6/3/19 9:57,44.5,,,,TRUE,NaN,nm,standing,ponding 1 cm,,
KHT-XD6N,6/3/19 9:57,45.2,,,,TRUE,NaN,nm,,,,
KHT-XD6N,6/3/19 9:57,45,,,,TRUE,NaN,nm,,,,
KER-1,6/3/19 10:02,69.375,,,,TRUE,NaN,nm,overbank,"water connected to creek, must have measured outside of well at -3.5, -4.8, -5.5",,
KER-1,6/3/19 10:02,68.075,,,,TRUE,NaN,nm,,,,
KER-1,6/3/19 10:02,67.375,,,,TRUE,NaN,nm,,,,
KER-XD5N,6/3/19 10:02,34.7,,,,TRUE,NaN,nm,,,,
KER-XD5N,6/3/19 10:02,34.3,,,,TRUE,NaN,nm,standing,ponding 1 cm,,
KER-XD5N,6/3/19 10:02,34.2,,,,TRUE,NaN,nm,,,,
KHT-XE6S,6/3/19 11:39,39.6,,,,TRUE,NaN,nm,standing,1.5 to 3 cm deep,,
KHT-XE6S,6/3/19 11:39,40,,,,TRUE,NaN,nm,,,,
KHT-XE6S,6/3/19 11:39,39.7,,,,TRUE,NaN,nm,,,,
KHT-XE5S,6/3/19 11:43,58.5,,,,TRUE,NaN,nm,saturated,not ponded right here but around,,
KHT-XE5S,6/3/19 11:43,58.5,,,,TRUE,NaN,nm,,,,
KHT-XE5S,6/3/19 11:43,58.6,,,,TRUE,NaN,nm,,,,
KER-XE3S,6/3/19 11:49,-8,,,,TRUE,NaN,nm,standing,ponded muck,,
KER-XE3S,6/3/19 11:49,-6,,,,TRUE,NaN,nm,,,,
KER-XE3S,6/3/19 11:49,-6,,,,TRUE,NaN,nm,,,,
KHT-XE4S,6/3/19 11:49,73.5,,,,TRUE,NaN,nm,,at edge between water flow down terrace and riparian on downslope,,
KHT-XE4S,6/3/19 11:49,73.5,,,,TRUE,NaN,nm,,,,
KHT-XE4S,6/3/19 11:49,73.5,,,,TRUE,NaN,nm,,,,
KWT-1,6/3/19 12:10,55.5,,,,TRUE,NaN,nm,saturated,ponding nearby,,
KWT-1,6/3/19 12:10,56,,,,TRUE,NaN,nm,,,,
KWT-1,6/3/19 12:10,55.5,,,,TRUE,NaN,nm,,,,
