Serial_number:
2092161
Project ID:
ISEECI
Location:
3
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/17/2018,05:00:00 pm,0,8.2792,9.243
7/17/2018,05:10:00 pm,0,8.2781,9.106
7/17/2018,05:20:00 pm,0,8.2766,9.012
7/17/2018,05:30:00 pm,0,8.2758,8.947
7/17/2018,05:40:00 pm,0,8.2761,8.900
7/17/2018,05:50:00 pm,0,8.2758,8.865
7/17/2018,06:00:00 pm,0,8.2751,8.839
7/17/2018,06:10:00 pm,0,8.2749,8.819
7/17/2018,06:20:00 pm,0,8.2754,8.801
7/17/2018,06:30:00 pm,0,8.2756,8.788
7/17/2018,06:40:00 pm,0,8.2753,8.778
7/17/2018,06:50:00 pm,0,8.2753,8.770
7/17/2018,07:00:00 pm,0,8.2757,8.762
7/17/2018,07:10:00 pm,0,8.2758,8.757
7/17/2018,07:20:00 pm,0,8.2764,8.751
7/17/2018,07:30:00 pm,0,8.2774,8.746
7/17/2018,07:40:00 pm,0,8.2777,8.741
7/17/2018,07:50:00 pm,0,8.2788,8.736
7/17/2018,08:00:00 pm,0,8.2790,8.731
7/17/2018,08:10:00 pm,0,8.2801,8.727
7/17/2018,08:20:00 pm,0,8.2810,8.724
7/17/2018,08:30:00 pm,0,8.2817,8.721
7/17/2018,08:40:00 pm,0,8.2822,8.718
7/17/2018,08:50:00 pm,0,8.2824,8.715
7/17/2018,09:00:00 pm,0,8.2828,8.714
7/17/2018,09:10:00 pm,0,8.2827,8.712
7/17/2018,09:20:00 pm,0,8.2831,8.710
7/17/2018,09:30:00 pm,0,8.2840,8.708
7/17/2018,09:40:00 pm,0,8.2845,8.707
7/17/2018,09:50:00 pm,0,8.2846,8.706
7/17/2018,10:00:00 pm,0,8.2857,8.705
7/17/2018,10:10:00 pm,0,8.2864,8.704
7/17/2018,10:20:00 pm,0,8.2868,8.703
7/17/2018,10:30:00 pm,0,8.2864,8.702
7/17/2018,10:40:00 pm,0,8.2860,8.702
7/17/2018,10:50:00 pm,0,8.2862,8.700
7/17/2018,11:00:00 pm,0,8.2867,8.700
7/17/2018,11:10:00 pm,0,8.2876,8.700
7/17/2018,11:20:00 pm,0,8.2877,8.699
7/17/2018,11:30:00 pm,0,8.2879,8.698
7/17/2018,11:40:00 pm,0,8.2889,8.698
7/17/2018,11:50:00 pm,0,8.2896,8.698
7/18/2018,12:00:00 am,0,8.2900,8.698
7/18/2018,12:10:00 am,0,8.2902,8.698
7/18/2018,12:20:00 am,0,8.2900,8.697
7/18/2018,12:30:00 am,0,8.2901,8.697
7/18/2018,12:40:00 am,0,8.2898,8.697
7/18/2018,12:50:00 am,0,8.2896,8.697
