,Date,Time,ms,LEVEL,TEMPERATURE,DT,Rate of Change
8,7/17/2018,06:20:00 pm,0,8.2754,8.801,2018-07-17 18:20:00,0.00129999999999999
9,7/17/2018,06:30:00 pm,0,8.2756,8.788,2018-07-17 18:30:00,0.0009999999999999788
10,7/17/2018,06:40:00 pm,0,8.2753,8.778,2018-07-17 18:40:00,0.0008000000000000895
11,7/17/2018,06:50:00 pm,0,8.2753,8.77,2018-07-17 18:50:00,0.0007999999999999119
12,7/17/2018,07:00:00 pm,0,8.2757,8.762,2018-07-17 19:00:00,0.0005000000000000782
13,7/17/2018,07:10:00 pm,0,8.2758,8.757,2018-07-17 19:10:00,0.0006000000000000227
14,7/17/2018,07:20:00 pm,0,8.2764,8.751,2018-07-17 19:20:00,0.0004999999999999005
15,7/17/2018,07:30:00 pm,0,8.2774,8.746,2018-07-17 19:30:00,0.0005000000000000782
16,7/17/2018,07:40:00 pm,0,8.2777,8.741,2018-07-17 19:40:00,0.0004999999999999005
17,7/17/2018,07:50:00 pm,0,8.2788,8.736,2018-07-17 19:50:00,0.0005000000000000782
18,7/17/2018,08:00:00 pm,0,8.279,8.731,2018-07-17 20:00:00,0.00039999999999995595
19,7/17/2018,08:10:00 pm,0,8.2801,8.727,2018-07-17 20:10:00,0.00030000000000001136
20,7/17/2018,08:20:00 pm,0,8.281,8.724,2018-07-17 20:20:00,0.00030000000000001136
21,7/17/2018,08:30:00 pm,0,8.2817,8.721,2018-07-17 20:30:00,0.00030000000000001136
22,7/17/2018,08:40:00 pm,0,8.2822,8.718,2018-07-17 20:40:00,0.00030000000000001136
23,7/17/2018,08:50:00 pm,0,8.2824,8.715,2018-07-17 20:50:00,9.999999999994457e-05
24,7/17/2018,09:00:00 pm,0,8.2828,8.714,2018-07-17 21:00:00,0.0002000000000000668
25,7/17/2018,09:10:00 pm,0,8.2827,8.712,2018-07-17 21:10:00,0.00019999999999988915
26,7/17/2018,09:20:00 pm,0,8.2831,8.71,2018-07-17 21:20:00,0.0002000000000000668
27,7/17/2018,09:30:00 pm,0,8.284,8.708,2018-07-17 21:30:00,9.999999999994457e-05
28,7/17/2018,09:40:00 pm,0,8.2845,8.707,2018-07-17 21:40:00,0.00010000000000012221
29,7/17/2018,09:50:00 pm,0,8.2846,8.706,2018-07-17 21:50:00,9.999999999994457e-05
30,7/17/2018,10:00:00 pm,0,8.2857,8.705,2018-07-17 22:00:00,9.999999999994457e-05
31,7/17/2018,10:10:00 pm,0,8.2864,8.704,2018-07-17 22:10:00,0.00010000000000012221
32,7/17/2018,10:20:00 pm,0,8.2868,8.703,2018-07-17 22:20:00,9.999999999994457e-05
33,7/17/2018,10:30:00 pm,0,8.2864,8.702,2018-07-17 22:30:00,0.0
34,7/17/2018,10:40:00 pm,0,8.286,8.702,2018-07-17 22:40:00,0.0002000000000000668
35,7/17/2018,10:50:00 pm,0,8.2862,8.7,2018-07-17 22:50:00,0.0
36,7/17/2018,11:00:00 pm,0,8.2867,8.7,2018-07-17 23:00:00,0.0
37,7/17/2018,11:10:00 pm,0,8.2876,8.7,2018-07-17 23:10:00,9.999999999994457e-05
38,7/17/2018,11:20:00 pm,0,8.2877,8.699,2018-07-17 23:20:00,9.999999999994457e-05
39,7/17/2018,11:30:00 pm,0,8.2879,8.698,2018-07-17 23:30:00,0.0
40,7/17/2018,11:40:00 pm,0,8.2889,8.698,2018-07-17 23:40:00,0.0
41,7/17/2018,11:50:00 pm,0,8.2896,8.698,2018-07-17 23:50:00,0.0
42,7/18/2018,12:00:00 am,0,8.29,8.698,2018-07-18 00:00:00,0.0
43,7/18/2018,12:10:00 am,0,8.2902,8.698,2018-07-18 00:10:00,0.00010000000000012221
44,7/18/2018,12:20:00 am,0,8.29,8.697,2018-07-18 00:20:00,0.0
45,7/18/2018,12:30:00 am,0,8.2901,8.697,2018-07-18 00:30:00,0.0
46,7/18/2018,12:40:00 am,0,8.2898,8.697,2018-07-18 00:40:00,0.0
47,7/18/2018,12:50:00 am,0,8.2896,8.697,2018-07-18 00:50:00,0.0
48,7/18/2018,01:00:00 am,0,8.2894,8.697,2018-07-18 01:00:00,0.0
49,7/18/2018,01:10:00 am,0,8.2888,8.697,2018-07-18 01:10:00,0.0
50,7/18/2018,01:20:00 am,0,8.2887,8.697,2018-07-18 01:20:00,0.0
51,7/18/2018,01:30:00 am,0,8.2884,8.697,2018-07-18 01:30:00,0.0
52,7/18/2018,01:40:00 am,0,8.2883,8.697,2018-07-18 01:40:00,0.0
53,7/18/2018,01:50:00 am,0,8.2881,8.697,2018-07-18 01:50:00,0.0
54,7/18/2018,02:00:00 am,0,8.2883,8.697,2018-07-18 02:00:00,0.0
55,7/18/2018,02:10:00 am,0,8.2876,8.697,2018-07-18 02:10:00,0.0
56,7/18/2018,02:20:00 am,0,8.288,8.697,2018-07-18 02:20:00,0.00010000000000012221
57,7/18/2018,02:30:00 am,0,8.2875,8.698,2018-07-18 02:30:00,0.0
58,7/18/2018,02:40:00 am,0,8.2875,8.698,2018-07-18 02:40:00,0.0
59,7/18/2018,02:50:00 am,0,8.287,8.698,2018-07-18 02:50:00,0.0
60,7/18/2018,03:00:00 am,0,8.2872,8.698,2018-07-18 03:00:00,0.0
61,7/18/2018,03:10:00 am,0,8.2868,8.698,2018-07-18 03:10:00,9.999999999994457e-05
62,7/18/2018,03:20:00 am,0,8.2866,8.699,2018-07-18 03:20:00,0.0
63,7/18/2018,03:30:00 am,0,8.2857,8.699,2018-07-18 03:30:00,0.0
64,7/18/2018,03:40:00 am,0,8.2853,8.699,2018-07-18 03:40:00,0.0
65,7/18/2018,03:50:00 am,0,8.2851,8.699,2018-07-18 03:50:00,0.0
66,7/18/2018,04:00:00 am,0,8.2849,8.699,2018-07-18 04:00:00,0.0
67,7/18/2018,04:10:00 am,0,8.2854,8.699,2018-07-18 04:10:00,9.999999999994457e-05
68,7/18/2018,04:20:00 am,0,8.2855,8.7,2018-07-18 04:20:00,0.0
69,7/18/2018,04:30:00 am,0,8.2853,8.7,2018-07-18 04:30:00,0.0
70,7/18/2018,04:40:00 am,0,8.2853,8.7,2018-07-18 04:40:00,0.00010000000000012221
71,7/18/2018,04:50:00 am,0,8.285,8.701,2018-07-18 04:50:00,0.0
72,7/18/2018,05:00:00 am,0,8.2849,8.701,2018-07-18 05:00:00,0.0
73,7/18/2018,05:10:00 am,0,8.2851,8.701,2018-07-18 05:10:00,0.0
